Regulator	Target	MI
CEBPB	SPI1	0.3695739498144155
CEBPB	GMFG	0.35035258146770953
CEBPB	POP4	0.3409976016300531
CEBPB	SPINT2	0.31671906658498816
CEBPB	TMEM93	0.2486572439584469
CEBPB	IL4I1	0.21068406658153727
CEBPB	LACTB	0.3355386414054795
CEBPB	ALKBH5	0.2315396470316733
CEBPB	HTR7	0.32474336729072917
CEBPB	MPRIP	0.23959132974277253
CEBPB	GPBP1	0.2122220636661467
CEBPB	C3AR1	0.3063727621967365
CEBPB	FAM19A2	0.22015692642505424
CEBPB	FAM19A1	0.21032312289933053
CEBPB	FOXO3B	0.23402810947251496
CEBPB	UBASH3A	0.192060574557388
CEBPB	PRKACA	0.19645209610254266
CEBPB	FTHL3	0.2506806131282513
CEBPB	LOC613037	0.24747938282080906
CEBPB	STARD5	0.19159526377637448
CEBPB	RNASE6	0.3074673724349717
CEBPB	PHKA1	0.21167790543110332
CEBPB	CACNA2D4	0.4644196839935537
CEBPB	RC3H2	0.21444545667582293
CEBPB	EML3	0.22762262967407398
CEBPB	SCAMP2	0.19400095318352317
CEBPB	SIGIRR	0.21222222953405545
CEBPB	ACE2	0.18754188273625072
CEBPB	SCO2	0.2084452507633605
CEBPB	ETHE1	0.29501075138869925
CEBPB	CLDN7	0.20999177256262325
CEBPB	FEZ2	0.20629059248972936
CEBPB	PSME1	0.20544729397132766
CEBPB	EXOC3L	0.26544816636922075
CEBPB	ATF5	0.20032821617226038
CEBPB	CGGBP1	0.22527512959789764
CEBPB	FLG	0.24620420589427905
CEBPB	CDCA5	0.20767082311237495
CEBPB	FPR3	0.27245124988245095
CEBPB	ABCB9	0.2243827376486971
CEBPB	NCAPH	0.3279217318295906
CEBPB	DEDD2	0.19570753557331066
CEBPB	C3	0.3728411970399712
CEBPB	CYB5R1	0.19224019150162874
CEBPB	ZBTB7A	0.19959399274281608
CEBPB	GPIHBP1	0.20210314031466048
CEBPB	VTI1B	0.2101845470082857
CEBPB	LYN	0.2298753633168671
CEBPB	PRRT3	0.25392192154175763
CEBPB	FUCA1	0.2441678687815756
CEBPB	APCDD1L	0.2395965300006342
CEBPB	EDEM2	0.3216835441328234
CEBPB	NETO2	0.47508173352461736
CEBPB	CP	0.25577783022306555
CEBPB	PBX1	0.28832395345537876
CEBPB	LOC606724	0.3363796414896445
CEBPB	IL22RA1	0.21671761082582286
CEBPB	TREML1	0.2143303397883356
CEBPB	ABTB1	0.250274434237177
CEBPB	FASN	0.20567644554664977
CEBPB	SASS6	0.31758236333652157
CEBPB	PSMG4	0.20371552963544115
CEBPB	FAT3	0.19899937137350587
CEBPB	FXYD5	0.21801500712038102
CEBPB	ZNF257	0.23216011476552634
CEBPB	EFCAB4B	0.19432903061802165
CEBPB	FERMT3	0.38365888140492554
CEBPB	LGMN	0.21059378765188352
CEBPB	ARHGAP9	0.2904532239693607
CEBPB	PGCP	0.2218084616878624
CEBPB	ZNF253	0.25333153279271503
CEBPB	SIGLEC9	0.30103812998926216
CEBPB	ZNF493	0.35473797520748906
CEBPB	MTMR14	0.21085014785991962
CEBPB	RPLP1	0.2106170914854859
CEBPB	HEXA	0.33041948430811985
CEBPB	TMEM51	0.2669403989366428
CEBPB	ZNF43	0.23093275770376742
CEBPB	CTCF	0.2745217249923124
CEBPB	LRRC33	0.24571910843892475
CEBPB	OSBPL10	0.3258546267653193
CEBPB	SHE	0.19172407984154738
CEBPB	TMEM48	0.20705591733632467
CEBPB	NIPBL	0.23414841548678567
CEBPB	NHSL1	0.2518553654024176
CEBPB	ZNF41	0.27194489773106856
CEBPB	FLVCR1	0.23612619235558618
CEBPB	TSPO	0.2723628755778247
CEBPB	SH3BGRL3	0.3539818630883751
CEBPB	SNORA76	0.21022754986290604
CEBPB	IKBKE	0.27270515170977205
CEBPB	C7orf59	0.2027966217554651
CEBPB	DUSP4	0.25310412642428126
CEBPB	RAG1AP1	0.20273130689552143
CEBPB	ELOVL1	0.22056898020343407
CEBPB	MYBPC2	0.29505530067461017
CEBPB	GPR34	0.2315145731199486
CEBPB	RIPK3	0.4591267064284512
CEBPB	DUSP1	0.23465638669601052
CEBPB	METRN	0.3173346668381978
CEBPB	LRRC49	0.20906579064255215
CEBPB	SPHK1	0.24649260866392364
CEBPB	TMC8	0.22703689297426966
CEBPB	RAB3IL1	0.22813439837311922
CEBPB	EMP3	0.2910856818604932
CEBPB	FOS	0.19403118626434335
CEBPB	JOSD2	0.21604203272295042
CEBPB	MED27	0.1966729678036172
CEBPB	KIAA1383	0.21302466990229618
CEBPB	VAMP8	0.3580901005771704
CEBPB	PIGB	0.2546047591430538
CEBPB	SLC7A7	0.2585847037423372
CEBPB	RILPL2	0.46654361434975034
CEBPB	OAF	0.29433920021114535
CEBPB	PTRH1	0.2792484266224493
CEBPB	ZNF239	0.1897100568193153
CEBPB	PPARG	0.24771071443461246
CEBPB	L2HGDH	0.2570366645554323
CEBPB	HCST	0.3657375769447784
CEBPB	PIGF	0.2521949516858575
CEBPB	RAPGEF4	0.21033322758041528
CEBPB	SLC29A2	0.19618350297095333
CEBPB	CRB1	0.23735541044686492
CEBPB	XRCC6BP1	0.24831610794802472
CEBPB	KCNA2	0.22451698875551607
CEBPB	PTAFR	0.27760907656027634
CEBPB	ADAM20	0.28563736527152095
CEBPB	KCNA5	0.20937449662577468
CEBPB	CCNDBP1	0.27172112316388475
CEBPB	FAM117B	0.22062377831986613
CEBPB	PRAM1	0.2823619540064586
CEBPB	TMEM70	0.2315560221533648
CEBPB	PSMB6	0.22330548016207263
CEBPB	EXTL2	0.21856858221503384
CEBPB	HLA-DMA	0.5839961352760357
CEBPB	HLA-DMB	0.39205902744148524
CEBPB	SPP1	0.28153936424597337
CEBPB	STAT6	0.2718686793056193
CEBPB	IL12RB1	0.1903692981290206
CEBPB	RPS27A	0.26773239120424375
CEBPB	IL12RB2	0.20183259100614492
CEBPB	ZNF221	0.19234588781274553
CEBPB	C20orf177	0.19157843340847336
CEBPB	LOC285419	0.281364349221505
CEBPB	P2RY10	0.2075279990885388
CEBPB	EGLN2	0.18908309395631484
CEBPB	GOLM1	0.2392972373969684
CEBPB	PKM2	0.2184009961765936
CEBPB	JHDM1D	0.2017297866434431
CEBPB	PLXDC2	0.4098067455125909
CEBPB	TMCO4	0.20788943231801316
CEBPB	TARBP2	0.28646304072439843
CEBPB	CENPF	0.1980674786415273
CEBPB	CENPH	0.20902575517974853
CEBPB	ETNK2	0.18872911123095815
CEBPB	CENPJ	0.20239968378197126
CEBPB	LYRM7	0.20829690993069327
CEBPB	TSR1	0.19943496987321652
CEBPB	RPL22L1	0.19669253269270381
CEBPB	CENPO	0.22324680314272438
CEBPB	C7orf23	0.2152349187703848
CEBPB	SIGLEC7	0.36742562051070937
CEBPB	C6orf1	0.24730556695506856
CEBPB	KCNG2	0.2574063989589055
CEBPB	NCF2	0.19088868350256405
CEBPB	ZBTB24	0.2027267018991381
CEBPB	GPR65	0.3596637143476835
CEBPB	NCF4	0.2374069055810999
CEBPB	ZBTB26	0.23526163725263505
CEBPB	SLA	0.28880940296661617
CEBPB	TSEN2	0.19536785484689734
CEBPB	SAT1	0.3129427752231946
CEBPB	ERO1L	0.23920917566567912
CEBPB	RNF126P1	0.21633240476211668
CEBPB	FADS2	0.2813163019629936
CEBPB	IBSP	0.24222214079024784
CEBPB	ADORA3	0.2472651500871459
CEBPB	LGTN	0.21176297508622
CEBPB	TOM1	0.2063957596367212
CEBPB	ZNF207	0.31511528263574196
CEBPB	NEK1	0.26321265389189374
CEBPB	MAP3K8	0.4121374221061478
CEBPB	HLA-DOA	0.38490910706545467
CEBPB	KPNA1	0.2706033580454399
CEBPB	SLC16A5	0.34482748164907484
CEBPB	SLC25A46	0.30447127768097815
CEBPB	TICAM2	0.248275007410097
CEBPB	CNPY3	0.1946142374022033
CEBPB	ZBTB33	0.3687520511024349
CEBPB	FTSJ2	0.31087506129732123
CEBPB	TUBA4A	0.1910317111576072
CEBPB	DMTF1	0.2477337314292658
CEBPB	MAPKAPK3	0.3747225613962435
CEBPB	MSH2	0.3133649055220591
CEBPB	KIAA1731	0.2072585508681417
