Regulator	Target	MI
CEBPB	SPI1	0.31037564330468737
CEBPB	PNMAL1	0.2112988175155035
CEBPB	SERPINE1	0.2828574941749178
CEBPB	TMEM97	0.19394453574530246
CEBPB	DKFZp686O24166	0.2827223478212675
CEBPB	GPATCH8	0.2090652901102814
CEBPB	ALKBH5	0.24028659305009992
CEBPB	DPYSL5	0.21795047624288255
CEBPB	IER3	0.25634323470143006
CEBPB	ACOT9	0.19418994415821533
CEBPB	CLEC11A	0.20715489958297706
CEBPB	HPCAL1	0.2320530907472831
CEBPB	CD3EAP	0.2639239575908219
CEBPB	TMEM85	0.1891134860855015
CEBPB	CACNA2D4	0.26187738962457985
CEBPB	RNASE3	0.2841238173566616
CEBPB	RNASE2	0.29397603720836774
CEBPB	RNASE1	0.19329586168787483
CEBPB	SYTL3	0.2591088758551727
CEBPB	HOXB9	0.19649102400133067
CEBPB	HECW1	0.21514815993621017
CEBPB	KIAA0247	0.24047473302276146
CEBPB	LGALS12	0.26984042592552004
CEBPB	ORAI3	0.22582504998063957
CEBPB	RFX5	0.1873182326187086
CEBPB	ATF3	0.20219056380051548
CEBPB	CFB	0.26888202447985154
CEBPB	FREM2	0.18596936912932271
CEBPB	ZNF157	0.21221689512049835
CEBPB	CFD	0.27921097965207853
CEBPB	MTMR1	0.21578472345151134
CEBPB	MAPKAP1	0.21090165317008402
CEBPB	ENDOD1	0.20687871315160855
CEBPB	FPR1	0.2726683526578553
CEBPB	TPTE2P1	0.19770314002409695
CEBPB	FPR2	0.2701874631011476
CEBPB	TAPBPL	0.2284728095193067
CEBPB	NCAPH	0.24493203225336302
CEBPB	C2	0.31037250715058917
CEBPB	KRTAP5-10	0.22542416487076533
CEBPB	MRPL20	0.2550569077781857
CEBPB	SCGB1D2	0.2349100142323275
CEBPB	PDGFC	0.23896696549857488
CEBPB	ALX3	0.23617610875963813
CEBPB	HMOX1	0.2970980885940273
CEBPB	S100A11	0.2825787308605099
CEBPB	PRR24	0.28677043680807124
CEBPB	S100A10	0.22911821285504708
CEBPB	FZD1	0.1921515043867803
CEBPB	PLK3	0.4957465380687962
CEBPB	AFAP1L2	0.20657527363361705
CEBPB	JUN	0.3208566660511645
CEBPB	ST14	0.5716833946026112
CEBPB	SIVA1	0.19444761781057007
CEBPB	FZD7	0.20213726718306813
CEBPB	SNAI3	0.24975019008565358
CEBPB	KIR2DS4	0.23084346424313384
CEBPB	CDC6	0.21506204935719442
CEBPB	LOC606724	0.4098913266846056
