Regulator	Target	MI
CEBPB	SPI1	0.3194169636159456
CEBPB	POP4	0.2630456361914071
CEBPB	F11R	0.20533282240746598
CEBPB	KIAA1109	0.2701839341162726
CEBPB	CAPNS1	0.25913124751808514
CEBPB	FGFR1OP2	0.2950863346075776
CEBPB	FAM19A2	0.20651789614208838
CEBPB	FTHL3	0.2017148798766364
CEBPB	GSTK1	0.24404636743689156
CEBPB	HEMK1	0.25684826436491814
CEBPB	CACNA2D4	0.4404008035703315
CEBPB	CTAGE1	0.22669834817319234
CEBPB	CH25H	0.27487077838267204
CEBPB	UNC50	0.2364035256336967
CEBPB	ATF3	0.32890511376674514
CEBPB	CDCA5	0.2679408768029887
CEBPB	CDCA7	0.2578178163607232
CEBPB	GATA2	0.2647793667153433
CEBPB	PRPSAP1	0.29165050093192857
CEBPB	EPB41L2	0.2532251530614511
CEBPB	RDH10	0.2668378966368046
CEBPB	MGC16703	0.2258240583038793
CEBPB	MOV10L1	0.23720686283416903
CEBPB	SFN	0.2937271482067336
CEBPB	PRPF38A	0.24135997749574223
CEBPB	BTBD17	0.20052926157792417
CEBPB	TSLP	0.3309152741181345
CEBPB	TIPARP	0.28398620678259423
CEBPB	BTBD11	0.26412690308467646
CEBPB	CILP	0.30188337607166904
CEBPB	FASN	0.4050113863562981
CEBPB	TREML3	0.4225556279351572
CEBPB	TREML2	0.24787326756088035
CEBPB	SFXN3	0.20528500058292742
CEBPB	FXYD6	0.26879846245997285
CEBPB	FXYD5	0.3819282632915231
CEBPB	ARHGAP9	0.2763918734306827
CEBPB	PGCP	0.25104704927561006
CEBPB	SIGLEC9	0.340860938716828
CEBPB	ZNF493	0.20132915358943837
CEBPB	NCAPG2	0.2694756629014501
CEBPB	SNX10	0.22292921796288478
CEBPB	ARHGAP6	0.2078594049443021
CEBPB	ZNF48	0.25989637543741395
CEBPB	BBC3	0.20732995794339093
CEBPB	SMPD3	0.34103683056172684
CEBPB	KIAA1147	0.22864432720896222
CEBPB	SMPD1	0.3536711025635171
CEBPB	DLGAP4	0.19477941873315174
CEBPB	SULT1C4	0.26749626226781587
CEBPB	RAG1AP1	0.21746564380056288
CEBPB	CHST7	0.2330523075721187
CEBPB	MYBPC2	0.20274409525736647
CEBPB	KCND2	0.24178316593663673
CEBPB	DUSP1	0.27797465344750183
CEBPB	GSTO1	0.2896976064819965
CEBPB	TEX12	0.27807361956251775
CEBPB	FOS	0.23818339834813784
CEBPB	JOSD2	0.4447009462749181
CEBPB	PGM2L1	0.22170428867527203
CEBPB	TEX19	0.20409059968993404
CEBPB	MED24	0.23024782316689496
CEBPB	OAF	0.33386631402048916
CEBPB	MED21	0.23450564182852585
CEBPB	DPYD	0.556760001871468
CEBPB	MMP19	0.4723024107621283
CEBPB	ISPD	0.20155200469523127
CEBPB	HCST	0.3207620615403606
CEBPB	CRB1	0.37928398083621584
CEBPB	ZSWIM1	0.2619277480894029
CEBPB	KCNA2	0.28498403090004043
CEBPB	ADAM22	0.24196963899003787
CEBPB	SNX33	0.21613482169236775
CEBPB	SDAD1	0.2668329312505282
CEBPB	FAM117B	0.2938758446375189
CEBPB	NRAP	0.20758955133890478
CEBPB	MFN1	0.21181240260746215
CEBPB	SPP1	0.3046858391824889
CEBPB	IL12RB1	0.19553361333439945
CEBPB	ZSWIM5	0.18743854325042353
CEBPB	MBD4	0.19568289278346018
CEBPB	EGLN3	0.196553642651482
CEBPB	ATAD5	0.32098466033497974
CEBPB	PKM2	0.31314092594421616
CEBPB	ATAD2	0.18823789335688002
CEBPB	MBD2	0.3593844598207143
CEBPB	ADAM32	0.2260416154564302
CEBPB	NUDT22	0.23927620078800071
CEBPB	CCDC8	0.19901134393155395
CEBPB	NCAPD3	0.30751501122996405
CEBPB	SLC27A1	0.25382134105917054
CEBPB	RIF1	0.2940984930542374
CEBPB	REG1A	0.20497631560234453
CEBPB	SLA	0.20349472718341577
CEBPB	EFEMP2	0.4161667899207746
CEBPB	LGTN	0.2539672404565465
CEBPB	NEK1	0.21076019663971568
CEBPB	TNFRSF8	0.22260338343336272
CEBPB	MAP3K8	0.3545267999613868
CEBPB	ZNF445	0.2968374321528229
CEBPB	KCNH4	0.22800513211229134
CEBPB	FBXW5	0.28587488915144466
CEBPB	FBXW8	0.25250280234762634
CEBPB	STX7	0.23205824592861468
CEBPB	CNPY3	0.2856952031298423
CEBPB	CDC25A	0.28365850378768265
CEBPB	TPST2	0.20516593000940464
CEBPB	MSH2	0.3198735993021815
CEBPB	MSH5	0.21907544412155566
CEBPB	ZNF438	0.2786240992701874
CEBPB	PKP4	0.2543219447257501
CEBPB	ZNF431	0.2705903955253355
CEBPB	GRIA2	0.19206007902032063
CEBPB	DLX5	0.1871952210935497
CEBPB	SHC1	0.26358464367025203
CEBPB	LY96	0.24726747130661764
CEBPB	CREBL2	0.19888514314308647
CEBPB	FBXO45	0.21405781329451123
CEBPB	UAP1	0.24818006981731067
CEBPB	SPATA5	0.2135067392471992
CEBPB	CCDC144A	0.2433515512402069
CEBPB	HSP90B1	0.20427286887916285
CEBPB	CCDC144C	0.33035443099344874
CEBPB	MBIP	0.2611132529511817
CEBPB	PGK1	0.35745252188345944
CEBPB	ZKSCAN2	0.19576638640944033
CEBPB	ZKSCAN5	0.1877832565451545
CEBPB	ZKSCAN1	0.2631299686145514
CEBPB	ZNF420	0.23515603016214914
CEBPB	FUS	0.2321506552377155
CEBPB	TNFRSF9	0.220717411862851
CEBPB	HPS6	0.2151520027712417
CEBPB	ARPC5	0.1995771753939115
CEBPB	HPS5	0.23283044414081644
CEBPB	FBXO32	0.34255796503292313
CEBPB	LRCH2	0.20909413183563164
CEBPB	SP4	0.214337062011972
CEBPB	TBXAS1	0.4479547722633743
CEBPB	LCN2	0.190972576456244
CEBPB	FAM7A2	0.2513769307951037
CEBPB	OGT	0.23189203584149887
CEBPB	ITGAM	0.38254583291856026
CEBPB	ONECUT2	0.2018014097329175
CEBPB	ITGB2	0.2163118731192304
CEBPB	ITGAL	0.26708320245037687
CEBPB	MSLN	0.22616594291901393
CEBPB	ARL5B	0.20771532125443937
CEBPB	KIAA1549	0.405437880212947
CEBPB	ZNF404	0.18905138947389144
CEBPB	ACP2	0.2719054471386366
CEBPB	GRID2	0.23100307179029844
CEBPB	TRIM62	0.26497166641109793
CEBPB	RNASET2	0.24178043773413815
CEBPB	AHSA2	0.21970929706475228
CEBPB	SEZ6L	0.24561565879210434
CEBPB	TNFRSF1A	0.47964779675274993
CEBPB	ARL4C	0.19785323687298728
CEBPB	C14orf45	0.26013570024272337
CEBPB	LCP2	0.21254843960262182
CEBPB	TMBIM6	0.24788817136509156
CEBPB	TRIM59	0.21338962287514018
CEBPB	LCP1	0.19869849493220126
CEBPB	ACPP	0.3760205198976889
CEBPB	C1S	0.3514552885416249
CEBPB	C1R	0.3279727355642974
CEBPB	HM13	0.30006954669827834
CEBPB	SRR	0.2844372342247663
CEBPB	DRAM1	0.4475148409745602
CEBPB	UBQLN1	0.2112540942278347
CEBPB	E2F2	0.23008788330198904
CEBPB	E2F3	0.24353993057530943
CEBPB	EIF4E	0.19314732737070095
CEBPB	HNRNPA3	0.28833839030055675
CEBPB	MARCKSL1	0.25127068604312797
CEBPB	TBX3	0.20905752063859318
CEBPB	TTC39A	0.3079876942563873
CEBPB	TRIM39	0.22947362680741
CEBPB	IL2RA	0.26445633731186025
CEBPB	NAGS	0.25888231676878704
CEBPB	PIK3AP1	0.28298326810872343
CEBPB	CD244	0.18627587256568212
CEBPB	MYO1G	0.25203024490007575
CEBPB	TNFRSF6B	0.22038170936710078
CEBPB	PPAN	0.18597717870703612
CEBPB	ICAM3	0.2893688704527877
CEBPB	ICAM4	0.3051815414410868
CEBPB	LCTL	0.20082109304063156
CEBPB	ICAM1	0.6126851786230141
CEBPB	OPHN1	0.2059220869337164
CEBPB	SNRPD2	0.23010430168565943
CEBPB	ANPEP	0.2365852045723713
CEBPB	EPC2	0.1887170966328826
CEBPB	ATXN7L2	0.23936358360992305
CEBPB	FBXO8	0.2656882547898851
CEBPB	C16orf73	0.20612604226457254
CEBPB	C16orf72	0.27055860970194523
CEBPB	KCNK13	0.22622077220529135
CEBPB	SLPI	0.4158435124194666
CEBPB	BTK	0.18879647015258083
CEBPB	FAM76B	0.32711500106392233
CEBPB	RIN3	0.3066239078115647
CEBPB	DHX9	0.37059670214637386
CEBPB	EPB41	0.2263852910862143
CEBPB	RRAD	0.24893301808555002
CEBPB	SDC2	0.20175041804438454
CEBPB	MBTD1	0.36376104955572064
CEBPB	NKAIN1	0.2060215508762182
CEBPB	NEU4	0.24788068967147492
CEBPB	NKAIN3	0.28040277408973147
CEBPB	RRAS	0.37347701362878993
CEBPB	PPCS	0.31454689978708306
CEBPB	APOBEC3C	0.3622542574539587
CEBPB	MSR1	0.30003141763225827
CEBPB	FAM78B	0.2813299411126913
CEBPB	SLC10A3	0.2493044112913676
CEBPB	TNFSF13	0.2349286386810503
CEBPB	PPBP	0.31280013440018983
CEBPB	NTAN1	0.22213245594757236
CEBPB	SMARCA4	0.2092481013073364
CEBPB	BST1	0.21214394807869752
CEBPB	LPAR5	0.1988248268160584
CEBPB	LOC441869	0.24158046742857398
CEBPB	SDC1	0.2257465533022991
CEBPB	KHK	0.228453766219749
CEBPB	C8G	0.22372221039922113
CEBPB	AKAP14	0.22349832887051946
CEBPB	RAC2	0.28656429338667255
CEBPB	BBS7	0.3029224384818878
CEBPB	SDF2	0.233774487202286
CEBPB	FCER1G	0.23379518897050833
CEBPB	AGTRAP	0.2578032767819991
CEBPB	RNF144B	0.37745325805874597
CEBPB	ARHGEF9	0.2846078825587517
CEBPB	PITPNM1	0.36161763535657165
CEBPB	PDIK1L	0.2830067189207979
CEBPB	MRPS33	0.3220253945946867
CEBPB	FAM35A	0.2302572725736578
CEBPB	NOXO1	0.2013583021569092
CEBPB	C1orf38	0.31122212457758014
CEBPB	RELB	0.48582003904226134
CEBPB	ORMDL2	0.21339065945555724
CEBPB	MGAT1	0.3030825167122968
CEBPB	RAE1	0.19843237469970632
CEBPB	C6orf141	0.22770304386588425
CEBPB	C16orf92	0.3074760428197285
CEBPB	SPRYD3	0.24294177409162465
CEBPB	TMEM176B	0.21945379429012313
CEBPB	CCDC109B	0.20094751343332007
CEBPB	APTX	0.3027796875735671
CEBPB	YIF1B	0.3654203560218283
CEBPB	KLHL6	0.20843566588841433
CEBPB	HNRNPA2B1	0.3117022732119672
CEBPB	KIAA1958	0.20454945955990045
CEBPB	IL18R1	0.27470490319888796
CEBPB	GDA	0.2267906494073726
CEBPB	UBE2Z	0.19917968443146084
CEBPB	ETS1	0.20333272748875508
CEBPB	YARS2	0.2017532199795662
CEBPB	CELSR3	0.31156897605863954
CEBPB	PLB1	0.31387335088118196
CEBPB	LOXL2	0.2608633616224081
CEBPB	NR3C2	0.19334215733491256
CEBPB	EEF1B2	0.22368396070989682
CEBPB	PLAU	0.32924133529739485
CEBPB	FAM150B	0.21155783137341988
CEBPB	PTRF	0.39255643545083885
CEBPB	CAST	0.25664879439481325
CEBPB	FBXW12	0.20988454761333752
CEBPB	IL4R	0.33122961114472904
CEBPB	POU3F2	0.22288554052015197
CEBPB	SLFN12	0.2603734717340034
CEBPB	SPOCD1	0.456086448439752
CEBPB	ZNF91	0.2167477250137404
CEBPB	MAP7D2	0.21263399456128607
CEBPB	TBC1D24	0.2060224590470714
CEBPB	ODF3B	0.45814765580476813
CEBPB	PPIB	0.22413415433445305
CEBPB	RAF1	0.3439623661543525
CEBPB	COX19	0.26916725686063003
CEBPB	NNMT	0.33357548912704704
CEBPB	C8orf48	0.3103026473384256
CEBPB	LPXN	0.22436049522806822
CEBPB	C1orf61	0.21886373564423778
CEBPB	TFAP2C	0.22665848593342552
CEBPB	CAV1	0.2925612475004309
CEBPB	CRTAM	0.23671057086028302
CEBPB	HIGD2A	0.2216824061610989
CEBPB	C8orf38	0.31206807805228465
CEBPB	GNB3	0.21186527065206562
CEBPB	TCF4	0.28127739822566866
CEBPB	C21orf121	0.21139361971181359
CEBPB	FAM70B	0.23618563329592046
CEBPB	SDK2	0.21378643671180786
CEBPB	FBN1	0.21866343893466045
CEBPB	C1orf95	0.2663685450522708
CEBPB	PHTF2	0.2123381928104635
CEBPB	DYRK3	0.28476296997787465
CEBPB	HP1BP3	0.30242560584947586
CEBPB	PLEK	0.18890498608962147
CEBPB	DPY30	0.21415582492008411
CEBPB	TNFAIP3	0.38142695147064476
CEBPB	LYL1	0.20966273620004117
CEBPB	GRM5	0.23158055706301273
CEBPB	CYTIP	0.260853874089924
CEBPB	CSNK2A1P	0.19074344100954743
CEBPB	MYBL1	0.22876909996319839
CEBPB	C1orf85	0.19522185764639932
CEBPB	ELF4	0.40037144180666573
CEBPB	CAT	0.2565188962559448
CEBPB	TMEM217	0.30279042732303996
CEBPB	CHI3L2	0.30111359080558486
CEBPB	IFT46	0.19369003692623465
CEBPB	CUEDC1	0.4373556179843421
CEBPB	FBP1	0.42646902300286094
CEBPB	DNAH6	0.3225616011312953
CEBPB	C2orf7	0.1961389023875597
CEBPB	RNF6	0.1978858764929905
CEBPB	RETN	0.2893965101432867
CEBPB	PSMB10	0.21150483546630383
CEBPB	ASB16	0.20484002515402278
CEBPB	POLD4	0.2922561360291551
CEBPB	CYTH4	0.2410011958946221
CEBPB	TRA2B	0.27813753521665063
CEBPB	MAN1C1	0.3642567814491642
CEBPB	C10orf11	0.23503248042716862
CEBPB	ARFGEF2	0.22330567717679006
CEBPB	HSD3B7	0.5304840098538692
CEBPB	EYA1	0.1903427055781055
CEBPB	EYA3	0.2055810721617748
CEBPB	SDHAP2	0.20798955213780346
CEBPB	FAM155B	0.3704110675619914
CEBPB	FAM155A	0.2660535664561152
CEBPB	TNIP1	0.2486364378036514
CEBPB	PTX3	0.48698023883156694
CEBPB	GPD1L	0.42315418498987345
CEBPB	WIPF1	0.26744474937818463
CEBPB	HNRNPR	0.1980383710564766
CEBPB	SMC4	0.21152296256453607
CEBPB	MTBP	0.19761848815013572
CEBPB	AP1S3	0.2507151592193022
CEBPB	NUP214	0.2915555206092666
CEBPB	GABRG3	0.24646579602162877
CEBPB	ARMC1	0.3779417906397784
CEBPB	PRKCQ	0.19030566274541094
CEBPB	CFI	0.36724913857791197
CEBPB	PHYHIPL	0.37719491106885705
CEBPB	WDR67	0.20691748126455423
CEBPB	FAM171A2	0.23376558358962995
CEBPB	CEP72	0.2203721239898302
CEBPB	ZSCAN12	0.297677689607311
CEBPB	C10orf55	0.3061325890391293
CEBPB	CEP78	0.30258709319105215
CEBPB	NAA50	0.23287295112952933
CEBPB	PLK3	0.5582890017638036
CEBPB	PHC1	0.24647121112217008
CEBPB	KIAA1486	0.285089251344556
CEBPB	FOSL2	0.24693950851854662
CEBPB	FAM123C	0.18606253004580608
CEBPB	FAM123B	0.19093378301754882
CEBPB	SQLE	0.2581909205290618
CEBPB	MEX3A	0.21864925977945138
CEBPB	XKR4	0.20983843045862471
CEBPB	ITPA	0.2047122554316516
CEBPB	PCDHB8	0.208253467413817
CEBPB	XKR5	0.2664454228024251
CEBPB	C10orf81	0.2284323868154603
CEBPB	GABRB2	0.20322377473721787
CEBPB	PHF2	0.23017626453416007
CEBPB	ASGR1	0.1913067557004977
CEBPB	ASGR2	0.2720515118197504
CEBPB	RPSAP52	0.1906711717897691
CEBPB	TCTN2	0.27608325689574986
CEBPB	ZNF280C	0.19727785199237236
CEBPB	COL10A1	0.2116702724132251
