Regulator	Target	MI
CEBPB	SNORA40	0.21346623078429694
CEBPB	SPI1	0.2943934934453871
CEBPB	F11R	0.38504105924314125
CEBPB	LACTB	0.1975111565018164
CEBPB	ZC3H12C	0.24345204821310507
CEBPB	PPP4R1	0.39077617397130027
CEBPB	RRN3P1	0.22994935585972875
CEBPB	C14orf72	0.22948690003469352
CEBPB	FAM110B	0.21210507966827308
CEBPB	ZC3H12A	0.3155840252264621
CEBPB	ZNF285	0.20430405063670154
CEBPB	SDS	0.2005695663993352
CEBPB	CACNA2D4	0.42801058114705715
CEBPB	RNASE3	0.20390389259211705
CEBPB	PDYN	0.2953648842176859
CEBPB	ZNF14	0.21359274913260684
CEBPB	SND1	0.23458211994746136
CEBPB	CD2AP	0.22234449636414233
CEBPB	CH25H	0.333229360311452
CEBPB	MTHFD1	0.2930940256278758
CEBPB	SPINT1	0.3304036607365326
CEBPB	LOC100129387	0.20734759603521713
CEBPB	PSME3	0.24553229340745375
CEBPB	RUFY3	0.23300326467608468
CEBPB	ORAI3	0.23900616878775782
CEBPB	RUFY2	0.1941249312674289
CEBPB	JTB	0.18719999939775267
CEBPB	MYL9	0.3674728395433293
CEBPB	SKAP1	0.276251333270948
CEBPB	COL13A1	0.2828939505803696
CEBPB	FPR1	0.18891040890307753
CEBPB	CLCNKA	0.2848742809330238
CEBPB	FPR2	0.21829491507722665
CEBPB	ZNF25	0.2114809796627597
CEBPB	C2	0.41621342977859843
CEBPB	EPB41L5	0.23534125964898056
CEBPB	RNF216	0.2491069330485507
CEBPB	SCGB1D2	0.20130500372266624
CEBPB	SFN	0.20095609836522232
CEBPB	ZNF268	0.19416033249160503
CEBPB	ZNF266	0.2255527618053863
CEBPB	HLA-DRB5	0.2493194133022092
CEBPB	JUN	0.4077844016510941
CEBPB	COL24A1	0.25410519343959503
CEBPB	CADM2	0.2392092618409194
CEBPB	FUCA1	0.26289362114907533
CEBPB	APCDD1L	0.3579941230051471
CEBPB	AZU1	0.26860635141302414
CEBPB	ZNF35	0.26590605739312156
CEBPB	PBX1	0.2198459986382426
CEBPB	LOC606724	0.267087664329682
