Regulator	Target	MI
CEBPB	HCP5	0.2616102167704355
CEBPB	JRK	0.18688305969637486
CEBPB	SPI1	0.2891215864526373
CEBPB	GMFG	0.3794348352332255
CEBPB	SPINT2	0.25270179220733
CEBPB	ISM1	0.22477187241758756
CEBPB	NOC2L	0.27415240246349715
CEBPB	FAM159A	0.19484911287418782
CEBPB	LOC100133669	0.18633187364403447
CEBPB	HTR7	0.1998863945124736
CEBPB	DPYSL4	0.18641502903809304
CEBPB	SCP2	0.20796153236667436
CEBPB	AKT3	0.22178145399137783
CEBPB	ZC3H12A	0.23423211254950527
CEBPB	VSTM1	0.22358378311756333
CEBPB	GTSE1	0.2871643212350934
CEBPB	PKNOX2	0.2204218548797865
CEBPB	GSTK1	0.20901479953949842
CEBPB	TSTD1	0.19626922442441064
CEBPB	CACNA2D2	0.3895243183091006
CEBPB	ZNF10	0.1952479372825433
CEBPB	UNC5C	0.21635659550696484
CEBPB	CACNA2D4	0.3125517793585999
CEBPB	ZNF16	0.2254999498036856
CEBPB	SIGIRR	0.2454943565557821
CEBPB	CH25H	0.4378551640160131
CEBPB	SCO2	0.27043449685430154
CEBPB	RABL3	0.23622042219213313
CEBPB	SF1	0.2362006202644018
CEBPB	NLRX1	0.31687633853409647
CEBPB	SET	0.2930617172278369
CEBPB	CDCA3	0.2720223221414857
CEBPB	LOC550643	0.19148917162348145
CEBPB	CDCA5	0.2469623721055294
CEBPB	CDCA7	0.1912784673125172
CEBPB	ZNF20	0.23375932596103333
CEBPB	CDCA8	0.19689804285986057
CEBPB	PDGFA	0.22326856339833778
CEBPB	LYPD3	0.22515672887533889
CEBPB	ZNF22	0.2811963424723949
CEBPB	GATA3	0.3009293159110582
CEBPB	ZNF24	0.18895435197741328
CEBPB	RNF212	0.2011384021451299
CEBPB	EPB41L2	0.29626157928111674
CEBPB	SFN	0.35804358245061074
CEBPB	ATG7	0.28190865197988035
CEBPB	CREBBP	0.2758783764956503
CEBPB	HLA-DRB5	0.21609867340737843
CEBPB	TSLP	0.32598119869992637
CEBPB	BTBD16	0.19854474158603796
CEBPB	BTBD12	0.23132719605883523
CEBPB	FRG1B	0.2792898278985696
CEBPB	LARP6	0.22944706987462293
CEBPB	LOC606724	0.39247206312946314
CEBPB	TREML1	0.2819966684694206
CEBPB	TBL3	0.18835544930824888
CEBPB	VANGL2	0.38667028027652606
CEBPB	CILP	0.22957523748970932
CEBPB	DZIP1	0.2384865327249921
CEBPB	HLA-DRB1	0.2618646830976088
CEBPB	ARHGAP9	0.43410540642697626
CEBPB	ZNF496	0.22101299254797357
CEBPB	LIN54	0.19787966915786814
CEBPB	LOC440173	0.22749959372085993
CEBPB	SIGLEC9	0.5138274838187566
CEBPB	ZNF493	0.26931679691403954
CEBPB	ZNF491	0.24537187422136064
CEBPB	ZNF490	0.1947944973209399
CEBPB	NCAPG2	0.2627009292617357
CEBPB	LOC92973	0.21972851097485524
CEBPB	PRKAG2	0.21578666108470745
CEBPB	SNX10	0.22537711426949603
CEBPB	JRKL	0.23193017554656947
CEBPB	FAM115A	0.24899222261922738
CEBPB	SHD	0.21493094752365494
CEBPB	IL18BP	0.2535268133856894
CEBPB	OSBPL10	0.37189347195926814
CEBPB	MED11	0.1897639111849001
CEBPB	MMP25	0.22123031146402994
CEBPB	NHSL1	0.2824572637032947
CEBPB	MED10	0.260728848930988
CEBPB	TCP11L1	0.20719321389223921
CEBPB	TSPO	0.4559711556224748
CEBPB	DLGAP2	0.2430640375564188
CEBPB	JAK3	0.1928665984689566
CEBPB	ZNF486	0.39084586172599867
CEBPB	RAG1AP1	0.252766858529589
CEBPB	CHST7	0.38808965717245325
CEBPB	DUSP3	0.29900646390446095
CEBPB	GSTO1	0.24535379996669793
CEBPB	BGN	0.20597763290231264
CEBPB	FOS	0.2922644800055023
CEBPB	JOSD2	0.2326995461710606
CEBPB	DUSP9	0.3573016888675822
CEBPB	SLC39A14	0.49267337386965426
CEBPB	MMP10	0.21265486763846386
CEBPB	TOMM40L	0.32438036685198135
CEBPB	TEX19	0.2249850953346728
CEBPB	PLSCR1	0.2812848330912745
CEBPB	MED24	0.4506299839101624
CEBPB	SLC7A7	0.4274725892261957
CEBPB	CYP21A2	0.22155469467342392
CEBPB	INCENP	0.26521136908434784
CEBPB	OAF	0.40216240133273207
CEBPB	DPYD	0.3563727926168134
CEBPB	PLSCR4	0.3316848678442019
CEBPB	L2HGDH	0.2999863358985291
CEBPB	HCST	0.40694069837922164
CEBPB	ZNF473	0.41225690169255547
CEBPB	PKN3	0.2066681627085858
CEBPB	WRB	0.22478384142059227
CEBPB	ATL2	0.19898630625768554
CEBPB	ADAM22	0.26632015665363795
CEBPB	SFRS13A	0.19172775302692635
CEBPB	SNX30	0.19923360336381712
CEBPB	CENPA	0.24959195624878205
CEBPB	FAM117B	0.33500005162731217
