Regulator	Target	MI
CEBPB	MDC1	0.2092069167185011
CEBPB	SPI1	0.5147024206971489
CEBPB	GMFG	0.19838328294142205
CEBPB	ZC3H12D	0.26617632460008167
CEBPB	FAM134B	0.21523919065810038
CEBPB	LACTB	0.1882442389816541
CEBPB	RRN3P2	0.2054305426560905
CEBPB	HTR7	0.2243019675842044
CEBPB	CAPNS1	0.18849263332830457
CEBPB	TDO2	0.21675781944540695
CEBPB	C3AR1	0.2051463769080657
CEBPB	VSTM1	0.2859983145427538
CEBPB	CACNA2D4	0.44755393169955937
CEBPB	RNASE3	0.2877103775061398
CEBPB	RNASE2	0.3695735934597817
CEBPB	RNASE1	0.22108276548501848
CEBPB	EML3	0.20677838335809628
CEBPB	CH25H	0.3954636222514285
CEBPB	SPINT1	0.21831834168718522
CEBPB	ETHE1	0.2572149873051659
CEBPB	IDO1	0.23879972545945094
CEBPB	MTMR9	0.21056810362852385
CEBPB	FPR2	0.29892634717594113
CEBPB	C2	0.3840033732138961
CEBPB	EPB41L5	0.19835297391187545
CEBPB	KCNMB1	0.2462822197360195
CEBPB	SFN	0.3978101260534199
CEBPB	LOC390858	0.19561707272400142
CEBPB	PRRT3	0.2735355671024209
CEBPB	ZNF260	0.22053028857231727
CEBPB	FUCA1	0.22782260136102384
CEBPB	APCDD1L	0.2599469473477569
CEBPB	PMM2	0.21426478005427096
CEBPB	PBX1	0.20062990409762183
CEBPB	LOC606724	0.26346523975894875
CEBPB	TREML3	0.3053863521228095
CEBPB	FAT3	0.2608374599381156
CEBPB	FXYD5	0.22503199660124107
CEBPB	DZIP1	0.2295791780814307
CEBPB	HAMP	0.25338029090258285
CEBPB	ZBTB8B	0.24568570414462254
CEBPB	DZIP3	0.19870653519405845
CEBPB	SFXN5	0.2661610767998184
CEBPB	FERMT3	0.4326840889933061
CEBPB	LGMN	0.22281708683752122
CEBPB	ARHGAP9	0.19456990785462924
CEBPB	PGCP	0.22678515475612748
CEBPB	SIGLEC9	0.38457794095418407
CEBPB	ZNF493	0.2517814405532457
CEBPB	C13orf23	0.19455803011797723
CEBPB	HEXA	0.2935938494131811
CEBPB	CTCF	0.21793669217041423
CEBPB	ARHGAP4	0.2763895498981723
CEBPB	MED13	0.24021003536566443
CEBPB	TSPO	0.23431667463460926
CEBPB	SH3BGRL3	0.3466421545272258
CEBPB	JAK3	0.2514666260661711
CEBPB	ZNF486	0.30438838486593767
CEBPB	MESDC2	0.19439770425128522
CEBPB	RAG1AP1	0.3780157347857154
CEBPB	RIPK3	0.21238448543948074
CEBPB	SPHK1	0.2240989681075094
CEBPB	MAMDC2	0.18948756778833253
CEBPB	LRRC40	0.19043422436587765
CEBPB	EPS15L1	0.19617656168786368
CEBPB	SUMF1	0.21797071216510577
CEBPB	VAMP8	0.338699839602004
CEBPB	PIGB	0.25255215809665454
CEBPB	TMEM37	0.24768331977030744
CEBPB	PLSCR1	0.2109104950911016
CEBPB	MED24	0.21124180603574771
CEBPB	SLC7A7	0.29362884953028967
CEBPB	RILPL2	0.431181570574088
CEBPB	MMP15	0.1877263481637117
CEBPB	SLC29A4	0.23709887645078442
CEBPB	HCST	0.29156330518286655
CEBPB	TMEM106A	0.2598127549750968
CEBPB	ARF6	0.24287577882776024
CEBPB	CRB1	0.22540725409930484
CEBPB	FH	0.29067947232128866
CEBPB	KCNA2	0.22541171940491544
CEBPB	CLECL1	0.22939855577404256
CEBPB	SLC7A1	0.3263428112415898
CEBPB	FAM117B	0.20089415377286635
CEBPB	FSTL4	0.21652169923833497
CEBPB	NCRNA00160	0.1939543619354307
CEBPB	HLA-DMA	0.27457437878890634
CEBPB	SPP1	0.20205398408054887
CEBPB	LRRC25	0.41511436886478936
CEBPB	MBD4	0.2152958391833817
CEBPB	ATAD5	0.24887167589419956
CEBPB	AADAT	0.2333428946598639
CEBPB	PKM2	0.23322003821788062
CEBPB	SNX20	0.26803065433851714
CEBPB	TMCO7	0.2767688572787508
CEBPB	LRG1	0.23343048625488105
CEBPB	HLA-DPB1	0.1967065060879314
CEBPB	YPEL1	0.19151555462299186
CEBPB	SIGLEC7	0.3580383998340233
CEBPB	NCF1	0.36087723047301346
CEBPB	NCF2	0.23456386227652626
CEBPB	NCF4	0.37915694642954456
CEBPB	SLA	0.23027925013723305
CEBPB	CASC3	0.23003093942778996
CEBPB	SAT1	0.43589010341534973
CEBPB	LAPTM4B	0.2137201964485831
CEBPB	NUDT10	0.19442350453912205
CEBPB	EFEMP2	0.18729949024673243
CEBPB	ADORA3	0.20048665969385304
CEBPB	CEP250	0.20402152609663116
CEBPB	MAP3K8	0.3522602305327718
CEBPB	HLA-DOA	0.19807756180145386
CEBPB	ZNF445	0.25267496159239045
CEBPB	SLC16A3	0.2021437512440567
CEBPB	TICAM2	0.2758431102490082
CEBPB	FBXW8	0.19214884692207246
CEBPB	AKR1E2	0.2812545526192807
CEBPB	CNPY3	0.2422944478593987
CEBPB	TUBA4A	0.22854768085410893
CEBPB	MAPKAPK2	0.323919206581774
CEBPB	S100A6	0.20853407608335406
CEBPB	MAPKAPK5	0.2439300110231084
CEBPB	S100A4	0.30745870613021253
CEBPB	PTPRCAP	0.22315208810784615
CEBPB	S100A9	0.38204089844903244
CEBPB	SQSTM1	0.2481311572440914
CEBPB	ZNF433	0.24803065964899673
CEBPB	S100A8	0.35433876001275255
CEBPB	FTL	0.29312174492128307
CEBPB	ZNF431	0.22178416891097186
CEBPB	LRRC58	0.1903509612252412
CEBPB	LY96	0.22730625823621153
CEBPB	GPR84	0.39630621632284946
CEBPB	CORO1A	0.2958692120321782
CEBPB	CYP19A1	0.2422279071177691
CEBPB	CCDC144A	0.19061497886308487
CEBPB	CCDC144C	0.20873646550040803
CEBPB	SOCS3	0.3952871660652102
CEBPB	SNN	0.24081964676734469
CEBPB	ZNF429	0.21416059368917573
CEBPB	ZKSCAN2	0.21795020289619238
CEBPB	EIF4EBP3	0.2335409571233198
CEBPB	GRIA3	0.31248572434981803
CEBPB	B3GALT4	0.2973109894863226
CEBPB	C14orf19	0.18774040018133586
CEBPB	ARPC3	0.218045507131845
CEBPB	SP4	0.20215945390943357
CEBPB	TBXAS1	0.18753101432304664
CEBPB	ANXA2P1	0.3222585759585206
CEBPB	ANXA2P2	0.3850962455252782
CEBPB	FAM7A2	0.1893432281113201
CEBPB	NOP10	0.21709762824067358
CEBPB	KCNK6	0.18901830037051592
CEBPB	ITGAM	0.2808072139583455
CEBPB	ONECUT2	0.3040542842868774
CEBPB	ITGB4	0.21538252000550706
CEBPB	ITGB2	0.296071176445281
CEBPB	ARRB2	0.239966279195019
CEBPB	SQRDL	0.4401961608182061
CEBPB	FCGR3A	0.28461550570409955
CEBPB	KIAA1549	0.31492816619112585
CEBPB	DGCR8	0.18683529165985036
CEBPB	TNFSF12-TNFSF13	0.3075517277030704
CEBPB	UPP1	0.2231487968915351
CEBPB	NKX3-1	0.20326999284529812
CEBPB	GNRHR2	0.18683071331854428
CEBPB	RNASET2	0.2939006806029951
CEBPB	TNFRSF18	0.23716851970077713
CEBPB	SEZ6L	0.2607196640928402
CEBPB	TNFRSF1B	0.26461304845747247
CEBPB	MSL1	0.24298667727684542
CEBPB	TNFRSF1A	0.2720850550366771
CEBPB	SLC25A15	0.20767143551586464
CEBPB	NSMCE4A	0.211230743683819
CEBPB	NPC2	0.27938056251714016
CEBPB	SLC25A19	0.2656080565440275
CEBPB	LCP2	0.19456990785462924
CEBPB	LCP1	0.22116302882634553
CEBPB	ACPP	0.33242485367412833
CEBPB	C1R	0.5630613068469916
CEBPB	FURIN	0.21154020759261272
CEBPB	IL2RG	0.20791733742893914
CEBPB	CXXC4	0.2367772935125796
CEBPB	ZBTB40	0.19991043947053022
CEBPB	ZNRF2	0.20146750941044012
CEBPB	CCL8	0.4056660513831991
CEBPB	DRAM1	0.22832074667287738
CEBPB	CCL7	0.22999056436909804
CEBPB	PTPRZ1	0.18772201211211215
CEBPB	SLITRK2	0.2963538508376766
CEBPB	IGF2BP3	0.29435086451788894
CEBPB	FCGR1A	0.23604369594581076
CEBPB	RILP	0.3043883222567336
CEBPB	FCGR1C	0.27470847379720453
CEBPB	LINGO1	0.22005747550602095
CEBPB	MARCKSL1	0.21773615803880286
CEBPB	MYO10	0.1891795189682055
CEBPB	TTC39A	0.20084669247691167
CEBPB	FCGR2A	0.3957662838783671
CEBPB	SYT11	0.1894322967762525
CEBPB	IL2RA	0.19150981548119894
CEBPB	IL2RB	0.1925006151361881
CEBPB	PTPN6	0.3290615658592886
CEBPB	PTPN7	0.30721625705436484
CEBPB	FCGR2B	0.2817864999322568
CEBPB	MYO1F	0.2136014133886066
CEBPB	PTPN2	0.23120259251809916
CEBPB	MYO1G	0.3572474351764816
CEBPB	TNFRSF6B	0.22499127686801934
CEBPB	MT1M	0.18642258857301464
CEBPB	ICAM3	0.2313854549221004
CEBPB	ICAM4	0.27271106416610813
CEBPB	IFI30	0.31999247934193864
CEBPB	ICAM1	0.2602366601626134
CEBPB	LGALS3	0.21299149056115674
CEBPB	C9orf21	0.19856790527959323
CEBPB	LGALS9	0.2929799256831451
CEBPB	BSN	0.2338196115143818
CEBPB	ENTPD3	0.2238809260687642
CEBPB	MMD2	0.189937988464016
CEBPB	C5orf13	0.2308828786628947
CEBPB	FNDC4	0.2632686311278922
CEBPB	NINJ1	0.2478204335517047
CEBPB	BTK	0.21296468380648204
CEBPB	MXRA8	0.22194431299248052
CEBPB	FAM76B	0.2702771236822885
CEBPB	ZNF711	0.3098431758325484
CEBPB	KCTD15	0.2383908306411282
CEBPB	DHX9	0.20175172355550153
CEBPB	SDC2	0.20867689506125942
CEBPB	CD1D	0.24163868916457432
CEBPB	PIK3R5	0.3476380442569704
CEBPB	MBTD1	0.20963057683215514
