Regulator	Target	MI
CEBPB	SPI1	0.32097207398168504
CEBPB	POP1	0.19074879593018323
CEBPB	GMFG	0.24611923924395906
CEBPB	LOC728392	0.2294516869876242
CEBPB	ALKBH6	0.21163069670177403
CEBPB	COMTD1	0.19343798680349522
CEBPB	HTR7	0.25096207138586557
CEBPB	SCP2	0.2997383174323449
CEBPB	AKT2	0.2342248573021104
CEBPB	AKT3	0.3071397320278759
CEBPB	GPBP1	0.3530665760429299
CEBPB	C3AR1	0.4816981349709888
CEBPB	ANKFY1	0.21909462072342656
CEBPB	FOXO3B	0.2520514481405005
CEBPB	PRKACA	0.19764804665160884
CEBPB	FAM19A5	0.21224680318220823
CEBPB	GUSBL2	0.2812533138591702
CEBPB	GSTK1	0.2560195060342334
CEBPB	CACNA2D1	0.32755312701783446
CEBPB	DHDH	0.2286463864128212
CEBPB	ZNF10	0.2098068056321738
CEBPB	HDGFRP2	0.20030431876029997
CEBPB	BHLHA15	0.24592068518836552
CEBPB	CACNA2D4	0.4950487557727703
CEBPB	FRS3	0.18998217047471044
CEBPB	CH25H	0.4543641223240238
CEBPB	EWSR1	0.20082512119087692
CEBPB	ATF3	0.27022068888614115
CEBPB	CDCA2	0.22962612864363763
CEBPB	COL13A1	0.28826709861074207
CEBPB	CDCA5	0.33220177205205204
CEBPB	BAZ2B	0.21310797303201312
CEBPB	PLA2G5	0.4612824321505604
CEBPB	ZNF26	0.32724692376094655
CEBPB	LOH12CR1	0.21735187344102602
CEBPB	EPB41L5	0.2812948478873354
CEBPB	RNF214	0.24458993212113533
CEBPB	RNF215	0.20893657112924924
CEBPB	LOC146481	0.18750928006287548
CEBPB	MGC16703	0.18789056996393327
CEBPB	HLA-DRB5	0.21928408502519137
CEBPB	TSLP	0.26314441754464113
CEBPB	FUCA1	0.2601624696817053
CEBPB	LOC285456	0.293957891693851
CEBPB	PBX2	0.20822951496993003
CEBPB	L1CAM	0.19816743503817857
CEBPB	PBX1	0.3102430378823149
CEBPB	LOC606724	0.4752835595962006
CEBPB	PGA4	0.2725173030196233
CEBPB	TREML1	0.3662634920707246
CEBPB	CILP	0.23115357362406197
CEBPB	FASN	0.23416430900885654
CEBPB	FXYD2	0.3461818258316294
CEBPB	TREML2	0.2990325020084157
CEBPB	FAT3	0.32781626735166025
CEBPB	FXYD5	0.3432459948190223
CEBPB	DZIP1	0.3694660733227355
CEBPB	PKIG	0.318322294255843
CEBPB	HNRNPA1L2	0.2292508412200993
CEBPB	HLA-DRB1	0.3260231391061419
CEBPB	LGMN	0.2756441950911208
CEBPB	ZNF496	0.22111725781114355
CEBPB	SIGLEC9	0.48069488940052185
CEBPB	CATSPER2P1	0.23131139421126967
