Regulator	Target	MI
CEBPB	SPI1	0.3682026137496397
CEBPB	GMFG	0.2328268345534905
CEBPB	POP4	0.2253288735960508
CEBPB	HTR4	0.20601412189022472
CEBPB	SLA2	0.18799356825351587
CEBPB	ALKBH8	0.19192148184338187
CEBPB	LOC134466	0.24865125141030653
CEBPB	ALKBH5	0.2438847653545997
CEBPB	ISLR	0.20436206711099825
CEBPB	KIAA1109	0.19778632685450503
CEBPB	HTR7	0.2152970910297265
CEBPB	DPYSL4	0.1912337858069435
CEBPB	DPYSL5	0.1973380782045666
CEBPB	ZC3H12A	0.2816990281400633
CEBPB	GSTK1	0.18632993998888558
CEBPB	CXADR	0.20929580380795354
CEBPB	LOC613037	0.20292912743017233
CEBPB	DHDH	0.19794148403933054
CEBPB	UNC5C	0.18801262979183342
CEBPB	CACNA2D4	0.353665439173966
CEBPB	CH25H	0.29267160023645644
CEBPB	EWSR1	0.21052398628260072
CEBPB	ORAI3	0.28842664895931236
CEBPB	C14orf80	0.3147641320112049
CEBPB	CTAGE9	0.19437831210419976
CEBPB	RABL3	0.201595396276824
CEBPB	CTAGE6	0.19484782328408645
CEBPB	ATF5	0.38987014376954665
CEBPB	ATF3	0.29406295392625026
CEBPB	SKAP1	0.19081525764235163
CEBPB	CDCA5	0.20549914199083474
CEBPB	LYPD3	0.19905711900791
CEBPB	ZNF22	0.26553111835231746
CEBPB	BAZ2B	0.23169083139188817
CEBPB	EPB41L5	0.26733541615128686
CEBPB	PRPSAP2	0.2548114858528656
CEBPB	RNF217	0.26141271164685254
CEBPB	C14orf93	0.25511643875094325
CEBPB	SFN	0.2767856025854547
CEBPB	HLA-DRB5	0.1957595723779333
CEBPB	PRPF38A	0.32159637293910937
CEBPB	TSLP	0.2403164161236866
CEBPB	LARP7	0.22425709201771848
CEBPB	BTBD12	0.2969533129433959
CEBPB	LOC606724	0.20969761478452842
CEBPB	TREML1	0.2957185509116229
CEBPB	TREML3	0.4996186524212085
CEBPB	ZNF30	0.47464376515219797
CEBPB	FXYD6	0.2762943733754675
CEBPB	HYOU1	0.20932338167209874
CEBPB	FXYD5	0.20751388004002447
CEBPB	DZIP3	0.2188416285051753
CEBPB	HLA-DRB1	0.1912633747173409
CEBPB	LGMN	0.19544560644300368
CEBPB	ARHGAP9	0.4633430706851236
CEBPB	SIGLEC9	0.40252050881686685
CEBPB	SHB	0.23066372034181182
CEBPB	ARHGAP4	0.3303575859755057
CEBPB	TSPO	0.3324059957028096
CEBPB	ENOPH1	0.2023162226042432
CEBPB	SULT1C4	0.23455970211256272
CEBPB	RAG1AP1	0.24516344945649227
CEBPB	DUSP2	0.3230336280340085
CEBPB	KCND2	0.22041321826091487
CEBPB	DUSP1	0.4288652578846328
CEBPB	KCND3	0.29066655310382306
CEBPB	BGN	0.2350083188956873
CEBPB	FOS	0.294237467824904
CEBPB	JOSD2	0.24016963217500198
CEBPB	SLC39A14	0.4412754637434162
CEBPB	PGM2L1	0.26978207024422307
CEBPB	MED24	0.24990742793883491
CEBPB	SLC7A7	0.34294662800362197
CEBPB	DPYD	0.31779470369078666
CEBPB	PPARG	0.34106902988492216
CEBPB	HCST	0.34160937421858595
CEBPB	LOC220930	0.20346136064262144
CEBPB	KCNA2	0.22217173400471069
CEBPB	FRZB	0.37474807254901066
CEBPB	SPOP	0.22519091234486677
CEBPB	SPP1	0.384065382364402
CEBPB	ZNF467	0.31777491238487077
CEBPB	PKM2	0.2689971293936786
CEBPB	ATAD2	0.20769012984610047
CEBPB	SHKBP1	0.1995757545646697
CEBPB	YPEL1	0.19943650313400152
CEBPB	LGR5	0.26861194545887557
CEBPB	SIGLEC7	0.5140961622384994
CEBPB	SLA	0.23819320677167966
CEBPB	FADS2	0.20818522447605048
CEBPB	LAPTM4B	0.22629605064134672
CEBPB	EFEMP2	0.19655703485290754
CEBPB	IBSP	0.4009190493102457
CEBPB	UROD	0.19164635277857922
CEBPB	TNFRSF8	0.3754796038870136
CEBPB	MAP3K8	0.4031466648509694
CEBPB	NUDT13	0.20701029882480437
CEBPB	SYBU	0.2999862928342818
CEBPB	ZNF441	0.20463346765154888
CEBPB	FBXW5	0.30772304709161524
CEBPB	KCNH5	0.25544969143963936
CEBPB	CISH	0.33354511689485644
CEBPB	KCNH8	0.22869571457900761
CEBPB	FBXO17	0.2597332245357675
CEBPB	FBXO11	0.24641210786334433
CEBPB	SRCIN1	0.3473401842057724
CEBPB	CDC25A	0.18605853065479927
CEBPB	FAM118B	0.21552653072758599
CEBPB	SMS	0.22441865253268833
CEBPB	SLC27A6	0.21467039688888878
CEBPB	SLC27A3	0.19387485125494486
CEBPB	ZNF434	0.19724434850248063
CEBPB	ARL8A	0.24481641934285747
CEBPB	FTL	0.40229346347467754
CEBPB	SHC1	0.2451363647446536
CEBPB	CREM	0.1948123099234289
CEBPB	LY96	0.2625731691836384
CEBPB	UAP1	0.26091362404589535
CEBPB	HSP90B1	0.25961419326454305
CEBPB	MOBP	0.3564796071445775
CEBPB	CP110	0.2552026888252108
CEBPB	EIF4EBP1	0.2392196215911664
CEBPB	PGK1	0.24608566788409192
CEBPB	GRIA3	0.3350276105795622
CEBPB	NEK4	0.22624558297820663
CEBPB	RASL10A	0.22133295248174978
CEBPB	RASL10B	0.23176979890391536
CEBPB	TNFRSF9	0.20105009888351777
CEBPB	HPS3	0.3546062697159691
CEBPB	FBXO34	0.26039601633713083
CEBPB	ARPC5	0.28650832515555624
CEBPB	FBXO32	0.5257150974321956
CEBPB	LOC100128675	0.23284320122429314
CEBPB	ARPC2	0.21602300027970855
CEBPB	SP4	0.23611361125217645
CEBPB	ITGAM	0.41748623018060016
CEBPB	ONECUT2	0.21660877710626814
CEBPB	ITGB2	0.2519718356113101
CEBPB	ELFN2	0.20889328557471476
CEBPB	ITGAL	0.2931528634065588
CEBPB	KIAA1549	0.2619186125593167
CEBPB	TRIM62	0.2411276395774724
CEBPB	GRID1	0.18777014285702975
CEBPB	RNASET2	0.20425844281996053
CEBPB	MSL2	0.22565093930644053
CEBPB	HTR3A	0.23635807854883595
CEBPB	TNFRSF1B	0.3960448267823642
CEBPB	ITGAD	0.23337352193575533
CEBPB	PCCA	0.19404707234271967
CEBPB	HAND2	0.192709462155924
CEBPB	TMBIM1	0.32197481993956156
CEBPB	ETF1	0.21043088289263512
CEBPB	LCP2	0.261055113956405
CEBPB	LCP1	0.28319656174990104
CEBPB	ACPP	0.40943575517221564
CEBPB	KIAA1539	0.1859443994026968
CEBPB	C1S	0.41052533985540673
CEBPB	HM13	0.25048736063525023
CEBPB	MLLT4	0.32362638912294095
CEBPB	SRR	0.2398129194347245
CEBPB	ZNRF2	0.31819756696564827
CEBPB	KCTD21	0.18648326135988835
CEBPB	PHKG2	0.1946704126130374
CEBPB	UBQLN4	0.26736979941123806
CEBPB	EIF4B	0.20361177229516159
CEBPB	SEPT10	0.19635767398216775
CEBPB	HNRNPA3	0.22816894721122694
CEBPB	MYO10	0.37761231701654907
CEBPB	FEM1B	0.23446218731435575
CEBPB	GZMB	0.21720562526890586
CEBPB	NAGA	0.2991296369080141
CEBPB	MYO1D	0.20487409439901505
CEBPB	MYO1C	0.23565181215723108
CEBPB	OCIAD1	0.3587456938529563
CEBPB	ZNF853	0.23983842876933537
CEBPB	KCNK1	0.20868175266285593
CEBPB	PIK3AP1	0.27849862783318713
CEBPB	MYO1F	0.1862603142139223
CEBPB	MYO1G	0.28220611276423835
CEBPB	TNFRSF6B	0.24185734279296422
CEBPB	HHIP	0.29431945529141856
CEBPB	ICAM4	0.46266950010053254
CEBPB	ICAM1	0.34199669693101686
CEBPB	LGALS1	0.45965854224352665
CEBPB	CPNE2	0.4615913581914608
CEBPB	BSN	0.20087846941028786
CEBPB	LGALS7	0.2173186797128226
CEBPB	SCAPER	0.1923409938645948
CEBPB	ALG8	0.18594379856092935
CEBPB	ATP6V1G2	0.21289161730537298
CEBPB	ARL15	0.20695037101643
CEBPB	KCNK13	0.33988987073824717
CEBPB	ALG2	0.3914504712459381
CEBPB	OMG	0.2012802260684312
CEBPB	KEL	0.25900715355301784
CEBPB	KCTD14	0.24948099594992623
CEBPB	MT1H	0.2971100538596474
CEBPB	TRIM16	0.252152236198941
CEBPB	KCTD15	0.34703720297995844
CEBPB	ADCYAP1R1	0.23186473813786446
CEBPB	GGNBP2	0.20534603602685397
CEBPB	DHX9	0.34812247322370293
CEBPB	SDC2	0.31804095728974335
CEBPB	SDC3	0.23437162998520122
CEBPB	MBTD1	0.20277285354285723
CEBPB	NKAIN2	0.4234186267219835
CEBPB	NEU3	0.26344985190415215
CEBPB	NEU4	0.18633911889285937
CEBPB	SYNGR2	0.23528392005029097
CEBPB	RRAS	0.3311651947869727
CEBPB	SEC14L5	0.23666146413317346
CEBPB	APOB	0.38438258478771026
CEBPB	PCK2	0.22158621176722182
CEBPB	EGR1	0.19174877019367464
CEBPB	MSR1	0.268702369991372
CEBPB	XBP1	0.2135008915421821
CEBPB	APOBEC3G	0.2656529213778951
CEBPB	FAM78B	0.2203560856965323
CEBPB	GREB1	0.2339843087203901
CEBPB	SLC10A3	0.3461032664042296
CEBPB	TNFSF13	0.3714755817479345
CEBPB	OSGIN1	0.2762089815883799
CEBPB	SMARCA5	0.18696417176633062
CEBPB	PPBP	0.22629285083463024
CEBPB	NTAN1	0.3605077766260516
CEBPB	ECHDC2	0.21727564707845737
CEBPB	SDC1	0.42963672136592557
CEBPB	GRB2	0.19467708747389612
CEBPB	CALR	0.1959656195496562
CEBPB	OTUD7A	0.20763693173964093
CEBPB	VMO1	0.36258230162145555
CEBPB	MAP1LC3A	0.27199895087234705
CEBPB	RAC2	0.4215581660235168
CEBPB	RAC3	0.18985377696766026
CEBPB	PHGDH	0.20590751650395944
CEBPB	BBS7	0.2353547502619051
CEBPB	C6orf145	0.21370742809693066
CEBPB	FLJ36031	0.23131477286512858
CEBPB	SPTAN1	0.2362214921411887
CEBPB	CAMP	0.2024305911804971
CEBPB	HTATIP2	0.20386783340867876
CEBPB	PBRM1	0.2287109378660821
CEBPB	FCER1G	0.4206426239910792
CEBPB	IL15	0.20288986347520588
CEBPB	PABPC4	0.27967623087752
CEBPB	AGTRAP	0.2811286842176477
CEBPB	NBPF14	0.1951081793735181
CEBPB	RNF144B	0.3586930890464757
CEBPB	ARHGEF9	0.29726240524996683
CEBPB	CYTSB	0.21825655353147955
CEBPB	ZADH2	0.2171951585290257
CEBPB	IL1B	0.27028013959673736
CEBPB	TAX1BP3	0.38241811465816156
CEBPB	ARHGEF7	0.24160120968146526
CEBPB	PTMA	0.18898560493538863
CEBPB	C1orf38	0.3163902099468201
CEBPB	CAPG	0.3456604532946539
CEBPB	MRPS30	0.2403614460775465
CEBPB	SLED1	0.24104684278809607
CEBPB	RELB	0.49497291469370897
CEBPB	MGAT1	0.27093257092622824
CEBPB	RAE1	0.1934585747978792
CEBPB	CCDC109B	0.32473465740618224
CEBPB	PCDHB11	0.21728438390393645
CEBPB	NUDT8	0.24404840627407776
CEBPB	TTC3	0.20426932342180493
CEBPB	CACHD1	0.20405720457747467
CEBPB	IL18R1	0.3532128993671684
CEBPB	C1orf54	0.2109198537057244
CEBPB	UBE2Z	0.2196473678360773
CEBPB	CELSR3	0.21198694730748624
CEBPB	SNORD17	0.21004899663237975
CEBPB	PLAU	0.37254720707283084
CEBPB	ZNF84	0.2602043223173265
CEBPB	ZNF85	0.28046323011128305
CEBPB	C21orf131	0.19122519990000075
CEBPB	TEKT5	0.2038647552282269
CEBPB	SPINK1	0.24524364431812007
CEBPB	CASK	0.4787254108445227
CEBPB	UBE4A	0.1922102896863489
CEBPB	ZNF98	0.20096740660563484
CEBPB	TYROBP	0.5092662632963361
