Regulator	Target	MI
CEBPB	SPI1	0.5065097615429606
CEBPB	GMFG	0.26946621468302023
CEBPB	F11R	0.34660217362270096
CEBPB	SLA2	0.3192741357154576
CEBPB	ALKBH6	0.19507422962085208
CEBPB	PTPDC1	0.19936422289471878
CEBPB	CAPNS1	0.2246244677492122
CEBPB	KIAA1586	0.2233166617627642
CEBPB	GPBP1	0.2206331056666535
CEBPB	ZC3H12A	0.45821873462896257
CEBPB	C3AR1	0.40777330578482207
CEBPB	GUSBL2	0.21604334120652258
CEBPB	GSTK1	0.2260021289580374
CEBPB	ZNF10	0.19407669353461543
CEBPB	FRS2	0.21856854208943233
CEBPB	CACNA2D4	0.4947708377221458
CEBPB	ZNF16	0.20177998135509867
CEBPB	CH25H	0.24246579454965467
CEBPB	SPINT1	0.3844016901143368
CEBPB	ASPHD1	0.3113025059938419
CEBPB	PLBD1	0.1893373933842435
CEBPB	ATF5	0.2056415214170304
CEBPB	PLBD2	0.3809454028643602
CEBPB	CDCA3	0.2662508958800416
CEBPB	COL13A1	0.2983143437615059
CEBPB	DEDD2	0.21311913483921074
CEBPB	EPB41L5	0.25553199547755234
CEBPB	ADAMTS14	0.2536111010483939
CEBPB	RNF214	0.30482664339533816
CEBPB	RNF215	0.1920587591139471
CEBPB	EPB41L3	0.21759671505044764
CEBPB	MOV10L1	0.21784752286337383
CEBPB	SFN	0.29962630078839325
CEBPB	ATRIP	0.3328453920916328
CEBPB	BTBD19	0.19592854929063552
CEBPB	PRPF38A	0.22561139359490845
CEBPB	FUCA1	0.23906384767318922
CEBPB	FN1	0.2075456932531008
CEBPB	PBX1	0.39925571656391856
CEBPB	LOC606724	0.3129309523467194
CEBPB	TREML1	0.24360559797419512
CEBPB	VANGL2	0.2030984880260176
CEBPB	LOC653501	0.1960418776831201
CEBPB	FXYD1	0.2088780312700349
CEBPB	TREML2	0.29002946912362226
CEBPB	FXYD5	0.371872148447034
CEBPB	HLA-DRB1	0.2428335036346363
CEBPB	SFXN5	0.4078461686834638
CEBPB	LGMN	0.19532342160843807
CEBPB	ARHGAP9	0.40290023886910653
CEBPB	LIN54	0.2154385305909443
CEBPB	PGCP	0.1860192937223335
CEBPB	SIGLEC9	0.48789924156955067
CEBPB	ZNF493	0.18945894380745543
CEBPB	LRRC10B	0.18719927251762325
CEBPB	MTMR11	0.26579359549282433
CEBPB	ZNF490	0.1953814609191502
CEBPB	NCAPG2	0.39185216960042357
CEBPB	BHLHE41	0.20620500885293414
CEBPB	ZNF43	0.2154463906901105
CEBPB	ZNF48	0.22635169552875034
CEBPB	ARHGAP4	0.4878544866610115
CEBPB	IL18BP	0.2119375062428004
CEBPB	PCMTD2	0.2826147659608669
CEBPB	SHF	0.235398231093205
CEBPB	ZNF41	0.18721522186628103
CEBPB	TSPO	0.4620516648576709
CEBPB	JAK3	0.34989393892573073
CEBPB	DLGAP5	0.31004699787082224
CEBPB	ZNF486	0.1947560233853025
CEBPB	RAG1AP1	0.290443044827871
CEBPB	CHST6	0.21379156070170247
CEBPB	MYBPC2	0.31039752868692094
CEBPB	DUSP1	0.3823022798758622
CEBPB	GSTO1	0.24520720900244086
CEBPB	SLC39A11	0.19169457093184405
CEBPB	RAB3IL1	0.22031899212866968
CEBPB	FOS	0.2484185897819451
CEBPB	JOSD2	0.23705869893938214
CEBPB	SLC39A14	0.4192303837582534
CEBPB	MMP10	0.33098296992753884
CEBPB	TOMM40L	0.23017098366545685
CEBPB	FAM113B	0.3382321572823743
CEBPB	MED24	0.2054123295949628
CEBPB	SLC7A7	0.4911950051876559
CEBPB	SLC7A8	0.23295869714315298
CEBPB	OAF	0.441430610672894
CEBPB	DPYD	0.4438320150007762
CEBPB	MED20	0.21846603917377383
CEBPB	PPARG	0.2715064912715208
CEBPB	CRYAA	0.21327793937272954
CEBPB	HCST	0.4675314618331283
CEBPB	RAPGEF4	0.21410094726309925
CEBPB	CRB1	0.2845693398999307
CEBPB	ZNF473	0.24761072708932286
CEBPB	ATL2	0.28330801954507034
CEBPB	KCNA2	0.26022457836371515
CEBPB	ODC1	0.224665967214162
CEBPB	CENPA	0.31238091431750714
CEBPB	ADAM28	0.2537853689560654
CEBPB	WRN	0.20559759793779175
CEBPB	SPP1	0.20298989055836003
CEBPB	SAMD1	0.19069322674089229
CEBPB	JAM3	0.2014284920975289
CEBPB	C4orf3	0.3498966279118738
