Regulator	Target	MI
CEBPB	SPI1	0.37343019425388313
CEBPB	LOC344967	0.21773090916483717
CEBPB	LIPA	0.2122050153051589
CEBPB	SUV420H1	0.2510962279092128
CEBPB	TMEM93	0.2104509989260519
CEBPB	SCAMP5	0.2073501773186397
CEBPB	IL4I1	0.18684264095013337
CEBPB	LACTB	0.38791924201829797
CEBPB	SYNGAP1	0.1918045479440762
CEBPB	DPYSL5	0.18830092945317212
CEBPB	ZC3H12A	0.308394307454833
CEBPB	C3AR1	0.22440717606558547
CEBPB	TMEM8A	0.23479226149823518
CEBPB	GBP5	0.2713056488687773
CEBPB	STARD5	0.2540516364439993
CEBPB	ZNF283	0.2586751250681525
CEBPB	RNASE4	0.25372385552203713
CEBPB	CACNA2D4	0.36098131681597767
CEBPB	RNASE2	0.470098659559004
CEBPB	EML2	0.22395120896284038
CEBPB	LRRC37B	0.24026491542009776
CEBPB	CH25H	0.28021266257741395
CEBPB	MYL5	0.21278734813547384
CEBPB	SPINT1	0.26866415938032695
CEBPB	ASPHD1	0.21763335928276017
CEBPB	LOC100129387	0.21382333141078114
CEBPB	RUFY4	0.20903884852579235
CEBPB	RUFY3	0.20964295325115412
CEBPB	CRAMP1L	0.2162092792157697
CEBPB	RBP1	0.22757366330899842
CEBPB	PLBD1	0.20779231702466205
CEBPB	MTMR3	0.30386542645752534
CEBPB	FPR1	0.3015519110384526
CEBPB	MTMR9	0.2817215297241855
CEBPB	FPR3	0.24089765427446252
CEBPB	FPR2	0.29658653828649406
CEBPB	NCAPH	0.19171379795667676
CEBPB	C2	0.21484656861487306
CEBPB	C3	0.364472347409345
CEBPB	LOH12CR1	0.18731386364121594
CEBPB	EPB41L5	0.240415068512549
CEBPB	HMGXB4	0.20073068859746002
CEBPB	KCNMB1	0.28534938392744014
CEBPB	MOV10L1	0.23471386879089096
CEBPB	ATG7	0.21004034353427858
CEBPB	RHBDL2	0.23209458230392066
CEBPB	ZNF266	0.2239581683690215
CEBPB	LYN	0.26100741855993714
CEBPB	CREBBP	0.22502028096665327
CEBPB	HLA-DRB5	0.2794302378485831
CEBPB	PRPF38A	0.19449970772967173
CEBPB	TSLP	0.20167457110842157
CEBPB	ZNF34	0.31482754139241553
CEBPB	PBX1	0.274245919699208
CEBPB	LOC606724	0.30295903387249457
CEBPB	CS	0.2031596996748286
CEBPB	PKIA	0.19143136017988382
CEBPB	TREML3	0.19161486501567282
CEBPB	TREML2	0.2346067307859494
CEBPB	FXYD5	0.3645428072746011
CEBPB	DZIP1	0.30143729279406095
CEBPB	HAMP	0.20829599674278843
CEBPB	HNRNPA1L2	0.24831123765485597
CEBPB	EFCAB4A	0.21432384263416715
CEBPB	FERMT3	0.4196919478286931
CEBPB	ARHGAP9	0.3053867003308639
CEBPB	ZNF253	0.245462388283463
CEBPB	SIGLEC9	0.38479722857118936
CEBPB	CATSPER2P1	0.20730820292300223
CEBPB	HEXB	0.192447040796913
CEBPB	RPLP1	0.22781838890721318
CEBPB	LOC388588	0.28947038872678466
CEBPB	MRPL39	0.24058785022489104
CEBPB	ZNF43	0.25109331026920056
CEBPB	EFCAB5	0.256988618121035
CEBPB	ODF3L1	0.2965568672361938
CEBPB	SNX10	0.2231838309118448
CEBPB	HOXC13	0.1928510078227994
CEBPB	RCSD1	0.24873718942329415
CEBPB	ARHGAP4	0.24598031114817953
CEBPB	PIGX	0.23615628012417744
CEBPB	NHSL1	0.18637880341732682
CEBPB	HEY1	0.22358701488709265
CEBPB	ZNF41	0.2525423280763688
CEBPB	TSPO	0.23264929808597934
CEBPB	SH3BGRL3	0.37421372459276014
CEBPB	IKBKE	0.28423411560932355
CEBPB	RAG1AP1	0.2013307218117122
CEBPB	DFFB	0.21185819058508493
CEBPB	RIPK3	0.22248352094114043
