Regulator	Target	MI
CEBPB	SUV420H2	0.2523597247886684
CEBPB	HCP5	0.26496176798470916
CEBPB	SPI1	0.4879160211180915
CEBPB	GMFG	0.303553058496564
CEBPB	KIAA0020	0.18844834045397718
CEBPB	C22orf25	0.21465934587639435
CEBPB	C4BPB	0.26892295718209525
CEBPB	TMEM97	0.28420291650448526
CEBPB	LOC642846	0.23633705708475183
CEBPB	ZC3H12D	0.2743495943518264
CEBPB	ZFYVE28	0.2439242949986884
CEBPB	IL4I1	0.2208346038914879
CEBPB	LACTB	0.26743202444848624
CEBPB	LOC134466	0.2796354037722555
CEBPB	RRN3P1	0.1961392474421526
CEBPB	C14orf72	0.22306778680730943
CEBPB	GPBP1	0.19263815468230305
CEBPB	C3AR1	0.3289455770691543
CEBPB	FAM19A1	0.24670670090998836
CEBPB	VSTM1	0.4907481909655518
CEBPB	FOXO3B	0.24738509833706868
CEBPB	ATG3	0.25016304434678904
CEBPB	RFX2	0.24969779170457773
CEBPB	RFX3	0.22480856066117827
CEBPB	FRS2	0.20710723188276425
CEBPB	CACNA2D4	0.19940423019205422
CEBPB	RNASE3	0.18645815573867797
CEBPB	PDYN	0.18711285297156
CEBPB	RNASE2	0.3554537753659561
CEBPB	HDHD3	0.20925940211419558
CEBPB	SCAMP2	0.28809985759412715
CEBPB	CH25H	0.29750910731171043
CEBPB	SPINT1	0.3887879819902471
CEBPB	ORAI3	0.2161843602710416
CEBPB	PLBD2	0.23013964100931084
CEBPB	SKAP1	0.21854092940121106
CEBPB	LOC550643	0.23494238119893218
CEBPB	FPR1	0.39006213318466987
CEBPB	MTMR9	0.21894800389187097
CEBPB	FPR2	0.30934679459795866
CEBPB	KIAA0040	0.18763642950489512
CEBPB	NCAPH	0.1935069758172041
CEBPB	C2	0.29010362336512063
CEBPB	C3	0.2725258645438302
CEBPB	RHOT2	0.2712119052334687
CEBPB	SFN	0.2558173269204831
CEBPB	ZBTB7B	0.22225294340172663
CEBPB	ATG7	0.20887768354105063
CEBPB	LYN	0.23299200102638107
CEBPB	PRPF38A	0.271509819723069
CEBPB	GPR12	0.32002618456207976
CEBPB	TSLP	0.21784159464987862
CEBPB	FUCA1	0.20574694736512988
CEBPB	EDEM2	0.21497529927121484
CEBPB	CP	0.4827695193123889
CEBPB	LOC606724	0.3236404384986207
CEBPB	TREML1	0.257290040413765
CEBPB	TMEM98	0.22123080256098238
CEBPB	TREML3	0.29883791682068583
CEBPB	FXYD5	0.18680133712263114
CEBPB	HAMP	0.5391737104735936
CEBPB	HNRNPA1L2	0.20750036632284186
CEBPB	DZIP3	0.2305578387795144
CEBPB	FERMT2	0.2693955854804102
CEBPB	SFXN5	0.2023003592828827
CEBPB	FERMT3	0.36813496372744847
CEBPB	GPR19	0.19285454519603995
CEBPB	LGMN	0.1962006997872674
CEBPB	ARHGAP9	0.2203648082457299
CEBPB	LIN54	0.23531218846587176
CEBPB	ZNF253	0.22856215072984298
CEBPB	SIGLEC9	0.3979323137639854
CEBPB	HEXB	0.2954185829464526
CEBPB	HEXA	0.3805880067503038
CEBPB	ARHGAP1	0.19106561731638738
CEBPB	BHLHE41	0.2533250241938516
CEBPB	RCSD1	0.23292603527839884
CEBPB	ARHGAP4	0.4381051478699973
CEBPB	IL18BP	0.2440241343319256
CEBPB	SMPD3	0.22216876025568943
CEBPB	TMEM49	0.1968757551770004
CEBPB	FLVCR1	0.2636230420880956
CEBPB	TSPO	0.22074731579831663
CEBPB	SH3BGRL3	0.3777134509971969
CEBPB	ZNF248	0.2324211206678397
CEBPB	JAK3	0.40893962650601523
CEBPB	RAG1AP1	0.21986974139380067
CEBPB	C20orf197	0.22511623408821002
CEBPB	ACTL6B	0.19813657781001304
CEBPB	GPR34	0.2114043427974721
CEBPB	RIPK3	0.2861749299076308
CEBPB	DUSP1	0.40434148448134355
CEBPB	C13orf33	0.18940974217715745
CEBPB	SPHK1	0.19056315218272601
CEBPB	NSUN6	0.2707001561183109
CEBPB	EMP3	0.22703511122002862
CEBPB	FOS	0.2163656529881628
CEBPB	VAMP8	0.2230455660918409
CEBPB	FAM113B	0.25665283721379417
CEBPB	PLSCR1	0.28972886746697846
CEBPB	MBLAC2	0.24640552285710982
CEBPB	SLC7A7	0.2150689133731145
CEBPB	RILPL2	0.31723512777142204
CEBPB	CYP21A2	0.20567973331593414
CEBPB	OAF	0.2099086893328712
CEBPB	MMP19	0.26619888942047254
CEBPB	PTRH1	0.3253429267971928
CEBPB	ZNF239	0.25478789580042704
CEBPB	HCST	0.2804382618828516
CEBPB	VAMP5	0.2887812167322945
CEBPB	TMEM106A	0.31228628195696206
CEBPB	SMTNL1	0.24129923106748308
CEBPB	ZSWIM1	0.2103601378110591
CEBPB	SYNPO2	0.2623317393855107
CEBPB	PTAFR	0.24311715136103995
CEBPB	CLECL1	0.1924932709156595
CEBPB	PTGS2	0.30915084132407156
CEBPB	PRAM1	0.3415866145216091
CEBPB	PTGS1	0.30165613081505693
