Regulator	Target	MI
CEBPB	SPI1	0.27763320603805397
CEBPB	GMFG	0.39094810906494093
CEBPB	SPINT2	0.24127438690783976
CEBPB	ALKBH7	0.31353217751703966
CEBPB	F11R	0.20823411550759285
CEBPB	ZC3H12D	0.19193510314975892
CEBPB	ZFYVE28	0.2371494326041601
CEBPB	IL4I1	0.25100519033167945
CEBPB	LACTB	0.290617776240488
CEBPB	AS3MT	0.2217795337497961
CEBPB	KRTCAP2	0.20369702168353143
CEBPB	CAPNS1	0.1998733023063224
CEBPB	DPYSL5	0.2013590273208985
CEBPB	ZC3H12A	0.5242094966143149
CEBPB	C3AR1	0.4133205241167426
CEBPB	VSTM1	0.1860609165062872
CEBPB	PRKACA	0.2773596464015311
CEBPB	PKNOX2	0.19503814377404982
CEBPB	TMEM8B	0.19726324869812295
CEBPB	GBP5	0.28308480693199733
CEBPB	GSTK1	0.20652438942219575
CEBPB	STARD5	0.289334952894154
CEBPB	CSNK2A1	0.22240912386649025
CEBPB	RNASE6	0.36510452707506147
CEBPB	CACNA2D4	0.284385374149565
CEBPB	RNASE3	0.30595445491233786
CEBPB	RNASE2	0.44384045777883063
CEBPB	SIGIRR	0.3152293212753454
CEBPB	CH25H	0.2869511902337303
CEBPB	RFX8	0.22816210167914264
CEBPB	SPINT1	0.23455611177280122
CEBPB	CLDN7	0.2481820849856442
CEBPB	KIAA0247	0.21402662485922974
CEBPB	ORAI3	0.20366864508792837
CEBPB	PSME1	0.22513073339044976
CEBPB	FAR2	0.22351928389846165
CEBPB	HHLA2	0.18645082982619599
CEBPB	MTMR9	0.21750462529509118
CEBPB	FPR3	0.32188512974680705
CEBPB	FPR2	0.268258314376137
CEBPB	C3	0.27722556753392613
CEBPB	EPB41L5	0.32565619571064364
CEBPB	RNF215	0.2772047757748517
CEBPB	RHBDL3	0.24104593442071742
CEBPB	LYN	0.2001263307563761
CEBPB	PRPF38A	0.19673628586494374
CEBPB	CADM2	0.34898984235401276
CEBPB	ZNF260	0.21632925153350602
CEBPB	FUCA1	0.19071297599227233
CEBPB	CP	0.18975045730543272
CEBPB	PBX1	0.23402644632281344
CEBPB	LOC606724	0.3472675982741933
CEBPB	NR2F6	0.19310736057889422
CEBPB	TREML1	0.20649050795559187
CEBPB	ZNF30	0.19268962443530047
CEBPB	FXYD5	0.22719376094174581
CEBPB	HAMP	0.4934470365094761
CEBPB	ZBTB8B	0.2171445062353934
CEBPB	FERMT3	0.3941466149687871
CEBPB	ARHGAP9	0.3335329299852985
CEBPB	PGCP	0.25786327377798557
CEBPB	ZNF253	0.2121893221910165
CEBPB	C7orf54	0.20106514085014382
CEBPB	PIGT	0.22428939332165676
CEBPB	SIGLEC9	0.37513461523394653
CEBPB	HEXB	0.32290301297884927
CEBPB	LOC388588	0.2352846385275038
CEBPB	LRRC4	0.19137597522558014
CEBPB	CTCF	0.1914738232982307
CEBPB	PIGW	0.20449999463949098
CEBPB	RCSD1	0.22075958482754476
CEBPB	FAM115A	0.29123084758559514
CEBPB	ZNF48	0.3234545336360908
CEBPB	ARHGAP4	0.32041197330164106
CEBPB	SHF	0.20056670034760238
CEBPB	TMEM48	0.19670794722251905
CEBPB	TMEM49	0.2084509814163047
CEBPB	CASP10	0.18626203026051336
CEBPB	TSPO	0.35582363959777563
CEBPB	SH3BGRL3	0.32535967423675416
CEBPB	JAK3	0.2882611847549237
CEBPB	C7orf58	0.23620176745255783
CEBPB	ZNF486	0.3122565458560125
CEBPB	OFD1	0.1935541730039292
CEBPB	RAG1AP1	0.30273780717105936
CEBPB	ZNF485	0.19791827169182685
CEBPB	C7orf44	0.20900806672036953
CEBPB	CHST6	0.2202682174199042
CEBPB	GPR34	0.23843419524366283
CEBPB	RIPK3	0.3485445890222989
CEBPB	DUSP1	0.2559975452723462
CEBPB	KCND3	0.2872414332080009
CEBPB	TEX10	0.21118216390956857
CEBPB	LRRC40	0.21018252961643746
CEBPB	SLC39A13	0.21015846736332122
CEBPB	EMP3	0.2560120985427474
CEBPB	JOSD2	0.2654222480478765
CEBPB	MRPL45	0.18990091692725386
CEBPB	DYNLL2	0.23532410150860628
CEBPB	VAMP8	0.3123869799694381
CEBPB	PIGB	0.23596184831981404
CEBPB	TMEFF1	0.23417240420904495
CEBPB	TMEM37	0.1881769331583767
CEBPB	SLC7A7	0.23037553852999348
CEBPB	RILPL2	0.4632091563238827
CEBPB	OAF	0.19238487287500572
CEBPB	DPYD	0.28622989911980046
CEBPB	TMEM35	0.19644996396429182
CEBPB	HCST	0.3536018058053463
CEBPB	VAMP5	0.27381439609941793
CEBPB	PAFAH1B2	0.20654779898041475
CEBPB	TMEM106A	0.2263343486273115
CEBPB	ZNF233	0.1989332335141114
CEBPB	CRB1	0.206393508822714
CEBPB	ZNF473	0.2805262736621419
CEBPB	KCNA2	0.1861803942467981
CEBPB	ODC1	0.2276077064877171
CEBPB	TMEM74	0.1995709471176781
CEBPB	TMEM70	0.1922227429850043
CEBPB	PTGS1	0.3386659165835555
CEBPB	NCRNA00158	0.23481697956658643
CEBPB	HLA-DMA	0.4016645039021389
CEBPB	HAS1	0.23089699960342536
CEBPB	MICALL2	0.2547895860598901
CEBPB	SPP1	0.22345612788799585
CEBPB	STAT4	0.23184680845075345
CEBPB	STAT6	0.19530694027510798
CEBPB	IL12RB1	0.19837805300024058
CEBPB	CSMD1	0.21492134337463753
CEBPB	MEF2D	0.19806539693011693
CEBPB	LRRC25	0.22012237682289548
CEBPB	C20orf177	0.19282122529040624
CEBPB	GSX1	0.25318529300075987
CEBPB	FAM13AOS	0.2327308780164703
CEBPB	EMR1	0.2555701909956687
CEBPB	MBD2	0.24818189828445636
CEBPB	PLXDC2	0.2675929679336102
CEBPB	SNX20	0.28155973385501376
CEBPB	TARBP2	0.1944380181138925
CEBPB	NUDT22	0.1862698092658901
CEBPB	CENPJ	0.22364489147211675
CEBPB	HLA-DPB1	0.28783054960308974
CEBPB	CENPO	0.21165647471686633
CEBPB	SIGLEC7	0.3413778299007948
CEBPB	NCF1	0.2637697209259846
CEBPB	NCF2	0.26525391897649
CEBPB	NCF4	0.2574020531204839
CEBPB	ZBTB26	0.21229278743596502
CEBPB	NCRNA00183	0.24413835746178414
CEBPB	SLA	0.3635734434277529
CEBPB	GPR61	0.22084227801845202
CEBPB	SAT1	0.2928532090004161
CEBPB	NUDT10	0.22877106948205217
CEBPB	EFEMP2	0.2572582571819506
CEBPB	ADORA3	0.22381817978730645
CEBPB	MAP3K8	0.318241856723084
CEBPB	ZNF689	0.29871136300885226
CEBPB	ZNF200	0.20535890895300746
CEBPB	ZNF683	0.25674731183366006
CEBPB	ZNF682	0.2305964746241731
CEBPB	LAG3	0.1858316778099809
CEBPB	CISH	0.27840912588039846
CEBPB	KCNH7	0.1926663139822118
CEBPB	ZBTB33	0.1863943455070185
CEBPB	TUBA4A	0.2592273279912911
CEBPB	ACAP1	0.268100258196176
CEBPB	FRMD6	0.2623495638542632
CEBPB	MAPKAPK2	0.325297646537253
CEBPB	ZNF434	0.2723834225542783
CEBPB	SQSTM1	0.3094897209227492
CEBPB	ZNF675	0.27328744712087083
CEBPB	S100A8	0.2561207989444725
CEBPB	FTL	0.23829839539800535
CEBPB	ZNF431	0.39942659610008224
CEBPB	LOC100233209	0.33190333771645353
CEBPB	CREM	0.26061385018413663
CEBPB	GMPR	0.18630104751452325
CEBPB	LY96	0.25142272289932066
CEBPB	GPR84	0.29576582449394184
CEBPB	LOC147727	0.2248728604640471
CEBPB	CORO1A	0.3301266111342205
CEBPB	CCDC144A	0.21798286287472113
CEBPB	CORO1B	0.2028648493520695
CEBPB	SOCS1	0.38377794154333067
CEBPB	DSEL	0.20302631049257602
CEBPB	ZNF429	0.3062521034846437
CEBPB	EIF4EBP3	0.18785301366817375
CEBPB	ZKSCAN1	0.22481360679740003
CEBPB	ZNF420	0.21962772124264607
CEBPB	ZNF660	0.21472696719581297
CEBPB	GFPT2	0.2535050370371552
CEBPB	B3GALT4	0.2991726676152968
CEBPB	LRRC61	0.19407768445565043
CEBPB	LY86	0.2754775298260137
CEBPB	FBXO32	0.25609962031092337
CEBPB	QKI	0.1875660918192681
CEBPB	LRCH2	0.20249448688739147
CEBPB	SP4	0.28906305807621724
CEBPB	SP3	0.20482322934832808
CEBPB	TBXAS1	0.3038689414920128
CEBPB	HLA-DRA	0.21779687814475146
CEBPB	OGT	0.2508652743280786
CEBPB	TRIM71	0.20739572671278683
CEBPB	CIITA	0.21195169374202738
CEBPB	ITGAM	0.37412199144569325
CEBPB	ITGB2	0.27024451902383806
CEBPB	MCM10	0.1944275561969926
CEBPB	ARRB2	0.27193047978003904
CEBPB	SQRDL	0.3695782201754527
CEBPB	ITGAL	0.31553870560382347
CEBPB	FCGR3A	0.4846177236931686
CEBPB	KIAA1549	0.23639964793792423
CEBPB	MB	0.2044345336538358
CEBPB	C9orf66	0.2557547055084122
CEBPB	TNFSF12-TNFSF13	0.5012406837324885
CEBPB	ACTR2	0.2042673193973732
CEBPB	TRIM62	0.1914087554971351
CEBPB	RNASET2	0.42027942277203145
CEBPB	VEZF1	0.21975869393207237
CEBPB	RABGGTB	0.20405920582025505
CEBPB	SEZ6L	0.19107812183698503
CEBPB	TNFRSF1B	0.2764082663542542
CEBPB	PARD3B	0.19107368449225426
CEBPB	SYNPO2L	0.21007451280060252
CEBPB	NPC2	0.2765925577440935
CEBPB	ZNF639	0.2396133789659638
CEBPB	IL1RAPL1	0.21124014126954105
CEBPB	TMBIM1	0.2683524699724149
CEBPB	RPL21P44	0.19809344883678026
CEBPB	LCOR	0.3834643601811205
CEBPB	SMCR5	0.18977269602262314
CEBPB	LCP2	0.2187658026375381
CEBPB	LCP1	0.3320814900143123
CEBPB	ACPP	0.29514861876587517
CEBPB	TRIM55	0.19578007173972534
CEBPB	PRPS1	0.19936931963187643
CEBPB	C1S	0.47980514276503605
CEBPB	PPM1M	0.2308428689711377
CEBPB	NTN4	0.23405498563108207
CEBPB	CXXC4	0.3413960019137203
CEBPB	ZNRF2	0.2928218914885905
CEBPB	CNNM1	0.19448632081117
CEBPB	DRAM1	0.34187223306418524
CEBPB	SH3BP1	0.23184698929716063
CEBPB	SLITRK2	0.18700590665394579
CEBPB	ZNF629	0.22370948001148072
CEBPB	CCL5	0.27959187320122325
CEBPB	ZNF627	0.2716407102433642
CEBPB	TIFA	0.2629100346617186
CEBPB	ZNF625	0.26370055808051607
CEBPB	CCL2	0.3143588432958824
CEBPB	BEND7	0.18791048837372415
CEBPB	E2F5	0.30055631864553245
CEBPB	FCGR1A	0.3286421478769599
CEBPB	SLC25A23	0.2021902116942682
CEBPB	RILP	0.2794178577940212
CEBPB	SH2B3	0.22035326351997053
CEBPB	FCGR1C	0.263790743501815
CEBPB	MARCKSL1	0.2101892731516104
CEBPB	PRRX1	0.32185324394893655
CEBPB	GZMA	0.19354206516721284
CEBPB	GZMB	0.4356922556184877
CEBPB	SPDYE5	0.25226969751173556
CEBPB	TM6SF1	0.2274780085287018
CEBPB	SORL1	0.22395789453140758
CEBPB	TPD52L2	0.19708184384619454
CEBPB	SNRK	0.3231322520041857
CEBPB	FCGR2A	0.2713351927918852
CEBPB	IL2RB	0.26734068945275347
CEBPB	CCM2	0.22966181210738768
CEBPB	PTPN6	0.40833512658574467
CEBPB	P4HB	0.21010219902599037
CEBPB	PTPN7	0.2810501923560471
CEBPB	TRIM38	0.20911798106264712
CEBPB	MDGA2	0.2029903467017018
CEBPB	PIK3AP1	0.25834164160936535
CEBPB	CD244	0.21325803935941767
CEBPB	TRIM33	0.23085464298980796
CEBPB	MYO1G	0.2176538068875482
CEBPB	TNFRSF6B	0.2021432558088998
CEBPB	ICAM3	0.287087514176287
CEBPB	ICAM4	0.3046191432763399
CEBPB	LDLRAD3	0.33536529832045936
CEBPB	IFI30	0.41223894835879893
CEBPB	ACTB	0.2509001948845704
CEBPB	RCBTB1	0.21543337739714463
CEBPB	ICAM1	0.30972473983830984
CEBPB	LGALS3	0.23823090831175708
CEBPB	MT2A	0.2136014133886066
CEBPB	LGALS1	0.3371221835568141
CEBPB	ANPEP	0.34544973661600764
CEBPB	CCDC96	0.21849353692401063
CEBPB	EPC1	0.209750666031999
CEBPB	EPC2	0.27147470667284246
CEBPB	LGALS9	0.19361165028716698
CEBPB	EPHB3	0.240244011129513
CEBPB	ARL10	0.24568585389486497
CEBPB	ARSA	0.21208211592685444
CEBPB	ZFP1	0.33937712335734194
CEBPB	MYO7B	0.22591914203432228
CEBPB	OMG	0.27301529463643703
CEBPB	EREG	0.18593016805617513
CEBPB	KCTD10	0.2771763580420332
CEBPB	THAP9	0.2328551971749313
CEBPB	ZNF714	0.21758193538130133
CEBPB	BTK	0.19916551402436422
CEBPB	ZNF713	0.30873933807375575
CEBPB	MT1G	0.20855869543572503
CEBPB	C6orf114	0.24821718040786145
CEBPB	FAM76B	0.23978676535957621
CEBPB	RIN3	0.2835234914453624
CEBPB	ZNF711	0.20317972346670565
CEBPB	LAP3	0.39188510243642316
CEBPB	ALPK1	0.34855837598550643
CEBPB	CTXN2	0.20486871220725345
CEBPB	EPHA1	0.2681237875599418
CEBPB	CCDC84	0.20026551222436595
CEBPB	DHX9	0.24826792576847723
CEBPB	EPB41	0.20346834297079397
CEBPB	ATP5I	0.1969444311187898
CEBPB	CD1D	0.4843636101650457
CEBPB	ZBTB5	0.21641361392377512
CEBPB	PIK3R5	0.18989081632402183
CEBPB	C2orf44	0.18907062037598177
CEBPB	ZNF709	0.23161183799866603
CEBPB	RAB11FIP1	0.2474213051610059
CEBPB	SYNGR2	0.3660084778465045
CEBPB	RRAS	0.38488387052294915
CEBPB	PPCS	0.2163475696127577
CEBPB	ZNF704	0.34149618205971954
CEBPB	TSPAN4	0.22567646892393523
CEBPB	ARSF	0.21761341932777434
CEBPB	FAM192A	0.24402753979093728
CEBPB	CD14	0.4129434618637182
CEBPB	A2M	0.20019578525320103
CEBPB	PCK2	0.21433877430446735
CEBPB	APOBEC3C	0.20036742780840466
CEBPB	CTSA	0.21421444016428204
CEBPB	MSR1	0.23390489697760497
CEBPB	TNFSF14	0.21709115291875758
CEBPB	APOBEC3H	0.26578934366256846
CEBPB	FAM78A	0.21830865534896837
CEBPB	TNFSF12	0.29140191931090076
CEBPB	XRCC2	0.21061834525609946
CEBPB	GREB1	0.19752369267369652
CEBPB	TNFSF13	0.2591171373847958
CEBPB	RAB27A	0.2066852811795572
CEBPB	PILRA	0.24886987114788628
CEBPB	NTAN1	0.30392398018667244
CEBPB	C16orf54	0.22148369902748755
CEBPB	C5orf32	0.2302103392668382
CEBPB	WNK3	0.18640705255739842
CEBPB	LRRN1	0.22364489147211675
CEBPB	RCOR2	0.20068666113659184
CEBPB	CD22	0.2256236393042137
CEBPB	FKBP11	0.29043161086592306
CEBPB	NRP1	0.27472444685582165
CEBPB	PTPRU	0.2363979930010851
CEBPB	ECM1	0.23166826014848407
CEBPB	CTSZ	0.35175763553143113
CEBPB	MRPS12	0.20468628240457498
CEBPB	OTUD7A	0.20832745642682937
CEBPB	SECTM1	0.36098296664493557
CEBPB	GRIK2	0.1860613781341991
CEBPB	CD3E	0.20840591238168216
CEBPB	CTSS	0.2070266712177622
CEBPB	HERPUD1	0.21330588129937578
CEBPB	KIF15	0.20403137526738746
CEBPB	VMO1	0.3844157093752196
CEBPB	C8G	0.22413092814190794
CEBPB	GNGT2	0.42861536834068303
CEBPB	MAP1LC3A	0.19827775423136984
CEBPB	RSRC1	0.29112207753643027
CEBPB	RAC2	0.4160932837332769
CEBPB	REV3L	0.22053822921822253
CEBPB	CD37	0.3318429751811198
CEBPB	CTSD	0.3191572808761949
CEBPB	CCR3	0.22868426795820174
CEBPB	CTSC	0.2526219848363027
CEBPB	CCR2	0.22807781942597405
CEBPB	CTSB	0.3762309708787708
CEBPB	CD53	0.2699781910440686
CEBPB	COX8A	0.2025721204003812
CEBPB	CD52	0.2249663841093703
CEBPB	NCOA2	0.21268944930635314
CEBPB	PBRM1	0.18773185210655896
CEBPB	FCER1G	0.37181062716005453
CEBPB	TMEM150A	0.34581320827592066
CEBPB	GAA	0.2620939709198664
CEBPB	GAB1	0.2808335536629549
CEBPB	IL18	0.31879130578020387
CEBPB	AGTRAP	0.2185620379433182
CEBPB	IL16	0.2686829337906369
CEBPB	KIF27	0.21081887907225294
CEBPB	LAT2	0.22038275958041265
CEBPB	CTU2	0.24282375340377804
CEBPB	ARHGEF9	0.23707416279784876
CEBPB	KIF2A	0.23450445300968603
CEBPB	PDIK1L	0.2279465911645211
CEBPB	TAX1BP3	0.3008456149441905
