Regulator	Target	MI
CEBPB	SPI1	0.26733886568633114
CEBPB	POP1	0.19488517825111185
CEBPB	GMFG	0.18674170422667924
CEBPB	ZNF292	0.29410089608115975
CEBPB	C22orf25	0.19822589232434762
CEBPB	C4BPB	0.1957444009652196
CEBPB	RBPJ	0.19145144773525313
CEBPB	LOC134466	0.34139043914316947
CEBPB	HTR7	0.2214516411788212
CEBPB	CAPNS1	0.23759610930992014
CEBPB	AKT2	0.2047949815302248
CEBPB	AKT3	0.22069370162108282
CEBPB	ZC3H12A	0.22170741879735267
CEBPB	GBP5	0.1924374493615968
CEBPB	LOC168474	0.24298214561198073
CEBPB	TSTD2	0.25735479670872863
CEBPB	RNASE6	0.2440002159544994
CEBPB	CACNA2D4	0.2802244922449102
CEBPB	RNASE3	0.25916936729408047
CEBPB	RNASE2	0.3616173176839954
CEBPB	RUFY1	0.22144955036418867
CEBPB	CLDN5	0.19631595042749872
CEBPB	CLDN3	0.22405576065832378
CEBPB	SPINT1	0.18893413439770423
CEBPB	CLDN7	0.23672188731887456
CEBPB	PSME1	0.20010971238356756
CEBPB	FAR1	0.21052393282649184
CEBPB	TSTA3	0.19796901159118452
CEBPB	MTMR2	0.2179207542825239
CEBPB	ZBTB8A	0.201910257575455
CEBPB	SLCO5A1	0.32784891842896613
CEBPB	FPR2	0.2037169744213072
CEBPB	C2	0.2520174797011405
CEBPB	EPB41L5	0.2215182573019172
CEBPB	RNF214	0.2857931153553608
CEBPB	HMGXB4	0.1943057589936812
CEBPB	FIGNL1	0.20111025886535394
CEBPB	ZBTB7B	0.20708500371978378
CEBPB	ATG7	0.2717491113170274
CEBPB	PRPF38A	0.3038064025625955
CEBPB	CADM2	0.2393464056346648
CEBPB	PMM2	0.20079374794900318
CEBPB	ERLIN1	0.19648285078101946
CEBPB	LYZ	0.24174446407899808
CEBPB	CP	0.2420262005117575
CEBPB	LOC606724	0.28250684300592344
CEBPB	PGA4	0.19087991262428172
CEBPB	DHFR	0.2052501065400527
CEBPB	VANGL2	0.2354765647194661
CEBPB	TREML2	0.20813792235441397
CEBPB	FXYD5	0.2526416884972589
CEBPB	HAMP	0.3287695817915681
CEBPB	GPR18	0.21390688417628567
CEBPB	SFXN5	0.2064304749494541
CEBPB	FERMT3	0.35093277553930946
CEBPB	ARHGAP9	0.34042937458944067
CEBPB	PGCP	0.233774257668248
CEBPB	ZNF253	0.21298880717352908
CEBPB	SIGLEC9	0.2921905769341997
CEBPB	ZNF493	0.24925027230101282
CEBPB	TMEM51	0.30757797840399625
CEBPB	TMEM52	0.18721245418846433
CEBPB	ARHGAP4	0.20815089047626678
CEBPB	TMEM48	0.20547270749850455
CEBPB	TRMT112	0.18669129475939616
CEBPB	NIPBL	0.21478484952233057
CEBPB	TSPO	0.45448468626884075
CEBPB	SH3BGRL3	0.35693842630876205
CEBPB	FGFBP3	0.21141642266903027
CEBPB	JAK3	0.3368359544461592
CEBPB	RAG1AP1	0.3491145089636767
CEBPB	LEFTY1	0.3806996509418745
CEBPB	GSTO1	0.284343216457839
CEBPB	KCND3	0.21476641043438516
CEBPB	ELOVL2	0.27482812166377
CEBPB	LRRC40	0.22574659948782738
CEBPB	SUMF2	0.1978536089888907
CEBPB	SUMF1	0.19506022744534324
CEBPB	VAMP8	0.18757168815075786
CEBPB	SLC7A7	0.2086708481712929
CEBPB	RILPL2	0.19509580380871316
CEBPB	OAF	0.3169848546966927
CEBPB	DPYD	0.355232270886229
CEBPB	MMP19	0.2313864129682326
CEBPB	ZNF239	0.19130013156119396
CEBPB	HCST	0.2465991664549172
CEBPB	VAMP5	0.20675133537320978
CEBPB	CRB1	0.19180928634149552
CEBPB	KCNA6	0.21960947818096344
CEBPB	SLC7A1	0.20115311952377457
CEBPB	ADAM28	0.3111108825023541
CEBPB	HLA-DMA	0.2812610742120256
CEBPB	LOC643763	0.29150200288970396
CEBPB	SPP1	0.24936401495465432
CEBPB	IL12RB1	0.24937503841115127
CEBPB	IL12RB2	0.27136601906154567
CEBPB	LRRC25	0.25517231193338574
CEBPB	ZNF462	0.23698327897195526
CEBPB	MBD6	0.20486409202671751
CEBPB	ATAD5	0.22966452447473618
CEBPB	AADAT	0.2179966652115084
CEBPB	C10orf2	0.20880210551631073
CEBPB	PLXDC2	0.24292311818992296
CEBPB	GATAD2B	0.2251511051819417
CEBPB	PSMB8	0.19310589770124142
CEBPB	BYSL	0.21722095086912496
CEBPB	PSMC3	0.21601394103934357
CEBPB	SNX17	0.19328566641307887
CEBPB	HLA-DPB1	0.3254847958096816
CEBPB	TSR1	0.19212709689050822
CEBPB	RPL22L1	0.25954168879102824
CEBPB	NCAPD3	0.33253858031581096
CEBPB	C7orf23	0.23929534352058468
CEBPB	SIGLEC7	0.26847630854190285
CEBPB	HLA-DPB2	0.22658174902402184
CEBPB	ALDH1L1	0.24298603929264306
CEBPB	NCF1	0.2857116348529809
CEBPB	NCF2	0.2167597163629278
CEBPB	NCF4	0.34215528230411874
CEBPB	ZBTB26	0.22547973237233077
CEBPB	GPR61	0.19098332875650215
CEBPB	CASC3	0.19527283625604763
CEBPB	SAT1	0.33817618848507447
CEBPB	CXCL16	0.28121464500900206
CEBPB	LAPTM4B	0.2977928342314007
CEBPB	HPGDS	0.214630795230347
CEBPB	PIM1	0.22074473857456134
CEBPB	ZNF207	0.26005600221904857
CEBPB	MAP3K8	0.32232000240632797
CEBPB	ZNF445	0.2634470464451253
CEBPB	SLC16A3	0.22437536890918786
CEBPB	CDKL2	0.24703301653517062
CEBPB	FBXW5	0.203623251319331
CEBPB	TICAM2	0.21947051893115432
CEBPB	FBXW8	0.19278154203021103
CEBPB	KCNH8	0.19441661716801484
CEBPB	CDC25C	0.2162124093556308
CEBPB	PIAS2	0.22200426581640187
CEBPB	TUBA4A	0.19414594927348539
CEBPB	ACAP1	0.22177642295138522
CEBPB	CLK2P	0.19200461105488298
CEBPB	MAK	0.2199169809868815
CEBPB	MAPKAPK2	0.250169893650944
CEBPB	S100A6	0.25006926939918284
CEBPB	MAPKAPK5	0.19311062894419617
CEBPB	S100A4	0.18893413439770423
CEBPB	ZNF434	0.22287046567329405
CEBPB	S100A9	0.2666507491817143
CEBPB	ZNF675	0.28482751881873547
CEBPB	S100A8	0.22535702526134394
CEBPB	FTL	0.21629098371400168
CEBPB	FTO	0.20290397088010614
CEBPB	LRRC58	0.2809545531764588
CEBPB	ZNF670	0.19663859162781971
CEBPB	DLX5	0.25734505272748365
CEBPB	ZC4H2	0.21033703067985154
CEBPB	TACSTD2	0.20340817718787108
CEBPB	GPR84	0.19476069592307255
CEBPB	SPATA4	0.21536505892745428
CEBPB	SPATA5	0.19368451484913063
CEBPB	GPR82	0.1880171766361709
CEBPB	CCDC144C	0.22658785466958697
CEBPB	NELF	0.23115855751724457
CEBPB	PMVK	0.1876450550957074
CEBPB	ZKSCAN3	0.22179931256358643
CEBPB	C9orf89	0.20817005761341711
CEBPB	SLC38A6	0.2345583553809547
CEBPB	C7orf60	0.1915521690224864
CEBPB	FBXO32	0.21955217312358677
CEBPB	CORO2B	0.19537481615388863
CEBPB	NFKB2	0.3040368405797169
CEBPB	GGCT	0.2151783722154761
CEBPB	TFCP2	0.23355234565925453
CEBPB	ZNF418	0.22174970081046652
CEBPB	TBXAS1	0.2338229764668931
CEBPB	HLA-DRA	0.20309354143050395
CEBPB	TUBGCP4	0.19116867723336117
CEBPB	C9orf95	0.2106188720317972
CEBPB	ARHGAP11B	0.18863163819412865
CEBPB	CIITA	0.23590018750259922
CEBPB	ITGAM	0.2048538582989483
CEBPB	ITGB2	0.280831588192636
CEBPB	FHL3	0.19863762168368382
CEBPB	FHL5	0.19943398395357637
CEBPB	SQRDL	0.22995854530465998
CEBPB	WISP2	0.28073646628653304
CEBPB	ARL5B	0.3670243620185687
