Regulator	Target	MI
CEBPB	HCP5	0.20840732672693196
CEBPB	SPI1	0.32903941883587606
CEBPB	GMFG	0.21782305158377646
CEBPB	EHMT1	0.2620007603828105
CEBPB	SPINT2	0.25229626655646076
CEBPB	TMEM97	0.2819173835477855
CEBPB	C22orf27	0.21022858609301487
CEBPB	LOC100133669	0.19969040846518205
CEBPB	LACTB	0.1932642150531274
CEBPB	C14orf72	0.21031707803892807
CEBPB	C3AR1	0.20062383790994787
CEBPB	LIPN	0.23154504658859398
CEBPB	VSTM1	0.2280941984498588
CEBPB	GTSE1	0.21343691883452198
CEBPB	GBP5	0.2307513212028569
CEBPB	TSTD1	0.20766803060073968
CEBPB	RNASE4	0.2314264024454431
CEBPB	CACNA2D4	0.28162045638704747
CEBPB	RNASE3	0.2302491180466264
CEBPB	RNASE2	0.3680056316582583
CEBPB	PHKA2	0.2763708135501801
CEBPB	LRRC37B	0.1922006757163519
CEBPB	RUFY4	0.23476387992050185
CEBPB	ETHE1	0.18680887865870321
CEBPB	CLDN7	0.19866694361655668
CEBPB	ORAI3	0.19380849570870318
CEBPB	C14orf80	0.2031727612036338
CEBPB	PSME1	0.3336851410995205
CEBPB	PADI2	0.20111596781413432
CEBPB	PSME2	0.19784816689745188
CEBPB	VOPP1	0.19506505697279053
CEBPB	SKAP1	0.3988781029286308
CEBPB	IDO1	0.26233071854984313
CEBPB	MTMR2	0.19201493189931185
CEBPB	ZBTB8A	0.19437554171474503
CEBPB	CDCA5	0.32878646493750185
CEBPB	CDCA7	0.1878810211522648
CEBPB	FPR1	0.27851293103319996
CEBPB	CDCA8	0.22516388406681198
CEBPB	RNF219	0.2572722275644468
CEBPB	AGAP4	0.19015707984722496
CEBPB	DEDD2	0.24157624526502275
CEBPB	HSD11B1	0.31632377826590563
CEBPB	PRPSAP1	0.24789242645257836
CEBPB	EPB41L2	0.21193023837637792
CEBPB	KCNMB1	0.20127482280614828
CEBPB	PRKAR2A	0.1974795522060484
CEBPB	SFN	0.25007192070140594
CEBPB	ZBTB7B	0.2835088484864121
CEBPB	LYN	0.2790323205518943
CEBPB	GPR17	0.2533288937535483
CEBPB	HLA-DRB6	0.20440381972013544
