Regulator	Target	MI
CEBPB	GMFG	0.3255421504908771
CEBPB	LOC728392	0.20262504371549284
CEBPB	F11R	0.23057059400452307
CEBPB	NOC2L	0.2952905683642859
CEBPB	SLA2	0.24579071902213645
CEBPB	FAM159A	0.20215291221335274
CEBPB	ALKBH8	0.19804937304635128
CEBPB	ZC3H12D	0.21456575219371476
CEBPB	LOC134466	0.26095502720912567
CEBPB	HTR7	0.19357654751554598
CEBPB	C3AR1	0.24574151295945068
CEBPB	VSTM1	0.3715135896283295
CEBPB	LOC613037	0.20145949909867067
CEBPB	TSTD1	0.2459737354671212
CEBPB	CACNA2D2	0.4176985605636174
CEBPB	ZNF10	0.19416172951578137
CEBPB	FRS2	0.23423385507342864
CEBPB	CACNA2D4	0.35814773955272283
CEBPB	RPL13AP20	0.21739408991686648
CEBPB	SPINT1	0.25091407395855114
CEBPB	LOC441046	0.2228812675583427
CEBPB	SKAP2	0.23091641268784802
CEBPB	AASDH	0.23336949038101196
CEBPB	ZNF22	0.30063070451246876
CEBPB	PLA2G6	0.35403521884398437
CEBPB	ZNF24	0.2958562242854512
CEBPB	DEDD2	0.2095627062461478
CEBPB	EPB41L5	0.24673176096132288
CEBPB	RDH10	0.48496342803874803
CEBPB	RNF217	0.1956453086608123
CEBPB	A2BP1	0.19094823671318828
CEBPB	GTF2IRD2B	0.28139726148604627
CEBPB	FUCA1	0.1886247053449983
CEBPB	BTBD12	0.24364652200484826
CEBPB	PBX1	0.2973698466087713
CEBPB	LOC606724	0.3458280349790419
CEBPB	TREML1	0.39205171387115456
CEBPB	FASN	0.23902644904132053
CEBPB	FAT1	0.19537688995887503
CEBPB	FXYD5	0.3135923430676053
CEBPB	DZIP3	0.22135256525116187
CEBPB	HLA-DRB1	0.2636435447858094
CEBPB	GSTM5	0.24326197844627906
CEBPB	ARHGAP9	0.29276798602486753
CEBPB	PGCP	0.2443578061420313
CEBPB	ZNF493	0.3390898744207087
CEBPB	FAM115A	0.22782225203927098
CEBPB	HOXC10	0.22682923466899663
CEBPB	SHD	0.21920660260587432
CEBPB	ZNF48	0.2772102211537675
CEBPB	MED17	0.23992436471513567
CEBPB	CHAF1B	0.27959432766357395
CEBPB	MED13	0.2267070528711157
CEBPB	TSPO	0.24457751119704962
CEBPB	RAG1AP1	0.26352573422317427
CEBPB	DUSP1	0.28603728559663466
CEBPB	GSTO1	0.2152406337675492
CEBPB	KCND3	0.20558183060056745
CEBPB	SPHK1	0.19603145672907551
CEBPB	SLC39A11	0.25243638638959
CEBPB	RAB3IL1	0.23455485801570397
CEBPB	FOS	0.27091896633320633
CEBPB	JOSD2	0.1896590717449378
CEBPB	MED24	0.266734951663512
CEBPB	MMP16	0.21218509279808906
CEBPB	JMJD7-PLA2G4B	0.286351637742559
CEBPB	MMP19	0.19714592892546
CEBPB	PPARG	0.20940483816239563
CEBPB	ERGIC3	0.26052020675855747
CEBPB	HCST	0.3279345891768184
CEBPB	RAPGEF4	0.30940070685555643
CEBPB	ZNF471	0.24943550692807293
CEBPB	PKN3	0.20867431349233012
CEBPB	NIP7	0.19824958139316173
CEBPB	SLC7A1	0.24814810312728497
CEBPB	FAM117B	0.194890370888527
CEBPB	SLC7A2	0.18974592878118912
CEBPB	SPP1	0.27065896310427906
CEBPB	STX4	0.2233102400011342
CEBPB	IL12RB1	0.24438893728351996
CEBPB	ZNF462	0.226997898541617
CEBPB	ZNF461	0.20020920634307338
CEBPB	KCNB1	0.19223993617107027
CEBPB	C10orf2	0.2633191588624495
CEBPB	ZNF79	0.25404489697648724
CEBPB	SNX20	0.23185071807484725
CEBPB	CENPF	0.20070294228488628
CEBPB	SNX16	0.2011182697093945
CEBPB	TAOK1	0.23248891719260012
CEBPB	PRKRIR	0.19656143616898536
CEBPB	YPEL1	0.20877646961589313
CEBPB	CENPO	0.19356172986135878
CEBPB	NCAPD3	0.2596410237349378
CEBPB	AGRN	0.3513127046147151
CEBPB	SIGLEC7	0.3555788743443209
CEBPB	CRB3	0.3322109143143521
CEBPB	OLFML2B	0.42848039814213923
CEBPB	RIF1	0.22868874166197806
