Regulator	Target	MI
CEBPB	SPI1	0.21838542703549013
CEBPB	F11R	0.21245600745486293
CEBPB	SLA2	0.35154727884027537
CEBPB	DPYSL4	0.20158703011983814
CEBPB	C14orf72	0.23940390201402195
CEBPB	DPYSL5	0.18984904579181539
CEBPB	GPBP1	0.23199544028750818
CEBPB	ZC3H12A	0.3179497454362483
CEBPB	C3AR1	0.2779173475573753
CEBPB	CKMT1B	0.20040101234715557
CEBPB	VSTM1	0.21414305971288794
CEBPB	CACNA2D3	0.20204799873295265
CEBPB	HDGFRP3	0.23988738872624626
CEBPB	CACNA2D4	0.2512664501186892
CEBPB	CH25H	0.2574708506075698
CEBPB	SPINT1	0.27895643475287546
CEBPB	KIAA0247	0.3688628693389946
CEBPB	SKAP1	0.21302211699197127
CEBPB	SKAP2	0.3801559227984592
CEBPB	CDCA5	0.20432814889340545
CEBPB	SHMT1	0.25380674623471666
CEBPB	GATA4	0.28819175751165105
CEBPB	PLA2G5	0.2373332892962594
CEBPB	EPB41L5	0.27714461442143534
CEBPB	ADAMTS14	0.27833052067323916
CEBPB	PDGFC	0.3072283733289831
CEBPB	MOV10L1	0.19324544773840202
CEBPB	BTBD19	0.32757909840950905
CEBPB	HLA-DRB5	0.2890576024182723
CEBPB	JUN	0.34284726354046047
CEBPB	PRPF38A	0.2806162724468697
CEBPB	BTBD17	0.1992928478821936
CEBPB	PBX1	0.19990309149299268
CEBPB	CILP	0.1939941811527861
CEBPB	ZNF30	0.3151200880146465
CEBPB	DLX6AS	0.25710119901921935
CEBPB	PYDC1	0.24468838927580983
CEBPB	DZIP3	0.20120138353656358
CEBPB	ARHGAP9	0.2136014133886066
CEBPB	LIN54	0.24355006056641315
CEBPB	SIGLEC9	0.4191043869507709
CEBPB	ZNF493	0.6219987354887699
CEBPB	CATSPER2P1	0.20692702533498508
CEBPB	CSDAP1	0.27266663811236214
CEBPB	SHD	0.24804272556476992
CEBPB	ARHGAP4	0.25330545103858615
CEBPB	IL18BP	0.3276859160788179
CEBPB	SMPD3	0.19335551114052763
CEBPB	TSPO	0.23732138755863552
CEBPB	JAK3	0.21347059509041966
CEBPB	LIN52	0.32614678628901395
CEBPB	SULT1C4	0.2153480852940497
CEBPB	RAG1AP1	0.2682333001414623
CEBPB	BGN	0.3913460036291756
CEBPB	SLC39A14	0.2465782363853144
CEBPB	DDB1	0.18726833863917225
CEBPB	FAM113B	0.2790975063363028
CEBPB	SLC7A7	0.1893791364908406
CEBPB	HCST	0.19456990785462924
CEBPB	PAFAH1B3	0.2203751743427098
CEBPB	RAPGEF4	0.4594438157810199
CEBPB	ZNF474	0.2673963346467758
CEBPB	KCNA2	0.2777826610255927
CEBPB	CENPA	0.25947133223011853
CEBPB	CENPB	0.22892921419254542
CEBPB	SNX29	0.22834255782532864
CEBPB	SPP1	0.19711914763037264
