Regulator	Target	MI
CEBPB	JRK	0.18605577879169122
CEBPB	SPI1	0.2906821115200584
CEBPB	ZNF292	0.18613777426853595
CEBPB	KIAA0020	0.21770019302092436
CEBPB	TMEM97	0.2072552865163333
CEBPB	LOC100133669	0.265173915952186
CEBPB	IL4I1	0.21002215466311114
CEBPB	KIAA1109	0.30788733127456513
CEBPB	HTR7	0.1957768794147654
CEBPB	DPYSL5	0.22713319168081458
CEBPB	AKT3	0.21490556217959433
CEBPB	GPBP1	0.20312529310371286
CEBPB	C3AR1	0.19805973937490684
CEBPB	LIPN	0.30064532316489156
CEBPB	TMEM8B	0.19859783184849622
CEBPB	GBP5	0.32574253429085953
CEBPB	HES6	0.2442511401404408
CEBPB	ZNF282	0.20097444015430188
CEBPB	RNASE6	0.2901345667329256
CEBPB	RNASE4	0.3159512122492609
CEBPB	UNC5C	0.2193280119278116
CEBPB	CACNA2D4	0.5024181449077991
CEBPB	RNASE2	0.22346804072598925
CEBPB	SCAMP1	0.20634254110219175
CEBPB	HSPG2	0.27512066327628126
CEBPB	FLJ40292	0.19804603848832691
CEBPB	LRRC37B	0.31252659183382203
CEBPB	SND1	0.2093421073533781
CEBPB	SIGIRR	0.19225116169557666
CEBPB	CH25H	0.23022560081054433
CEBPB	SPINT1	0.2712454269703155
CEBPB	OPTC	0.20579875312420626
CEBPB	CLNS1A	0.19165046053276402
CEBPB	RUFY3	0.18588180140785138
CEBPB	CLDN7	0.20637493407594665
CEBPB	MYL3	0.21502536770130032
CEBPB	SKAP1	0.2541965504752781
CEBPB	IDO1	0.42939162237739303
CEBPB	TSTA3	0.2609784897450682
CEBPB	HS3ST3A1	0.2947382884689915
CEBPB	TTYH1	0.22824967013481867
CEBPB	LOC283267	0.20410535653854023
CEBPB	MRPL17	0.3017311593930492
CEBPB	MTMR9	0.21371124158717514
CEBPB	AGAP4	0.29062058523053746
CEBPB	FPR3	0.29648790320802565
CEBPB	LYPD3	0.42970667472575386
CEBPB	SLCO5A1	0.21317867355757514
CEBPB	FPR2	0.2736346263934841
CEBPB	IQGAP2	0.18657979289800153
CEBPB	ZNF24	0.2541252342811271
CEBPB	KIAA0040	0.29454293719516134
CEBPB	C2	0.22766880301815107
CEBPB	DEDD2	0.2229955620966546
CEBPB	HSD11B1	0.24347254112864558
CEBPB	RNF214	0.3145101681045377
CEBPB	MGC16703	0.26171431856908445
CEBPB	SFN	0.34089382021907344
CEBPB	PRPF38A	0.24901353010485128
CEBPB	PRRT2	0.2114311317643507
CEBPB	PMM1	0.22366801000051684
CEBPB	BTBD18	0.20881984967001888
CEBPB	CADM2	0.4143915406154628
CEBPB	PBX1	0.331006815195793
CEBPB	MLLT11	0.20907092953401918
CEBPB	TREML1	0.30300006106882194
CEBPB	ABTB1	0.24142096620244669
CEBPB	MLLT10	0.19949373987539243
CEBPB	VANGL2	0.213343679866421
CEBPB	TREML3	0.20735114300171542
CEBPB	ZNF30	0.22815384349351397
CEBPB	FXYD6	0.2630166476879472
CEBPB	L1TD1	0.2204765910305575
CEBPB	FXYD5	0.30217360763951007
CEBPB	HAMP	0.2744630881562662
CEBPB	DZIP3	0.24800843335228961
CEBPB	HLA-DRB1	0.2870103107313575
CEBPB	FERMT3	0.330976047644822
CEBPB	ARHGAP9	0.2951085740872168
CEBPB	SIGLEC9	0.3386623525850254
CEBPB	ZNF493	0.2787661465165261
CEBPB	ATF7IP2	0.24036684479726134
CEBPB	PRKAG2	0.22294371422606485
CEBPB	TMEM51	0.23495318519040875
CEBPB	TMEM52	0.22635997133376318
CEBPB	CTCF	0.21259881472586262
CEBPB	ZNF45	0.2053820885479425
CEBPB	PIGW	0.19151482183803203
CEBPB	JPH1	0.2264584622330421
CEBPB	ARHGAP4	0.21705236896550417
CEBPB	OSBPL10	0.22465918137187835
CEBPB	ATIC	0.21301163560711878
CEBPB	KIAA1147	0.19104761532250336
CEBPB	CASP10	0.2382545606733828
CEBPB	ZNF41	0.20293073500358094
CEBPB	FLVCR1	0.20806561387157618
CEBPB	TSPO	0.28049364052597614
CEBPB	SH3BGRL3	0.4649505854221827
CEBPB	SULT1C4	0.22878196983484234
CEBPB	IKBIP	0.2053445886799503
CEBPB	RAG1AP1	0.28705128927957624
CEBPB	CHST9	0.2098762474833249
CEBPB	GPR39	0.19824714770915985
CEBPB	KCND2	0.2706041911220334
CEBPB	GSTO1	0.4330238304060394
CEBPB	LRRC49	0.257081022399718
CEBPB	BGN	0.2177090507100603
CEBPB	JOSD2	0.3045039437625636
CEBPB	SUMF1	0.20787505838777598
CEBPB	VAMP8	0.32168803681613145
CEBPB	GPRC5B	0.23905538886111533
CEBPB	GPRC5A	0.27791985700888944
