Regulator	Target	MI
CEBPB	C7orf10	0.22269721015266342
CEBPB	SPI1	0.2005260394859052
CEBPB	GMFG	0.32908880878379154
CEBPB	SLA2	0.32811775796816445
CEBPB	C22orf26	0.22687431619285903
CEBPB	LOC100133669	0.1920014720335903
CEBPB	RRN3P2	0.20785368370077073
CEBPB	PPP4R1	0.23186645218609137
CEBPB	DPYSL4	0.19585253757064258
CEBPB	DPYSL5	0.21284176641534103
CEBPB	C3AR1	0.19456587856464314
CEBPB	ANKFY1	0.21771807212082095
CEBPB	VSTM1	0.2294080205194975
CEBPB	PLEKHM1P	0.21929171977389394
CEBPB	GBP5	0.40943284040191497
CEBPB	GSTK1	0.20293875635034464
CEBPB	LOC168474	0.3865806961228593
CEBPB	STARD3	0.2552465780848312
CEBPB	STARD5	0.2737819364273273
CEBPB	DNTTIP1	0.20724175664833577
CEBPB	HPCAL1	0.2421821881488242
CEBPB	RNASE6	0.3100086641641484
CEBPB	ZFYVE20	0.2011210474493863
CEBPB	CACNA2D2	0.2293734291513463
CEBPB	KIAA0494	0.2329432446919686
CEBPB	RNASE4	0.2887305261729338
CEBPB	CACNA2D4	0.4002000726285999
CEBPB	RNASE3	0.21266701619423234
CEBPB	RNASE2	0.43866789626139635
CEBPB	HPCAL4	0.25994172008088245
CEBPB	RNASE1	0.20805034198191397
CEBPB	RUFY1	0.32045228191737074
CEBPB	CH25H	0.36759555017578194
CEBPB	SPINT1	0.2946750651386898
CEBPB	SCO2	0.21009335070456014
CEBPB	CLDN7	0.2783131804127761
CEBPB	KIAA0247	0.2465577154373273
CEBPB	C14orf80	0.32475295117255065
CEBPB	JTB	0.20011886402871237
CEBPB	ATF5	0.19361936383148315
CEBPB	ATF3	0.2016422359081984
CEBPB	PADI1	0.37964094078501276
CEBPB	IDO1	0.2135155148340191
CEBPB	CLCNKB	0.26775377882247575
CEBPB	FPR1	0.2901739372203691
CEBPB	FPR3	0.20100262456344087
CEBPB	ABCB9	0.251015687186813
CEBPB	FPR2	0.42672921825532395
CEBPB	LY9	0.2314470262862498
CEBPB	C2	0.24642821575764273
CEBPB	HSD11B1	0.3582801471974548
CEBPB	ADAMTS14	0.309771139117359
CEBPB	RNF214	0.3085042622613168
CEBPB	SFN	0.3706905714421582
CEBPB	LYN	0.2787998942108265
CEBPB	BTBD19	0.2537094791078651
CEBPB	HLA-DRB5	0.3620341726661538
CEBPB	COL24A1	0.25004771487440713
CEBPB	CADM2	0.2835088490700999
CEBPB	FUCA1	0.2505939092796483
CEBPB	BTBD11	0.2924931493613405
CEBPB	CP	0.3368828932010004
CEBPB	PBX1	0.333264392322989
CEBPB	LOC606724	0.34055822859774754
CEBPB	FAM111B	0.22497943123699748
CEBPB	IL22RA1	0.3405931594073861
CEBPB	TREML1	0.4143813167052981
CEBPB	ABTB1	0.24716796868937685
CEBPB	EIF6	0.2406404219775382
CEBPB	CILP	0.19582502409926938
CEBPB	PSMG1	0.20514527113736047
CEBPB	FXYD5	0.43676077979792005
CEBPB	HAMP	0.25186839477454015
CEBPB	FERMT3	0.33032356950235275
CEBPB	ARF3	0.22441760733403537
CEBPB	ARHGAP9	0.3774027799122761
CEBPB	PGCP	0.24698965056173527
CEBPB	ZNF253	0.45089239869352493
CEBPB	PIGT	0.2524381834270697
CEBPB	SIGLEC9	0.4857796580673881
CEBPB	RPLP1	0.19663583115175953
CEBPB	ZNF43	0.2824623418771095
CEBPB	ARHGAP4	0.3538255340265515
CEBPB	TUBA1C	0.2658272466801659
CEBPB	CHAF1B	0.25273753048748127
CEBPB	ZNF41	0.2113353571304275
CEBPB	FLVCR1	0.20392066955865484
CEBPB	CTLA4	0.2921989373038558
CEBPB	SH3BGRL3	0.37608717253167523
CEBPB	JAK3	0.2489475113447499
CEBPB	RAG1AP1	0.24245355801225177
CEBPB	ZNF485	0.2104836930573537
CEBPB	DUSP1	0.32764413515883817
