Regulator	Target	MI
CEBPB	SPI1	0.4953013910287041
CEBPB	GMFG	0.22241306705891262
CEBPB	SLA2	0.21302859073194202
CEBPB	COMTD1	0.23776973939059243
CEBPB	GPBP1	0.1936781951340123
CEBPB	ZC3H12A	0.37841135635014744
CEBPB	C3AR1	0.4302098465917341
CEBPB	ANKFY1	0.2880832993632927
CEBPB	FTHL3	0.23099676639956535
CEBPB	GSTK1	0.22759529157080394
CEBPB	TSTD2	0.18614770747215825
CEBPB	CACNA2D2	0.22157179857738285
CEBPB	HDGFRP3	0.29621338040703193
CEBPB	FRS2	0.2950539502227052
CEBPB	CACNA2D4	0.48320130654195914
CEBPB	CH25H	0.3311920557126049
CEBPB	SPINT1	0.3585730561377636
CEBPB	ASPHD1	0.2923334401733957
CEBPB	ORAI3	0.2927499138709919
CEBPB	SF1	0.24251954772240136
CEBPB	COL13A1	0.3593742821426176
CEBPB	CDCA5	0.2994601730725073
CEBPB	ZNF24	0.29127076112543016
CEBPB	PRPSAP1	0.19083705385240002
CEBPB	EPB41L5	0.23401816389062802
CEBPB	RNF214	0.1991873807112663
CEBPB	ATG7	0.19736325292365287
CEBPB	GSTM4	0.23748057580256443
CEBPB	HLA-DRB6	0.1859427421154436
CEBPB	BTBD19	0.2061657891690718
CEBPB	HLA-DRB5	0.2832202116968725
CEBPB	PRPF38A	0.19556292005530285
CEBPB	TSLP	0.2624223598248978
CEBPB	FUCA1	0.3021674006699673
CEBPB	BTBD12	0.2003593273620643
CEBPB	PBX1	0.273225444280345
CEBPB	PGA5	0.3667568743400116
CEBPB	AIF1L	0.20399792567288344
CEBPB	LOC606724	0.43073949325355265
CEBPB	VANGL2	0.20511375035724644
CEBPB	TREML3	0.23475698178450166
CEBPB	TREML2	0.3577412754254272
CEBPB	NMT2	0.3354418940548385
CEBPB	FAT3	0.2414432090527905
CEBPB	FXYD5	0.32729994454194333
CEBPB	HLA-DRB1	0.2866640564594807
CEBPB	LGMN	0.45782290552852345
CEBPB	ARHGAP9	0.3626618997090185
CEBPB	SIGLEC9	0.5136938700232134
CEBPB	ZNF493	0.23647335363279076
CEBPB	NCAPG2	0.2819526884200121
CEBPB	ARHGAP5	0.2126988838429611
CEBPB	ARHGAP4	0.2961002344999386
CEBPB	MECP2	0.22132417727236664
CEBPB	ZNF41	0.3033093762324528
CEBPB	TSPO	0.29064125331296253
CEBPB	JAK3	0.32313488110199895
CEBPB	SULT1C4	0.2150561075848776
CEBPB	RAG1AP1	0.2315596780120952
CEBPB	CHST9	0.24129012309866038
CEBPB	DUSP1	0.40189982472979136
CEBPB	GSTO1	0.1911590952288904
CEBPB	SPHK1	0.2176634546524534
CEBPB	TEX10	0.28634225765729315
CEBPB	KIAA1143	0.21673768953216754
CEBPB	WNT9B	0.2279859842484031
CEBPB	FOS	0.2818418541718426
CEBPB	JOSD2	0.27042830473516233
CEBPB	FAM113B	0.23056169151411599
CEBPB	SLC7A7	0.30528070644206284
CEBPB	SLC7A8	0.20294139005921608
CEBPB	INCENP	0.21781809101072547
CEBPB	OAF	0.23784291062312501
CEBPB	DPYD	0.3293117112191357
CEBPB	MMP19	0.33480972928587605
CEBPB	PPARG	0.18780453388124219
CEBPB	NUP62CL	0.3196869803205784
CEBPB	HCST	0.31831244130044567
CEBPB	CHST2	0.23429289945628096
CEBPB	CRB1	0.28815929259265616
CEBPB	SAMD9	0.232170764693719
CEBPB	URM1	0.20646869840719262
CEBPB	KCNA2	0.27973477921579804
CEBPB	SFRS13B	0.23456090214000902
CEBPB	NEURL1B	0.19171210941159345
CEBPB	ADAM28	0.3365328717210083
CEBPB	SPOP	0.2333804058260629
CEBPB	SPP1	0.2477622900236387
CEBPB	IL12RB1	0.3753739471844595
CEBPB	ZNF467	0.21355842345542886
CEBPB	SPDEF	0.36463192350599805
CEBPB	ATAD5	0.1942711096644043
CEBPB	GOLM1	0.21802572933420983
CEBPB	ATAD2	0.20207236382539318
CEBPB	MBD2	0.33008093953895656
CEBPB	TARBP2	0.2540946571805831
CEBPB	CENPF	0.2083568434867864
CEBPB	CENPJ	0.19467963854578318
CEBPB	TAOK1	0.2435561102479955
CEBPB	SNX15	0.1921095960302015
CEBPB	PRKRIR	0.23187046122520716
CEBPB	AGRP	0.20498574476012266
CEBPB	NCAPD3	0.2278463040580041
CEBPB	SIGLEC7	0.4857031113921
CEBPB	OLFML2B	0.2119476374537701
CEBPB	LOC654433	0.19098189709890434
CEBPB	SLA	0.3284951047419389
CEBPB	CASC3	0.26372505171907523
CEBPB	FBXO21	0.20899329568702552
CEBPB	FADS2	0.21007601257267527
CEBPB	EFEMP2	0.30348345737967897
CEBPB	EFEMP1	0.1866567864269637
CEBPB	ADORA3	0.47559507946252033
CEBPB	MAP3K8	0.6423811320336679
CEBPB	NUDT14	0.19543896014030615
CEBPB	ZNF441	0.29706891898749266
CEBPB	CISH	0.2493624130333103
CEBPB	FBXO10	0.2179041529734489
CEBPB	FBXO11	0.31146002102602655
CEBPB	CDC25A	0.19604273197094635
CEBPB	TPST1	0.21728317321588886
CEBPB	CABC1	0.18705634293780182
CEBPB	ZNF434	0.320754927926707
CEBPB	FTL	0.22256313190138144
CEBPB	SHC1	0.2578227151421597
CEBPB	CREM	0.2047602736570573
CEBPB	FBXO48	0.18914051939254417
CEBPB	LY96	0.28918994898134276
CEBPB	UAP1	0.34267338253554325
CEBPB	CORO1A	0.4221735053892939
CEBPB	KIAA1524	0.2062131445953881
CEBPB	MED30	0.19017071114100403
CEBPB	ZKSCAN2	0.29011207883133494
CEBPB	NAE1	0.23609706911523798
CEBPB	GRIA4	0.25304761191712366
CEBPB	SLC14A1	0.24044267304758815
CEBPB	NEK4	0.25157133097452
CEBPB	LY86	0.19416168890875074
CEBPB	ARPC4	0.22851684548895346
CEBPB	ARPC2	0.35266971149500304
CEBPB	ZNF418	0.23336818258701797
CEBPB	TBXAS1	0.43025421523949614
CEBPB	NIT2	0.32769968490114376
CEBPB	TRIM71	0.18692731388744388
CEBPB	PIWIL4	0.21053688712138374
CEBPB	ITGAM	0.3719120164906613
CEBPB	ONECUT2	0.3708361358550505
CEBPB	ITGB2	0.4274801705637312
CEBPB	ITGAL	0.2980202607324465
CEBPB	MSLN	0.18818026787989073
CEBPB	ELFN1	0.19298022516956692
CEBPB	NKPD1	0.2574464427575025
CEBPB	UNC80	0.37241180445868505
CEBPB	HHEX	0.1994385428199381
CEBPB	KIAA1549	0.23955582031405598
CEBPB	TAGAP	0.22125436586763225
CEBPB	ITGB7	0.26453681562064446
CEBPB	BCAS1	0.305453987505218
CEBPB	ACTR3	0.24125869722513382
CEBPB	RNASET2	0.5503255832183864
CEBPB	ACTR8	0.20087609606403678
CEBPB	NRG2	0.2830792206389976
CEBPB	TNFRSF1B	0.44790789468402004
CEBPB	TNFRSF1A	0.37679043286260416
CEBPB	LRTOMT	0.26035467316556904
CEBPB	ITGAD	0.2047501634080895
CEBPB	LCP2	0.45074191954745935
CEBPB	LCP1	0.3334263737308758
CEBPB	ACPP	0.579529791562619
CEBPB	PRPS1	0.2398430176088775
CEBPB	PRKAA1	0.19096916301204026
CEBPB	C1S	0.3679775105342369
CEBPB	UHRF1	0.18930565435940938
CEBPB	HM13	0.19774776644645264
CEBPB	IL2RG	0.2371145512341606
CEBPB	ZNRF2	0.3191407412335163
CEBPB	DRAM1	0.24940058428450307
CEBPB	E2F1	0.21045180942771857
CEBPB	E2F2	0.35479855057539744
CEBPB	LOC401431	0.2586810688885608
CEBPB	HNRNPA1	0.21909585620916783
CEBPB	RILP	0.25847048355067237
CEBPB	TRIM45	0.25145472793843293
CEBPB	NAGA	0.39358299515622175
CEBPB	EIF3L	0.19325390895242212
CEBPB	IL2RA	0.20146332416868695
CEBPB	EIF3H	0.18622447284202792
CEBPB	NAGS	0.2391654519561346
CEBPB	PIK3AP1	0.33954854001301893
CEBPB	CD244	0.30514167181694596
CEBPB	MYO1F	0.4457797513308055
CEBPB	MYO1G	0.3416041247475725
CEBPB	ICAM3	0.3692185537133881
CEBPB	ICAM4	0.2686965478359449
CEBPB	ICAM5	0.19819459603056977
CEBPB	IKZF1	0.4488690840317586
CEBPB	ICAM1	0.3537230778387448
CEBPB	IL27RA	0.25147939185572277
CEBPB	MT2A	0.1969556214816528
CEBPB	ANPEP	0.31388376265173523
CEBPB	TNFSF11	0.31020797469650496
CEBPB	LGALS9	0.3068028502042859
CEBPB	THSD7A	0.23944221693738044
CEBPB	BSN	0.21914351535579968
CEBPB	ARL11	0.4103958290376051
CEBPB	KCNK13	0.2537397600792657
CEBPB	MYO7A	0.211970314117087
CEBPB	KCNQ1	0.276899454292745
CEBPB	NINJ1	0.23712628066113428
CEBPB	BTK	0.20755407371295576
CEBPB	FAM76B	0.27352291415238916
CEBPB	MT1H	0.1860890985200454
CEBPB	RIN3	0.4049253022157755
CEBPB	TRIB3	0.1871911870437133
CEBPB	CCDC82	0.19407058151533718
CEBPB	EIF1B	0.21816108633549636
CEBPB	DHX9	0.22499176406066645
CEBPB	EPB41	0.24263087695141383
CEBPB	SDC3	0.2309201995889545
CEBPB	TTBK2	0.22874372670888654
CEBPB	MBTD1	0.24128610361608516
CEBPB	NEU4	0.19080538022126525
CEBPB	SYNGR2	0.5205622557146619
CEBPB	RRAS	0.33922190826115184
CEBPB	FAM192A	0.2627099101494359
CEBPB	KCNN4	0.26995292641181834
CEBPB	PCK2	0.3661975275732354
CEBPB	APOBEC3C	0.2598252316524343
CEBPB	STAT5A	0.2282560559684601
CEBPB	MSR1	0.4089681673244243
CEBPB	APOBEC3F	0.1920233105252276
CEBPB	APOBEC3G	0.2151041161934515
CEBPB	SLC10A3	0.2979581132854481
CEBPB	TNFSF13	0.20694242729886625
CEBPB	RAB27A	0.37667004937774085
CEBPB	PPBP	0.2215158884255395
CEBPB	CNFN	0.2801668553958363
CEBPB	NTAN1	0.3637227423519809
CEBPB	C16orf54	0.32667617881709
CEBPB	CDC16	0.20076301477426473
CEBPB	GRAP	0.24867262109701116
CEBPB	APOBEC3A	0.19513653185448732
CEBPB	TP73	0.34432240932483626
CEBPB	MRPS12	0.18903052456830327
CEBPB	IL27	0.35624487045179176
CEBPB	GRIK2	0.20135396084968793
CEBPB	SH3RF1	0.18752869809792738
CEBPB	HERPUD1	0.24276236249020666
CEBPB	PPPDE1	0.187413142863746
CEBPB	VMO1	0.4273121997610323
CEBPB	RAC2	0.5077880563534336
CEBPB	RAC3	0.21808549887423911
CEBPB	NANS	0.3037976393553219
CEBPB	FLJ36031	0.2565357519561795
CEBPB	CAMP	0.2061702585993812
CEBPB	IL10	0.3519960042643673
CEBPB	FCER1G	0.5000870639910726
CEBPB	SYK	0.2927607620770205
CEBPB	PABPC4	0.3637867421684584
CEBPB	IL18	0.30904729564309275
CEBPB	AGTRAP	0.2602595932437026
CEBPB	IL16	0.25071985801027274
CEBPB	RNF144B	0.2498790105457438
CEBPB	RAP2B	0.2607226404271623
CEBPB	GAN	0.2299709620914312
CEBPB	PDIK1L	0.216037586715899
CEBPB	IL1B	0.3886647947675508
CEBPB	PABPC3	0.19120054537711972
CEBPB	TAX1BP3	0.26614750952897914
CEBPB	PABPC1	0.19709194999463087
CEBPB	ARHGEF7	0.24415530952050446
CEBPB	SELPLG	0.3285241061038855
CEBPB	FAM35A	0.2634209624636279
CEBPB	C1orf38	0.5261962258800725
CEBPB	CAPG	0.3938182311002576
CEBPB	RELB	0.394875735776381
CEBPB	ZFP14	0.30004936447679764
CEBPB	ORMDL2	0.1935728831665573
CEBPB	MGAT1	0.5748640109805452
CEBPB	TCEB1	0.19541130271243112
CEBPB	IL32	0.23816060837086273
CEBPB	GABBR1	0.2465569413370332
CEBPB	C16orf91	0.23085648509775059
CEBPB	OSM	0.5194577107344536
CEBPB	VEGFC	0.2788268393081239
CEBPB	MYO9A	0.2031607266937332
CEBPB	TACC3	0.20490529210474406
CEBPB	CCNYL1	0.194950012637773
CEBPB	MAMLD1	0.19386846713977324
CEBPB	DENND5B	0.187861881918848
CEBPB	GDA	0.20256106695519982
CEBPB	PRDM6	0.2427297261234065
CEBPB	LOXL3	0.27093643724515815
CEBPB	LOXL4	0.22433283657559056
CEBPB	PLB1	0.35168704373235027
CEBPB	C21orf130	0.19759218146499613
CEBPB	TGM2	0.3021159612520625
CEBPB	GEN1	0.20466875873238344
CEBPB	TMSL3	0.205939315299684
CEBPB	IL4R	0.4444654445457994
CEBPB	SPINK1	0.22028656281483983
CEBPB	ADAM11	0.2332044121438548
CEBPB	KMO	0.22199593519373906
CEBPB	SPOCD1	0.4221511629790671
CEBPB	SLFN11	0.2688279580468782
CEBPB	TYROBP	0.42774708151480123
CEBPB	SCNN1A	0.26180060086403945
CEBPB	ODF3B	0.3299048552271149
CEBPB	PPIB	0.21075066869785886
CEBPB	RAF1	0.2935435888315796
CEBPB	PPIC	0.24054462408055421
CEBPB	C6orf174	0.27633949330711527
CEBPB	UBIAD1	0.254196913264507
CEBPB	C1orf77	0.21991394295027344
CEBPB	DAPP1	0.2664637735455164
CEBPB	LOC100272217	0.24087928707311157
CEBPB	LOC100272216	0.18993886046150887
CEBPB	NCKIPSD	0.19943202252819603
CEBPB	GRK4	0.22353137505393672
CEBPB	LPXN	0.22155497257026813
CEBPB	COX10	0.22204019964029964
CEBPB	DENND4B	0.225009759153445
CEBPB	CAV1	0.2741513885325393
CEBPB	GNAO1	0.27137769104721965
CEBPB	NAT1	0.23922266231458167
CEBPB	C8orf39	0.3735420876153963
CEBPB	BHLHE40	0.23028839329842388
CEBPB	GNB1	0.21621025465160226
CEBPB	MKRN2	0.22596014507423678
CEBPB	TCF4	0.2611640785744056
CEBPB	HSPC157	0.28038063132411306
CEBPB	IL7R	0.2893473105700588
CEBPB	TNFAIP8	0.4944317571606742
CEBPB	TTC23	0.2731012865186635
CEBPB	HP1BP3	0.42825585368993746
CEBPB	MS4A7	0.31060921260737206
CEBPB	PLEK	0.40212691660856237
CEBPB	TNFAIP3	0.35411597562855945
CEBPB	LMNB1	0.2735144691702116
CEBPB	LYL1	0.2942627587052913
CEBPB	SGOL2	0.26905357468022206
CEBPB	SGOL1	0.28637548265069857
CEBPB	MYO18B	0.1892961276280145
CEBPB	MAN1A1	0.23087380816557346
CEBPB	MYBL2	0.2670497831468497
CEBPB	WHSC1	0.3667804866221873
CEBPB	CYTIP	0.4424034017602656
CEBPB	C1orf85	0.23663817021875122
CEBPB	TAPBP	0.19845847260420246
CEBPB	CHI3L2	0.2980460827157563
CEBPB	FAM72D	0.21363072405792138
CEBPB	NAT8L	0.19580246343673213
CEBPB	CUEDC1	0.22806900388141393
CEBPB	FBP1	0.45260018869906826
CEBPB	RNF6	0.24290078452774555
CEBPB	ADD2	0.24512566445489714
CEBPB	POLD4	0.4976779204923627
CEBPB	CYTH4	0.4414031175585391
CEBPB	CBS	0.227396745764735
CEBPB	TRA2B	0.20013027845967546
CEBPB	MAN1C1	0.25868591246539463
CEBPB	SLIT1	0.2300636100541098
CEBPB	TMEM209	0.37380385750552314
CEBPB	MTA2	0.23374939138058792
CEBPB	HSD3B7	0.4838070300006425
CEBPB	TTC15	0.23728271855707028
CEBPB	TTC13	0.22779083619285867
CEBPB	EYA1	0.31481108158301385
CEBPB	EPOR	0.21197484256885435
CEBPB	HS3ST2	0.23366320753301206
CEBPB	TTC17	0.19395280252904623
CEBPB	CD4	0.4308436196056791
CEBPB	TEC	0.5472332608895378
CEBPB	CD6	0.23503949232632504
CEBPB	CD7	0.42364667065743244
CEBPB	ERCC5	0.1857766902676934
CEBPB	GALM	0.21002116792967573
CEBPB	PTX3	0.49617136734600376
CEBPB	OTUD1	0.37644746436184473
CEBPB	RNH1	0.2590813849368887
CEBPB	TES	0.1968901691480216
CEBPB	WIPF1	0.2398145216787082
CEBPB	MTBP	0.25541822638204614
CEBPB	PROK2	0.20094453599993223
CEBPB	CEP97	0.3021429887165272
CEBPB	CDK5RAP3	0.23324866903514696
CEBPB	LOC100132215	0.1902417540294037
CEBPB	CMKLR1	0.2576760440150405
CEBPB	MBNL1	0.2013578120292827
CEBPB	PRKCD	0.3314317527397437
CEBPB	FLJ34503	0.2734247447367908
CEBPB	BCAN	0.20710393311649256
CEBPB	WDR82	0.22593911202602168
CEBPB	CFB	0.24898577315555848
CEBPB	PI4K2A	0.2518222767842371
CEBPB	CFD	0.3293710477557532
CEBPB	CFH	0.346309225874494
CEBPB	CFI	0.42047090925957775
CEBPB	SAMSN1	0.44510858222158145
CEBPB	NCSTN	0.22146483335453304
CEBPB	TTPA	0.227090297885014
CEBPB	CEP70	0.21311909397640605
CEBPB	PRDM16	0.19443026073210312
CEBPB	PCDHA5	0.22611952416411096
CEBPB	HMOX1	0.2533980697101539
