Regulator	Target	MI
CEBPB	LOC388789	0.29190782755612243
CEBPB	SPI1	0.3445443839693212
CEBPB	GMFG	0.21423816565890874
CEBPB	PWWP2B	0.24507883858815127
CEBPB	SPINT2	0.2736514329657256
CEBPB	F11R	0.38988208752749376
CEBPB	FAM159A	0.36538533796363826
CEBPB	TSKU	0.21450743893471014
CEBPB	SPIB	0.299925843045485
CEBPB	KIAA1109	0.2846982358580412
CEBPB	TBK1	0.20843735696299603
CEBPB	DPYSL4	0.22585069116683876
CEBPB	DPYSL5	0.27028529065670615
CEBPB	RAVER2	0.2543915759939557
CEBPB	ZC3H12A	0.28660483496140454
CEBPB	C3AR1	0.3427692062479242
CEBPB	CKMT1B	0.20565462249309352
CEBPB	FOXO3B	0.4478450992694478
CEBPB	PRKACA	0.20151323342741723
CEBPB	FAM19A5	0.366481607306123
CEBPB	MNX1	0.2240637131858394
CEBPB	PLEKHM1P	0.20327166073535174
CEBPB	FNBP4	0.22051482619216234
CEBPB	HDGFRP3	0.35297564169624085
CEBPB	FRS2	0.22614175794707858
CEBPB	CACNA2D4	0.5596887716318824
CEBPB	CH25H	0.31198189770389284
CEBPB	ASPHD1	0.28550498909030875
CEBPB	CTAGE4	0.30159459262791444
CEBPB	DDIT3	0.25290530479464035
CEBPB	ORAI3	0.22995511027347426
CEBPB	JTB	0.3441436451520792
CEBPB	FAR2	0.21181451034747134
CEBPB	ATF3	0.297532109664874
CEBPB	PLBD2	0.24978449582895657
CEBPB	SF1	0.21555716370821543
CEBPB	SF4	0.34706976771630504
CEBPB	CDCA5	0.23066718690768528
CEBPB	SHMT1	0.19590164203307392
CEBPB	BAZ2B	0.1882123550731345
CEBPB	ZC3HAV1	0.20231040904425424
CEBPB	ZNF23	0.186783795338064
CEBPB	PLA2G6	0.27843137668579043
CEBPB	ADAMTS16	0.360826278905539
CEBPB	LOC100128288	0.20791212771116285
CEBPB	ADAMTS14	0.39432317710998355
CEBPB	RDH10	0.3008679113943806
CEBPB	ATRIP	0.21969449106725492
CEBPB	CREBBP	0.2650638676052406
CEBPB	PRPF38A	0.24547930505520288
CEBPB	TIPARP	0.24195888770962526
CEBPB	FUCA1	0.31470502592102445
CEBPB	FUCA2	0.3356256542047644
CEBPB	EIF2AK2	0.1979598360311794
CEBPB	BTBD11	0.24743388256043986
CEBPB	BTBD12	0.2538995651379343
CEBPB	LARP6	0.322683356854097
CEBPB	LOC606724	0.36766300124120654
CEBPB	DHFR	0.25678359264929806
CEBPB	TREML1	0.28803848753149897
CEBPB	TREML2	0.34685759076194156
CEBPB	FXYD6	0.34599591542797725
CEBPB	DZIP3	0.19344738996983946
CEBPB	ARHGAP9	0.4612248824212726
CEBPB	SIGLEC9	0.5082272119536899
CEBPB	ZNF493	0.35175449024580363
CEBPB	PRKAG1	0.19383042879992285
CEBPB	LOC92973	0.2330155528714153
CEBPB	HOXC10	0.2018415616444207
CEBPB	SHD	0.3938739536698037
