Regulator	Target	MI
CEBPB	JRK	0.24784927557409464
CEBPB	SPI1	0.31915062300465546
CEBPB	GMFG	0.4138717014187723
CEBPB	C4BPB	0.19122270941206665
CEBPB	FAM159A	0.2118225236227964
CEBPB	IL4I1	0.2647896593653014
CEBPB	PSMD9	0.20889114999540848
CEBPB	TDO2	0.200372846752078
CEBPB	C3AR1	0.20194541062102633
CEBPB	TMEM8B	0.28271295905767957
CEBPB	GSTK1	0.1940141345078743
CEBPB	STARD5	0.24513656518444993
CEBPB	RNASE6	0.2019833702377838
CEBPB	HDGFRP3	0.21203159977378494
CEBPB	RNASE4	0.26993675993197286
CEBPB	CACNA2D4	0.30307665735382017
CEBPB	RNASE3	0.277707926179219
CEBPB	LOC643923	0.18579138098900305
CEBPB	RNASE2	0.4463584020157656
CEBPB	HDHD3	0.2658757236243776
CEBPB	CH25H	0.33258372799834657
CEBPB	SPINT1	0.3597000068100593
CEBPB	RFX7	0.2240898871380761
CEBPB	ETHE1	0.20344476314339488
CEBPB	RUFY3	0.22994761427608346
CEBPB	C22orf41	0.22903398362038363
CEBPB	CLDN7	0.20713111576082
CEBPB	KIAA0247	0.26863402702625283
CEBPB	PSME1	0.22435028282944636
CEBPB	PLBD1	0.2094664975282745
CEBPB	MTMR3	0.22145524926073623
CEBPB	COL13A1	0.22806789982336984
CEBPB	TTYH2	0.23019216281844823
CEBPB	HHLA2	0.18742342182132177
CEBPB	TTYH1	0.19026782620183802
CEBPB	FPR1	0.23059803549136593
CEBPB	LYPD1	0.3222779200123327
CEBPB	MTMR9	0.3224325861412609
CEBPB	FPR3	0.2818457813497819
CEBPB	C2	0.30707443239325016
CEBPB	CYB5R1	0.20627561940332484
CEBPB	EPB41L5	0.2832355492934102
CEBPB	ADAMTS14	0.2748264211882372
CEBPB	RDH11	0.28070164637283224
CEBPB	RDH10	0.3633105997171624
CEBPB	NCRNA00119	0.18589053302540837
CEBPB	AMZ1	0.3111070913266998
CEBPB	RHBDL2	0.22551957488859564
CEBPB	BTBD19	0.2610288141373367
CEBPB	HLA-DRB5	0.2138659145359183
CEBPB	PRPF38A	0.1971422475228879
CEBPB	CADM2	0.2507504955890676
CEBPB	TIPARP	0.22441665503613262
CEBPB	FUCA1	0.22656134103141046
CEBPB	BTBD16	0.36269764369817015
CEBPB	EDEM2	0.19834179905149796
CEBPB	NETO2	0.20709325432995396
CEBPB	LYZ	0.1896598831216103
CEBPB	LOC606724	0.20973850103470948
CEBPB	VANGL1	0.32930103111224795
CEBPB	CILP	0.2621597678992611
CEBPB	TREML3	0.2615691830844753
CEBPB	TREML2	0.2861991875171368
CEBPB	PSMG3	0.2340055818983604
CEBPB	FAT3	0.19202734962901147
CEBPB	HAMP	0.3940834766084711
CEBPB	HLA-DRB1	0.3629452434775837
CEBPB	FERMT3	0.38375141703256066
CEBPB	LGMN	0.2099088230381021
CEBPB	ARHGAP9	0.2552207635608088
CEBPB	PIGT	0.40244515487344223
CEBPB	SIGLEC9	0.3932739263097469
CEBPB	HEXB	0.2259077966213523
CEBPB	HEXA	0.38658716546459715
CEBPB	LOC388588	0.1861554862855952
CEBPB	NCAPG2	0.20806981808257596
CEBPB	SRPR	0.18900759737042705
CEBPB	TMEM51	0.26129854142860864
CEBPB	CTCF	0.20594399408943964
CEBPB	ARHGAP4	0.29405241708519547
CEBPB	IL18BP	0.23310447752108665
CEBPB	MED12	0.18886412515579654
CEBPB	TRMT112	0.1963941944762544
CEBPB	TUBA1C	0.29674114677573016
CEBPB	MED13	0.3395167872197016
CEBPB	NHSL1	0.1864030216647956
CEBPB	SMPD1	0.20278480546037514
CEBPB	B3GALT1	0.2063011219567894
CEBPB	ZNF41	0.23549875347734606
CEBPB	TSPO	0.4235551028686464
CEBPB	SH3BGRL3	0.46285148617242644
CEBPB	NEFH	0.21828895197517006
CEBPB	HLA-DPA1	0.254152843939341
CEBPB	RAG1AP1	0.4406886183053027
CEBPB	GPR39	0.2312672363045074
CEBPB	DUSP2	0.26195133479560084
CEBPB	KCND2	0.22032683285546728
CEBPB	RIPK3	0.24361075325746562
CEBPB	GSTO1	0.37838826046869123
CEBPB	SPHK1	0.20460073540502055
CEBPB	GPR31	0.19993915459817835
CEBPB	TMC8	0.2714264262647701
