Regulator	Target	MI
CEBPB	MDC1	0.18865170108929696
CEBPB	SPI1	0.4628021532872255
CEBPB	C4BPB	0.19372044131677058
CEBPB	F11R	0.19298996545420444
CEBPB	C22orf26	0.2601758814818842
CEBPB	FAM134B	0.3510913103365283
CEBPB	IL4I1	0.26616384111630165
CEBPB	LACTB	0.25219831942599935
CEBPB	COMTD1	0.39569094061798804
CEBPB	RAVER2	0.24876863174002928
CEBPB	ZC3H12A	0.3134792442603507
CEBPB	VSTM1	0.21021193936152027
CEBPB	FOXO3B	0.24336445344231628
CEBPB	STARD5	0.20470655714849695
CEBPB	CSNK2A1	0.3566379415615222
CEBPB	RNASE6	0.2853439024646409
CEBPB	HDGFRP3	0.20037846672733117
CEBPB	CACNA2D4	0.2975843215389826
CEBPB	RNASE2	0.3733260551503852
CEBPB	CH25H	0.22911899510984934
CEBPB	CLDN4	0.2867432483442842
CEBPB	SPINT1	0.21958840415240477
CEBPB	RFX7	0.21740489119530526
CEBPB	CLNS1A	0.25006460784152473
CEBPB	ETHE1	0.24682142343108815
CEBPB	RUFY3	0.4078137353091238
CEBPB	CLDN7	0.25886294222897277
CEBPB	PSME1	0.20376888723178777
CEBPB	PSME2	0.22723810997843064
CEBPB	ATF7	0.20064017136940837
CEBPB	CDCA5	0.24850906864028133
CEBPB	FPR1	0.2716332603610896
CEBPB	MTMR9	0.2451960008939693
CEBPB	FPR3	0.26656382189658956
CEBPB	ZNF22	0.21754815950372386
CEBPB	FPR2	0.28543761859379924
CEBPB	GATA3	0.20115005197380142
CEBPB	TAPBPL	0.22425586238422568
CEBPB	KIAA1370	0.22848378588263163
CEBPB	ZNF24	0.19652547171066104
CEBPB	OAZ1	0.20327536584156025
CEBPB	C2	0.33073486565779664
CEBPB	DYNC2LI1	0.21931950233751607
CEBPB	HSD11B1	0.20608543162320725
CEBPB	LOH12CR1	0.2593321313361887
CEBPB	CYB5R1	0.20489998592149128
CEBPB	EPB41L5	0.19468736525067598
CEBPB	RHOT2	0.228013552670693
CEBPB	SFN	0.2512181903880686
CEBPB	GSTM4	0.21023069674331918
CEBPB	LYN	0.25837030629604296
CEBPB	HLA-DRB6	0.23860292340437717
CEBPB	JUN	0.25046296136186186
CEBPB	PMM1	0.23540521441494988
CEBPB	CADM2	0.2379118137973233
CEBPB	PBX1	0.27271506259470346
CEBPB	LOC606724	0.3244441951604822
