Regulator	Target	MI
CEBPB	SPI1	0.2686425200588678
CEBPB	EHMT2	0.30862306431184283
CEBPB	GMFG	0.48799626385858197
CEBPB	TMEM97	0.20004705035522719
CEBPB	LOC100133669	0.19486683785474934
CEBPB	LACTB	0.26088600879157386
CEBPB	LOC134466	0.19843355492104298
CEBPB	AKT3	0.2088484458987363
CEBPB	C3AR1	0.21734335843592056
CEBPB	PKNOX2	0.242346951741073
CEBPB	GSTK1	0.2188409132548781
CEBPB	RNASE6	0.2068050970110793
CEBPB	ZFYVE20	0.28345114871882693
CEBPB	ZNF10	0.2620272715957688
CEBPB	CACNA2D4	0.43154866742255216
CEBPB	RNASE3	0.35891181270105754
CEBPB	RNASE2	0.46347819440438975
CEBPB	CH25H	0.3315538886505154
CEBPB	MYL6	0.22365655121484185
CEBPB	SPINT1	0.24660395493851173
CEBPB	ETHE1	0.3282579641196639
CEBPB	RUFY3	0.25845162251220977
CEBPB	FPR1	0.3022911706042617
CEBPB	COPS7B	0.2230081945110305
CEBPB	PDGFA	0.223484308273612
CEBPB	FPR3	0.28020778481521624
CEBPB	FPR2	0.24489749644546777
CEBPB	OAZ1	0.18855083035954756
CEBPB	C2	0.20890984976501237
CEBPB	C3	0.1951844370965281
CEBPB	CYB5R1	0.22850489755295822
CEBPB	EPB41L5	0.24686564777167863
CEBPB	ADAMTS14	0.29247457706297464
CEBPB	RNF214	0.29003195987099684
CEBPB	KCNMB1	0.20174637943293572
CEBPB	C14orf93	0.2377732739734988
CEBPB	LYN	0.3317382524931025
CEBPB	LOC390858	0.2027946367524427
CEBPB	NGFR	0.23418944443569512
CEBPB	JUN	0.4126206621902728
CEBPB	EDEM1	0.2081989507106874
CEBPB	FUCA1	0.20597707787028963
CEBPB	EDEM2	0.2964990726337575
CEBPB	FUCA2	0.22663550779052244
CEBPB	CP	0.2538034330089518
CEBPB	PBX1	0.38633958999132734
CEBPB	LOC606724	0.2525200213583414
CEBPB	TREML1	0.21993621715775102
CEBPB	VANGL2	0.298056091899892
CEBPB	FASN	0.18789720318780656
CEBPB	TREML3	0.3584860803020433
CEBPB	TREML2	0.27176405297848927
CEBPB	SASS6	0.27919922415258647
CEBPB	HAMP	0.26683145436506894
CEBPB	HNRNPA1L2	0.19689839781589047
CEBPB	ZBTB8B	0.295643133392943
CEBPB	DZIP3	0.2558457480996177
CEBPB	FERMT3	0.4919964961758163
CEBPB	ARHGAP9	0.34648620465991975
CEBPB	SIGLEC9	0.45589955399812965
CEBPB	WFIKKN1	0.18751988759862837
CEBPB	HEXB	0.32446746487580924
CEBPB	C13orf23	0.20835693115295673
CEBPB	HEXA	0.28773843640633423
CEBPB	SRPR	0.20242323991883993
CEBPB	CSDAP1	0.21794108336835105
CEBPB	TMEM51	0.23992068715247594
CEBPB	CTCF	0.2377110572964085
CEBPB	ARHGAP4	0.2147848996201125
CEBPB	IL18BP	0.19141208979614355
CEBPB	TSPO	0.4167328023903396
CEBPB	SH3BGRL3	0.5644339072959443
CEBPB	ZNF248	0.19630885313189328
CEBPB	IKBKE	0.2802745354426843
CEBPB	JAK3	0.2070638768684523
CEBPB	APPL1	0.18922818504817407
CEBPB	RAG1AP1	0.3504677562824243
CEBPB	GPR39	0.3187082265807568
CEBPB	ARG2	0.2461035474611828
CEBPB	RIPK3	0.2220414718481578
CEBPB	GSTO1	0.2461674888861971
CEBPB	SPHK1	0.276285035013041
CEBPB	TMC8	0.19942487231075212
CEBPB	EMP3	0.3223232523914472
CEBPB	FOS	0.21608066641401624
CEBPB	MRPL44	0.20305291344111964
CEBPB	SUMF1	0.21876812412712177
CEBPB	VAMP8	0.5191010138412882
CEBPB	PIGB	0.3882590958154841
CEBPB	TMEM37	0.21734706720895325
CEBPB	GPRC5B	0.2071260735696132
CEBPB	SLC7A7	0.2718948964705321
CEBPB	HOXA11AS	0.20208407393366645
CEBPB	RILPL2	0.312317961151515
CEBPB	INCENP	0.1961489008741264
CEBPB	OAF	0.2001192398212872
CEBPB	TMEM35	0.22847418469112935
CEBPB	L2HGDH	0.1860513246012534
CEBPB	HCST	0.35037480354594486
CEBPB	VAMP5	0.3377609106522401
CEBPB	ARF6	0.2961366063175346
CEBPB	FLJ43390	0.20896450688452806
CEBPB	ODC1	0.18725864288333938
CEBPB	KCNA5	0.18933779771386394
CEBPB	FAM117B	0.29969106341889873
CEBPB	TMEM70	0.2501850775431418
CEBPB	PTGS1	0.3109293522944485
CEBPB	HLA-DMA	0.31859243490948064
CEBPB	HLA-DMB	0.2005295046293165
CEBPB	UCP2	0.20556072136386216
CEBPB	SPP1	0.23453188472590814
CEBPB	IL12RB1	0.18930392970487286
CEBPB	CSMD1	0.2377345514883631
CEBPB	ZSWIM5	0.3320725238368487
CEBPB	LOC144486	0.23777131344035052
CEBPB	LRRC25	0.4414540907415949
CEBPB	MBD4	0.19537049334232925
CEBPB	P2RY13	0.1865147317355378
CEBPB	ATAD5	0.2316408972136914
CEBPB	GSX1	0.2609116113981971
CEBPB	BIK	0.19455876844081565
CEBPB	C10orf2	0.22407749857087822
CEBPB	LRRC27	0.19429085489107756
CEBPB	EMR2	0.20781332499800964
CEBPB	PLXDC2	0.20490692505941954
CEBPB	LRG1	0.20078624474301865
CEBPB	SNX15	0.2108247411760482
CEBPB	HLA-DPB1	0.23306791115767123
CEBPB	YPEL1	0.2186900263863789
CEBPB	NCAPD3	0.22181551191595084
CEBPB	SIGLEC7	0.32673107564729076
CEBPB	NCF1	0.20931865843847763
CEBPB	NCF2	0.24219543098093155
CEBPB	NCF4	0.28070239227689875
CEBPB	RASL11A	0.29177542569285286
CEBPB	F13A1	0.2511978218301092
CEBPB	SLA	0.30655101894096326
CEBPB	HR	0.21339900104684695
CEBPB	SAT1	0.7488427099667234
CEBPB	NUDT11	0.19109684817602712
CEBPB	FADS2	0.22018618961128578
CEBPB	EFEMP2	0.2061496334904085
CEBPB	EFEMP1	0.2104854753544929
CEBPB	PIM1	0.2147235417454283
CEBPB	FBRSL1	0.2309780455372703
CEBPB	TNFRSF8	0.1957078801469807
CEBPB	MAP3K8	0.39286512505054993
CEBPB	PIM3	0.19131267534940033
CEBPB	ZNF445	0.2355758137156041
CEBPB	HLA-DOB	0.1989903946053504
CEBPB	SLC16A3	0.2972404044098891
CEBPB	ZNF682	0.20130789405798044
CEBPB	CISH	0.24734563551549993
CEBPB	ZBTB33	0.23269452622986986
CEBPB	CDC25A	0.2139342026538653
CEBPB	TUBA4A	0.22861520247150047
CEBPB	ACAP1	0.23896454912226783
CEBPB	MSH2	0.22450493767929647
CEBPB	S100A4	0.2530024888451061
CEBPB	SNRNP200	0.25992467244724704
CEBPB	ZNF676	0.2034796837296371
CEBPB	S100A9	0.38205182368325996
CEBPB	SQSTM1	0.26277706997400685
CEBPB	S100A8	0.24913215590136684
CEBPB	FTL	0.23917132172750755
CEBPB	ZNF431	0.2362948030823233
CEBPB	LRRC58	0.20823587022057932
CEBPB	SHC3	0.20317440635064266
CEBPB	LOC100233209	0.3059452364867328
CEBPB	LY96	0.2896305861660977
CEBPB	FBXO45	0.19869778244227376
CEBPB	GPR83	0.21211804700486514
CEBPB	GPR84	0.2445071750096739
CEBPB	TNFRSF11A	0.2508759327921837
CEBPB	PKMYT1	0.1968552321978141
CEBPB	CYP19A1	0.18942559024481653
CEBPB	GPR82	0.22551091593934558
CEBPB	CCDC144A	0.19210369226167945
CEBPB	CORO1C	0.20739316123512008
CEBPB	CCDC144C	0.2384346507337609
CEBPB	NPAT	0.32582111608230324
CEBPB	SNN	0.2246973521224298
CEBPB	PGK1	0.23394442951561256
CEBPB	SLC38A6	0.2389003110222827
CEBPB	MBP	0.21529678060279078
CEBPB	SOCS7	0.21511630143114502
CEBPB	GRIA3	0.19245691407733734
CEBPB	GPR98	0.20870676171707814
CEBPB	LY86	0.3249193455131847
CEBPB	ARPC4	0.3155083127354086
CEBPB	FBXO34	0.21185684820227024
CEBPB	FOXN4	0.28392294979650057
CEBPB	ARPC2	0.2569188852071109
CEBPB	SP4	0.24682315936791266
CEBPB	TBXAS1	0.2556178041966888
CEBPB	ANXA2P1	0.2791185975836994
CEBPB	HLA-DRA	0.18791916032142364
CEBPB	NIT1	0.21482707761316355
CEBPB	ZNF652	0.27947542025379946
CEBPB	ARHGAP11A	0.24465636825994608
CEBPB	KCNK6	0.21619913070811236
CEBPB	MCFD2	0.23993515855003622
CEBPB	ITGAM	0.37553510749261143
CEBPB	ONECUT2	0.29978454297326174
CEBPB	ITGB2	0.2887679447443894
CEBPB	SQRDL	0.39125540397766656
CEBPB	NKPD1	0.20743539572405645
CEBPB	MRPL4	0.23523271988885508
CEBPB	FCGR3A	0.26146120274694606
CEBPB	KIAA1549	0.3638970039750742
CEBPB	DSE	0.2510362635924084
CEBPB	TNFSF12-TNFSF13	0.3572230025303087
CEBPB	UPP1	0.2349930025867648
CEBPB	ZNF643	0.22037844919458394
CEBPB	ACTR3	0.20185728858344554
CEBPB	BCAS4	0.19231300159106812
CEBPB	RNASET2	0.2933876531451114
CEBPB	SEZ6L	0.25554566639201504
CEBPB	TNFRSF1B	0.22467994312521267
CEBPB	MSL1	0.24174770565937287
CEBPB	TMBIM4	0.25906174172158103
CEBPB	NPC2	0.267792154730337
CEBPB	SLC25A19	0.22506611658756448
CEBPB	PCCB	0.20269062542371774
CEBPB	SMCR5	0.26614102972518694
CEBPB	ETF1	0.1927767495841568
CEBPB	LCP2	0.28971410091922145
CEBPB	ITGA5	0.22895168003823763
CEBPB	LCP1	0.34225177688670705
CEBPB	ACPP	0.3603008376501249
CEBPB	PION	0.2120655127674631
CEBPB	USP27X	0.2614318803496971
CEBPB	C1S	0.3802313971756579
CEBPB	HM13	0.25941934681467504
CEBPB	SRBD1	0.1976702554167833
CEBPB	ZBTB42	0.2165037249701438
CEBPB	ZBTB44	0.18720763938718665
CEBPB	PPM1E	0.19595071023618083
CEBPB	ZBTB40	0.1977158120181981
CEBPB	CECR2	0.33205384336912314
CEBPB	CCL8	0.2057082209751533
CEBPB	CNNM1	0.21517379415180926
CEBPB	KIAA1328	0.21479869564174248
CEBPB	CCL7	0.33187472306692545
CEBPB	SLITRK2	0.2532289573905411
CEBPB	CECR6	0.25823688429301583
CEBPB	CCL3	0.18680579925643404
CEBPB	CCL2	0.30809772035500593
CEBPB	E2F2	0.21142623825582252
CEBPB	LRRC8D	0.3256684475461391
CEBPB	IGF2BP3	0.2822059366135381
CEBPB	ZNF622	0.1898410475058787
CEBPB	BEND7	0.33050890393093724
CEBPB	FCGR1A	0.20769490769152554
