Regulator	Target	MI
CEBPB	NUP107	0.2378302451629537
CEBPB	PID1	0.25832849206758457
CEBPB	SPI1	0.32746152169808784
CEBPB	EHMT2	0.22754969865033825
CEBPB	IFT172	0.18837682797672795
CEBPB	SPINT2	0.253046039870938
CEBPB	LOC344967	0.26760703553953835
CEBPB	TMEM91	0.1945535182035245
CEBPB	SCAMP5	0.21303815160206696
CEBPB	LACTB	0.2245193343486882
CEBPB	LOC134466	0.1939267725134446
CEBPB	C14orf79	0.2642292618874116
CEBPB	HTR7	0.2878587515887112
CEBPB	C14orf72	0.19796178196357594
CEBPB	C3AR1	0.2678093753557409
CEBPB	FOXO3B	0.2810213751328776
CEBPB	FAM19A5	0.24689888540106697
CEBPB	GBP5	0.20643710199785215
CEBPB	GSTK1	0.19753637612696906
CEBPB	SDS	0.2244102227404099
CEBPB	RNASE6	0.3542938340027968
CEBPB	ZFYVE20	0.18840221753831443
CEBPB	HDGFRP3	0.19513946554443518
CEBPB	RNASE4	0.341250418786303
CEBPB	CACNA2D4	0.4746301009876568
CEBPB	RNASE3	0.25724167347700266
CEBPB	RNASE2	0.24021410840035085
CEBPB	SIGIRR	0.19289709154576595
CEBPB	EML6	0.27260710246600706
CEBPB	ETHE1	0.2624997536567095
CEBPB	RUFY3	0.20687936913101712
CEBPB	ORAI3	0.20245069381342695
CEBPB	IDO1	0.2666562721734387
CEBPB	SF1	0.23963077011611755
CEBPB	TTYH2	0.2700786286844652
CEBPB	CDCA5	0.2572570992574068
CEBPB	FPR2	0.24632524346495277
CEBPB	TAPBPL	0.3624948741929641
CEBPB	LY9	0.2906942702455977
CEBPB	KCNMB1	0.22986800640440652
CEBPB	RDH10	0.23672813144766192
CEBPB	MOV10L1	0.25347809786360287
CEBPB	LYN	0.2898077929246119
CEBPB	CREBBP	0.26452268177736027
CEBPB	HLA-DRB5	0.2252532507115319
CEBPB	PRRT3	0.27072802197126755
CEBPB	TIPARP	0.34237880011317046
CEBPB	EDEM2	0.20528457465276873
CEBPB	CP	0.30907009294384746
CEBPB	DHFR	0.1877546998145636
CEBPB	VANGL2	0.24690216251648156
CEBPB	TMEM99	0.31353710809830737
CEBPB	FXYD5	0.19722601774715276
CEBPB	PKIG	0.19881890658758472
CEBPB	DZIP3	0.32103771205130816
CEBPB	EZH1	0.2027828599568977
CEBPB	HLA-DRB1	0.24016014540812147
CEBPB	ZNF498	0.2352104501643355
CEBPB	FERMT3	0.35253867384555715
CEBPB	ARHGAP9	0.31157096987959765
CEBPB	PIGT	0.26101909650971233
CEBPB	SIGLEC9	0.35200471709506687
CEBPB	PIGO	0.21212781752690812
CEBPB	HEXA	0.3872847001225592
CEBPB	SHD	0.2454100624372506
CEBPB	ARHGAP4	0.2108498372172214
CEBPB	TUBA1C	0.19097752474100727
CEBPB	TSPO	0.5535217925778566
CEBPB	SH3BGRL3	0.23289138277552102
CEBPB	IKBKE	0.21449624958123437
CEBPB	APPL1	0.19019730241073152
CEBPB	HLA-DPA1	0.3444777796964589
CEBPB	ZNF486	0.2024163587341583
CEBPB	RAG1AP1	0.2719013583235492
CEBPB	ARG2	0.27451446495310705
CEBPB	C20orf197	0.2209811604575087
CEBPB	RIPK3	0.3428849418960169
CEBPB	GSTO1	0.22023817233816168
CEBPB	C13orf33	0.2051311430816103
CEBPB	EMP3	0.2730539474872149
CEBPB	JOSD2	0.32614206541745094
CEBPB	DYNLL2	0.18769874391679053
CEBPB	KIAA1383	0.2141812708799291
CEBPB	DDB1	0.28987832981781736
CEBPB	VAMP8	0.4761578183068149
CEBPB	PIGB	0.22882549643043681
CEBPB	TMEM37	0.34525057795133485
CEBPB	PSMA3	0.18614421926459102
CEBPB	BDH2	0.18852980723440194
CEBPB	MED24	0.26471339736749755
CEBPB	SLC7A7	0.2766828318099499
CEBPB	HOXA11AS	0.1977394736935425
CEBPB	RILPL2	0.44871504404474205
CEBPB	INCENP	0.22816562813945307
CEBPB	DPYD	0.4072355322752266
CEBPB	TMEM35	0.18945118775742031
CEBPB	CDC42EP1	0.1878143803114556
CEBPB	TUT1	0.2715223479352993
CEBPB	DSCAML1	0.2025330753944523
CEBPB	HCST	0.4320608364283771
CEBPB	VAMP5	0.3672906268313332
CEBPB	TMEM106A	0.30195021890641005
CEBPB	CHST3	0.1997103823882389
CEBPB	RAPGEF4	0.23407528145806644
