Regulator	Target	MI
CEBPB	SPI1	0.30737316825331806
CEBPB	EHMT2	0.37279299334422067
CEBPB	GMFG	0.19456990785462924
CEBPB	C22orf25	0.2067899259486845
CEBPB	SUV420H1	0.20680545798641248
CEBPB	FAM110A	0.21117426856963206
CEBPB	PSMD9	0.20018759684756393
CEBPB	COMTD1	0.3604942546628127
CEBPB	C14orf73	0.2476447920669509
CEBPB	TDO2	0.20296214857128358
CEBPB	GPBP1	0.334466890313057
CEBPB	ZC3H12A	0.3634311474855769
CEBPB	CKMT1B	0.23243546184622943
CEBPB	VSTM1	0.2737980647312366
CEBPB	PKNOX1	0.21723775898663078
CEBPB	PRKACA	0.2074814618368146
CEBPB	MNX1	0.18748364529813788
CEBPB	CHID1	0.19186575112367965
CEBPB	GBP5	0.24359461589836862
CEBPB	GSTK1	0.3563668694216009
CEBPB	STARD5	0.18696961156084058
CEBPB	LOC388796	0.21236900334753006
CEBPB	RNASE6	0.2073365196017125
CEBPB	ZFYVE20	0.20333440410981396
CEBPB	ZNF10	0.24275929164748344
CEBPB	FRS2	0.27996454196430953
CEBPB	PHKA1	0.20913510314702677
CEBPB	RNASE4	0.2631061928118408
CEBPB	UNC5C	0.27018649032415265
CEBPB	CACNA2D4	0.41358784478385946
CEBPB	RNASE3	0.23142154841496065
CEBPB	UNC5D	0.2350031612955199
CEBPB	GAPVD1	0.28233929774380684
CEBPB	CH25H	0.2967786491498341
CEBPB	SPINT1	0.251071550533843
CEBPB	SCO2	0.31007932683858463
CEBPB	CLDN7	0.2226622886710583
CEBPB	DDIT4	0.2676722675437553
CEBPB	ORAI3	0.19318644721816192
CEBPB	IDO1	0.4015829190607443
CEBPB	MTMR2	0.19202658026565
CEBPB	ZBTB8A	0.2573532181756839
CEBPB	NLRX1	0.21197500442049044
CEBPB	CLCNKB	0.2077463684191443
CEBPB	FPR1	0.19247651721159897
CEBPB	CLCNKA	0.24350826409755744
CEBPB	MTMR9	0.21173848577655185
CEBPB	SLCO5A1	0.25969334981435654
CEBPB	FPR2	0.30287819819604866
CEBPB	TAPBPL	0.3277100616687525
CEBPB	PLA2G6	0.22585896018069285
CEBPB	OAZ1	0.21622297834511528
CEBPB	C2	0.25658675467542924
CEBPB	C3	0.20626673419724018
CEBPB	EPB41L5	0.2949992235032086
CEBPB	ADAMTS14	0.24353818868095534
CEBPB	ADAMTS19	0.21032812335532292
CEBPB	RNF215	0.19759806810247493
CEBPB	FIGNL1	0.2336727734716808
CEBPB	WBP2NL	0.18865259709355264
CEBPB	SFN	0.19971849131704644
CEBPB	RHBDL3	0.21500079528555904
CEBPB	ZBTB7B	0.24450434550948152
CEBPB	LYN	0.26097789279377537
CEBPB	ABCA2	0.20606258204605776
CEBPB	JUN	0.19141270564656576
CEBPB	PMM1	0.2947389116568244
CEBPB	CADM2	0.3252522352799625
CEBPB	ABCA3	0.20125984611058012
CEBPB	FUCA1	0.19800550330002054
CEBPB	APCDD1L	0.3384017347456778
CEBPB	LOC642852	0.19034097528775362
CEBPB	BTBD12	0.19947701092648895
CEBPB	LOC606724	0.27978212856541074
CEBPB	CS	0.2589048201548696
CEBPB	LOC729234	0.28792635779793674
CEBPB	ABTB1	0.20266761623731533
CEBPB	MLLT10	0.34772752195014967
CEBPB	FASN	0.21379136628276818
