Regulator	Target	MI
CEBPB	SPI1	0.39632978571804767
CEBPB	GMFG	0.3046067150777363
CEBPB	TMEM97	0.22921723574120634
CEBPB	RABGEF1	0.2158062311859652
CEBPB	TBK1	0.20656672283001587
CEBPB	CAPNS1	0.27222553229945046
CEBPB	AKT3	0.24971285547550703
CEBPB	C3AR1	0.3525073401805727
CEBPB	LIPN	0.21485768931893467
CEBPB	AKT1	0.21217648893924235
CEBPB	FOXO3B	0.19549058389336516
CEBPB	TMEM8B	0.21557701127298934
CEBPB	GSTK1	0.38380516098540607
CEBPB	SECISBP2	0.2291734138645367
CEBPB	CACNA2D3	0.23019071825667226
CEBPB	ZNF10	0.20698031803076233
CEBPB	CACNA2D4	0.4071540515367085
CEBPB	RNASE3	0.2124260415254451
CEBPB	RNASE2	0.330356661719299
CEBPB	LRRC37B	0.29092024921355275
CEBPB	CH25H	0.23832839147251583
CEBPB	C14orf80	0.2038653188943771
CEBPB	PADI2	0.3412034183647519
CEBPB	TMEM126B	0.20750122436163032
CEBPB	IDO1	0.20847316351207734
CEBPB	SKAP2	0.20064301536749074
CEBPB	FPR1	0.2869679134279455
CEBPB	MTMR9	0.22333271808824406
CEBPB	FPR3	0.21698453328542833
CEBPB	ZNF22	0.27050711800135563
CEBPB	FPR2	0.4458911430670618
CEBPB	ZNF23	0.23118468412179194
CEBPB	OAZ1	0.24152328191218952
CEBPB	C2	0.26761532089815265
CEBPB	C3	0.33119638861698686
CEBPB	EPB41L5	0.20708754871336055
CEBPB	LOC100128288	0.2009106255873947
CEBPB	ADAMTS14	0.2052904548839809
CEBPB	KCNE1L	0.18955566144029845
CEBPB	LOC100132111	0.18645110193173764
CEBPB	LYN	0.24830283630835925
CEBPB	HLA-DRB6	0.19903423124295383
CEBPB	TSLP	0.218634580884971
CEBPB	CADM2	0.1936554004841904
CEBPB	NAPSB	0.19618109368968462
CEBPB	FUCA1	0.19973933881343875
CEBPB	APCDD1L	0.2542236110708025
CEBPB	EDEM2	0.31125540626575354
CEBPB	ERLIN1	0.21537262408818503
CEBPB	BTBD12	0.22507228444186733
CEBPB	MRPL24	0.19778741313854464
CEBPB	PBX1	0.2972236961922423
CEBPB	LOC606724	0.36340627621369137
CEBPB	MLLT11	0.2630427140546674
CEBPB	TREML1	0.42262249749096625
CEBPB	FERMT1	0.19224152754453083
CEBPB	MLLT10	0.3144186241260689
CEBPB	TREML2	0.21017608101661
CEBPB	FXYD6	0.27955087258867817
CEBPB	FXYD5	0.23698462541142273
CEBPB	HAMP	0.3379666738703193
CEBPB	HLA-DRB1	0.22044002515681793
CEBPB	SFXN5	0.20366012623361662
CEBPB	FERMT3	0.4306395591727963
CEBPB	LGMN	0.2309975025490809
CEBPB	ARHGAP9	0.48381076262648115
CEBPB	ZNF496	0.23115651267438508
CEBPB	PGCP	0.22171356471318315
CEBPB	PIGT	0.19682696582468218
CEBPB	SIGLEC9	0.38237338422935796
CEBPB	ZNF492	0.21047850502622012
CEBPB	HEXA	0.2677356329614229
CEBPB	TMEM51	0.26526256054836495
CEBPB	METTL11B	0.23763403430312113
CEBPB	RCSD1	0.3756750126791868
CEBPB	ZNF48	0.20404609489895797
CEBPB	ARHGAP4	0.32528880812441585
CEBPB	IL18BP	0.2062175676609792
CEBPB	TUBA1C	0.2179525611542461
CEBPB	LMBR1	0.19399722946563092
CEBPB	MTMR15	0.20354747115853833
CEBPB	TSPO	0.39293308587103226
CEBPB	SH3BGRL3	0.5098745541503877
CEBPB	FGFBP3	0.22115399606751573
CEBPB	CTBS	0.21947030656590716
CEBPB	JAK3	0.33271153029591893
