Regulator	Target	MI
CEBPB	ATF2	0.20642488239875423
CEBPB	SPI1	0.6316076299530398
CEBPB	GMFG	0.43426532532236894
CEBPB	LOC134466	0.24782408005360512
CEBPB	ALKBH5	0.18595729245841675
CEBPB	COMTD1	0.2017687997131974
CEBPB	ISLR	0.20241080327335226
CEBPB	KIAA1109	0.19033577892960718
CEBPB	CAPNS1	0.31816611979527654
CEBPB	DPYSL3	0.22390449431602644
CEBPB	GPBP1	0.24242996644588466
CEBPB	C3AR1	0.20695141223203795
CEBPB	VSTM1	0.24716842913663228
CEBPB	TSTD1	0.30038706288708106
CEBPB	CACNA2D4	0.4943884456752752
CEBPB	UNC5D	0.24822046865008307
CEBPB	CH25H	0.30855736163835257
CEBPB	SPINT1	0.32115880187199863
CEBPB	CTAGE4	0.2720862136580502
CEBPB	FEZ1	0.25154930205624293
CEBPB	ZC3H11A	0.21155168899747334
CEBPB	DDIT4	0.34466644276834657
CEBPB	JTB	0.24148009141762916
CEBPB	CTAGE6	0.20920607631775923
CEBPB	ATF5	0.25843098031951506
CEBPB	SKAP1	0.18648817609466573
CEBPB	LOC550643	0.2256690904966545
CEBPB	LYPD1	0.416367836575664
CEBPB	PDGFA	0.22727895052999614
CEBPB	CREBBP	0.35803186921354513
CEBPB	HLA-DRB5	0.21911939344964715
CEBPB	PRPF38A	0.23072448364696552
CEBPB	TIPARP	0.31236277292401216
CEBPB	FUCA1	0.3322859460724592
CEBPB	FUCA2	0.3424956031431181
CEBPB	PBX1	0.30022182367268524
CEBPB	LOC606724	0.23153409079583032
CEBPB	FASN	0.21831289049003022
CEBPB	TREML2	0.2633802469209785
CEBPB	SFXN4	0.19200965218888566
CEBPB	FXYD5	0.304232767663855
CEBPB	DZIP1	0.3917530207074318
CEBPB	LGMN	0.22676823083912367
CEBPB	ARHGAP9	0.26516971906590214
CEBPB	PGCP	0.2349496214301814
CEBPB	SIGLEC9	0.4518080732884373
CEBPB	NCAPG2	0.2803371132455137
CEBPB	LOC92973	0.22094948599047726
CEBPB	FRG2C	0.2610225686610299
CEBPB	FAM115A	0.2386572737475463
CEBPB	ARHGAP4	0.23379518897050833
CEBPB	PCMTD2	0.4387733460023222
CEBPB	SMPD3	0.25160840090628067
CEBPB	MED13	0.24594850377967958
CEBPB	ZNF41	0.2888565603829365
