Regulator	Target	MI
CEBPB	ATF2	0.3257441242230188
CEBPB	LOC400759	0.23254432465297636
CEBPB	PID1	0.2394341601290506
CEBPB	SPI1	0.34727906428848687
CEBPB	POP1	0.3619086795508748
CEBPB	GMFG	0.23178073539126753
CEBPB	EHMT1	0.2593431330832532
CEBPB	TMEM97	0.2367979335529551
CEBPB	F11R	0.31767234686324297
CEBPB	CLDN1	0.25329447232425206
CEBPB	IL4I1	0.2849136863123549
CEBPB	LACTB	0.21122944065511895
CEBPB	TDO2	0.20721725713181627
CEBPB	FGFR1OP2	0.24053098331229616
CEBPB	ZC3H12A	0.25715922353131226
CEBPB	EPSTI1	0.19368992321048584
CEBPB	VSTM1	0.21265066991298376
CEBPB	PKNOX1	0.21310679529556875
CEBPB	GBP5	0.3054367538343268
CEBPB	GSTK1	0.30709358389613506
CEBPB	STARD5	0.20759345931511763
CEBPB	C22orf36	0.21722666306716398
CEBPB	RNASE4	0.196867952793359
CEBPB	UNC5C	0.23981292405687604
CEBPB	CACNA2D4	0.4348751054947435
CEBPB	RNASE2	0.30572035345823334
CEBPB	SCAMP1	0.2923248013326196
CEBPB	ZNF14	0.24691345739675974
CEBPB	LRRC37B	0.2894075283538191
CEBPB	EML3	0.27108192932155184
CEBPB	CH25H	0.38092853923959336
CEBPB	SPINT1	0.23697616469759808
CEBPB	ETHE1	0.3210884931428719
CEBPB	RUFY3	0.3349569307678735
CEBPB	KIAA0247	0.3364317987305503
CEBPB	IDO1	0.2956948561186481
CEBPB	MTMR1	0.2002664637368845
CEBPB	CDCA2	0.23468571124698911
CEBPB	SFRS17A	0.21523039338752437
CEBPB	CRABP1	0.2649528501557574
CEBPB	MYNN	0.2863015364000763
CEBPB	MTMR9	0.29688531492994574
CEBPB	FPR2	0.3153424144724566
CEBPB	TAPBPL	0.3629989354044927
CEBPB	PLA2G6	0.24274573263641308
CEBPB	OAZ1	0.2804044322986785
CEBPB	NCAPH	0.2408072358721629
CEBPB	OAZ2	0.1950128674063718
CEBPB	C2	0.20563754665347567
CEBPB	C3	0.20968263604297288
CEBPB	HSD11B1	0.29054273997935187
CEBPB	PRPSAP2	0.2461768152749162
CEBPB	FIGNL1	0.19280284417725024
CEBPB	RHBDL3	0.267456515203949
CEBPB	LYN	0.3332528329560276
CEBPB	HLA-DRB5	0.2109736604977872
CEBPB	CADM2	0.18974903300179946
CEBPB	TIPARP	0.2743693584872471
CEBPB	FUCA1	0.27826834179467586
CEBPB	APCDD1L	0.21590488094725657
CEBPB	EDEM2	0.25499302347005326
CEBPB	PMM2	0.19633082768286148
CEBPB	BTBD12	0.223799856375142
CEBPB	CP	0.32494734766444733
CEBPB	LOC606724	0.3176397783577851
CEBPB	TREML1	0.19620072123942567
CEBPB	FASN	0.20552112601018813
CEBPB	TREML2	0.2864574361697443
CEBPB	ZNF30	0.31433295282893425
CEBPB	FXYD6	0.30482360915976603
CEBPB	FXYD5	0.29495906348739087
CEBPB	AVL9	0.1873383866118603
CEBPB	HAMP	0.23626558208878556
CEBPB	HNRNPA1L2	0.21658466922747266
CEBPB	ZBTB8B	0.28204688716907
CEBPB	HLA-DRB1	0.28522923517530785
CEBPB	FERMT3	0.4293861648162416
CEBPB	LGMN	0.1932223517212286
CEBPB	ARHGAP9	0.4488359988511199
CEBPB	PGCP	0.2586079277195701
CEBPB	SIGLEC9	0.3213614205059052
CEBPB	ZNF493	0.24593981089973482
CEBPB	HEXB	0.27316057285901696
CEBPB	HEXA	0.22298129178661785
CEBPB	TMEM51	0.26975392303945167
CEBPB	EFCAB5	0.2235370363745215
CEBPB	CTCF	0.19233751645881458
CEBPB	LRRC33	0.25916548581119425
CEBPB	ZNF48	0.1964585882224128
CEBPB	ARHGAP4	0.3557373998330293
CEBPB	IL18BP	0.2638897177236599
CEBPB	TMEM48	0.3155586623766604
CEBPB	MRPL40	0.2156114736168604
CEBPB	TSPO	0.47559112216982413
CEBPB	DLGAP1	0.2196638704239966
CEBPB	SH3BGRL3	0.33490587278193384
CEBPB	FGFBP3	0.2379316767047559
CEBPB	CTBS	0.1952367810824427
CEBPB	IKBKE	0.2369670367834571
CEBPB	HLA-DPA1	0.18727308389063513
CEBPB	LIN52	0.18814499707083865
CEBPB	MESDC2	0.22637887190608197
CEBPB	RAG1AP1	0.34200213850271055
CEBPB	CHST7	0.2389065578272893
CEBPB	KCND2	0.3190077670871272
CEBPB	RIPK3	0.2134874593148135
CEBPB	DUSP1	0.21108517591535136
CEBPB	LRRC40	0.20652325636060276
CEBPB	EMP3	0.32519525339824185
CEBPB	MRPL45	0.21061235454182547
CEBPB	DYNLL2	0.2031930415795058
CEBPB	SIRT3	0.18836890142591578
CEBPB	SUMF1	0.28152840632361453
CEBPB	VAMP8	0.3552639850158732
CEBPB	PIGB	0.19458513416343148
CEBPB	TMEM37	0.1995837766831361
CEBPB	PLSCR1	0.4062560595849014
CEBPB	SLC7A7	0.19870488619313864
CEBPB	HOXA11AS	0.19689854061742285
CEBPB	RILPL2	0.32942186245930305
CEBPB	PTRH2	0.28449710351982205
CEBPB	TMEM35	0.2555687204931534
CEBPB	ERGIC3	0.2145281391185474
CEBPB	HCST	0.3790974442417978
CEBPB	VAMP5	0.38289796290647704
CEBPB	ZNF235	0.20446712213544505
CEBPB	CRB1	0.19827657955786115
