Regulator	Target	MI
CEBPB	JRK	0.36453920617832036
CEBPB	SPI1	0.418039798009767
CEBPB	POP1	0.27781275831756513
CEBPB	GMFG	0.3704806524346429
CEBPB	SPINT2	0.2667603339144531
CEBPB	ALKBH1	0.2159435841648225
CEBPB	C3AR1	0.3343991366410082
CEBPB	FOXO3B	0.27936879992179264
CEBPB	GSTK1	0.1998971488319139
CEBPB	SDS	0.19392716510649688
CEBPB	TSTD2	0.1955566448436139
CEBPB	CACNA2D4	0.49464976488554946
CEBPB	SPINT1	0.2742143070738141
CEBPB	CTAGE4	0.20132386968434712
CEBPB	ORAI3	0.30498590935506176
CEBPB	PLBD2	0.2662915905448999
CEBPB	SKAP1	0.21396059993943783
CEBPB	SF1	0.2002916094889713
CEBPB	LYPD3	0.3146249308231406
CEBPB	PLA2G6	0.20137845863847836
CEBPB	EPB41L5	0.2817217595157615
CEBPB	RDH10	0.28913534127412355
CEBPB	PDGFC	0.18758186658303977
CEBPB	ATG7	0.34646335370701564
CEBPB	FUCA1	0.23247410862872986
CEBPB	BTBD12	0.2234038656651327
CEBPB	LOC606724	0.30660670626952147
CEBPB	TREML1	0.3193051304769119
CEBPB	TBL2	0.23947112655189517
CEBPB	ZNF30	0.2814659031611866
CEBPB	FAT3	0.22933344668519862
CEBPB	FXYD6	0.25019989191414815
CEBPB	FXYD5	0.3273118065798162
CEBPB	DZIP1	0.19283308289488854
CEBPB	DZIP3	0.18943100684128833
CEBPB	HLA-DRB1	0.2631949800153457
CEBPB	LGMN	0.23460664039712853
CEBPB	ARHGAP9	0.3728503725193413
CEBPB	PGCP	0.24931911497942671
CEBPB	SIGLEC9	0.4823009073660529
CEBPB	ZNF493	0.3421744715374757
CEBPB	CATSPER2P1	0.23383381875812503
CEBPB	SNX10	0.29484215500866195
CEBPB	ARHGAP4	0.28928946792063126
CEBPB	MED12	0.2032107432351058
CEBPB	MED13	0.22750783168289423
CEBPB	OLR1	0.2050002575041905
CEBPB	TSPO	0.39812289997269623
CEBPB	JAK3	0.19874435925807443
CEBPB	APC2	0.2758141401935461
CEBPB	RAG1AP1	0.4632397882201742
CEBPB	MYBPC1	0.282821281863896
CEBPB	GSTO1	0.24065780832315387
CEBPB	METRN	0.268464226511262
CEBPB	ZNF480	0.2698934736863494
CEBPB	SPHK1	0.20469857664751512
CEBPB	RAB3IL1	0.18681957229003654
CEBPB	JOSD2	0.2808500354732688
CEBPB	MED26	0.2968411639514068
CEBPB	FAM113B	0.28120409350158226
CEBPB	MED24	0.34239404657443817
CEBPB	SLC7A7	0.27361296904811816
CEBPB	MMP16	0.2828791424749033
