Regulator	Target	MI
CEBPB	SPI1	0.3469806186240669
CEBPB	POP1	0.2527178099874181
CEBPB	SPIB	0.2517966060306316
CEBPB	HTR7	0.2478150849656382
CEBPB	DPYSL4	0.1912717623856084
CEBPB	DPYSL5	0.2506361059318998
CEBPB	DPYSL3	0.1899049367131891
CEBPB	RAVER2	0.24913739660774947
CEBPB	C3AR1	0.3640422085304911
CEBPB	PWWP2A	0.22512078201529118
CEBPB	PRKACA	0.33448224488664735
CEBPB	PHKA1	0.25667850073755893
CEBPB	CACNA2D4	0.40937180547535057
CEBPB	CH25H	0.2769148608258112
CEBPB	SPINT1	0.2919555103389344
CEBPB	DDIT3	0.3120370158106631
CEBPB	ORAI3	0.3411263485185847
CEBPB	ATF3	0.2537703108157343
CEBPB	BAZ2B	0.28550292298551216
CEBPB	RHOT2	0.2255688340533073
CEBPB	RDH11	0.20347430065693306
CEBPB	RDH10	0.393140284498922
CEBPB	MOV10L1	0.23523897714665143
CEBPB	PIP5K1A	0.21047566902812775
CEBPB	ATG7	0.3076964903611916
CEBPB	GSTM4	0.24742518665858348
CEBPB	JUN	0.37676111603679896
CEBPB	PBX1	0.254435499824039
CEBPB	LOC606724	0.342550528298573
CEBPB	TREML1	0.4659212121136722
CEBPB	TREML3	0.2817918331259257
CEBPB	TREML2	0.41630083341014146
CEBPB	FXYD5	0.38541098761561443
CEBPB	DZIP3	0.3446829474477342
CEBPB	RNF220	0.18587471883798568
CEBPB	ARHGAP9	0.38900558701539456
CEBPB	LIN54	0.18586603886044983
CEBPB	SIGLEC9	0.4420379501200937
CEBPB	ZNF43	0.2202317998576957
CEBPB	FRG2C	0.2047470989351714
CEBPB	HOXC10	0.2334926934987429
CEBPB	OSBPL10	0.2522528587592259
CEBPB	TSPO	0.21027447978863378
CEBPB	RAG1AP1	0.23986524166668133
CEBPB	KCND2	0.19663199682175492
CEBPB	DUSP1	0.43299061109385484
CEBPB	GSTO1	0.26498295216504175
CEBPB	RAB3IL1	0.3284862374642472
CEBPB	TEX19	0.20077191284337914
CEBPB	MED23	0.20437155865514178
CEBPB	MMP11	0.22383448350156154
CEBPB	FAM113B	0.18778445004621602
CEBPB	SLC7A7	0.3449200249815325
CEBPB	HCST	0.35971070943223094
CEBPB	KCNA2	0.2455278858332548
CEBPB	KCNA5	0.2778929845850575
CEBPB	FAM117A	0.3714117493243867
CEBPB	ADAM28	0.20991950807514836
CEBPB	LOC643763	0.261707076741855
CEBPB	SPP1	0.4303438535685977
CEBPB	STX4	0.18722908270022387
CEBPB	IL12RB1	0.29923918950769934
CEBPB	MBD4	0.2842961908062671
CEBPB	EGLN3	0.2852233839929692
CEBPB	PKM2	0.21651021374226076
CEBPB	ADAM33	0.21955298826766967
CEBPB	SNX20	0.20406218170291357
CEBPB	SKI	0.21039258189496568
CEBPB	COL3A1	0.1997307016028298
CEBPB	FAM115C	0.42779659540248893
CEBPB	SNX19	0.21682182481102963
CEBPB	SHKBP1	0.21604903718183444
CEBPB	CENPO	0.20160532591476166
CEBPB	AGRN	0.2758607717217787
CEBPB	SIGLEC7	0.4143381576863927
CEBPB	OLFML2B	0.2695598001829209
CEBPB	FBXO28	0.22023415606320196
CEBPB	RASL11A	0.18645489561036932
CEBPB	REG1A	0.20052871082134693
CEBPB	MSI2	0.20792515328618055
CEBPB	FBXO21	0.19046539468807122
CEBPB	EFEMP1	0.3325574431067899
CEBPB	IBSP	0.21073068275896922
CEBPB	ADORA3	0.4362744358895725
CEBPB	MAP3K8	0.5274399791807705
CEBPB	NUDT17	0.22895091735257012
CEBPB	NUDT14	0.21049140271089417
CEBPB	FBXW5	0.3582464097189977
CEBPB	CISH	0.2762152625228538
CEBPB	KCNH7	0.3015388930141558
CEBPB	ATP11B	0.20747397684706037
CEBPB	CNPY3	0.22128193431655063
CEBPB	ZNF436	0.27466185209743976
CEBPB	PTPRCAP	0.2414294386211404
CEBPB	ZNF434	0.26789051947194764
CEBPB	FTL	0.40356470137362255
CEBPB	ZNF431	0.23228176453439797
CEBPB	FTO	0.22733157259259062
CEBPB	GRIA2	0.4303980263546805
CEBPB	BLM	0.22178364771887438
CEBPB	SHC3	0.2931143795667639
CEBPB	AGAP11	0.20404677454447384
CEBPB	LY96	0.22213245594757147
CEBPB	FBXO45	0.19363262564681882
CEBPB	UAP1	0.29308290508353796
CEBPB	CORO1A	0.31264586646209036
CEBPB	CCDC144C	0.34775919385246645
CEBPB	ARL17A	0.3049653987558969
CEBPB	ZNF429	0.3349666109901692
CEBPB	SMYD1	0.20114145750568024
CEBPB	EIF4EBP3	0.19109537120821862
CEBPB	TNFRSF14	0.3730444041978185
CEBPB	TXNDC5	0.27458926187597044
CEBPB	NEK4	0.23066043902668998
CEBPB	STYX	0.21356902435561675
CEBPB	LY86	0.231753410005064
CEBPB	HPS3	0.3081020502542078
CEBPB	HPS5	0.23497574235865404
CEBPB	ARPC2	0.26306884079709114
CEBPB	SP4	0.27052762597182767
CEBPB	TBXAS1	0.34745620215984196
CEBPB	FAM7A2	0.2657483889500485
CEBPB	MIPEP	0.30021576928074456
CEBPB	KCNK6	0.196941862409318
CEBPB	CIITA	0.2280163902666752
CEBPB	ITGAM	0.3672555305927885
CEBPB	ITGB2	0.5342112684776055
CEBPB	ITGAL	0.19144960875949568
CEBPB	RLBP1	0.3087146709447115
CEBPB	SPR	0.29913489661587356
CEBPB	SPDYE1	0.22787657248574078
CEBPB	ACP5	0.18580072291726246
CEBPB	NKX3-2	0.2542267102135618
CEBPB	TRIM62	0.23991609161431615
CEBPB	RNASET2	0.4696943462428358
CEBPB	ACTR8	0.3733455315862235
CEBPB	TNFRSF1B	0.49975021780255346
CEBPB	ARFGAP1	0.22860668695619424
CEBPB	TNFRSF1A	0.25652466343311087
CEBPB	LCOR	0.20224073944885657
CEBPB	LCP2	0.3339790607029389
CEBPB	ITGA5	0.34410870563797236
CEBPB	ACPP	0.21908737933706934
CEBPB	PRPS2	0.3176634379027794
CEBPB	SNAP47	0.22272450013898482
CEBPB	LRTM2	0.32505029360083526
CEBPB	ATP10B	0.33899007422434124
CEBPB	MLLT4	0.2318614505879184
CEBPB	FYB	0.23323859755724463
CEBPB	ZNRF2	0.21559765640765693
CEBPB	ZNRF3	0.23722842716400994
CEBPB	TRIM47	0.2680315964082718
CEBPB	FSD2	0.1978248256902333
CEBPB	RILP	0.21899522229104829
CEBPB	HNRNPA0	0.19513278918485
CEBPB	TBX1	0.18831223011032527
CEBPB	POLR2J2	0.2410378492866645
CEBPB	CYP4B1	0.20171048092446497
CEBPB	GZMB	0.2079013693106475
CEBPB	NAGA	0.21901639367815662
CEBPB	PINK1	0.2544759580248215
CEBPB	NAGK	0.23728013459132846
CEBPB	EIF3H	0.1976442532397611
CEBPB	CD248	0.18753960637117384
CEBPB	NAGS	0.2598103990424345
CEBPB	TRIM38	0.21641064315181247
CEBPB	PIK3AP1	0.3708346334467789
CEBPB	MYO1F	0.2813230004956333
CEBPB	MYO1G	0.4095185010401181
CEBPB	TRIM34	0.19252854007313935
CEBPB	CPNE8	0.2654210956325844
CEBPB	IFLTD1	0.27839696969987404
CEBPB	ICAM3	0.33164340232073997
CEBPB	ICAM4	0.26184230298580147
CEBPB	IKZF1	0.41233569240832235
CEBPB	LGALS3	0.2380687095041445
CEBPB	CDC23	0.22932611453123108
CEBPB	TNFSF11	0.27353237008971387
CEBPB	LGALS9	0.2426025363046529
CEBPB	SNRPD3	0.29369388802924057
CEBPB	FBXO9	0.19712739100491117
CEBPB	ARL11	0.2079232059129721
CEBPB	SMARCC2	0.287460017522311
CEBPB	ARL15	0.29968523824528415
CEBPB	KCNK13	0.2005328534169708
CEBPB	SLPI	0.1890259146751827
CEBPB	SOAT1	0.2522191756431207
CEBPB	KCNQ1	0.3127200303058064
CEBPB	NINJ1	0.25802859195459593
CEBPB	BTK	0.26009080715635857
CEBPB	MT1G	0.20248743322451812
CEBPB	MTCP1	0.24194230310819442
CEBPB	RIN3	0.20898907220022522
CEBPB	TRIB1	0.2366148213830881
CEBPB	KCTD15	0.18771124931781547
CEBPB	SLC45A2	0.23281581312819455
CEBPB	OMA1	0.1877836161299884
CEBPB	SYNGR2	0.35588203470441293
CEBPB	RRAS	0.37675392018189857
CEBPB	HLTF	0.3499151458678744
CEBPB	NEU1	0.2789588058229686
CEBPB	KCNN1	0.21962910608374386
CEBPB	PCK2	0.28841345552226816
CEBPB	TBC1D8B	0.2142696654109626
CEBPB	MSR1	0.3168013088122308
CEBPB	TNFSF12	0.24059719210922736
CEBPB	SLC10A3	0.3155669468620177
CEBPB	PPBP	0.28123418798482636
CEBPB	NTAN1	0.3186408649806314
CEBPB	C16orf54	0.3533444541345059
CEBPB	SMARCA4	0.21261962606200058
CEBPB	POLA1	0.21155764149023248
CEBPB	LPAR5	0.5007301696678654
