Regulator	Target	MI
CEBPB	JRK	0.20615766954401593
CEBPB	SPI1	0.361693558244367
CEBPB	GMFG	0.35314555523608426
CEBPB	SPINT2	0.2206083476826306
CEBPB	ALKBH7	0.21058069283771008
CEBPB	NOC2L	0.2875584595636962
CEBPB	SLA2	0.24340536469510798
CEBPB	NDST1	0.21342787506185346
CEBPB	KIAA1109	0.18872912357127802
CEBPB	CAPNS1	0.3121693615000156
CEBPB	AKT3	0.25836973010763575
CEBPB	ZC3H12A	0.26546391916239287
CEBPB	C3AR1	0.3445155890118565
CEBPB	PLEKHM1P	0.2348815660976742
CEBPB	GSTK1	0.20672374766381818
CEBPB	SDS	0.2230428256862682
CEBPB	ZNF10	0.2747077881475386
CEBPB	UNC5C	0.1930322210562414
CEBPB	CACNA2D4	0.49163060036858486
CEBPB	CH25H	0.21464842464514078
CEBPB	SPINT1	0.24063262195546375
CEBPB	JTB	0.2645457884848499
CEBPB	SKAP1	0.24133055809779957
CEBPB	SF1	0.1965914637544568
CEBPB	PLK5P	0.275027516064422
CEBPB	TSTA3	0.2273756285904378
CEBPB	SHMT2	0.24431125991820135
CEBPB	SHMT1	0.28792629915114265
CEBPB	TPRG1L	0.22495426778436123
CEBPB	DEDD2	0.21973582150243498
CEBPB	EPB41L5	0.2582738018778299
CEBPB	ADAMTS14	0.22196339950678912
CEBPB	RNF214	0.2553922700913738
CEBPB	RNF216	0.27721968783825
CEBPB	ADAMTS19	0.19349134114079192
CEBPB	AFMID	0.24805345351986308
CEBPB	SFN	0.25695128702838144
CEBPB	CREBBP	0.24707309277580247
CEBPB	HLA-DRB5	0.33375827060177876
CEBPB	PRPF38A	0.32673976023824114
CEBPB	TSLP	0.22607240390944217
CEBPB	FUCA2	0.2704402261198773
CEBPB	LOC606724	0.3084516592791191
CEBPB	LOC729234	0.2591445750967507
CEBPB	VANGL2	0.18892296360514393
CEBPB	CILP	0.2602701606060984
CEBPB	TREML2	0.23392126203129848
CEBPB	FAT3	0.19476566877004586
CEBPB	FXYD5	0.3417567499700054
CEBPB	HNRNPA1L2	0.19205418001673547
CEBPB	ARHGAP9	0.5245628227044357
CEBPB	PGCP	0.24005697149552763
CEBPB	SIGLEC9	0.5578756176313311
CEBPB	CATSPER2P1	0.20202211267809211
CEBPB	LOC92973	0.19376770268608734
CEBPB	PRKAG2	0.21205187640682244
CEBPB	SNX10	0.2545458836929697
CEBPB	MED18	0.21787257869220866
CEBPB	ARHGAP4	0.2622966070424724
CEBPB	SMPD2	0.2047988630966513
CEBPB	MED13	0.2037988492647882
CEBPB	PPP2R4	0.3342960062856042
CEBPB	TSPO	0.39833021082063613
CEBPB	DLGAP1	0.2716281699092482
CEBPB	NEFM	0.29297481839994344
