Regulator	Target	MI
CEBPB	JRK	0.18648228944312706
CEBPB	SPI1	0.2989137736014298
CEBPB	POP1	0.2758641861053759
CEBPB	GMFG	0.2943332855265268
CEBPB	POP4	0.20427234303425834
CEBPB	ALKBH7	0.23425340575584563
CEBPB	SLA2	0.19525665872410514
CEBPB	KIAA1109	0.2329186564904191
CEBPB	KIAA1586	0.20281796895361826
CEBPB	AKT3	0.23335518228044982
CEBPB	GPBP1	0.19843330472019804
CEBPB	ZC3H12A	0.3052165493744292
CEBPB	FOXO3B	0.2670783269297079
CEBPB	STRA13	0.19497676992392066
CEBPB	GSTK1	0.5025823509736735
CEBPB	CXADR	0.34494010248476226
CEBPB	ZNF10	0.21954925219515875
CEBPB	CH25H	0.23346528497489594
CEBPB	ASPHD1	0.3876069111245881
CEBPB	SCO2	0.321380549742484
CEBPB	PLBD1	0.23079529326538406
CEBPB	VOPP1	0.22714876263161266
CEBPB	GTSF1	0.3012506691185193
CEBPB	SKAP1	0.2855052396622737
CEBPB	SLBP	0.2775935331915509
CEBPB	COL13A1	0.21983135539820164
CEBPB	BAZ2A	0.29186022390294575
CEBPB	PLA2G6	0.2985465745093343
CEBPB	ZNF24	0.21184659893592173
CEBPB	KRTAP5-10	0.20388446428312434
CEBPB	EPB41L5	0.2945592324963622
CEBPB	LOC100128288	0.19582607133169283
CEBPB	SFN	0.24353766217526207
CEBPB	LTA4H	0.19967931549388496
CEBPB	ATG7	0.28939851872130884
CEBPB	CREBBP	0.20831517027149005
CEBPB	FUCA1	0.21944827791444865
CEBPB	LOC642852	0.18813921865268401
CEBPB	PBX1	0.2553684686506239
CEBPB	LOC606724	0.39664153806974767
CEBPB	DHFR	0.31689804397666776
CEBPB	TREML1	0.1937090761817153
CEBPB	FASN	0.3207190247775191
CEBPB	FXYD2	0.3276569474033373
CEBPB	TREML3	0.2064310598721848
CEBPB	SFXN4	0.38677520698592627
CEBPB	FAT3	0.1857804548028419
CEBPB	FXYD6	0.33084196922676057
CEBPB	MRVI1	0.1868633835389204
CEBPB	FXYD5	0.20194541062102633
CEBPB	SFXN5	0.2339575967366443
CEBPB	LGMN	0.21174385737443657
CEBPB	ARHGAP9	0.28807675606358973
CEBPB	GTF2H2C	0.19805328681957945
CEBPB	SIGLEC9	0.33375532554922316
CEBPB	ZNF44	0.20320824948578942
CEBPB	FAM115A	0.2656725905235211
CEBPB	HOXC10	0.19683079114881696
CEBPB	MED18	0.2496819044486216
CEBPB	ARHGAP4	0.25570297878420156
CEBPB	MED10	0.20336800243909625
CEBPB	ZNF41	0.20135691087708363
CEBPB	TSPO	0.6321812217058547
CEBPB	JAK1	0.23144093112385544
CEBPB	LIN52	0.20345898173623223
CEBPB	RAG1AP1	0.3997509198164497
CEBPB	CHST9	0.2668096462478884
CEBPB	DUSP1	0.4575955915342389
CEBPB	GSTO1	0.24918047331222493
CEBPB	IFT140	0.2080435950364654
CEBPB	SLC39A11	0.23448868812972812
CEBPB	EPS15L1	0.21684858692365694
CEBPB	JOSD2	0.24701486111744053
CEBPB	MED24	0.18659317436391376
CEBPB	SLC7A7	0.28645338805381204
CEBPB	MMP16	0.26273149058226597
CEBPB	MMP15	0.27479103642960023
CEBPB	DPYD	0.35079968753928803
CEBPB	HCST	0.6104513403992815
CEBPB	PAFAH1B1	0.20642484174824371
CEBPB	CRB1	0.23971192851790502
CEBPB	ADAM22	0.21388789561940236
CEBPB	KCNA5	0.36027060973662905
CEBPB	SLC7A1	0.3052444350270367
CEBPB	CENPB	0.20776487966434942
CEBPB	FAM117B	0.2227132775072338
CEBPB	NEURL1B	0.1920554477484684
CEBPB	RG9MTD3	0.21693354867379533
CEBPB	ADAM23	0.19510398222576697
CEBPB	MFN1	0.29809421876720243
CEBPB	MFN2	0.1894003091947667
CEBPB	RICTOR	0.19598800488881007
CEBPB	IL12RB1	0.24737683152547518
CEBPB	ZSWIM5	0.22575751846823522
CEBPB	JAM3	0.23358559467915718
CEBPB	SPDEF	0.2053474733794003
CEBPB	MBD4	0.19366387746164637
CEBPB	RIC3	0.18619365424973466
CEBPB	MBD5	0.18691833759037912
CEBPB	BIK	0.2045205595817583
CEBPB	KCNB1	0.2131465036353859
CEBPB	PKM2	0.2804147076389061
CEBPB	APEX2	0.19919351743737757
CEBPB	CENPF	0.3800908419388671
CEBPB	ZNF70	0.2599308209940201
CEBPB	MYBBP1A	0.2040996026066768
CEBPB	CENPI	0.23480900405382243
CEBPB	APEX1	0.22267017666032718
CEBPB	YPEL1	0.20819072425229201
CEBPB	AGRP	0.2887922800848761
CEBPB	NCAPD3	0.19994459012035382
CEBPB	YPEL5	0.30055526581086855
CEBPB	CRAT	0.23771509237578314
CEBPB	LGR5	0.3594198213692916
CEBPB	SIGLEC7	0.25247750203455244
CEBPB	C6orf1	0.2384343085490057
CEBPB	RIF1	0.258627362085341
CEBPB	PLOD3	0.1942185816379567
CEBPB	SLA	0.29197134498222344
CEBPB	CASC3	0.2442427700228631
CEBPB	EFEMP2	0.20091536051840286
CEBPB	TNFRSF8	0.27386824589038117
CEBPB	MAP3K8	0.41100722061081196
CEBPB	ZNF445	0.2858910251529556
CEBPB	NUDT14	0.22155770625951554
CEBPB	ZNF443	0.20576442787285742
CEBPB	KCNH2	0.20731206788923906
CEBPB	PIAS3	0.19264738010121096
CEBPB	FBXW5	0.34885580541004924
CEBPB	FBXW8	0.24818948713954647
CEBPB	CTNNBIP1	0.38662885812598535
CEBPB	FBXO11	0.22482276686816416
CEBPB	SDCBP2	0.32552095973496176
CEBPB	TPST1	0.23907965491707017
CEBPB	MFNG	0.3351235266972665
CEBPB	LOC619207	0.378953793449349
CEBPB	PKP4	0.20824348305810858
CEBPB	FTL	0.34501487892935323
CEBPB	ZNF431	0.23467472666813993
CEBPB	FTO	0.31392692534064714
CEBPB	ZNF430	0.29615182894724246
CEBPB	GRIA2	0.4260191297597338
CEBPB	KCNE3	0.22741993042900432
CEBPB	DLX6	0.2691309517833709
CEBPB	FBXO45	0.21302240805419537
CEBPB	FBXO43	0.23832692173100867
CEBPB	SPATA5	0.20423284934715813
CEBPB	CORO1A	0.4447335226508331
CEBPB	CCDC144A	0.3929406038236509
CEBPB	CORO1B	0.3380775802206424
CEBPB	FBXO41	0.2024505739705642
CEBPB	HSP90B1	0.2648470321967915
CEBPB	CCDC144C	0.35407864098881703
CEBPB	SNN	0.3281431306909326
CEBPB	RAP1A	0.1903240002733524
CEBPB	BAT2L1	0.2548067763950863
CEBPB	EIF4EBP1	0.36835239864827773
CEBPB	ZKSCAN3	0.2134495391970228
CEBPB	GRIA4	0.30438899688029597
CEBPB	TXNDC5	0.22595086621477378
CEBPB	SLC14A1	0.18739608681308084
CEBPB	UROS	0.24339189120243976
CEBPB	LY86	0.1943896918217396
CEBPB	ARPC4	0.18676485800107745
CEBPB	FLJ10213	0.2225417941796124
