Regulator	Target	MI
CEBPB	SPI1	0.36884586546664444
CEBPB	GMFG	0.19456990785462924
CEBPB	ALKBH7	0.24100973763555533
CEBPB	LOC100133669	0.2231159577002435
CEBPB	ISLR	0.2290642010847712
CEBPB	HTR7	0.2166396690650494
CEBPB	C14orf72	0.35978107808088833
CEBPB	C3AR1	0.19822986796034492
CEBPB	CKMT1B	0.1916358743024782
CEBPB	VSTM1	0.1887037837970409
CEBPB	FOXO3B	0.26776027723868445
CEBPB	ATG3	0.2622892537683281
CEBPB	LOC613037	0.2727576089004593
CEBPB	UNC5A	0.22999669720578453
CEBPB	CACNA2D3	0.2044367729279415
CEBPB	DHDH	0.26845475733324253
CEBPB	CACNA2D2	0.34451107064437103
CEBPB	CACNA2D4	0.3228174516212432
CEBPB	ZNF14	0.1984370594094793
CEBPB	CTAGE1	0.20594383826180263
CEBPB	CH25H	0.29891405159690443
CEBPB	SPINT1	0.25834207492054784
CEBPB	ASPHD1	0.19146304892856936
CEBPB	CTAGE9	0.2274934559504178
CEBPB	COL13A1	0.2922837936811291
CEBPB	CDCA5	0.2119686809074599
CEBPB	SHMT1	0.2776140199706454
CEBPB	LYPD1	0.30634880083720617
CEBPB	BAZ2B	0.443646163346461
CEBPB	ZNF24	0.1951749455957179
CEBPB	DEDD2	0.25997633740660575
CEBPB	EPB41L5	0.20889889346085067
CEBPB	RDH10	0.3122882600582084
CEBPB	RNF217	0.2005519976786614
CEBPB	SULT1A2	0.21648397622175697
CEBPB	JUN	0.23643465906985117
CEBPB	PRPF38A	0.22578796563849401
CEBPB	TSLP	0.2105221923273657
CEBPB	FUCA1	0.22818445017713884
CEBPB	IL31RA	0.24029665320678273
CEBPB	PGA3	0.2116749692691524
CEBPB	PBX1	0.42145908863687787
CEBPB	LOC606724	0.32519952121052853
CEBPB	PGA4	0.3840643370007557
CEBPB	TREML1	0.4082239252257498
CEBPB	FAM111A	0.26327444667229827
CEBPB	VANGL2	0.2385121214376582
CEBPB	STRC	0.2168906957623422
CEBPB	FXYD2	0.23144075254789342
CEBPB	ZNF30	0.26866362106915
CEBPB	FXYD5	0.25677937988159627
CEBPB	DZIP3	0.41001601327568515
CEBPB	ARHGAP9	0.3886031933831706
CEBPB	ZNF496	0.19311549714155696
CEBPB	ZNF493	0.22083490139581663
CEBPB	ZNF491	0.1946253874858206
CEBPB	NCAPG2	0.37692506711104645
CEBPB	ZNF43	0.19796620325635672
CEBPB	OSBPL11	0.23896392820028378
CEBPB	FAM115A	0.21888188533287867
CEBPB	IL18BP	0.23368450344425007
CEBPB	GGTLC2	0.2783450693363614
CEBPB	MED12	0.2869977648822024
CEBPB	TSPO	0.5460252277038666
CEBPB	JAK3	0.2569344401075515
