Regulator	Target	MI
CEBPB	JRK	0.21358480476537078
CEBPB	SPI1	0.49861735475165236
CEBPB	EHMT2	0.26951744658472254
CEBPB	C22orf23	0.21907393828174015
CEBPB	TSKU	0.20971615060119575
CEBPB	SUV420H1	0.20334242075568643
CEBPB	KIAA1107	0.25396660036810914
CEBPB	ZC3H12D	0.18913524014615568
CEBPB	IL4I1	0.3375650491776323
CEBPB	LACTB	0.27158973990847723
CEBPB	CAPNS1	0.19741260327535315
CEBPB	C14orf72	0.18832483194740313
CEBPB	AKT3	0.23195838833564508
CEBPB	ZC3H12A	0.26052457206380897
CEBPB	FAM19A2	0.22155593188391087
CEBPB	ZNF285	0.188605837460476
CEBPB	LOC613037	0.22758975163123285
CEBPB	TMEM85	0.19794927094549486
CEBPB	CACNA2D4	0.44367870199021375
CEBPB	RNASE3	0.2634906531704919
CEBPB	RNASE2	0.4931926872929093
CEBPB	MAPKSP1	0.24080687589318206
CEBPB	CH25H	0.3554972583640854
CEBPB	MYL6	0.22259763935055954
CEBPB	SPINT1	0.23379518897050833
CEBPB	ETHE1	0.26796509253743395
CEBPB	CLDN7	0.22611657194395995
CEBPB	CRAMP1L	0.28575307044966625
CEBPB	EXOC3L	0.19394478461599274
CEBPB	GTSF1	0.1987598943521549
CEBPB	IDO1	0.18898323974721176
CEBPB	EXD2	0.2023071188024339
CEBPB	COL13A1	0.22044991958336624
CEBPB	SHMT2	0.19135716955864268
CEBPB	CDCA5	0.26325543768278337
CEBPB	FPR1	0.28092161690627293
CEBPB	IL20RA	0.19095599675838937
CEBPB	COPS7B	0.21308133463652368
CEBPB	FPR3	0.21066258880119015
CEBPB	OAZ1	0.191250015300783
CEBPB	NCAPH	0.21923153573012488
CEBPB	ADAMTS16	0.32496815049000727
CEBPB	HSD11B1	0.21376761620823537
CEBPB	HSD11B2	0.21716542472896272
CEBPB	ADAMTS14	0.2327370049812547
CEBPB	NCRNA00116	0.2001000277870677
CEBPB	FIGNL1	0.2822302172059974
CEBPB	RDH10	0.5239388368218734
CEBPB	SFN	0.27584422308016343
CEBPB	ZBTB7B	0.21968571908866608
CEBPB	LYN	0.4416697557233764
CEBPB	JUN	0.3849476282736246
CEBPB	TSLP	0.18725034300572663
CEBPB	CADM2	0.19614676629059513
CEBPB	EDEM2	0.2776834377338737
CEBPB	LOC285696	0.27234864510598467
CEBPB	PBX1	0.18739972905453772
CEBPB	LOC606724	0.250437131159182
CEBPB	MRPL22	0.23663211806215045
CEBPB	DHFR	0.23130849119338315
CEBPB	TREML1	0.1900784427994635
CEBPB	ABTB1	0.18627071113526483
CEBPB	VANGL2	0.3050043346741962
CEBPB	FASN	0.2473853921333271
CEBPB	LYPD6B	0.27707514309329895
CEBPB	ZNF30	0.2873831039457313
CEBPB	SASS6	0.1911471543705785
CEBPB	NMT2	0.24919895476674103
CEBPB	PSMG1	0.2933647750265713
CEBPB	STRN	0.21399403312166054
CEBPB	HAMP	0.27797305677324236
CEBPB	HLA-DRB1	0.20221514248385297
CEBPB	EFCAB4A	0.1957194264534099
CEBPB	EZH2	0.21736926771313048
CEBPB	FERMT3	0.4604681747761088
CEBPB	ARHGAP9	0.46695352289037295
CEBPB	ZNF496	0.19520549841189894
CEBPB	LIN54	0.2177120341720835
CEBPB	PGCP	0.21666022949746022
CEBPB	PIGT	0.33264045065192516
CEBPB	SIGLEC9	0.5369196540928405
CEBPB	WFIKKN1	0.2854892282310155
CEBPB	HEXB	0.19847532568846926
CEBPB	RPLP1	0.2089266273142414
CEBPB	HEXA	0.30940657245135306
CEBPB	NCAPG2	0.280884185010045
CEBPB	SRPR	0.28000523597286175
CEBPB	CTCF	0.24458475272982927
CEBPB	FAM115A	0.2531134674002926
CEBPB	PIGY	0.2750464527927079
CEBPB	ARHGAP4	0.303922972167344
CEBPB	JPH4	0.24843125526106302
CEBPB	CHAF1B	0.2542336609258333
CEBPB	TMEM49	0.40632943256054155
CEBPB	CHAF1A	0.24054388602867505
CEBPB	B3GALT2	0.24442298527124606
CEBPB	FLVCR2	0.3104100317242384
CEBPB	TSPO	0.3640770528341122
CEBPB	SH3BGRL3	0.39887559818999296
CEBPB	JAK3	0.20911415771881625
CEBPB	NEFH	0.2505435387250854
CEBPB	C7orf58	0.216438648090727
CEBPB	ZNF486	0.19089270667516356
CEBPB	DUSP4	0.2285518590348179
CEBPB	ARG2	0.2592286394739558
CEBPB	ACTL6B	0.1917999527171137
CEBPB	RIPK3	0.19834179905149796
CEBPB	C13orf33	0.28903094473639346
CEBPB	SPHK1	0.20087460180700845
CEBPB	ELOVL3	0.31021550402385145
CEBPB	KIAA1143	0.19744929409323753
CEBPB	JOSD2	0.2736273826418998
CEBPB	BAZ1B	0.22984572045847873
CEBPB	MMP10	0.19180505989631325
CEBPB	SUMF1	0.2557572942598254
CEBPB	PHF20L1	0.19327385531423946
CEBPB	VAMP8	0.2575457387221096
CEBPB	PIGB	0.2751575197002625
CEBPB	TMEM37	0.19266124680158025
CEBPB	FAM113B	0.19686962423458176
CEBPB	PSMA3	0.25680436034430887
CEBPB	SLC7A7	0.22101783723092172
CEBPB	RILPL2	0.36214421291404
CEBPB	INCENP	0.2048655308869387
CEBPB	OAF	0.19098014459434776
CEBPB	DPYD	0.3886051091055682
CEBPB	MMP19	0.2189102658404023
CEBPB	HCST	0.2066579638036492
CEBPB	VAMP5	0.21999084073498487
CEBPB	TMEM106A	0.2136772419530164
CEBPB	SMTNL1	0.231294178701825
CEBPB	RNASEN	0.2640900986535213
CEBPB	RPS27L	0.2945298298746426
CEBPB	PTGS2	0.2949738061412015
CEBPB	CENPA	0.1892651534521912
CEBPB	FAM117B	0.2928692950809886
CEBPB	PRAM1	0.23044586469781425
CEBPB	PTGS1	0.35926171906863935
CEBPB	HLA-DMA	0.2997712250914768
CEBPB	HLA-DMB	0.19206488094064955
CEBPB	SRPX2	0.3040520870725105
CEBPB	HAS1	0.30447958171719414
CEBPB	RG9MTD1	0.2025049121779663
CEBPB	SPP1	0.22940845230282836
CEBPB	DMD	0.33151536160409023
CEBPB	ZSWIM2	0.1871884576901497
CEBPB	LRRC25	0.3698431158914728
CEBPB	P2RY12	0.26191326680202565
CEBPB	C20orf177	0.2953509487925903
CEBPB	AADAT	0.19261785477894566
CEBPB	PKM2	0.2532722782075023
CEBPB	KCNB2	0.252232429940471
CEBPB	ATAD2	0.25857170318860856
CEBPB	EMR1	0.33332692312473533
CEBPB	LRRC28	0.2715292799868516
