Regulator	Target	MI
CEBPB	SPI1	0.27542711451588264
CEBPB	SPINT2	0.2911940691155408
CEBPB	F11R	0.3429083149201597
CEBPB	LOC344967	0.20225581485092903
CEBPB	SLA2	0.29744804930148483
CEBPB	TMEM93	0.1859882079423265
CEBPB	IL4I1	0.30804723347334484
CEBPB	LACTB	0.2731000048569836
CEBPB	RRN3P1	0.1869265738834871
CEBPB	GPBP1	0.2623373929606485
CEBPB	ZC3H12A	0.31411961210978223
CEBPB	UBASH3A	0.21783479723871046
CEBPB	PRKACA	0.24112191767090874
CEBPB	HES7	0.26686254375599905
CEBPB	GBP5	0.2078446508457219
CEBPB	LOC388796	0.22538435934415002
CEBPB	RNASE6	0.2394238934095858
CEBPB	ZFYVE20	0.22903364896654033
CEBPB	HDGFRP3	0.2631380840580899
CEBPB	FRS2	0.2062204628401716
CEBPB	RNASE4	0.29035146438313486
CEBPB	CACNA2D4	0.2711081878906665
CEBPB	RNASE3	0.22790181764113537
CEBPB	LOC643923	0.2249821469722466
CEBPB	FRS3	0.23865277798948625
CEBPB	LRRC37B	0.3012688956223455
CEBPB	SCAMP3	0.19103692769702452
CEBPB	FAM133B	0.18646159212959557
CEBPB	MAPKSP1	0.292215164095472
CEBPB	MYL5	0.1978592633508054
CEBPB	ETHE1	0.20451913400694188
CEBPB	ATF3	0.24691154218499456
CEBPB	ZNF276	0.2717094798346862
CEBPB	CLCNKA	0.2503531817767968
CEBPB	MTMR9	0.23015569606822606
CEBPB	AGAP4	0.25213229319515396
CEBPB	BAZ2B	0.3608731911187082
CEBPB	TAPBPL	0.21256238790960058
CEBPB	MRPL13	0.19069443103758577
CEBPB	OAZ1	0.1987905741872682
CEBPB	ZNF25	0.25479891017839673
CEBPB	EPB41L1	0.21776336533459073
CEBPB	HLCS	0.21598539950607787
CEBPB	SFN	0.2914370675699782
CEBPB	ZBTB7A	0.23608586140066556
CEBPB	LYN	0.20751615722947214
CEBPB	HLA-DRB6	0.19684561059591665
CEBPB	PRRT2	0.21092405154464355
CEBPB	TSLP	0.2172782102615045
CEBPB	APCDD1L	0.28921072455529373
CEBPB	EDEM2	0.1990951476590448
CEBPB	PMM2	0.20581334534665263
CEBPB	ABCA7	0.27595320897055764
CEBPB	GRIN2C	0.20048343067432928
CEBPB	CP	0.23270594091477648
CEBPB	PBX1	0.2900344408626818
CEBPB	LOC606724	0.2508952961643498
CEBPB	IL22RA1	0.2482174598650042
CEBPB	TREML1	0.3242516926275689
CEBPB	ABTB1	0.19108836396452755
CEBPB	NMT2	0.2655845698031527
CEBPB	FXYD5	0.20973584097605347
CEBPB	HAMP	0.21183678993625232
CEBPB	FERMT3	0.4355542772088121
CEBPB	ARF1	0.2543551096547656
CEBPB	PIGT	0.21542717475785356
CEBPB	SIGLEC9	0.36415237690911706
CEBPB	ZNF493	0.3698308471748373
CEBPB	HEXA	0.24686010651584933
CEBPB	PIGZ	0.3117417336252837
CEBPB	TMEM51	0.1957110918319689
CEBPB	CTCF	0.20413888608840836
CEBPB	JPH1	0.1860592118180211
CEBPB	MED18	0.19230024050967298
CEBPB	ZNF48	0.2600359244670889
CEBPB	PCMTD2	0.21657271403617528
CEBPB	NIPBL	0.23265087300786558
CEBPB	MED13	0.2578893403364084
CEBPB	ZNF41	0.22386204635373375
CEBPB	MTMR15	0.19078651047534123
CEBPB	TSPO	0.3051227831781951
CEBPB	SH3BGRL3	0.5048457025556639
CEBPB	NINL	0.3721026279967239
CEBPB	RAG1AP1	0.25413046321527055
CEBPB	GPR39	0.22739290824737424
CEBPB	ACTL6B	0.1860909088446201
CEBPB	C7orf40	0.2190747047916739
CEBPB	ROM1	0.225988452865173
CEBPB	BGN	0.30513857578670134
CEBPB	NSUN6	0.21107374378820598
CEBPB	EMP3	0.33489077016453095
