Regulator	Target	MI
CEBPB	LOC143188	0.2641763220069979
CEBPB	GMFB	0.18975553473149454
CEBPB	SPI1	0.25363364618398787
CEBPB	ZNF292	0.1880390592025325
CEBPB	SLA2	0.19410839569214566
CEBPB	LIPA	0.20579790033526546
CEBPB	C22orf26	0.19622375162327632
CEBPB	TMEM93	0.20434060963040768
CEBPB	IL4I1	0.2976618290955537
CEBPB	PREX1	0.1944044517663137
CEBPB	ALKBH5	0.22128838122637973
CEBPB	AS3MT	0.18641036530651522
CEBPB	FAM19A1	0.23054039828285333
CEBPB	TMEM8B	0.20503258363673726
CEBPB	ZNF285	0.1929508802000699
CEBPB	LOC613037	0.26682026035945494
CEBPB	DHDH	0.20847638595541973
CEBPB	ZFYVE20	0.2745817993360262
CEBPB	HDGFRP3	0.2966870085073614
CEBPB	CACNA2D4	0.24324755960340383
CEBPB	RNASE3	0.2735731780224553
CEBPB	RNASE2	0.34681832220083386
CEBPB	RNASE1	0.19320860219747882
CEBPB	EML2	0.26537794900213907
CEBPB	LRRC37B	0.4899181528444041
CEBPB	BCR	0.1947255113147044
CEBPB	CTAGE1	0.20295486998869539
CEBPB	RFX8	0.18756158437631054
CEBPB	SPINT1	0.3053522645075706
CEBPB	RBP1	0.19806145029771205
CEBPB	ORAI2	0.19011696454368732
CEBPB	PSME1	0.2873227434317611
CEBPB	ORAI1	0.22526520191902044
CEBPB	PADI2	0.24012362943782506
CEBPB	SKAP2	0.22874280232169575
CEBPB	ZNF276	0.272609145231276
CEBPB	LOC550643	0.2102144204629619
CEBPB	FPR1	0.24994100175353307
CEBPB	LYPD1	0.20479532868397676
CEBPB	MTMR9	0.3538695477274807
CEBPB	FPR2	0.22554370863325612
CEBPB	TAPBPL	0.24666026381590456
CEBPB	GIGYF2	0.24517848887288718
CEBPB	C2	0.3646700909280085
CEBPB	HSD11B1	0.19210255263864706
CEBPB	EPB41L5	0.27552780634474505
CEBPB	CREBBP	0.20030995127650986
CEBPB	TIPARP	0.19807268478273965
CEBPB	NETO2	0.19357036645519887
CEBPB	CP	0.311399139760244
CEBPB	PBX1	0.22861066204522107
CEBPB	LOC606724	0.2540429233757999
CEBPB	ABTB2	0.2173737484623528
CEBPB	COL1A1	0.19090638086731193
CEBPB	PCDHGA10	0.24486045196534345
CEBPB	TREML1	0.25950545883717346
CEBPB	KIAA1598	0.19346429607792714
CEBPB	TREML3	0.22033342643956288
CEBPB	ZNF30	0.19461993419181578
CEBPB	NMT2	0.38321595514405704
CEBPB	FXYD5	0.26864195999264684
CEBPB	HAMP	0.28226758575238087
CEBPB	HNRNPA1L2	0.21572718128020707
CEBPB	DZIP3	0.19764117748706678
CEBPB	FERMT3	0.23397906417706515
CEBPB	ARHGAP9	0.37130609246932966
CEBPB	C7orf55	0.19379296034240134
CEBPB	C7orf54	0.41406177289347923
CEBPB	SIGLEC9	0.3139879648581809
CEBPB	ZNF493	0.23428496745488303
CEBPB	QPRT	0.20117240481783405
CEBPB	BHLHE41	0.1924874942215542
CEBPB	LOC92973	0.20470029425088843
CEBPB	EFCAB7	0.24049830079534917
CEBPB	MED16	0.3669696316323616
CEBPB	HOXC10	0.19439754895731287
CEBPB	SHD	0.2530609263212771
CEBPB	ARHGAP4	0.4077935871652407
CEBPB	LRRC1	0.23025829001582032
CEBPB	ZNF41	0.32626017578384037
CEBPB	TSPO	0.44217256114787595
CEBPB	SH3BGRL3	0.4122646192990418
CEBPB	IKBKE	0.20049564111855034
CEBPB	JAK3	0.21721762400250189
CEBPB	IKBIP	0.24774830156270866
CEBPB	RAG1AP1	0.21872068121151322
CEBPB	GPR39	0.21118524782854653
CEBPB	C7orf40	0.21389574393371902
CEBPB	MYOF	0.18695644365958763
CEBPB	GPR31	0.26096452777605084
CEBPB	SLC39A10	0.19251879657569138
CEBPB	RAB3IL1	0.2225732840762289
CEBPB	EMP3	0.4268554691689044
CEBPB	FOS	0.22157972052416142
CEBPB	JOSD2	0.32432710391354913
CEBPB	DYNLL2	0.2360673837142162
CEBPB	SLC39A14	0.24501720563354557
CEBPB	KIAA1383	0.20983834031624937
CEBPB	SUMF2	0.1891682175354399
CEBPB	MESDC1	0.29620878125736816
CEBPB	VAMP8	0.24995757840538158
CEBPB	TMEM37	0.455606541339149
CEBPB	FAM113B	0.2407531675435628
CEBPB	PSMA3	0.2761564760119768
CEBPB	SLC7A7	0.25800002294902935
CEBPB	MMP16	0.18732469671960938
CEBPB	RILPL2	0.29688538175849644
CEBPB	OAF	0.20194541062102633
CEBPB	PSMA2	0.20726159832853863
