Regulator	Target	MI
CEBPB	ATF1	0.21223164323502797
CEBPB	ATF2	0.19965175383266143
CEBPB	JRK	0.36576618927828175
CEBPB	SPI1	0.48894513440232235
CEBPB	GMFG	0.33510683708568667
CEBPB	F11R	0.22625156850294026
CEBPB	SLA2	0.18624174360730894
CEBPB	FAM159A	0.22966464614011706
CEBPB	NBLA00301	0.21066891156788436
CEBPB	LOC642846	0.20074154208680994
CEBPB	FAM110A	0.44321245346815097
CEBPB	HTR7	0.18965959937035226
CEBPB	CAPNS1	0.22438360810301639
CEBPB	DPYSL5	0.19228267087479267
CEBPB	AKT2	0.3750080526946693
CEBPB	ZC3H12A	0.3178457371293879
CEBPB	C3AR1	0.26709229277400404
CEBPB	FAM19A1	0.3198522130854604
CEBPB	VSTM1	0.21307311924386685
CEBPB	FAM19A4	0.2729242270543297
CEBPB	GUSBL1	0.3063007126542123
CEBPB	PKNOX2	0.21265841355543103
CEBPB	LOC613037	0.20198840334605617
CEBPB	CACNA2D2	0.2512910456946864
CEBPB	CACNA2D4	0.4391466216307185
CEBPB	CH25H	0.37080804962328173
CEBPB	ASPHD1	0.23885115143281155
CEBPB	KIAA0247	0.22436407979109152
CEBPB	ATF3	0.3743797392674928
CEBPB	SF4	0.21274575369299686
CEBPB	LOC550643	0.20575488828345012
CEBPB	CDCA5	0.3762407823173337
CEBPB	PDGFA	0.24506133925636586
CEBPB	EPB41L5	0.1935093718982417
CEBPB	ADAMTS14	0.2200999424461365
CEBPB	EPB41L3	0.19914723932394462
CEBPB	MOV10L1	0.25094920228738893
CEBPB	ATG7	0.26976353508493656
CEBPB	HLA-DRB5	0.23957965630535227
CEBPB	PRPF38A	0.21494061112508067
CEBPB	TIPARP	0.29365218769329804
CEBPB	FUCA1	0.2719266103728435
CEBPB	BTBD11	0.22170641479520103
CEBPB	BTBD12	0.19826476057987996
CEBPB	LARP6	0.1937014045437495
CEBPB	PBX1	0.2736121620122054
CEBPB	LOC606724	0.4561192032672494
CEBPB	TREML1	0.24220991355661603
CEBPB	SULT1B1	0.2138468998105454
CEBPB	VANGL2	0.2071544264726013
CEBPB	FASN	0.2489928668411725
CEBPB	TREML3	0.3000432867120777
CEBPB	FAT3	0.4780671988749363
CEBPB	FXYD5	0.39534085918308115
CEBPB	DZIP1	0.28968500811873277
CEBPB	DZIP3	0.37733728066409267
CEBPB	HLA-DRB1	0.22396935358682946
CEBPB	ARHGAP9	0.4613977608192785
CEBPB	ZNF496	0.1929250079955862
CEBPB	PGCP	0.28790390149485123
CEBPB	SIGLEC9	0.49381955857295523
CEBPB	NCAPG2	0.3586228386881327
CEBPB	SNX10	0.2555602116801916
CEBPB	MED16	0.19049652903415915
CEBPB	ZNF48	0.31667556753116877
CEBPB	ARHGAP4	0.2720671659875453
CEBPB	PANX2	0.23460341200891843
CEBPB	ZNF41	0.2940772916522869
CEBPB	TSPO	0.36545170486319467
CEBPB	JAK3	0.24343878681934328
CEBPB	POM121L1P	0.22740568731126576
CEBPB	LIN52	0.19193218769470555
CEBPB	RAG1AP1	0.3171463104692851
CEBPB	DUSP5	0.21458354776317012
CEBPB	CHST6	0.2564531127415517
CEBPB	KCND2	0.28778374944679097
CEBPB	DUSP1	0.41430870360382777
CEBPB	GSTO1	0.18667216808905263
CEBPB	SPHK1	0.23070046481132245
CEBPB	BGN	0.22576935330963543
CEBPB	KIAA1143	0.2488720150720054
CEBPB	EPS15L1	0.19861890896012468
CEBPB	FOS	0.23368692578770656
CEBPB	DUSP6	0.2035545520179438
CEBPB	DDB1	0.2245652512862426
CEBPB	MED22	0.21519181252996766
