Regulator	Target	MI
CEBPB	SPI1	0.32335538040276024
CEBPB	GMFG	0.38075476197729774
CEBPB	EHMT1	0.19492012712152995
CEBPB	LOC642846	0.2345818781263178
CEBPB	SUV420H1	0.19190129238876885
CEBPB	TMEM93	0.20091169979550116
CEBPB	IL4I1	0.25762895572120836
CEBPB	LACTB	0.4237240599500156
CEBPB	ALKBH5	0.20527219381352602
CEBPB	KRTCAP2	0.18652429900792455
CEBPB	RRN3P1	0.1880889466958413
CEBPB	DPYSL4	0.24562885919780708
CEBPB	AKT3	0.19152969511763818
CEBPB	FGFR1OP2	0.22620681925613528
CEBPB	ZC3H12A	0.23398580094195776
CEBPB	C3AR1	0.2575474309751069
CEBPB	LIPN	0.23093220864392983
CEBPB	PKNOX1	0.21153515700577508
CEBPB	STARD8	0.25872615365400264
CEBPB	ZNF281	0.19481807655308447
CEBPB	RNASE6	0.3051229961377464
CEBPB	KIAA0494	0.2167268398633544
CEBPB	RNASE4	0.19656508701345032
CEBPB	CACNA2D4	0.30000749247661407
CEBPB	RNASE3	0.3578547034349029
CEBPB	RC3H2	0.21464998744690522
CEBPB	SCAMP2	0.21354293349132725
CEBPB	SIGIRR	0.20100824276076246
CEBPB	CH25H	0.3372258600434863
CEBPB	RFX7	0.21435506068799093
CEBPB	ETHE1	0.2285515857373266
CEBPB	CRAMP1L	0.1917020682388726
CEBPB	ORAI3	0.33488253486301645
CEBPB	PSME1	0.19937201390185866
CEBPB	ATF5	0.21329537394348996
CEBPB	SKAP1	0.3679047625200864
CEBPB	MTMR1	0.2033630360163423
CEBPB	RETSAT	0.23701561040704178
CEBPB	SHMT1	0.30965292647788445
CEBPB	LOC283267	0.31918361990521227
CEBPB	AGAP1	0.2165870954756297
CEBPB	MTMR9	0.30789174017205756
CEBPB	BAZ2A	0.19037965241373733
CEBPB	FPR3	0.1954022460808904
CEBPB	FPR2	0.2765948967550278
CEBPB	ZNF23	0.20626489774299017
CEBPB	OAZ1	0.20686008697050529
CEBPB	DEDD2	0.2737216996165621
CEBPB	C3	0.23535933571677425
CEBPB	HSD11B1	0.22821670417875328
CEBPB	EPB41L5	0.28969908379626297
CEBPB	RNF214	0.18830884902295075
CEBPB	SCGB1D2	0.2194627380036609
CEBPB	EPB41L2	0.18645449865185348
CEBPB	RHBDL3	0.21623652291167517
CEBPB	ATG7	0.22690780904916785
CEBPB	LYN	0.22737702287655903
CEBPB	TSLP	0.2327222677561389
CEBPB	CADM2	0.2385539629834188
CEBPB	TIPARP	0.35042951521498367
CEBPB	FUCA1	0.26962915998994585
CEBPB	LYZ	0.19263779004696246
CEBPB	CP	0.20441694815738387
CEBPB	LOC606724	0.3749237167397821
CEBPB	TREML1	0.32067584766583224
CEBPB	TREML3	0.23977647090138632
CEBPB	CYB5RL	0.21785894657721716
CEBPB	FAT3	0.2472407597092099
CEBPB	FXYD6	0.2505841365245658
CEBPB	HAMP	0.28199714237705287
CEBPB	ZBTB8B	0.3167779611476371
CEBPB	FERMT3	0.29904974266147466
CEBPB	ARHGAP9	0.3356737209945946
CEBPB	GPR27	0.20249429305484146
CEBPB	PGCP	0.253231143020626
CEBPB	PIGT	0.21910529946243962
CEBPB	SIGLEC9	0.47801307812031446
CEBPB	STAG3L4	0.20933261718441454
CEBPB	HEXB	0.24597066044116644
CEBPB	C13orf23	0.19442991535027332
CEBPB	HEXA	0.3543127114072968
CEBPB	CTCF	0.27618658165667753
CEBPB	MRPL34	0.2229501951006636
CEBPB	ARHGAP4	0.20593723012499332
CEBPB	SMPD2	0.20719922325449147
CEBPB	LMBR1	0.22138748200073888
CEBPB	MED10	0.19403994041684314
CEBPB	ZNF41	0.20082682604691726
CEBPB	TSPO	0.2722342878336921
CEBPB	SH3BGRL3	0.38735435078345226
CEBPB	CTBS	0.23054645117030592
CEBPB	IKBKE	0.2504303428304784
CEBPB	JAK3	0.20004506998589378
CEBPB	DLGAP5	0.3273984096466691
CEBPB	ZNF486	0.234454634146962
CEBPB	RAG1AP1	0.24890460252007607
CEBPB	LYPLA1	0.20602332641724708
CEBPB	KCND2	0.23660225560796544
CEBPB	RIPK3	0.209969180227227
CEBPB	DUSP1	0.3232379861718364
CEBPB	RAB3IL1	0.30050521266041397
CEBPB	EMP3	0.299154492623118
CEBPB	JOSD2	0.24376030782948988
CEBPB	SLC39A14	0.369855066667224
CEBPB	PHF20L1	0.2132610512841202
CEBPB	VAMP8	0.40352571654121494
CEBPB	TMEM37	0.23135576595659924
CEBPB	GPRC5A	0.22148143150477573
CEBPB	SLC7A7	0.20056641007001552
CEBPB	RILPL2	0.47012967438513886
CEBPB	INCENP	0.22543071120175462
CEBPB	RAPGEF2	0.18670471712566084
CEBPB	HCST	0.4232381051135974
CEBPB	VAMP5	0.31208138802085106
CEBPB	PAFAH1B2	0.24102403454097665
CEBPB	TMEM106A	0.2319121801760895
CEBPB	CRB1	0.22357222469440874
CEBPB	KCNA3	0.24839976260970786
CEBPB	HLA-DMA	0.3296823711153243
CEBPB	BTAF1	0.19856168661944018
CEBPB	GGA3	0.24811062012658436
CEBPB	HLA-DMB	0.3339728878161097
CEBPB	UNK	0.19072788198944313
CEBPB	SPP1	0.21335735898603403
CEBPB	ZSWIM7	0.2214554012080816
CEBPB	ZSWIM5	0.23457909807081023
CEBPB	LRRC25	0.276639115180239
CEBPB	MBD4	0.2074118950270174
CEBPB	ZNF462	0.2937063569177143
CEBPB	GSX1	0.21996079085327658
CEBPB	AADAT	0.2368903388584327
CEBPB	KCNB1	0.21154751749956446
CEBPB	ATAD2	0.2095238086473099
CEBPB	EMR1	0.19090268246889153
CEBPB	YLPM1	0.24033881835155135
CEBPB	ZNF77	0.200318179380357
CEBPB	PLXDC2	0.3562526450466539
CEBPB	TMCO4	0.2576139317336583
CEBPB	ARCN1	0.20967387529546055
CEBPB	LOC100130148	0.19588635856359193
CEBPB	NUDT21	0.19572165089991334
CEBPB	CENPH	0.2358932061887682
CEBPB	CENPI	0.2178050009883794
CEBPB	SNX17	0.23352129662325538
CEBPB	CENPJ	0.2512723649868871
CEBPB	YPEL1	0.31405998037092786
CEBPB	AGRN	0.1865040827368265
CEBPB	SIGLEC7	0.206323471239501
CEBPB	ZNF697	0.20132264755316154
CEBPB	NCF1	0.41170851547151344
CEBPB	NCF2	0.25477165101105737
