Regulator	Target	MI
CEBPB	SPI1	0.2140573595919646
CEBPB	GMFG	0.39920392503820423
CEBPB	PWWP2B	0.20950514015685062
CEBPB	F11R	0.2671351554570096
CEBPB	SLA2	0.20045902999163978
CEBPB	NBLA00301	0.1874205898356598
CEBPB	TBK1	0.22226706908212268
CEBPB	AKT3	0.18902004984247256
CEBPB	C3AR1	0.3571185601411644
CEBPB	PRKACA	0.3358561097620312
CEBPB	MNX1	0.2301743248473027
CEBPB	SDS	0.2754045537686176
CEBPB	CACNA2D2	0.24740277849901116
CEBPB	PHKA1	0.2596901287506075
CEBPB	CACNA2D4	0.2818099633722184
CEBPB	SIGIRR	0.19280805425569003
CEBPB	SPINT1	0.2799458800143748
CEBPB	ORAI3	0.24235168405914997
CEBPB	PLBD1	0.22712702198989376
CEBPB	VOPP1	0.2559865201608744
CEBPB	ATF4	0.2083485408730814
CEBPB	SHMT2	0.22556004931474316
CEBPB	ZNF20	0.2356869514030997
CEBPB	LOH12CR1	0.2637354981278204
CEBPB	EPB41L5	0.2114725131488422
CEBPB	MOV10L1	0.2383744169331372
CEBPB	PIP5K1B	0.21747706187704985
CEBPB	CREBBP	0.2551276980728501
CEBPB	JUN	0.19042166528300974
CEBPB	GSTM1	0.19119687746610392
CEBPB	FUCA1	0.23744393706524214
CEBPB	FUCA2	0.30917720335297716
CEBPB	BTBD12	0.23743115056885866
CEBPB	PBX1	0.24534530432057977
CEBPB	LOC606724	0.3744270287438862
CEBPB	PPFIBP1	0.21860715119845242
CEBPB	ZNF30	0.2833750779111739
CEBPB	FAT3	0.19273201849442056
CEBPB	FXYD6	0.197186910786451
CEBPB	FXYD5	0.2642518461163954
CEBPB	DZIP1	0.22467391856766827
CEBPB	ARHGAP9	0.26903157046499615
CEBPB	ZNF496	0.19300082343196667
CEBPB	PGCP	0.2536675703698643
CEBPB	SIGLEC9	0.44492469654873545
CEBPB	ZNF493	0.31660769336119277
CEBPB	CATSPER2P1	0.3100949764788954
CEBPB	NCAPG2	0.22150545095039753
CEBPB	CSDAP1	0.3826589155030913
CEBPB	ARHGAP4	0.28376871636017764
CEBPB	MED10	0.27409228641931005
CEBPB	SMPD1	0.2502056486103337
CEBPB	TSPO	0.23543598946653344
CEBPB	JAK3	0.3096464188148582
CEBPB	ZNF486	0.3393997204617234
CEBPB	RAG1AP1	0.24771388296365604
CEBPB	GSTO1	0.258475337110724
CEBPB	BGN	0.19167794405762617
CEBPB	DDB2	0.2547621032797105
CEBPB	DUSP7	0.18623200335276913
CEBPB	FAM113B	0.28137519652441156
CEBPB	MED24	0.34159038535096986
CEBPB	DPYD	0.2627200743677722
CEBPB	HCST	0.3379448269852485
CEBPB	RAPGEF6	0.20247861678719659
CEBPB	PAFAH1B1	0.19141096994927853
CEBPB	RAPGEF4	0.38001982088651687
CEBPB	ZNF474	0.24606496589823923
CEBPB	ZNF473	0.2909571393343322
CEBPB	KCNA5	0.24665976407261425
CEBPB	SLC7A1	0.33210874480864483
CEBPB	SFRS13B	0.2020568247578831
CEBPB	CNPY4	0.32996136655083497
CEBPB	SNX27	0.2908956863064551
CEBPB	MFN1	0.3056954176499902
CEBPB	SPP1	0.2758313312852767
CEBPB	ZSWIM6	0.24226146672597704
CEBPB	MBD5	0.25234591086541514
CEBPB	BIK	0.19134225229005253
CEBPB	MBD2	0.25511248937426956
CEBPB	BMP8A	0.25293181083435545
CEBPB	KIAA2013	0.1921898023541928
CEBPB	SNX20	0.2828697761738894
CEBPB	FAM116A	0.3587467281090131
CEBPB	NUDT22	0.24359014814024516
CEBPB	CENPF	0.22662748077566963
CEBPB	RABIF	0.26109977299025555
CEBPB	MYBBP1A	0.22398113983624235
CEBPB	ETNK2	0.1902115594344389
CEBPB	SNX17	0.3358744908631319
CEBPB	CENPJ	0.28111379916806367
CEBPB	YPEL1	0.27551982823878785
CEBPB	TSR1	0.23872172128845737
CEBPB	AGRN	0.29402396797618113
CEBPB	SIGLEC7	0.26803874598975685
CEBPB	CRB3	0.2625659628532402
CEBPB	OLFML2B	0.25411140029141777
CEBPB	CASC5	0.23070094838080024
CEBPB	LAPTM4B	0.38231261912937065
CEBPB	ADORA3	0.28392139651315684
CEBPB	NFATC2IP	0.25722459032783895
CEBPB	TNFRSF8	0.3421717526798975
CEBPB	MAP3K8	0.369435686490867
CEBPB	ZNF445	0.2724915933830534
CEBPB	ZNF443	0.26176300256810503
CEBPB	MAP3K5	0.20346411948700815
CEBPB	PSKH1	0.24802073988113538
CEBPB	PIAS3	0.23631029571736928
CEBPB	ZNF440	0.19513785615977852
CEBPB	CNPY3	0.1951527641952655
CEBPB	TC2N	0.2095050650484982
CEBPB	DMTF1	0.22833197126852056
CEBPB	ZNF439	0.38182757651745725
CEBPB	PTPRCAP	0.23996177779480377
CEBPB	KIAA0649	0.3352591234114932
CEBPB	FTL	0.19658395985498345
CEBPB	ZNF431	0.3049573313632665
CEBPB	FTO	0.3292777652370331
CEBPB	GRIA2	0.497790523203979
CEBPB	KCNE1	0.2399539470790879
CEBPB	DLX5	0.2506154845829469
CEBPB	SHC1	0.24667605612705135
CEBPB	IREB2	0.19981557674813732
CEBPB	LY96	0.3230955645384217
CEBPB	LIN7C	0.2089910888772124
CEBPB	PKMYT1	0.1968024652820235
CEBPB	CORO1A	0.33635596636722465
CEBPB	RAP1A	0.2966742643079927
CEBPB	MOBP	0.20167912974450442
CEBPB	ZNF429	0.26874138136578196
CEBPB	EIF4EBP3	0.2542365166655429
CEBPB	GRIA3	0.26910100470709963
CEBPB	ZNF420	0.2865237237547147
CEBPB	SDF2L1	0.25036730326456436
CEBPB	NEK4	0.25878375529787334
CEBPB	HTR1D	0.24657049719588375
CEBPB	LY86	0.44870590671550836
CEBPB	GPR109B	0.19900446389103088
CEBPB	HPS6	0.379872763420658
CEBPB	ARPC5	0.2354838316815373
CEBPB	HPS5	0.2166203294685971
CEBPB	BFSP1	0.20169842062911503
CEBPB	G6PC3	0.19945462244392687
CEBPB	SP2	0.23943296670587166
CEBPB	ZNF419	0.1973255265949101
CEBPB	TBXAS1	0.3750446450255831
CEBPB	ZNF415	0.3338281753070005
CEBPB	NIT2	0.2270424143718719
CEBPB	KCNK6	0.2537825486680614
CEBPB	NUMA1	0.2294101918840541
CEBPB	ONECUT2	0.3248788076106397
CEBPB	ITGB2	0.21366127063661722
CEBPB	NENF	0.3627603044577734
CEBPB	ARL5B	0.19639427198224269
CEBPB	ACP6	0.3188027959975246
CEBPB	PGM2	0.20861624950341007
CEBPB	TNFRSF18	0.2578843453167261
CEBPB	VPS13B	0.2319611418898999
CEBPB	TNFRSF1B	0.20353344557228414
CEBPB	ADAMTS20	0.19329596191878995
CEBPB	TMBIM4	0.31136628430278
CEBPB	LCP2	0.27708911102474065
CEBPB	LCP1	0.20503289620123866
CEBPB	SMCR7	0.22075383620195943
CEBPB	ACPP	0.43117463153882163
CEBPB	TRIM52	0.25634108079468376
CEBPB	C1S	0.36693330806801594
CEBPB	C1R	0.41206673851154285
CEBPB	MGRN1	0.23476331066771117
CEBPB	SRBD1	0.22038995180264198
CEBPB	LENG8	0.23657307681351636
CEBPB	MLLT4	0.2532963526227361
CEBPB	LRRC16B	0.2680812050092092
CEBPB	SRM	0.22813971056143778
CEBPB	FOXRED2	0.1874037199215195
CEBPB	ZNRF1	0.28827007085963174
CEBPB	ZNRF2	0.2145810355906912
CEBPB	ATXN1L	0.42986759274383424
CEBPB	E2F2	0.2637748925604244
CEBPB	LOC401431	0.1885909897903808
CEBPB	WHAMM	0.23202833269299106
CEBPB	UBQLN4	0.22835122077444758
CEBPB	KCNJ2	0.24049744735622092
CEBPB	KCNJ3	0.2533880514374518
CEBPB	TRIM45	0.2634230454824289
CEBPB	UBQLN2	0.2731925957456234
CEBPB	SEPT10	0.21122240113721702
CEBPB	ACPL2	0.220190809115274
CEBPB	MYO16	0.21311587785269825
CEBPB	NECAP2	0.2723157056180803
CEBPB	APLF	0.27244535840718065
CEBPB	TRIM37	0.29833346542234196
CEBPB	PDCD1	0.19787269773037064
CEBPB	PIK3AP1	0.21611568470821396
CEBPB	CD244	0.19625748320832948
CEBPB	CPNE8	0.30546146991505463
CEBPB	MT1L	0.19270094810893212
CEBPB	RFESD	0.2959736458441746
CEBPB	MT1M	0.20632415555164219
CEBPB	IKZF1	0.21769850357660214
CEBPB	C16orf88	0.3176200799748967
CEBPB	IKZF2	0.2501204852932437
CEBPB	CCDC102A	0.23833828669458512
CEBPB	NUDT6	0.20247414201662028
CEBPB	C4A	0.2131682880966066
CEBPB	HERC4	0.20176571830222745
CEBPB	LGALS3	0.2229194647013646
CEBPB	STS	0.22058812692078966
CEBPB	HERC1	0.25308604425821724
CEBPB	ANPEP	0.18915432716167047
CEBPB	PI4KAP1	0.276033856071737
CEBPB	C6orf108	0.2789582421976782
CEBPB	CCDC96	0.2895350231117355
CEBPB	TNFSF10	0.3073419944492528
CEBPB	CCDC99	0.24439557404986267
CEBPB	LGALS9	0.3401284312688686
CEBPB	ARL11	0.19470306174071972
CEBPB	ALG8	0.18646205589777676
CEBPB	LOC284900	0.21050766998032433
CEBPB	OMD	0.23116984481934022
CEBPB	ALG3	0.20504716103877296
CEBPB	MGC72080	0.2621660499013032
CEBPB	BTD	0.2067847889295864
CEBPB	MT1A	0.21328548909860068
CEBPB	PPA2	0.3321306339784851
CEBPB	CRISPLD2	0.2328003647129968
CEBPB	MT1G	0.23659615697343028
CEBPB	RIN3	0.2278579306056745
CEBPB	TRIB2	0.2628584550977715
CEBPB	EPAS1	0.20966656921683313
CEBPB	SDC2	0.2668376990673895
CEBPB	MYCBP2	0.1877001945733614
CEBPB	SDC3	0.22735889283663901
CEBPB	OMA1	0.18643952262136665
CEBPB	NEU3	0.32511878083257884
CEBPB	NEU4	0.2750767031357517
CEBPB	NKAIN4	0.2282552273646683
CEBPB	SYNGR1	0.234231907091754
CEBPB	SYNGR2	0.32007932247651727
CEBPB	RRAS	0.3797966996055946
CEBPB	PPCS	0.24796240348069176
CEBPB	HLTF	0.22472350647455297
CEBPB	CEP192	0.23069455827379048
CEBPB	STAT5B	0.2169846867198757
CEBPB	APOBEC3G	0.433131413941072
CEBPB	APOBEC3H	0.19429499865739253
CEBPB	TNFSF12	0.30175935250658803
CEBPB	RANBP17	0.21051220678487237
CEBPB	SLC10A3	0.30154483333340387
CEBPB	TNFSF13	0.3555902847180503
CEBPB	C16orf59	0.3389959111596843
CEBPB	PPBP	0.40251137548200067
CEBPB	NTAN1	0.34657427076050684
CEBPB	BRI3BP	0.260253338435545
CEBPB	C16orf54	0.2215678251728086
CEBPB	IFFO1	0.2882487552267552
CEBPB	SMARCA4	0.2904384198062182
CEBPB	ACCN3	0.18778262237997811
CEBPB	RANBP10	0.26502746181875025
CEBPB	ECHDC3	0.3378370813357785
CEBPB	CALR	0.18822827900608274
CEBPB	FBXL2	0.20144694933103136
CEBPB	LDHAL6A	0.20762673209869753
CEBPB	FBXL6	0.2715770077382009
CEBPB	TP73	0.23749670611981966
CEBPB	C6orf153	0.20826359834050479
CEBPB	C6orf150	0.24022339904046586
CEBPB	MRPS16	0.19813743341882617
CEBPB	AP4E1	0.2967229418151316
CEBPB	VMO1	0.4801397133332337
CEBPB	MAP1LC3A	0.30421736701970037
CEBPB	NANS	0.24830471740271953
CEBPB	MCF2L2	0.3004999207915704
CEBPB	KIAA1949	0.30536199621052784
CEBPB	IL10	0.3143912437130547
CEBPB	FCER1G	0.3298824719162283
CEBPB	SYK	0.23754605331048584
CEBPB	GAA	0.2469622643290892
CEBPB	IL18	0.20977029734821162
CEBPB	AGTRAP	0.4363422176739107
CEBPB	PRPF40B	0.20037991123114463
CEBPB	IL1A	0.23335279696487987
CEBPB	ARHGEF9	0.24753784247911792
CEBPB	PDIK1L	0.33389300658070287
CEBPB	PABPC1	0.21340078743393054
CEBPB	ARHGEF7	0.33145784296046354
CEBPB	SYNC	0.24712824936463385
CEBPB	C6orf155	0.30386093896561484
CEBPB	MRPS33	0.320213364526464
CEBPB	GBA	0.29471592034146266
CEBPB	PRICKLE2	0.2021065554394612
CEBPB	CAPG	0.30779673028643373
CEBPB	HSD17B7	0.2278412584895504
CEBPB	HSD17B8	0.3771143439278086
CEBPB	RELB	0.5316929095505651
CEBPB	ZFP14	0.3549313625460533
CEBPB	OS9	0.19492355485100266
CEBPB	ORMDL2	0.49533656675808935
CEBPB	PCNX	0.2293143476995514
CEBPB	MGAT1	0.3182094912727633
CEBPB	REM2	0.22542879237145907
CEBPB	IL32	0.3011776651310427
CEBPB	C16orf93	0.2316493011899512
CEBPB	MON2	0.22502259780165002
CEBPB	MAP3K1	0.3616765165299469
CEBPB	CCDC109B	0.2305183154917234
CEBPB	PCDHB15	0.24078659492839094
CEBPB	KLHL2	0.2956754422806416
CEBPB	C1orf27	0.2949194467720755
CEBPB	PCDHB10	0.19327090304766958
CEBPB	PDCL3	0.20884821277759524
CEBPB	NUDT7	0.22291030068331263
CEBPB	TTC8	0.3212377076386188
CEBPB	NUDT8	0.2953892907251987
CEBPB	C6orf134	0.2285577833999426
CEBPB	SYS1	0.23024992600847227
CEBPB	NUP188	0.2417458012041429
CEBPB	UBE3C	0.20339661238977058
CEBPB	CRTC1	0.24666512029821508
CEBPB	GDA	0.27751835530874924
CEBPB	C1orf56	0.24425040694584865
CEBPB	INPPL1	0.2260397453869576
CEBPB	PRDM1	0.2035828755409792
CEBPB	NR3C1	0.3090643699946609
CEBPB	CELSR3	0.2855148673411101
CEBPB	SNORD17	0.2460251089238339
CEBPB	ZNF85	0.24168785895782552
CEBPB	FAM3A	0.4290131485907107
CEBPB	TGM2	0.21796313512027687
CEBPB	TMSL3	0.39516516067190377
CEBPB	TMOD2	0.20073107416289648
CEBPB	CASK	0.25820674792239906
CEBPB	TTC7A	0.20287918444847897
CEBPB	KMO	0.33557119386512824
CEBPB	LOC400927	0.2600985127439399
CEBPB	CCNB1IP1	0.1924408961466515
CEBPB	SPOCD1	0.19869400055458897
CEBPB	ZNF91	0.41764965684232624
CEBPB	TYROBP	0.4500142073570119
CEBPB	TBC1D24	0.27666946682306204
CEBPB	ODF3B	0.33097402873329607
CEBPB	RAF1	0.35275111065632814
CEBPB	C8orf42	0.1982005560005593
CEBPB	CNN1	0.2047429851265976
CEBPB	SYCE2	0.18950354789424217
CEBPB	SHARPIN	0.24580184973393138
CEBPB	IRAK1	0.24805641032186632
CEBPB	TBC1D13	0.1943073965166935
CEBPB	LLPH	0.29455997796582967
CEBPB	UBE2F	0.1887750686947296
CEBPB	RARRES2	0.23226517699873384
CEBPB	CRTAM	0.19848912006806696
CEBPB	LOC400940	0.18759824717921703
CEBPB	GGN	0.24342065060880635
CEBPB	FGF17	0.20963202926009217
CEBPB	C8orf39	0.22481793726490373
CEBPB	UBA2	0.2892338075366059
CEBPB	IL7R	0.26524638912469545
CEBPB	MXD3	0.20242187908002407
CEBPB	GALK1	0.26454732317633844
CEBPB	RERE	0.22362356776348413
CEBPB	TNFAIP8	0.355296556063065
CEBPB	ZMYND17	0.20791928243738056
CEBPB	ZMYND19	0.18753484418376676
CEBPB	C12orf4	0.2300033790733753
CEBPB	HP1BP3	0.4812786351567784
CEBPB	MS4A7	0.20925387890180236
CEBPB	PLEK	0.2833130180219996
CEBPB	ODZ1	0.2518320700924086
CEBPB	DMKN	0.3663719444528901
CEBPB	TCHP	0.20526959187253002
CEBPB	GRM8	0.18718423958131947
CEBPB	FAM73A	0.2842104874214595
CEBPB	MAN1A1	0.34041067247907275
CEBPB	CYTIP	0.3959376747780574
CEBPB	IFT57	0.3114245392680095
CEBPB	FAM73B	0.24973491293839611
CEBPB	MKL2	0.2766746183080544
CEBPB	C1orf85	0.5357284677282115
CEBPB	TRAPPC2P1	0.23199872899276297
CEBPB	TTC31	0.2518680263015911
CEBPB	IRAK4	0.22413891499027816
CEBPB	EPN2	0.41264877833298375
CEBPB	TAPBP	0.19009254791293806
CEBPB	ELF1	0.2442103579297612
CEBPB	SETBP1	0.2966020715256832
CEBPB	ELF4	0.38865970779590864
CEBPB	CAT	0.21429209332807453
CEBPB	MAN1B1	0.1860638788363369
CEBPB	IFT46	0.18744632881624312
CEBPB	FBP1	0.26518485091532273
CEBPB	IL9R	0.18863750599989437
CEBPB	ANKS3	0.23002047159642647
CEBPB	ASB13	0.23087935012267735
CEBPB	AGPAT2	0.3552307955922922
CEBPB	PSMB10	0.22980078178067398
CEBPB	RNF2	0.19110363504433892
CEBPB	POLD4	0.3147626738204874
CEBPB	CYTH4	0.23652975867110015
CEBPB	CBS	0.41732417193237037
CEBPB	BNIP1	0.1864936977072036
CEBPB	PTK2B	0.3421043647274802
CEBPB	C10orf11	0.35134160792611
CEBPB	CRYM	0.27005856482426527
CEBPB	C8orf73	0.22322206051304327
CEBPB	TTC19	0.22524328523705606
CEBPB	GALC	0.27394290359473583
CEBPB	FAM155A	0.3154805921311308
CEBPB	TEC	0.251303476047549
CEBPB	TNIP2	0.34580504158645464
CEBPB	KRAS	0.2853986051468951
CEBPB	MORF4	0.1918488022405418
CEBPB	GLA	0.273632993668814
CEBPB	PI4K2B	0.20962899245331634
CEBPB	XYLT1	0.2442568634257416
CEBPB	WDR89	0.22643710609570444
CEBPB	GJA3	0.23249231675025328
CEBPB	KIAA1468	0.22358568585310667
CEBPB	WDR90	0.2068670873275016
CEBPB	CEP97	0.3437048636803848
CEBPB	DDX17	0.33824660392078876
CEBPB	ATG10	0.22827312679004397
CEBPB	HCFC2	0.2607133574456846
CEBPB	GTPBP3	0.3418867344895222
CEBPB	DEPDC1B	0.18910576665007106
CEBPB	MTAP	0.20519883364350378
CEBPB	ADCY9	0.23180268138506666
CEBPB	NPIPL3	0.2045023592190809
CEBPB	ZSCAN23	0.2785478217493038
CEBPB	CFB	0.22795656153352706
CEBPB	LRPAP1	0.21036559350846495
CEBPB	ZNF394	0.36753368596475156
CEBPB	CFI	0.3485814015662676
CEBPB	WDR63	0.2699507965782386
CEBPB	KIAA1012	0.29668568551801844
CEBPB	SAMSN1	0.23611361567446032
CEBPB	RRP7B	0.29419731224822687
CEBPB	FAM171A2	0.1938958939845543
CEBPB	C16orf3	0.1860428330251498
CEBPB	BLOC1S2	0.2051807558751353
CEBPB	ALX4	0.20917468685648188
CEBPB	HMOX1	0.3001501548191188
CEBPB	ZSCAN12	0.3942852291076484
CEBPB	NCKAP1L	0.2716522924476754
