Regulator	Target	MI
CEBPB	HCP5	0.2846759355358115
CEBPB	JRK	0.43379626166237184
CEBPB	SPINT2	0.24676476896649202
CEBPB	SLA2	0.5031044632531056
CEBPB	NBLA00301	0.1887159309456905
CEBPB	ALKBH3	0.2117240115510981
CEBPB	COMTD1	0.21830816986918222
CEBPB	HTR7	0.38683682709176637
CEBPB	CAPNS1	0.2641894438406007
CEBPB	DPYSL5	0.2729852995166011
CEBPB	FGFR1OP2	0.20558984348009535
CEBPB	ZC3H12A	0.5228573608029459
CEBPB	CKMT1B	0.23325933148547673
CEBPB	GUSBL2	0.19658568326861392
CEBPB	GSTK1	0.3419822135670021
CEBPB	CACNA2D3	0.307356170444689
CEBPB	CACNA2D2	0.19269671090703966
CEBPB	CACNA2D4	0.5470501355166322
CEBPB	SIGIRR	0.2611801853992395
CEBPB	CH25H	0.36498679373525267
CEBPB	SPINT1	0.4310690548772609
CEBPB	EWSR1	0.215851504056638
CEBPB	SCO2	0.31708652337113463
CEBPB	KIAA0247	0.2571497815715649
CEBPB	UNC50	0.3260203431106756
CEBPB	PLBD1	0.315983968689344
CEBPB	ZNF28	0.2339686080552399
CEBPB	COL13A1	0.38525845683157645
CEBPB	LOC550643	0.3092869364985935
CEBPB	SAR1A	0.2591758714021388
CEBPB	SAR1B	0.2046688824470424
CEBPB	DEDD2	0.20115083762288855
CEBPB	RDH12	0.2755294110779012
CEBPB	RDH10	0.42180158151032554
CEBPB	RDH16	0.26941275104748996
CEBPB	LTA4H	0.20670973693872163
CEBPB	JUN	0.3372885692414638
CEBPB	JAG1	0.23039285886012628
CEBPB	EIF2AK1	0.4045386801191091
CEBPB	EIF2AK3	0.20507270601488425
CEBPB	PBX1	0.2179465013908457
CEBPB	LOC606724	0.400520640776465
CEBPB	DLX6AS	0.313422986719992
CEBPB	FXYD5	0.2882606963147438
CEBPB	SFXN2	0.18973160558985036
CEBPB	HLA-DRB1	0.25691598258523207
CEBPB	CSDAP1	0.2274573734181109
CEBPB	SHD	0.3198926905391941
CEBPB	BBC3	0.20001597315282105
CEBPB	IL18BP	0.35292509087914503
CEBPB	SHF	0.2997591693109003
CEBPB	NHSL1	0.22467029606814393
CEBPB	JAK3	0.32135942411655893
CEBPB	RAG1AP1	0.3658426237605612
CEBPB	CHST9	0.24663289830678714
CEBPB	KCND2	0.5050884943561584
CEBPB	GSTO1	0.2662610215792096
CEBPB	MMP10	0.24330458015025336
CEBPB	TEX19	0.19008790781081242
CEBPB	PLSCR1	0.34201255980219347
CEBPB	MMP15	0.24072859243959588
CEBPB	DPYD	0.32055936918290406
CEBPB	MMP19	0.20264280160847292
CEBPB	GTF2H2B	0.21124425273046388
CEBPB	HCST	0.496709855160244
CEBPB	RAPGEF6	0.2274947556999516
CEBPB	PAFAH1B1	0.26631395532840507
CEBPB	KCNA1	0.22790231516408355
CEBPB	KCNA2	0.204485747256812
CEBPB	PTAFR	0.20024804697193144
CEBPB	KCNA5	0.23476857694033004
