Regulator	Target	MI
CEBPB	HCP5	0.18847473369265977
CEBPB	SPI1	0.3767369265634022
CEBPB	LOC100133669	0.22649000436707922
CEBPB	LOC134466	0.3186845087508461
CEBPB	VSTM1	0.3059967009492919
CEBPB	FAM19A5	0.2554230326493512
CEBPB	MNX1	0.19557152486144158
CEBPB	LOC613037	0.2388379224574173
CEBPB	CACNA2D1	0.285692698545466
CEBPB	ZNF10	0.23147359028080317
CEBPB	FRS2	0.22106275992072266
CEBPB	CACNA2D4	0.3136686410649414
CEBPB	BCR	0.1896687811335731
CEBPB	SPINT1	0.24958854311493806
CEBPB	SCO2	0.22131718538023915
CEBPB	SKAP1	0.26433850597999076
CEBPB	ZNF28	0.28329057174787753
CEBPB	ZNF22	0.21874155419916264
CEBPB	RNF212	0.2573998121863488
CEBPB	PRPSAP2	0.22098584416964595
CEBPB	RDH11	0.18981952558968818
CEBPB	RDH14	0.3170204374170664
CEBPB	HLA-DRB5	0.5467153153550228
CEBPB	L1CAM	0.19867277799188532
CEBPB	LARP6	0.22662687421019978
CEBPB	PBX1	0.23386948541976071
CEBPB	LOC606724	0.35310134114194724
CEBPB	DLX6AS	0.29291460064787955
CEBPB	NMT2	0.20734876000659597
CEBPB	SFXN4	0.204510098902146
CEBPB	FXYD5	0.2944782672595805
CEBPB	DZIP3	0.20096093491623002
CEBPB	HLA-DRB1	0.3192640015945365
CEBPB	LGMN	0.27785643959524364
CEBPB	ARHGAP9	0.1857669753799911
CEBPB	LIN54	0.3184418404683482
CEBPB	SIGLEC9	0.22462824832147543
CEBPB	KCNC1	0.19671423744125782
CEBPB	FAM115A	0.278623117940195
CEBPB	PANX1	0.26009458421893683
CEBPB	PANX2	0.2480107760503607
CEBPB	MED14	0.29093831653413815
CEBPB	NHSL1	0.22949179335964853
CEBPB	TSPO	0.5013914351786326
CEBPB	DLGAP4	0.22257846257398395
CEBPB	LIN52	0.330509531728028
CEBPB	ZNF486	0.26275889124326834
CEBPB	RAG1AP1	0.2832365493991764
CEBPB	ZNF484	0.19112935928550812
CEBPB	MYBPC1	0.23433251063497185
CEBPB	BGN	0.2833062102822774
CEBPB	FOS	0.25986608070094785
CEBPB	JOSD2	0.3701103028277215
CEBPB	WNT9A	0.18732781639921026
CEBPB	SLC39A14	0.34040203002275504
CEBPB	PGM2L1	0.19109100764175402
CEBPB	TMEFF1	0.24004482851984577
CEBPB	DPYD	0.2898975862209552
CEBPB	CHST5	0.20303714521712202
CEBPB	HCST	0.21953111365712807
CEBPB	LOC220930	0.2075598293234746
CEBPB	ATL2	0.24340000124692995
CEBPB	ATP5A1	0.33260722639966644
CEBPB	KCNA2	0.34994115332266507
CEBPB	CENPB	0.253796580608479
CEBPB	ATAD1	0.19642224266867014
CEBPB	MBD2	0.3374036940014715
CEBPB	APEX2	0.2093952704215294
CEBPB	KIAA2013	0.21299519388804544
CEBPB	SNX19	0.18803369604883713
CEBPB	CCDC7	0.24628977744431158
CEBPB	PRKRIR	0.33515166712638234
CEBPB	YPEL1	0.2659740436632898
CEBPB	AGRN	0.2240781794504576
CEBPB	SIGLEC7	0.20611736692678218
CEBPB	LIMS2	0.2641020710618074
CEBPB	MTCH2	0.21441969766852598
CEBPB	LOC257358	0.19279358563194826
CEBPB	PLOD3	0.2074740277105409
CEBPB	FADS2	0.34420566990024515
CEBPB	EFEMP2	0.31875898105090883
CEBPB	ADORA3	0.33027888704351227
CEBPB	MAP3K8	0.2886063054597523
CEBPB	NUDT14	0.20680107436140904
CEBPB	ZNF441	0.18829189732246743
CEBPB	CISH	0.2606725659503706
CEBPB	KCNH8	0.28546981738401733
CEBPB	CNPY1	0.261694161192338
CEBPB	LOC285830	0.19362217778795454
CEBPB	SMS	0.24960508268525405
CEBPB	CABC1	0.2014398708804066
CEBPB	ZNF434	0.24193509990166895
CEBPB	SHC3	0.2099384281737704
CEBPB	SHC1	0.22736029783249467
CEBPB	LY96	0.22673737994902776
CEBPB	LOC147727	0.22319976087531845
CEBPB	CCDC144C	0.25729645658195555
CEBPB	ZNF426	0.22951546505595477
CEBPB	NAE1	0.20290982660004975
CEBPB	SDF2L1	0.2317176668213179
CEBPB	UROS	0.20782924468628483
CEBPB	HTR1D	0.27476909447201336
CEBPB	HPS6	0.34315654331965284
CEBPB	RPS10P7	0.252195614673945
CEBPB	ZNF419	0.42792442587442814
CEBPB	ZNF418	0.2394786916173155
CEBPB	TBXAS1	0.2977230391654544
CEBPB	ZNF417	0.32126637987581397
CEBPB	SNAP23	0.21612510873200552
CEBPB	APIP	0.2057513085677325
CEBPB	GPR89B	0.33043308339635935
CEBPB	NRGN	0.20646799404595573
CEBPB	UNC80	0.4025850384776666
CEBPB	KIAA1549	0.18622028740384078
CEBPB	BCAS1	0.19956972115099525
CEBPB	BCAS3	0.21230762899007605
CEBPB	GRID2	0.19459458343102298
CEBPB	RNASET2	0.3164128951662004
CEBPB	LOC200030	0.2094710356723004
CEBPB	MGC16275	0.19896563106384502
CEBPB	ZNF879	0.20085416783759147
CEBPB	ITGA8	0.19924380166509437
CEBPB	LCOR	0.23022925931293248
CEBPB	LCP2	0.2341967466914916
CEBPB	TMBIM6	0.22505131285869862
CEBPB	ITGA5	0.2477164362411468
CEBPB	SMCR7	0.2228070158151647
CEBPB	ACPP	0.19618129753038094
CEBPB	PRPS2	0.2137473438625772
CEBPB	C1S	0.3568419473426845
CEBPB	ROCK1	0.1860042900318506
CEBPB	C1R	0.6133983046515699
CEBPB	HM13	0.19931042705680024
CEBPB	SLC5A12	0.21525555687604303
CEBPB	IL2RG	0.27128011387479223
CEBPB	MLLT4	0.48254655454879103
CEBPB	LRRC16B	0.25640543108116365
CEBPB	TSPAN31	0.23913662257783042
CEBPB	ZNRF2	0.3420772554086966
CEBPB	CCDC85C	0.21947922643902196
CEBPB	TRIM47	0.20281513190509148
