Regulator	Target	MI
CEBPB	SPI1	0.45823785447502896
CEBPB	GMFG	0.3053585158086536
CEBPB	TMEM97	0.30846785432360413
CEBPB	NOC2L	0.20381046011662995
CEBPB	SLA2	0.1933955876124971
CEBPB	LIPA	0.2171874449950426
CEBPB	SUV420H1	0.20178846247634308
CEBPB	ALKBH3	0.18646512682235006
CEBPB	ZFYVE28	0.19452118706797528
CEBPB	FAM134B	0.19822889243234698
CEBPB	LACTB	0.29410241257604763
CEBPB	PSMD9	0.2726058047653366
CEBPB	LSM11	0.19769734349203194
CEBPB	TDO2	0.25107289485574125
CEBPB	SNORA39	0.20742326879069317
CEBPB	C3AR1	0.22876241349662862
CEBPB	PRKACA	0.3900558627267223
CEBPB	GBP5	0.2870829544817797
CEBPB	GSTK1	0.29519657195068305
CEBPB	TSTD2	0.20712607028546248
CEBPB	RNASE6	0.20251322274026773
CEBPB	TOMM20L	0.18619928404363595
CEBPB	CACNA2D2	0.19172241565477677
CEBPB	RNASE4	0.19228334663554048
CEBPB	CACNA2D4	0.2298546370817789
CEBPB	RNASE3	0.303138345359252
CEBPB	LOC643923	0.2092378933885417
CEBPB	RNASE2	0.34603649366713896
CEBPB	PRAP1	0.19374119250800792
CEBPB	SIGIRR	0.2150533079114858
CEBPB	CH25H	0.251230089426028
CEBPB	SCO1	0.19400078246921915
CEBPB	RUFY3	0.1904133444099756
CEBPB	ORAI3	0.3927788904139513
CEBPB	PSME2	0.19712907212253317
CEBPB	ENTHD1	0.20567427479982836
CEBPB	CYP2E1	0.2902094808951228
CEBPB	ATF3	0.22397763853870334
CEBPB	IDO1	0.3028371684225135
CEBPB	FPR1	0.33418067360477277
CEBPB	FPR3	0.23594744770785425
CEBPB	SLCO5A1	0.22400131132722123
CEBPB	AAAS	0.24857702271574578
CEBPB	ZNF24	0.2650725397737297
CEBPB	OAZ1	0.24604018622991752
CEBPB	C2	0.26301982999731877
CEBPB	C3	0.21648938043295018
CEBPB	HSD11B1	0.2776534173767855
CEBPB	GRIN2A	0.2508104492059644
CEBPB	ADAMTS19	0.1892981119628505
CEBPB	KCNMB1	0.20686656387215052
CEBPB	PDGFC	0.30891777896601536
CEBPB	HESX1	0.2054793685443368
CEBPB	SFN	0.24062594952653615
CEBPB	NCRNA00119	0.22156165583162046
CEBPB	RHBDL3	0.22520466082862
CEBPB	LYN	0.3693439622398458
CEBPB	HLA-DRB5	0.2277440769934298
CEBPB	CADM2	0.44538197955916736
CEBPB	EDEM2	0.282029033833866
CEBPB	FUCA2	0.21280525288242647
CEBPB	BTBD12	0.1909767375710496
CEBPB	CP	0.4396774995904824
CEBPB	PBX1	0.24006860428467292
CEBPB	SNUPN	0.2473683540918019
CEBPB	LOC606724	0.3099822116358091
CEBPB	VANGL2	0.21849305949013775
CEBPB	FXYD5	0.2598433384690848
CEBPB	HAMP	0.2367097686702886
CEBPB	ZBTB8B	0.23773195361853716
CEBPB	HLA-DRB1	0.21587590468462992
CEBPB	SFXN5	0.202820323536816
CEBPB	FERMT3	0.5875139527760629
CEBPB	ARHGAP9	0.35895864118006493
CEBPB	SRPX	0.22261447632805353
CEBPB	STAG3L3	0.19412561614571455
CEBPB	C7orf54	0.23243462047651509
CEBPB	PIGT	0.27446026145905034
CEBPB	SIGLEC9	0.3503980399863531
CEBPB	ZNF250	0.20907570009459064
CEBPB	ZNF491	0.31615822718033826
CEBPB	HEXB	0.3405241384128672
CEBPB	HEXA	0.3677633026293039
CEBPB	LOC388588	0.271946257334335
CEBPB	QPRT	0.19738362591405512
CEBPB	CSDAP1	0.20838990849133765
CEBPB	TMEM51	0.2304013046147242
CEBPB	RCSD1	0.3478996991290577
CEBPB	ARHGAP4	0.20700046464999655
CEBPB	MED13	0.2935459780485292
CEBPB	HEY1	0.1971532683660513
CEBPB	TMEM43	0.1975198811168113
CEBPB	CASP10	0.19938086676684463
CEBPB	ZNF41	0.18645314399506763
CEBPB	TSPO	0.3358038570347075
CEBPB	SH3BGRL3	0.3481211871733052
CEBPB	TPSAB1	0.27681318292587864
CEBPB	CTBS	0.2476432435977891
CEBPB	JAK3	0.22228266182751
CEBPB	HLA-DPA1	0.19157069014889494
CEBPB	IKBIP	0.2080483901897905
CEBPB	LRRC47	0.18814824951014675
CEBPB	RAG1AP1	0.22691993163341273
CEBPB	DUSP5	0.23170260662430042
CEBPB	ELOVL1	0.2117106468025174
CEBPB	CHST7	0.21551812449125674
CEBPB	MYBPC2	0.19067614836014268
CEBPB	GPR34	0.18688733000048696
CEBPB	RIPK3	0.33981262358705866
CEBPB	DUSP1	0.35577149229690885
CEBPB	SPHK1	0.3324161542762969
CEBPB	ELOVL3	0.22268542896076848
CEBPB	ROM1	0.2925431092956874
CEBPB	EMP3	0.2816775908588216
CEBPB	EPS15L1	0.22595861666642314
CEBPB	SLC39A14	0.3213440079306906
CEBPB	MESDC1	0.20966112242687718
CEBPB	SUMF1	0.22897724519771145
CEBPB	PIGC	0.213352176078609
CEBPB	VAMP8	0.2844120118107254
CEBPB	TMEM37	0.5016111760126272
CEBPB	FAM113B	0.21247888244386193
CEBPB	SLC7A7	0.353377946160486
CEBPB	RILPL2	0.31490973679000067
CEBPB	OAF	0.35359112446827545
CEBPB	TUT1	0.21908078201804315
CEBPB	LRRC3B	0.18778467140175348
CEBPB	HCST	0.34015002159338614
CEBPB	VAMP5	0.3663155472952804
CEBPB	TMEM106A	0.3490196008314923
CEBPB	ZNF473	0.28225949588714894
CEBPB	COL11A2	0.20537075669796145
CEBPB	CLECL1	0.23449689072593927
CEBPB	ZNF518A	0.2703914587291134
CEBPB	CCNDBP1	0.3142996018152582
CEBPB	PTGS2	0.41650333551145025
CEBPB	PRAM1	0.25484830530460023
CEBPB	PTGS1	0.2643839155248777
CEBPB	ADAM28	0.3190844961554662
CEBPB	HLA-DMA	0.34812094244465186
CEBPB	HAS1	0.2650067900749855
CEBPB	SPP1	0.28895906645220926
CEBPB	IL12RB1	0.26830070021228547
CEBPB	CSMD1	0.2148053670117882
CEBPB	LOC144486	0.23866755761303704
CEBPB	LRRC25	0.3397437744236731
CEBPB	AADAT	0.2692892010706718
CEBPB	KCNB1	0.19337910738863417
CEBPB	PKM2	0.3042144119299861
CEBPB	USP9Y	0.3763143803999238
CEBPB	EMR1	0.2747367838370458
CEBPB	EMR2	0.20105587220939203
CEBPB	FLJ35776	0.23782931183010003
CEBPB	PLXDC2	0.2793101714655224
CEBPB	GATAD2B	0.23163483046889066
CEBPB	SPSB3	0.21776574734522214
CEBPB	CCDC8	0.19995563000271854
CEBPB	SHKBP1	0.33274808318587556
CEBPB	TAOK1	0.2873718630508568
CEBPB	HLA-DPB1	0.2569288889886794
CEBPB	YPEL1	0.3479206772295633
CEBPB	SIGLEC7	0.33335512321094285
CEBPB	LOC257358	0.2872409063742314
CEBPB	NCF1	0.32856488735095635
CEBPB	RIF1	0.18709291422754326
CEBPB	NCF2	0.2287571019658099
CEBPB	GPR65	0.26941112723460137
CEBPB	NCF4	0.2512661742706248
CEBPB	F13A1	0.23846223516817844
CEBPB	SLA	0.45257676205264996
CEBPB	CASC3	0.2497937336894971
CEBPB	SAT1	0.25892464236443047
CEBPB	CXCL16	0.2636914570173605
CEBPB	IBSP	0.1964446628808023
CEBPB	UROD	0.21000987471584942
CEBPB	ADORA3	0.2607855803517225
CEBPB	TOM1	0.22542184774103013
CEBPB	MAP3K8	0.3791051027851271
CEBPB	PIM3	0.2604144613348689
CEBPB	HLA-DOA	0.22865087958145125
CEBPB	ZNF445	0.23933911157839471
CEBPB	PPP1R16B	0.19649444899486213
CEBPB	ZBTB38	0.18796678378594045
CEBPB	CNPY3	0.33432724802937486
CEBPB	FBXW2	0.19275323411046497
CEBPB	TPST2	0.26697846189102137
CEBPB	ACAP1	0.2620110888407261
CEBPB	MAF	0.32641117157648747
CEBPB	SMO	0.21971041319916917
CEBPB	LGSN	0.20978283282501042
CEBPB	MFNG	0.2336264638068375
CEBPB	KIAA1731	0.29948569275973025
CEBPB	S100A6	0.22587074087819925
CEBPB	S100A4	0.2510811692830197
CEBPB	ZNF434	0.32882235209310995
CEBPB	KIAA0649	0.2510477836344194
CEBPB	S100A9	0.4401625449260598
CEBPB	FTL	0.4001892052930094
CEBPB	FTO	0.3573875732950551
CEBPB	GRIA2	0.2445537231301369
CEBPB	LOC100233209	0.2554677529317475
CEBPB	SHC1	0.2100502726309088
CEBPB	ZC4H2	0.2476526855977923
CEBPB	TACSTD2	0.20202025812103042
CEBPB	LY96	0.2881137777430691
CEBPB	CREBL2	0.21635509243352669
CEBPB	GPR83	0.27719500741601877
CEBPB	GPR84	0.36623135347580327
CEBPB	SPATA5	0.24718063951750313
CEBPB	CORO1A	0.2668383039498545
CEBPB	RAP1B	0.238397314892838
CEBPB	AMDHD2	0.23388478228258602
CEBPB	C9orf89	0.22339130118458872
CEBPB	MBP	0.27437167794226536
CEBPB	LOC399815	0.2137983078602952
CEBPB	SOCS7	0.1947024712088048
CEBPB	HTR1F	0.199653435528524
CEBPB	GFPT2	0.1962518984163628
CEBPB	HTR1D	0.2320526335505786
