Regulator	Target	MI
CEBPB	NUP107	0.25471788100125625
CEBPB	SPI1	0.32959475314618114
CEBPB	C4BPB	0.273333321842431
CEBPB	SPINT2	0.21392179169368664
CEBPB	TMEM97	0.20006516908485938
CEBPB	ISM1	0.24917842959370873
CEBPB	SUV420H1	0.2561344850671867
CEBPB	IL4I1	0.18595257122099174
CEBPB	LACTB	0.3084112909779311
CEBPB	KIAA1109	0.24030375605093024
CEBPB	DPYSL4	0.1994441304954524
CEBPB	TDO2	0.21101944068054568
CEBPB	C14orf72	0.19356666276163637
CEBPB	GPBP1	0.2419496744947125
CEBPB	ZC3H12A	0.21924423336883248
CEBPB	C3AR1	0.2196110693269402
CEBPB	LIPN	0.2279245929773852
CEBPB	LOC613037	0.22083948666147268
CEBPB	RNASE4	0.22045021443125457
CEBPB	CACNA2D4	0.3828115952991542
CEBPB	PDYN	0.26751493646674174
CEBPB	RNASE2	0.3592264585337661
CEBPB	CH25H	0.3225089548201936
CEBPB	SPINT1	0.27556471837962704
CEBPB	ETHE1	0.3705891572546465
CEBPB	IDO1	0.20196119437740823
CEBPB	LOC550643	0.203912282853822
CEBPB	FPR1	0.26522087249927573
CEBPB	CLCNKA	0.18929616734660648
CEBPB	MTMR9	0.3267921577622568
CEBPB	FPR3	0.19264739733963765
CEBPB	ZNF22	0.22159511996153558
CEBPB	IQGAP2	0.2041444708084974
CEBPB	C2	0.2828910412849419
CEBPB	C3	0.2601500796516918
CEBPB	CYB5R1	0.23038829126713622
CEBPB	EPB41L5	0.35725264241193955
CEBPB	MRPL20	0.1914914975492117
CEBPB	KCNMB1	0.28435295563372165
CEBPB	RDH10	0.3028635980029595
CEBPB	EPB41L3	0.1945193195311825
CEBPB	KCNMB4	0.20520157079613277
CEBPB	RHBDL3	0.18712680872009457
CEBPB	GSTM4	0.25129102496527267
CEBPB	PRPF38A	0.321176644564626
CEBPB	TSLP	0.19298728082339256
CEBPB	APCDD1L	0.24005508443300982
CEBPB	EDEM2	0.23940045784417752
CEBPB	BTBD11	0.3141426989284719
CEBPB	PBX1	0.2626146101680984
CEBPB	DHFR	0.1912804695016055
CEBPB	TREML1	0.29896163651199803
CEBPB	VANGL1	0.22608735697234206
CEBPB	TREML2	0.4695911528376726
CEBPB	ZNF30	0.2358434129604543
CEBPB	FXYD6	0.2141192641469285
CEBPB	FXYD5	0.2931049642084016
CEBPB	HAMP	0.31978532444024843
CEBPB	HNRNPA1L2	0.2104844664294978
CEBPB	ZBTB8B	0.21272139809697688
CEBPB	DZIP3	0.2527615214161605
CEBPB	FERMT3	0.45999265916231646
CEBPB	ARHGAP9	0.553249818756016
CEBPB	ZNF253	0.24865712178688337
CEBPB	PIGT	0.221389340032772
CEBPB	SIGLEC9	0.39890795810416435
CEBPB	ZNF493	0.26730079165421916
CEBPB	WFIKKN1	0.22569659138273668
CEBPB	LOC388588	0.21362677728779023
CEBPB	ARHGAP1	0.20932943348220068
CEBPB	SNX10	0.20273860314254133
CEBPB	CTCF	0.24731616404867207
CEBPB	OSBPL11	0.21204805981498343
CEBPB	RCSD1	0.21269236205029074
CEBPB	LITAF	0.31215341480214853
CEBPB	ZNF48	0.21197684661119176
CEBPB	ARHGAP4	0.4421512653994686
CEBPB	NIPBL	0.237949775751102
CEBPB	UCN2	0.20190371574882526
CEBPB	TSPO	0.3374102541372812
CEBPB	SH3BGRL3	0.4456494556476924
CEBPB	FGFBP3	0.32133125427193043
CEBPB	IKBKE	0.2669047619580853
CEBPB	JAK3	0.19456990785462924
CEBPB	SULT1C4	0.18625957637217638
CEBPB	RAG1AP1	0.35931496850362876
CEBPB	ELOVL1	0.3426333177230063
CEBPB	RIPK3	0.2396050749485079
CEBPB	GSTO1	0.18993830207052387
CEBPB	SPHK1	0.3146985007103833
CEBPB	EMP3	0.2633027214231696
CEBPB	JOSD2	0.4894214259065217
CEBPB	DYNLL2	0.24569859183520038
CEBPB	VAMP8	0.3978878698347561
CEBPB	TMEM37	0.3896356132901069
CEBPB	FAM113B	0.20732366921937473
CEBPB	SLC7A7	0.3537687649827541
CEBPB	RILPL2	0.2761191601904338
CEBPB	OAF	0.21646918136163062
CEBPB	TMEM35	0.23952488152223772
CEBPB	VN1R1	0.22572609458621606
CEBPB	PPARG	0.2535316578611768
CEBPB	SLC29A1	0.22780797101573125
CEBPB	HCST	0.38366079544504483
CEBPB	VAMP5	0.2511988881688909
CEBPB	CHST2	0.19221109504450418
CEBPB	ARF6	0.34325839319668106
CEBPB	FLJ43390	0.3646939072034945
CEBPB	KCNA2	0.30032040340468846
CEBPB	CLECL1	0.22897707928121047
CEBPB	RPS27L	0.21938635747337099
CEBPB	FAM117B	0.22014372756098233
CEBPB	PTGS1	0.23141371036031444
CEBPB	HLA-DMA	0.26670684973583914
CEBPB	HLA-DMB	0.29465470140456596
CEBPB	SRPX2	0.28642247052903347
CEBPB	UCP2	0.2257561292909287
CEBPB	SPP1	0.26347446035844513
CEBPB	ZNF227	0.2395331988602747
CEBPB	LRRC25	0.33060893657556445
CEBPB	KCNB1	0.1929712050245893
CEBPB	PKM2	0.4187359611266146
CEBPB	EMR1	0.258546924358269
CEBPB	EMR2	0.4255245948244113
CEBPB	PLXDC2	0.24778787584276696
CEBPB	SNX20	0.23131321912027847
CEBPB	BYSL	0.21771703306043744
CEBPB	NUDT22	0.23345382867581765
CEBPB	TMEM59	0.2291528858305094
CEBPB	LRG1	0.21155679413983108
CEBPB	TAOK3	0.24121027448530974
CEBPB	CENPI	0.38547652797102927
CEBPB	PSMC1	0.25899325926273065
CEBPB	YPEL1	0.19419934325704435
CEBPB	NCAPD3	0.21702297255221215
CEBPB	OLFML2B	0.24274975935980425
CEBPB	NCF1	0.30024904507314254
CEBPB	NCF2	0.21610215212096406
CEBPB	NCF4	0.35865680883984385
CEBPB	RASL11A	0.2070974834069812
CEBPB	HP	0.21402774719669004
CEBPB	LY75	0.2530998054291267
CEBPB	F13A1	0.2514969486463068
CEBPB	FAM119A	0.24519161278886692
CEBPB	SLA	0.3372046878967705
CEBPB	GPR61	0.3389932686986521
CEBPB	CASC3	0.3439893235707494
CEBPB	SAT1	0.45288463575596793
CEBPB	CXCL16	0.2334523364948513
CEBPB	FADS2	0.23096019429863812
CEBPB	EFEMP2	0.2489524101879077
CEBPB	EFEMP1	0.1920079483623649
CEBPB	ADORA3	0.23349338801694763
CEBPB	PIM1	0.27195026697273406
CEBPB	MAP3K8	0.42502763583705594
CEBPB	ZNF443	0.30830313469094417
CEBPB	SLC16A5	0.25257839649401337
CEBPB	ZNF441	0.2314616044536555
CEBPB	ZNF682	0.255553526861644
CEBPB	FBXW5	0.23062758190655774
CEBPB	CNPY3	0.19970432265163307
CEBPB	NCCRP1	0.1905282733892637
CEBPB	TICAM1	0.24114777495693396
CEBPB	ACAP1	0.24543876422738897
CEBPB	SLC9A8	0.1876788830524152
CEBPB	MAPKAPK2	0.37182693304474235
CEBPB	S100A6	0.2580174382128826
CEBPB	S100A4	0.18732869553328957
CEBPB	ZNF434	0.21437859406157145
CEBPB	S100A9	0.24147147097869937
CEBPB	SQSTM1	0.37200608594170426
CEBPB	KPNB1	0.19359179984441877
CEBPB	S100A8	0.3450420622691892
CEBPB	FTL	0.2619647847856763
CEBPB	FTO	0.22936207300574907
CEBPB	INO80D	0.2371802354111363
CEBPB	LOC100233209	0.23348580097866378
CEBPB	UAP1	0.22025353060020514
CEBPB	GPR84	0.4406585124453377
CEBPB	LOC147727	0.2289545960315813
CEBPB	CORO1A	0.23891034624880625
CEBPB	CYP19A1	0.26408200121694847
CEBPB	LIN7B	0.1931173958291632
CEBPB	CCDC144A	0.191497311979961
CEBPB	CCDC144C	0.26375838569819443
CEBPB	SOCS3	0.3996207288948792
CEBPB	TMEM26	0.18927701792532226
CEBPB	SOCS1	0.20007243280602083
CEBPB	C9orf89	0.20115175802166707
CEBPB	ZKSCAN2	0.24210657733232033
CEBPB	MBP	0.24222000848595826
CEBPB	ZNF664	0.23874253869617412
CEBPB	MDN1	0.2067682277849654
CEBPB	SDF2L1	0.20574446338028807
CEBPB	BOD1	0.22083412264313917
CEBPB	FUS	0.21171911028471957
CEBPB	SRD5A1	0.2577477725387807
CEBPB	GFPT2	0.2163608177941514
CEBPB	TMEM120A	0.2520656458245174
CEBPB	HPS1	0.2819460098604001
CEBPB	LY86	0.203095494197429
CEBPB	FOXN4	0.18631661524862508
CEBPB	TMEM90B	0.3198769204039662
CEBPB	ARPC5	0.2789794597750621
CEBPB	TMEM20	0.18851852307764272
CEBPB	IGSF11	0.20913259226380543
CEBPB	PTPRC	0.1925776096586187
CEBPB	TFCP2	0.18626670482881114
CEBPB	SP4	0.22690098245450496
CEBPB	TBXAS1	0.2995464222237292
CEBPB	ANXA2P1	0.3339042321351089
CEBPB	TUBGCP3	0.20555290829659612
CEBPB	ANXA2P2	0.2990796609548152
CEBPB	C9orf95	0.21475846239320262
CEBPB	NOP10	0.2283568477325124
CEBPB	CIITA	0.2662304529568704
CEBPB	ITGAM	0.3478553064882579
CEBPB	ITGB2	0.2712599145398178
