Regulator	Target	MI
CEBPB	SPI1	0.4173805066473424
CEBPB	GMFG	0.30472282957749464
CEBPB	IFT172	0.20606908843318106
CEBPB	ACCS	0.1953847971113305
CEBPB	SLA2	0.21701831675054617
CEBPB	LOC134466	0.19464720178949957
CEBPB	COMTD1	0.33747390620938145
CEBPB	CAPNS1	0.2692154480908684
CEBPB	DPYSL5	0.2925690367685281
CEBPB	KIAA1586	0.1934521415911199
CEBPB	ALKBH1	0.22620990558945575
CEBPB	C3AR1	0.3705434621062498
CEBPB	VSTM1	0.19209064895384653
CEBPB	PRKACA	0.35696504974353704
CEBPB	ENDOG	0.3229773032942669
CEBPB	SDS	0.18657418694735917
CEBPB	CACNA2D4	0.4021555372419776
CEBPB	RC3H2	0.20612989154580408
CEBPB	SPINT1	0.23250584301075694
CEBPB	KIAA0247	0.1943858497298443
CEBPB	C14orf80	0.2111386461316762
CEBPB	VOPP1	0.2771072270104291
CEBPB	TMEM126B	0.2563071010216662
CEBPB	GTSF1	0.21647874951365065
CEBPB	SKAP1	0.20141952979838074
CEBPB	SKAP2	0.2036837721860163
CEBPB	SAR1A	0.42995811267832984
CEBPB	CDCA5	0.20905081146733728
CEBPB	SHMT1	0.2623800466211055
CEBPB	RNF219	0.21331666651844738
CEBPB	ADAMTS16	0.2848680270472679
CEBPB	RHOT1	0.243690365002859
CEBPB	ADAMTS17	0.23207199971221382
CEBPB	ATG7	0.27021215770888496
CEBPB	HLA-DRB5	0.2586716855310307
CEBPB	PRPF38A	0.2157714818746479
CEBPB	FUCA1	0.2520396644276053
CEBPB	BTBD16	0.22446284584054066
CEBPB	PBX1	0.1975521437833665
CEBPB	LOC606724	0.33304487149432127
CEBPB	TREML1	0.2770960685068351
CEBPB	VANGL1	0.220379926034461
CEBPB	LOC653501	0.21358574089308213
CEBPB	FXYD2	0.1935312356608403
CEBPB	DLX6AS	0.274193719770909
CEBPB	NMT2	0.30484933451347906
CEBPB	F13B	0.19792663326093418
CEBPB	FAT3	0.26906076292409775
CEBPB	FXYD6	0.22091165264693213
CEBPB	DZIP1	0.22353760006063705
CEBPB	DZIP3	0.3169915911066079
CEBPB	SFXN5	0.34384077686493253
CEBPB	ARHGAP9	0.33044672071837233
CEBPB	PGCP	0.22490089755919573
CEBPB	SIGLEC9	0.40176768803507557
CEBPB	ZNF493	0.25699066692364436
CEBPB	KCNC2	0.2542478590219597
CEBPB	ZNF43	0.24092452699989053
CEBPB	ARHGAP6	0.2678513371828233
CEBPB	ZNF48	0.28106234417727194
CEBPB	ARHGAP4	0.29915071002115745
CEBPB	GGTLC2	0.21552846338679998
CEBPB	MED12	0.2931500755742311
CEBPB	SHF	0.21705693789562286
CEBPB	PANX2	0.31587798812894086
CEBPB	MED13	0.23375721801196914
CEBPB	CASP10	0.24400959259988575
CEBPB	MED10	0.30702510922450443
CEBPB	MTMR15	0.3712398170157787
CEBPB	OLR1	0.22371080562182488
CEBPB	TSPO	0.3231778065246633
CEBPB	DLGAP3	0.2804443666000447
CEBPB	NEFH	0.25821913553442055
CEBPB	DLGAP5	0.30437659052355226
CEBPB	SULT1C4	0.3678011831435404
CEBPB	RAG1AP1	0.20549186805346942
CEBPB	CHST9	0.22858338482049234
CEBPB	DUSP3	0.387375855138842
CEBPB	KCND2	0.20689565638731722
CEBPB	GSTO1	0.2834098826121272
CEBPB	KCND3	0.27842309682850974
CEBPB	JOSD2	0.2296300459758731
CEBPB	CDC20B	0.20235020287700056
CEBPB	FAM113B	0.3350790457928703
CEBPB	SLC7A6	0.2721569852593184
CEBPB	MED24	0.29697561520615867
CEBPB	SLC7A7	0.32059483574511827
CEBPB	DPYD	0.24070728659741558
CEBPB	MED20	0.2478111626314572
CEBPB	MMP19	0.3422874502883415
CEBPB	PPARG	0.19075604808869873
CEBPB	LOC100268168	0.207723151043389
CEBPB	PPARA	0.207301016018671
CEBPB	HCST	0.29221459689384766
CEBPB	CHST2	0.25596996624570334
CEBPB	PAFAH1B2	0.22405778729437387
CEBPB	KCNA1	0.22945896001540778
CEBPB	KCNA5	0.20133101068770465
CEBPB	SNX33	0.2514976584614663
CEBPB	ADAM29	0.18660009229485652
CEBPB	NRAP	0.20769804461813113
CEBPB	SPP1	0.2477090836171234
CEBPB	STX3	0.2399385597393815
CEBPB	ATAD5	0.27881497078548545
CEBPB	PKM2	0.4731289078903673
CEBPB	ATAD2	0.22736179879756424
CEBPB	MBD2	0.3453096745910882
CEBPB	BMP8B	0.27243564862974345
CEBPB	KIAA1161	0.26286831729828464
CEBPB	SNX20	0.23404250182104214
CEBPB	LOC100130148	0.1882035712545136
CEBPB	CENPF	0.2047142644182438
