Regulator	Target	MI
CEBPB	HCP5	0.22038779582070056
CEBPB	SPI1	0.40246966599134026
CEBPB	GMFG	0.3096766320098725
CEBPB	LOC642846	0.3031496411968311
CEBPB	KIAA1109	0.2089188980282639
CEBPB	HTR7	0.19455810898860015
CEBPB	DPYSL5	0.19465741067231157
CEBPB	AKT2	0.21826775208026383
CEBPB	RAVER2	0.1981253215166605
CEBPB	C3AR1	0.350097093473118
CEBPB	FNBP4	0.19109249676532158
CEBPB	CACNA2D3	0.198973135696769
CEBPB	HDGFRP3	0.29738571997137964
CEBPB	CACNA2D4	0.33442165602526597
CEBPB	CH25H	0.3356638271263428
CEBPB	SPINT1	0.3372575270866829
CEBPB	FEZ2	0.20469513978067067
CEBPB	KIAA0247	0.2147030482022414
CEBPB	JTB	0.30324903947264303
CEBPB	PLBD1	0.2795537420652723
CEBPB	FAR1	0.2183885644673298
CEBPB	ATF3	0.2806882554547956
CEBPB	SET	0.27229279748570256
CEBPB	COL13A1	0.22850507517179697
CEBPB	BAZ2B	0.19604326626154034
CEBPB	DEDD2	0.27245994278673624
CEBPB	EPB41L5	0.26358986251162175
CEBPB	RNF214	0.2724855255118994
CEBPB	SFN	0.3366681574825856
CEBPB	JUN	0.2110134872561309
CEBPB	JAG1	0.19809970413518485
CEBPB	TSLP	0.21404948943675262
CEBPB	FUCA1	0.24347436480685047
CEBPB	BTBD12	0.24685640570707257
CEBPB	PBX1	0.19270430894112067
CEBPB	LOC606724	0.26183233706437914
CEBPB	TREML1	0.26068060346113153
CEBPB	FASN	0.3214927537075214
CEBPB	TREML3	0.21105085872929852
CEBPB	TREML2	0.3205592801307766
CEBPB	ZNF30	0.42985165957020577
CEBPB	FAT3	0.2725793619880674
CEBPB	FXYD5	0.26042711501177607
CEBPB	DZIP1	0.26617391303586135
CEBPB	DZIP3	0.23089627714337624
CEBPB	HLA-DRB1	0.31205984588500435
CEBPB	LGMN	0.2007625583020678
CEBPB	ARHGAP9	0.33864416744838444
CEBPB	PGCP	0.2562681017132826
CEBPB	ZNF493	0.3526117691598243
CEBPB	MTMR11	0.25692724501817743
CEBPB	ZNF490	0.21802884395407585
CEBPB	KCNC4	0.19651342606217703
CEBPB	ZNF43	0.26764421511399394
CEBPB	MED18	0.19982540259689952
CEBPB	ZNF48	0.28376649780163543
CEBPB	ARHGAP4	0.38538215227119466
CEBPB	MED12	0.1902657828925216
CEBPB	MED13	0.2356163425321638
CEBPB	ZNF41	0.2545780557997901
CEBPB	TSPO	0.3686581012864911
CEBPB	JAK3	0.23379518897050833
CEBPB	RAG1AP1	0.2829539733718285
CEBPB	GSTO1	0.19853739145616256
CEBPB	FOS	0.19638412368088964
CEBPB	JOSD2	0.18844348194744764
CEBPB	SYS1-DBNDD2	0.19180242047786766
CEBPB	MED23	0.2108592419191906
CEBPB	FAM113B	0.2236526765379896
CEBPB	MED24	0.19639380424411979
CEBPB	SLC7A7	0.3293547241100123
CEBPB	OAF	0.19814187690446783
CEBPB	DPYD	0.4590042465688553
CEBPB	PTRH1	0.21249218671489256
CEBPB	HCST	0.559217000649066
CEBPB	RAPGEF4	0.2015205857422373
CEBPB	ZNF473	0.2011272158391062
CEBPB	KCNA2	0.21148761134268224
CEBPB	SLC7A1	0.2266835024428362
CEBPB	ADAM28	0.2429562387067037
CEBPB	SNX27	0.19073073558859654
CEBPB	KIAA2018	0.19683094135453683
CEBPB	SPP1	0.2966712793291535
CEBPB	STX6	0.30790800827069553
CEBPB	IL12RB1	0.2248713651804879
CEBPB	SAMD1	0.19758389326191228
