Regulator	Target	MI
CEBPB	MDC1	0.23011506578944285
CEBPB	SPI1	0.3373765271056124
CEBPB	POP1	0.20275583086957472
CEBPB	GMFG	0.22925894699614258
CEBPB	F11R	0.28350283419778943
CEBPB	ZC3H12D	0.2844646265238051
CEBPB	FAM134B	0.2239658783857701
CEBPB	IL4I1	0.20554070649317602
CEBPB	LACTB	0.23679535827773535
CEBPB	KRTCAP2	0.231589594935949
CEBPB	PPP4R1	0.2234799731435615
CEBPB	CAPNS1	0.2776096325901669
CEBPB	DPYSL4	0.19231791680334176
CEBPB	IGLON5	0.25240717994863093
CEBPB	AKT3	0.34152307744613175
CEBPB	RAVER2	0.21659630401823726
CEBPB	C3AR1	0.3337628692808847
CEBPB	GBP5	0.1917914884195664
CEBPB	FAM108A1	0.19638854770349035
CEBPB	CACNA2D3	0.2073272916908575
CEBPB	RNASE4	0.3512309659287016
CEBPB	CACNA2D4	0.323567251514568
CEBPB	RC3H2	0.24376732719717964
CEBPB	CD2AP	0.21478105556834048
CEBPB	CH25H	0.2308415282936176
CEBPB	SPINT1	0.2554035784927775
CEBPB	RFX7	0.27478076337621715
CEBPB	CLDN7	0.21813141061993768
CEBPB	KIAA0247	0.2567697875692856
CEBPB	C14orf80	0.199312771958013
CEBPB	PSME1	0.2791275967742317
CEBPB	OPTN	0.26323040381816654
CEBPB	SKAP1	0.3190148395404515
CEBPB	IDO1	0.2921088890679844
CEBPB	CDCA5	0.2618891382642534
CEBPB	SHMT1	0.3843464701856707
CEBPB	NPRL3	0.19246833512238215
CEBPB	FPR1	0.3987744840245675
CEBPB	BAZ2A	0.31291207330339166
CEBPB	FPR3	0.36948177841547913
CEBPB	SLCO5A1	0.20513395680886948
CEBPB	PLA2G5	0.27454191818976614
CEBPB	ZNF23	0.2252752291657938
CEBPB	ZNF24	0.26723528602314506
CEBPB	LY9	0.21093214586637998
CEBPB	OAZ1	0.2580228300705869
CEBPB	C2	0.2163118731192304
CEBPB	C3	0.330034387895334
CEBPB	EPB41L5	0.20603679493589233
CEBPB	SCGB1D2	0.25326259274817353
CEBPB	PDGFD	0.36087893308793184
CEBPB	SFN	0.25368006814579847
CEBPB	GSTM4	0.22958582545046813
CEBPB	LYN	0.3871831234748129
CEBPB	HLA-DRB5	0.27503035775313034
CEBPB	JUN	0.21370042011136992
CEBPB	PMM1	0.21022529644609733
CEBPB	ABCA3	0.19575913122779642
CEBPB	FUCA1	0.20404464646678644
CEBPB	NETO2	0.1899057095091088
CEBPB	MRPL24	0.23905935346470653
CEBPB	FLI1	0.19715159893658907
CEBPB	LOC606724	0.43160170598989644
CEBPB	CS	0.20342312396301665
CEBPB	TREML1	0.24573552273978994
CEBPB	TREML2	0.2591096733336702
CEBPB	FXYD5	0.2051414652674417
CEBPB	SFXN2	0.23606956097613452
CEBPB	DZIP1	0.24382378580976027
CEBPB	HAMP	0.2349463816340185
CEBPB	HNRNPA1L2	0.22195111648085408
CEBPB	ZBTB8B	0.31909720782486684
CEBPB	GPR18	0.22798700577231834
CEBPB	FERMT3	0.5265086054292887
CEBPB	LGMN	0.20037713413432723
CEBPB	ARHGAP9	0.31962298307722303
CEBPB	GPR27	0.3642090566181775
CEBPB	SIGLEC9	0.44399365222954845
CEBPB	ZNF493	0.2534603035524974
CEBPB	HEXA	0.22213245594757236
CEBPB	LOC388588	0.20282409667497436
CEBPB	HOXC13	0.20186353119831413
CEBPB	TFCP2L1	0.20836712160821502
CEBPB	TMEM53	0.1869745401467231
CEBPB	RCSD1	0.24369434599639916
CEBPB	FAM115A	0.20615356366475535
CEBPB	ARHGAP4	0.5304622427487296
CEBPB	MED17	0.19745830135427855
CEBPB	TMEM48	0.2938796641765622
CEBPB	MED13	0.19588274978034725
CEBPB	ZNF41	0.2150095325288479
CEBPB	FLVCR1	0.2728879570651257
CEBPB	CTLA4	0.21919655185372644
CEBPB	TSPO	0.4921482920498095
CEBPB	SH3BGRL3	0.3805734287459952
CEBPB	C7orf57	0.18625773021079617
CEBPB	FGFBP3	0.296013780242081
CEBPB	JAK3	0.24531722625085273
CEBPB	HLA-DPA1	0.2830696522988285
CEBPB	LIN52	0.2446590133632629
CEBPB	RAG1AP1	0.2838802304804897
CEBPB	CHST9	0.20343386133461383
CEBPB	C20orf196	0.20615380151185558
CEBPB	KCND2	0.27225325017041335
CEBPB	DUSP1	0.3382531023818842
CEBPB	ROM1	0.18787274854721225
CEBPB	TMC8	0.3063297191967296
CEBPB	SLC39A12	0.23918703418759524
CEBPB	SUMF2	0.2804199737755324
CEBPB	VAMP8	0.47018537404990823
CEBPB	FAM113B	0.20883013787902094
CEBPB	MED24	0.2884415685054815
CEBPB	SLC7A7	0.2816342907050826
CEBPB	MMP16	0.24505450162294906
CEBPB	SLC7A8	0.22857240388381328
CEBPB	LRRC7	0.2048227224046748
CEBPB	MMP15	0.22756861982899323
CEBPB	OAF	0.2753395397952616
CEBPB	PPARG	0.32146694073746573
CEBPB	CHST4	0.19454582467368908
CEBPB	SLC29A1	0.21725852833084947
CEBPB	HCST	0.4424245920500871
CEBPB	VAMP5	0.32954030511454846
CEBPB	PAFAH1B2	0.32620688953577126
CEBPB	TMEM106A	0.21786907120141485
CEBPB	VAMP3	0.20847475669190896
CEBPB	CRB1	0.29152730121232295
CEBPB	FH	0.2260316788910055
CEBPB	LIN37	0.19866582929433907
CEBPB	CLECL1	0.30537513439330777
CEBPB	ZNF518A	0.19392953940442847
CEBPB	TMEM70	0.1981603019559106
CEBPB	HLA-DMA	0.3842593623697814
CEBPB	HLA-DMB	0.3499037377817853
CEBPB	SPP1	0.2904633104485912
CEBPB	STAT4	0.3409466322419341
CEBPB	STAT6	0.21854178827861226
CEBPB	IL12RB1	0.31939554518674296
CEBPB	CSMD1	0.24567241878018553
CEBPB	LRRC25	0.5281015173242789
CEBPB	ZNF221	0.2255523971372888
CEBPB	C20orf177	0.1996318659125338
CEBPB	ZNF462	0.47099877741533014
CEBPB	P2RY10	0.23989559449773523
CEBPB	ATAD5	0.28197205016833404
CEBPB	C4orf3	0.33663867307902073
CEBPB	AADAT	0.5516297694123686
CEBPB	STAT1	0.29187857603056067
CEBPB	MBD2	0.21041373385553186
CEBPB	EMR2	0.2836613650494293
CEBPB	FLJ35776	0.30302903912588164
CEBPB	PLXDC2	0.3516373212178463
CEBPB	GATAD2B	0.29493470402960753
CEBPB	BYSL	0.28140818469743945
CEBPB	NUDT22	0.2194358326475072
CEBPB	CENPE	0.31086596434384894
CEBPB	LRG1	0.2582543053886006
CEBPB	ZNF74	0.19221893986720584
CEBPB	HLA-DPB1	0.3681915431419336
CEBPB	CENPO	0.2511328862093771
CEBPB	NCAPD3	0.21980871158621085
CEBPB	LGR6	0.1923215760661039
CEBPB	SIGLEC7	0.4104073195611768
CEBPB	ALDH1L1	0.2565701891971539
CEBPB	NCF1	0.44485829666159216
CEBPB	NCF2	0.35121146864967123
CEBPB	GPR65	0.368881195178127
CEBPB	NCF4	0.3806227231522703
CEBPB	MSI2	0.26128033635153347
CEBPB	ALDH1L2	0.19361535125252427
CEBPB	CXCL14	0.2806436578964986
CEBPB	SAT1	0.31207348277468583
CEBPB	HDDC3	0.264485227187377
CEBPB	MYBPHL	0.19321925451390864
CEBPB	ADORA3	0.3306827801005481
CEBPB	SESN1	0.19429273347161047
CEBPB	NEK1	0.26974332584050487
CEBPB	MAP3K8	0.4873919884975191
CEBPB	ZNF688	0.24136758171491124
CEBPB	ZNF445	0.24399384635040988
CEBPB	NUDT14	0.21905005376481945
CEBPB	SLC16A5	0.20986527910479325
CEBPB	ZBTB39	0.290900688896059
CEBPB	ZNF440	0.19928752663574834
CEBPB	FBXW8	0.3094674348369857
CEBPB	STX8	0.2003821631012208
CEBPB	CNPY3	0.22370903994454494
CEBPB	CDC25A	0.2013015156379181
CEBPB	PIAS2	0.20535729212181764
CEBPB	TUBA4A	0.24621132184787964
CEBPB	MAF	0.2535050596029631
CEBPB	LOC653566	0.21082582000887928
CEBPB	MAPKAPK2	0.290054957758378
CEBPB	ZNF678	0.21374177009729411
CEBPB	RAD54L2	0.20957480800328998
CEBPB	S100A9	0.2779599767210872
CEBPB	SQSTM1	0.3515546861553185
CEBPB	S100A8	0.30992832815039506
CEBPB	LRRC58	0.2288165157376536
CEBPB	BLM	0.2934174013284796
CEBPB	SHC3	0.24350209006466272
CEBPB	LOC100233209	0.4026752926328454
CEBPB	MAX	0.2514206685099687
CEBPB	LRRC50	0.2060477266392544
CEBPB	LY96	0.23379518897050833
CEBPB	CREBL2	0.3074768257623921
CEBPB	UAP1	0.29101475737662863
CEBPB	GPR84	0.3322966100712419
CEBPB	PKMYT1	0.20822964374032438
CEBPB	CORO1A	0.3408553573087776
CEBPB	CYP2C18	0.19912070310057395
CEBPB	CCDC144A	0.1877713428167027
CEBPB	CCDC144C	0.3179569032842551
CEBPB	TMEM26	0.21252832258312715
CEBPB	PGK1	0.22126485842298838
CEBPB	ZKSCAN2	0.24395731862403558
CEBPB	EIF4EBP3	0.26814447393152907
CEBPB	TNFRSF14	0.2596856364085367
CEBPB	KDSR	0.27834256258118906
CEBPB	SOCS7	0.3216833258288858
CEBPB	ZNF664	0.2155531805605353
CEBPB	BCL2L14	0.2211720793158829
CEBPB	GRIA3	0.4217400612895066
CEBPB	ZNF662	0.2098973402864317
CEBPB	SDF2L1	0.19266956801632773
CEBPB	FUS	0.2526477482547369
CEBPB	GFPT2	0.2247345317988465
CEBPB	TMEM120A	0.22308239396007146
CEBPB	HPS1	0.27546766033677894
CEBPB	LY86	0.29521405171701876
CEBPB	HPS3	0.32311438060471254
CEBPB	ARPC4	0.2579985720719309
CEBPB	ARPC5	0.1867898514666244
CEBPB	FBXO32	0.3604685024137453
CEBPB	PTPRC	0.23119415688965805
CEBPB	TBXAS1	0.4065408904689285
CEBPB	TUBGCP3	0.2380951725530851
CEBPB	TUBGCP4	0.2390290797178345
CEBPB	C7orf68	0.199127584691686
CEBPB	ZNF654	0.2057239254831158
CEBPB	OGT	0.18878431754097758
CEBPB	C9orf95	0.22010278784922832
CEBPB	ITGAM	0.2830460516106825
CEBPB	GGT8P	0.22971372112515898
CEBPB	LRRK2	0.20586643618072653
CEBPB	ITGB2	0.2586863313211438
CEBPB	ONECUT1	0.21304519120207566
CEBPB	LRMP	0.19029330806674594
CEBPB	ARRB2	0.3019487993724965
CEBPB	SQRDL	0.37078693022040543
CEBPB	SPN	0.2385148772975363
CEBPB	FUNDC2	0.2195764949490071
CEBPB	FCGR3A	0.36372610231853475
CEBPB	KIAA1549	0.25253162069498547
CEBPB	CAPZB	0.24829182044340836
CEBPB	PTER	0.21907482155720093
CEBPB	SPR	0.26914271556546954
CEBPB	PPP1R13L	0.20901110003075818
CEBPB	C9orf66	0.24687541117515366
CEBPB	TNFSF12-TNFSF13	0.38484805262813726
CEBPB	UPP1	0.26396335643754565
CEBPB	LOC729603	0.2205749810197979
CEBPB	RNASET2	0.4408204242015401
CEBPB	VPS13D	0.22118658026554971
CEBPB	NDUFC1	0.20312255354786046
CEBPB	TNFRSF1B	0.30101224326117837
CEBPB	NPC2	0.4637217527317681
CEBPB	PCCB	0.21822215339407602
CEBPB	ETF1	0.24505531051948015
CEBPB	LCP2	0.2136014133886066
CEBPB	ACPP	0.26808955388964684
CEBPB	GTF3C4	0.20575960070669197
CEBPB	PPM1L	0.30286986623617285
CEBPB	HM13	0.20943417191926628
CEBPB	LRTM2	0.19104946992892646
CEBPB	NDUFB4	0.18778568325239053
CEBPB	KIAA0240	0.19505687045206344
CEBPB	FOXK2	0.20538855075853846
CEBPB	ZBTB44	0.19782596670700947
CEBPB	IL2RG	0.23643967883447292
CEBPB	ITIH1	0.18980776456163984
CEBPB	CXXC4	0.39114784227089583
CEBPB	MLLT4	0.2625394574458433
CEBPB	CECR1	0.362314092546951
CEBPB	CCL7	0.19656184733235804
CEBPB	KCTD20	0.19894804577397363
CEBPB	CCL5	0.2972370604374781
CEBPB	CCL4	0.19592596062699563
CEBPB	ZNF625	0.2894420084448015
CEBPB	E2F3	0.25382832647976983
CEBPB	ZNF623	0.25015049585391935
CEBPB	SLC25A20	0.3072494440115392
CEBPB	FCGR1A	0.2950633756865546
CEBPB	HNRNPA1	0.28391282542025476
CEBPB	CNNM3	0.20118664040976775
CEBPB	RILP	0.21904956799927522
CEBPB	ZNF620	0.30079457840656776
CEBPB	E2F7	0.3209354077747095
CEBPB	FCGR1C	0.22594117731884822
CEBPB	MYO10	0.22182913122428705
CEBPB	NDUFA2	0.19030926386003966
CEBPB	CDC5L	0.27565590828944764
CEBPB	GZMB	0.190783700416012
CEBPB	NAGA	0.19566758987986077
CEBPB	MERTK	0.21402201922389086
CEBPB	TM6SF1	0.2089930105793183
CEBPB	TPD52L2	0.18875491856285542
CEBPB	ATOX1	0.23624596163435196
CEBPB	TTC39A	0.22878351950665188
CEBPB	NOVA1	0.20329832713009832
CEBPB	MGP	0.22767765722011557
CEBPB	CCM2	0.20002717979060236
CEBPB	PTPN6	0.340938161445866
CEBPB	TRIM37	0.26892842311831444
CEBPB	PTPN7	0.418142224212688
CEBPB	TRIM38	0.3108084295760749
CEBPB	ZNF853	0.2544476850539903
CEBPB	ALDH8A1	0.2981370500025795
CEBPB	FCGR2B	0.31025167547318944
CEBPB	PIK3AP1	0.27807113697250596
CEBPB	SLC25A33	0.20161857673850214
