Regulator	Target	MI
CEBPB	SPI1	0.3972536071570474
CEBPB	POP1	0.22445094588302705
CEBPB	GMFG	0.23705394500489696
CEBPB	POP4	0.2791107512376749
CEBPB	LOC100133669	0.20645507908864857
CEBPB	ALKBH4	0.19762896813480424
CEBPB	SCP2	0.21072006586843894
CEBPB	GPBP1	0.25006229345330944
CEBPB	ZC3H12A	0.3034498450663321
CEBPB	C3AR1	0.29909250753356353
CEBPB	ANKFY1	0.29117899880170484
CEBPB	FOXO3B	0.38247634489089233
CEBPB	PKNOX1	0.24355352804102992
CEBPB	TSTD1	0.20958809228454545
CEBPB	FRS2	0.23723135050493482
CEBPB	CACNA2D4	0.3906611993369964
CEBPB	CH25H	0.20483974164648622
CEBPB	SPINT1	0.23173784752034443
CEBPB	KIAA0247	0.22645750093843198
CEBPB	ORAI3	0.2066840984740166
CEBPB	PLBD1	0.28164226190293373
CEBPB	ATF7	0.2641712813521062
CEBPB	TSTA3	0.2695244380048587
CEBPB	SAR1A	0.2535124306569454
CEBPB	EPB41L5	0.29654653844566603
CEBPB	ADAMTS14	0.26360848563485195
CEBPB	RHOT1	0.19050888543685396
CEBPB	RNF215	0.22753060287377824
CEBPB	EPB41L3	0.18658528230972404
CEBPB	TSLP	0.21014222852369802
CEBPB	TIPARP	0.2611016385926028
CEBPB	FUCA2	0.3019122278446149
CEBPB	BTBD12	0.19496151918653037
CEBPB	ZNF35	0.22937458841673308
CEBPB	PBX1	0.4187152642866039
CEBPB	TREML1	0.21923674153250605
CEBPB	FXYD2	0.2968791225342233
CEBPB	TREML3	0.25371340877647697
CEBPB	ZNF30	0.22897295136718387
CEBPB	FAT3	0.23785025387871972
CEBPB	FXYD5	0.2198659131335674
CEBPB	DZIP3	0.1902988643866097
CEBPB	SFXN5	0.23584842922536087
CEBPB	ARHGAP9	0.395922691437983
CEBPB	PGCP	0.23094494927491116
CEBPB	SIGLEC9	0.41494486561223365
CEBPB	ZNF493	0.3524231938646949
CEBPB	NCAPG2	0.1883632386055858
CEBPB	ZNF43	0.2444554144031379
CEBPB	ARHGAP4	0.29293151933858663
CEBPB	MECP2	0.26572373124257886
CEBPB	PCMTD2	0.2210418450559848
CEBPB	NHSL1	0.29162324136511053
CEBPB	ZNF41	0.1915397170380766
CEBPB	TSPO	0.38176046655926577
CEBPB	APC2	0.21967593372365002
CEBPB	RAG1AP1	0.47631271944269127
