Regulator	Target	MI
CEBPB	HCP5	0.2276737964720832
CEBPB	SPI1	0.4122862355733279
CEBPB	GMFG	0.3860892261688651
CEBPB	SPINT2	0.26437468010145615
CEBPB	F11R	0.33291331350696485
CEBPB	ISM1	0.2656894190424808
CEBPB	SLA2	0.23008141008266758
CEBPB	ISM2	0.2170315211207381
CEBPB	NDST1	0.23551656105350727
CEBPB	DPYSL4	0.19988514405679414
CEBPB	DPYSL2	0.24958239408712313
CEBPB	AKT3	0.22187762118151966
CEBPB	VSTM1	0.3420566433756127
CEBPB	FOXO3B	0.2865140529096699
CEBPB	FTHL3	0.28243140434475134
CEBPB	GSTK1	0.22739998889647062
CEBPB	CACNA2D2	0.23583526641581543
CEBPB	CACNA2D4	0.23620148401547514
CEBPB	RC3H2	0.19292037895845127
CEBPB	ORAI3	0.29234463928999865
CEBPB	JTB	0.19246693451575858
CEBPB	COL13A1	0.19674782858589435
CEBPB	CDCA8	0.22386103659389978
CEBPB	ZNF22	0.28251915398589666
CEBPB	ZNF23	0.21739757721792596
CEBPB	EPB41L5	0.2175053148993218
CEBPB	RNF215	0.19154989763640273
CEBPB	JAG2	0.2177131674532733
CEBPB	JUN	0.2175460277492407
CEBPB	PRPF38A	0.23457699193968473
CEBPB	TSLP	0.24049261089110097
CEBPB	FUCA2	0.2920292987956321
CEBPB	PBX1	0.21094580596971824
CEBPB	LOC606724	0.2845104659619997
CEBPB	FXYD2	0.2817916585147424
CEBPB	TREML3	0.2774522139964182
CEBPB	NMT2	0.24920986184396998
CEBPB	SFXN4	0.21464764699849592
CEBPB	FXYD6	0.21568064884656568
CEBPB	L1TD1	0.1941150567866492
CEBPB	STRN	0.2887228507160975
CEBPB	FXYD5	0.3639970492625393
CEBPB	DZIP3	0.18652793626359543
CEBPB	PGCP	0.2846364332917535
CEBPB	SIGLEC9	0.4272557120147775
CEBPB	KCNC1	0.2742525470049779
CEBPB	CATSPER2P1	0.29100987477657814
CEBPB	LRRC10B	0.2619790214714337
CEBPB	ZNF491	0.20611838936615445
CEBPB	ARHGAP1	0.22203862967686305
CEBPB	MED16	0.2470938522724584
CEBPB	ARHGAP6	0.19466166331249024
CEBPB	FAM115A	0.195691378144911
CEBPB	ARHGAP4	0.22237229235896017
CEBPB	OSBPL10	0.23825890697855012
CEBPB	SHF	0.37441731187027294
CEBPB	MED10	0.28533917223480554
CEBPB	ZNF41	0.2195964633714631
CEBPB	TSPO	0.3185938972753686
CEBPB	SULT1C4	0.26297579951967887
CEBPB	RAG1AP1	0.2989021609411715
CEBPB	CNOT6L	0.22657713268725743
CEBPB	MYBPC2	0.22828685048561503
CEBPB	DUSP1	0.4304201540296244
CEBPB	KCND3	0.36654116861730124
CEBPB	SPHK1	0.3674946996732089
CEBPB	JOSD2	0.25362725116898055
CEBPB	DUSP6	0.24269021611274155
CEBPB	PHF20L1	0.3244273809152416
CEBPB	FAM113B	0.3886636092184155
CEBPB	MMP15	0.19503518378405893
CEBPB	DPYD	0.25919072447904057
CEBPB	RAPGEF2	0.30748638982526266
CEBPB	CRYAB	0.19332111269704289
CEBPB	HCST	0.42142940910955584
CEBPB	ODC1	0.2778176113950881
CEBPB	ADAM22	0.1901437778237547
CEBPB	CNPY4	0.27052255299075956
CEBPB	KIAA2018	0.21089420694425787
CEBPB	SPP1	0.28553102454503865
CEBPB	IL12RB1	0.20009733500399562
CEBPB	SAMD3	0.1927535526910482
CEBPB	SEPT7L	0.18906583597588256
CEBPB	MBD4	0.2150265189280658
CEBPB	TARBP2	0.2916239049219005
CEBPB	NUDT22	0.3768782799081709
CEBPB	CENPI	0.23682565680415646
CEBPB	CCDC8	0.2614826518159088
CEBPB	ETNK1	0.3515503021056663
CEBPB	CENPL	0.20323219193484565
CEBPB	YPEL1	0.18785020359569593
CEBPB	AGRN	0.24723844130880934
CEBPB	SIGLEC7	0.3647526649578072
CEBPB	MTCH1	0.21774467607817716
CEBPB	SLA	0.2366672252000166
