Regulator	Target	MI
CEBPB	SPI1	0.23952454354316544
CEBPB	GMFG	0.2735249772858728
CEBPB	ATP5C1	0.3856836462881885
CEBPB	SPINT2	0.23074138692230495
CEBPB	SLA2	0.18824628459742332
CEBPB	NBLA00301	0.20842872081834063
CEBPB	ISLR	0.2898656944068252
CEBPB	DPYSL5	0.32801824730823625
CEBPB	FGFR1OP2	0.21143957134810876
CEBPB	GPBP1	0.21349280921165548
CEBPB	ZC3H12A	0.5175679274854437
CEBPB	C3AR1	0.3780343077596262
CEBPB	FOXO3B	0.23389869749454206
CEBPB	GUSBL1	0.200741481340029
CEBPB	ATG3	0.20087819955112884
CEBPB	GSTK1	0.22749719978339566
CEBPB	ZNF19	0.20628870384652842
CEBPB	SECISBP2	0.2030414414403996
CEBPB	CACNA2D3	0.25833266515201814
CEBPB	HDGFRP3	0.23629680113166263
CEBPB	BHLHA15	0.2522684550034304
CEBPB	CACNA2D4	0.480792241510378
CEBPB	ZNF12	0.19573940840080795
CEBPB	CH25H	0.24119869490638557
CEBPB	LARS2	0.19584782445975435
CEBPB	ISL2	0.1985066909781441
CEBPB	SCO2	0.22153340615282957
CEBPB	ZC3H11A	0.3231726387215641
CEBPB	DDIT4	0.3100594778027963
CEBPB	PLBD2	0.19498937453629583
CEBPB	SKAP1	0.24802472678334198
CEBPB	EXD2	0.19030751296963544
CEBPB	SFRS17A	0.21206093156356332
CEBPB	RNF219	0.22037901042053232
CEBPB	BAZ2B	0.2460990588304348
CEBPB	GATA2	0.23177867669645558
CEBPB	ZNF24	0.28320008612898295
CEBPB	RNF212	0.22045358634922252
CEBPB	PRPSAP2	0.19141246945410018
CEBPB	ATG7	0.4004797284165047
CEBPB	CREBBP	0.39633885601126817
CEBPB	BTBD17	0.22511225355631126
CEBPB	TSLP	0.46708121233604327
CEBPB	FUCA1	0.25760405679725373
CEBPB	BTBD12	0.2658161029903372
CEBPB	LOC606724	0.4140382286801625
CEBPB	LAS1L	0.20619691224922398
CEBPB	TREML3	0.4408845478454042
CEBPB	TREML2	0.1969556214816528
CEBPB	DZIP1	0.31878315106016064
CEBPB	LGMN	0.350869898177959
CEBPB	ZNF497	0.2106157145785783
CEBPB	ARHGAP9	0.3851200292757113
CEBPB	GTF2H2C	0.2565979048117679
CEBPB	SIGLEC9	0.507993372594072
CEBPB	ZNF493	0.3076407200732838
CEBPB	CATSPER2P1	0.19145229148520126
CEBPB	NCAPG2	0.26533600405923075
CEBPB	ARHGAP4	0.2601687824007728
CEBPB	IL18BP	0.18950268280179916
CEBPB	MED17	0.22406017585534332
CEBPB	SHF	0.2866829706743719
CEBPB	SMPD3	0.18787978742016875
CEBPB	NHSL1	0.2995008183328114
CEBPB	MED10	0.19649155731730605
CEBPB	SMPD1	0.2011390544562337
CEBPB	MMP28	0.2108063844906951
CEBPB	TSPO	0.3043081720304839
CEBPB	JAK3	0.27141527400691423
CEBPB	SULT1C4	0.3704579516397466
CEBPB	RAG1AP1	0.26516800928851314
CEBPB	CHST9	0.18580838118370302
CEBPB	MYBPC2	0.18963525893180577
CEBPB	DUSP1	0.3365125421641624
CEBPB	GSTO1	0.2791025438846688
CEBPB	KCND3	0.18638229073768287
CEBPB	BGN	0.24315076045022987
CEBPB	SLC39A10	0.2595397103706043
CEBPB	FOS	0.5159039484094805
CEBPB	JOSD2	0.2263643773156625
CEBPB	DUSP7	0.1900022358843385
CEBPB	MED23	0.23377020517715597
CEBPB	PHF20L1	0.2971551723593766
CEBPB	FAM113B	0.2910734802363004
CEBPB	MED24	0.28150077845954247
CEBPB	MMP13	0.2323191166172407
CEBPB	SLC7A7	0.46691168437949315
CEBPB	DPYD	0.27800223048114336
CEBPB	MMP19	0.20409541594528235
CEBPB	ACSBG1	0.28485926769049463
CEBPB	PPARG	0.4774115468269491
CEBPB	HCST	0.4160886266396995
CEBPB	PAFAH1B3	0.22775628036683315
CEBPB	PAFAH1B1	0.2010735208908505
CEBPB	RAPGEF4	0.21486432361193408
CEBPB	CRB1	0.29682864853723334
CEBPB	OAT	0.33175048251265693
CEBPB	ZNF471	0.21077182760090007
CEBPB	KCNA2	0.19358828258730743
CEBPB	CENPB	0.22204770612092783
CEBPB	SFRS13B	0.4091984242799045
CEBPB	WRN	0.21014494662312355
CEBPB	KIAA2018	0.18589472159830667
CEBPB	SPP1	0.21858673287249264
CEBPB	MFN2	0.21452527783316544
CEBPB	ZSWIM6	0.21584966365339486
CEBPB	IL12RB1	0.2551925864868476
CEBPB	MBD4	0.4508080052055945
CEBPB	ZNF462	0.277896264127917
CEBPB	PKM2	0.47913012135623045
CEBPB	C10orf2	0.22456585664325157
CEBPB	MBD2	0.341773519207468
CEBPB	SNX22	0.3045467745918442
CEBPB	SNX20	0.3671911311962015
CEBPB	CENPE	0.1858254209237007
CEBPB	SNX19	0.2250182954731237
CEBPB	TAOK3	0.3155660805560405
CEBPB	ZNF74	0.1944039012010501
CEBPB	TSR1	0.20923918301073385
CEBPB	NCAPD2	0.31636922404100165
CEBPB	CRLF3	0.2675019484705379
CEBPB	SIGLEC7	0.3552628813441512
CEBPB	FRK	0.22510963709390275
CEBPB	SIGLEC5	0.21560311912176378
CEBPB	KCNG2	0.1943412674667515
CEBPB	SLC27A1	0.20992334131299728
CEBPB	LY75	0.20138381867440192
CEBPB	SLA	0.2146700274117368
CEBPB	CASC3	0.2628379640017169
CEBPB	FBXO24	0.19124906099273353
CEBPB	FBXO22	0.18656713719581308
CEBPB	LAPTM4B	0.3124138466807427
CEBPB	EFEMP2	0.20879983366613342
CEBPB	LOC100130557	0.1894506677866188
CEBPB	IBSP	0.362857740545258
CEBPB	POFUT1	0.3149208754524073
CEBPB	ADORA3	0.21084718087650778
CEBPB	NFATC2IP	0.2932517426452401
CEBPB	CEP250	0.20893065785733267
CEBPB	MAP3K8	0.6915720694669414
CEBPB	NEK3	0.3098193401125595
CEBPB	NUDT12	0.1949295461739462
CEBPB	KCNH4	0.35891168036510024
CEBPB	FBXW8	0.24981600919665325
CEBPB	FAM118A	0.20554138587824422
CEBPB	CNPY1	0.2171869506618398
CEBPB	CASD1	0.19124554225354995
CEBPB	TC2N	0.19623775639559593
CEBPB	CDC25A	0.3221574728636112
CEBPB	MFNG	0.3130348635783129
CEBPB	PLA2R1	0.27793670437158013
CEBPB	SLC27A3	0.2470213939163255
CEBPB	FTL	0.2274447348243127
CEBPB	ZNF431	0.27846491509432436
CEBPB	FTO	0.18814971191616436
CEBPB	DLX1	0.19532101063473828
CEBPB	GRIA2	0.2547732226286197
CEBPB	BLM	0.19672777296729205
