Regulator	Target	MI
CEBPB	SPI1	0.25205548637607933
CEBPB	POP4	0.18610992829790085
CEBPB	SLA2	0.31081224422481135
CEBPB	PSMD6	0.20905098389372068
CEBPB	PPP4R1	0.20108533225528635
CEBPB	CAPNS1	0.22887222435369914
CEBPB	ZC3H12A	0.3623789172730385
CEBPB	GSTK1	0.1964026351859962
CEBPB	CACNA2D4	0.2511172614445982
CEBPB	RNASE3	0.2361243773121906
CEBPB	RNASE2	0.2330509254308133
CEBPB	SCAMP1	0.2617885969250473
CEBPB	RUFY1	0.20465693213250713
CEBPB	CH25H	0.233160181252817
CEBPB	LOC100129387	0.2058814990467166
CEBPB	RUFY3	0.20175882753470553
CEBPB	CLDN7	0.21677594931644695
CEBPB	ORAI3	0.19449926775621318
CEBPB	IDO1	0.19412971683662494
CEBPB	ZNF277	0.2669597113498856
CEBPB	COL13A1	0.247688259454506
CEBPB	FPR1	0.19850835219525464
CEBPB	C2	0.18659981530681513
CEBPB	CYB5R2	0.2410828791852122
CEBPB	EPB41L5	0.2567020305749841
CEBPB	RDH10	0.22510235554231262
CEBPB	RSU1	0.19087108315570056
CEBPB	PRPF38A	0.22204959235330168
CEBPB	CADM2	0.2446270155823722
CEBPB	EDEM2	0.26001708957563796
CEBPB	BTBD11	0.19819950135195175
CEBPB	BTBD10	0.24668591616583146
CEBPB	CP	0.23334830565481912
CEBPB	COL1A1	0.2209557118483021
CEBPB	FASN	0.22242342471311893
CEBPB	FXYD5	0.2722991827389416
CEBPB	ZBTB8B	0.21370950611615047
CEBPB	GPR18	0.23518728212973272
CEBPB	FERMT3	0.3540160181297374
CEBPB	ARHGAP9	0.2727497813801927
CEBPB	PGCP	0.2949698798522098
CEBPB	PIGT	0.265079239305849
CEBPB	SIGLEC9	0.2695403878159439
CEBPB	C7orf51	0.2032225920788422
CEBPB	GPR22	0.2354951558274072
CEBPB	HEXA	0.19464967226098473
CEBPB	MED19	0.2213272408867848
CEBPB	EFCAB5	0.2117587918540762
CEBPB	RCSD1	0.2740725882138184
CEBPB	ZNF48	0.19660459582197198
CEBPB	MECP2	0.2618247085566754
CEBPB	NIPBL	0.19525130086885678
CEBPB	NHSL1	0.20187930933924303
CEBPB	TSPO	0.22737295101842125
CEBPB	SH3BGRL3	0.3296198123350944
CEBPB	C13orf18	0.24940728570745474
CEBPB	JAK3	0.3374211890869816
CEBPB	RAG1AP1	0.2454106849849209
CEBPB	MYBPC2	0.2338943871492809
CEBPB	ACTL6B	0.2305692295311923
CEBPB	GSTO1	0.2054556950852664
CEBPB	JOSD2	0.1994123834751793
CEBPB	HIST2H2BF	0.2179098691059762
CEBPB	DDB1	0.2482944739962214
CEBPB	TMEM37	0.23702343725209296
CEBPB	MMP14	0.22040719153589716
CEBPB	RILPL2	0.302082006080302
CEBPB	OAF	0.23508866892838842
CEBPB	DPYD	0.3312979062964798
CEBPB	CRYAB	0.19143860015464664
CEBPB	DLD	0.26950521703926356
CEBPB	PIGF	0.23291780102409376
CEBPB	VAMP5	0.2651470030133787
CEBPB	PAFAH1B1	0.19547268695971098
CEBPB	SLC7A1	0.19240483350944704
CEBPB	IL12RB1	0.23755152058986972
CEBPB	LRRC25	0.32164400891820044
CEBPB	MBD4	0.19238014373380352
CEBPB	EGLN3	0.2737040567609226
CEBPB	GSX1	0.19330804661544754
CEBPB	MBD2	0.22602364884046455
CEBPB	EMR2	0.3210845469653707
CEBPB	ZNF76	0.18762600896162063
CEBPB	TMCO3	0.19444978858150197
CEBPB	GATAD2B	0.340126811076221
CEBPB	TARBP2	0.2139043602367563
CEBPB	PSMB9	0.27014431143832596
CEBPB	SHKBP1	0.1925339788382665
CEBPB	NCF2	0.20256280056886133
CEBPB	NCF4	0.23557403811817412
CEBPB	F13A1	0.1896888652105968
CEBPB	SLA	0.23270884258140345
CEBPB	CASC3	0.2393289982221516
CEBPB	SAT1	0.2858528167199932
CEBPB	FADS2	0.2035990130188008
CEBPB	LAPTM4A	0.3510358610729165
CEBPB	FNTA	0.2023074970918044
CEBPB	ADORA3	0.19161886896219027
CEBPB	MAP3K8	0.32555619860198703
CEBPB	NUDT16	0.19818239897217804
CEBPB	ZNF445	0.20236117716164514
CEBPB	CISH	0.1999449705807752
CEBPB	PIPOX	0.18939706284913083
CEBPB	CDC25C	0.34181189697297754
CEBPB	ACAP1	0.24500761511351232
CEBPB	MAPKAPK3	0.20444006895799127
CEBPB	MAPKAPK2	0.4211977735584842
CEBPB	S100A4	0.32809740409635335
CEBPB	RAD54L2	0.24626551358092286
CEBPB	ZNF434	0.19668692333414484
CEBPB	S100A9	0.2926169318148739
CEBPB	ZNF675	0.1975200955212335
CEBPB	S100A8	0.35373289756498494
CEBPB	FTL	0.18986626827088138
CEBPB	ZNF431	0.23381911398671829
CEBPB	BLM	0.3279864457938473
CEBPB	GPR84	0.27287505465022743
CEBPB	CORO1A	0.2625191470644106
CEBPB	ARL17B	0.214490368074717
CEBPB	CCDC144C	0.2716793998673701
CEBPB	ZKSCAN3	0.1893219408393012
CEBPB	ZNF669	0.2806729759765121
CEBPB	C9orf89	0.2113358256637472
CEBPB	SLC38A6	0.24600050344335056
CEBPB	SMYD3	0.2654758923079523
CEBPB	NEK4	0.24897772319967615
CEBPB	NFKB2	0.19709978855205534
CEBPB	PTPRD	0.19419886122284602
CEBPB	ZC3HC1	0.25117715703262533
CEBPB	SP4	0.22494915367772705
CEBPB	TBXAS1	0.2585797083906858
CEBPB	HLA-DRA	0.22917234162817035
CEBPB	OSBPL1A	0.18692273080611876
CEBPB	OGT	0.19904951881345934
CEBPB	CIITA	0.21409191991147125
CEBPB	ITGAM	0.2544589398698065
CEBPB	ITGB2	0.40962203804987674
CEBPB	SQRDL	0.32755456726801757
CEBPB	WISP2	0.2061024796760007
CEBPB	SPDYE1	0.18885457585297782
CEBPB	DGCR8	0.21290431356146833
CEBPB	C9orf66	0.198637721862176
CEBPB	TNFSF12-TNFSF13	0.3521667927731311
CEBPB	ZNF641	0.2382454844895907
CEBPB	RNASET2	0.18919778425632217
CEBPB	VEZF1	0.20895744511931547
CEBPB	KSR2	0.19300360316923726
CEBPB	TNFRSF1B	0.21985503770118697
CEBPB	LOC100130522	0.21235970425668338
CEBPB	LCP2	0.3816354970644076
CEBPB	ITGA5	0.18803898221492155
CEBPB	SLC25A4	0.24444766515505023
CEBPB	ST6GALNAC4	0.22152658601520336
CEBPB	PRKAA2	0.19573835454636246
CEBPB	C1R	0.3243111005574999
CEBPB	HM13	0.2565133384409988
CEBPB	PARD6G	0.18732553063762136
CEBPB	RCHY1	0.22659719604118145
CEBPB	ZBTB40	0.36200287795075514
CEBPB	GTF2IP1	0.21319905340590317
CEBPB	CCL8	0.30679503355613047
CEBPB	CCL7	0.18991974674435586
CEBPB	SLITRK1	0.2567948038463772
CEBPB	BEND3	0.20650234590762206
CEBPB	CCL2	0.24675970352341192
CEBPB	LRRC8A	0.22095480539407575
CEBPB	CNNM3	0.19587485718783793
CEBPB	EIF4E	0.3157265240601861
CEBPB	RILP	0.19524266517458333
CEBPB	SLC12A5	0.190379269658286
CEBPB	FOXJ3	0.1877432175183431
