Regulator	Target	MI
CEBPB	LOC400759	0.5136664816461769
CEBPB	C4BPB	0.2703932350414098
CEBPB	F11R	0.4657667034165138
CEBPB	HTR4	0.18799350575339258
CEBPB	ISM1	0.28744314579964314
CEBPB	SLA2	0.3022305490990931
CEBPB	SUV420H1	0.27975194964807315
CEBPB	ZC3H12D	0.2474474940034792
CEBPB	IL4I1	0.2517527625335232
CEBPB	DPYSL5	0.22868420109354481
CEBPB	PKNOX2	0.1989655210408099
CEBPB	GSTK1	0.24357152938594773
CEBPB	ZNF285	0.23432993308250083
CEBPB	ZFYVE20	0.2818488035539737
CEBPB	TMEM84	0.19447631509076135
CEBPB	RNASE4	0.4218293990960458
CEBPB	CACNA2D4	0.39222293057609026
CEBPB	SCAMP2	0.19944294838839483
CEBPB	CH25H	0.1940961140428712
CEBPB	EML6	0.3138869219103082
CEBPB	SPINT1	0.2701287761269846
CEBPB	ETHE1	0.36689098818275756
CEBPB	CLDN7	0.2944500372317842
CEBPB	RBCK1	0.19967086561987646
CEBPB	COPS7B	0.23820976160470675
CEBPB	MTMR9	0.26846028524419285
CEBPB	FPR3	0.1981004107382871
CEBPB	PLA2G5	0.1925385021361743
CEBPB	GIGYF2	0.2118772197909662
CEBPB	OAZ2	0.3815648430979923
CEBPB	C2	0.198270470127631
CEBPB	HSD11B1	0.3002990581189726
CEBPB	LOH12CR1	0.2890251327467084
CEBPB	HSD11B2	0.25567666562832425
CEBPB	HMGXB4	0.20848530215537764
CEBPB	KLRK1	0.21215628964363198
CEBPB	EPB41L2	0.20570213096982837
CEBPB	ZBTB7B	0.33733271095655937
CEBPB	ATRIP	0.19544341458543713
CEBPB	LYN	0.2668390858655174
CEBPB	HLA-DRB6	0.2752526826597581
CEBPB	PRRT3	0.22171062058206026
CEBPB	TSLP	0.3361291424543129
CEBPB	ABCA3	0.4281275980841466
CEBPB	FUCA1	0.19924713802808558
CEBPB	APCDD1L	0.19084009336140095
CEBPB	GRIN2C	0.18768609047882023
CEBPB	CP	0.36659889411667557
CEBPB	LOC606724	0.2777175480862146
CEBPB	CS	0.25436099398772605
CEBPB	MLLT11	0.31208184641978054
CEBPB	ABTB1	0.24586427612470985
CEBPB	TMEM99	0.21383759345960218
CEBPB	DLX6AS	0.22976744823486683
