Regulator	Target	MI
CEBPB	SPI1	0.217409703715993
CEBPB	GMFG	0.257437103961097
CEBPB	POP4	0.37111712045799283
CEBPB	ZNF292	0.2433476894832749
CEBPB	F11R	0.2160514024586302
CEBPB	C22orf29	0.18985306924969958
CEBPB	LACTB	0.34858449815770154
CEBPB	MIMT1	0.2080215140635966
CEBPB	CAPNS1	0.23338643709593576
CEBPB	DPYSL5	0.23891047798576182
CEBPB	GPBP1	0.20642581336198074
CEBPB	ZC3H12A	0.2843909765250485
CEBPB	STARD5	0.33392024663616127
CEBPB	SECISBP2	0.22768333595641455
CEBPB	RNASE6	0.34459866644435166
CEBPB	ZFYVE20	0.20985701333280726
CEBPB	HDGFRP3	0.2588379103443126
CEBPB	RNASE4	0.3005054671315266
CEBPB	CACNA2D4	0.573883482117175
CEBPB	RNASE3	0.23362197164690368
CEBPB	RNASE2	0.278703435669172
CEBPB	LRRC37B	0.23947159417003405
CEBPB	EML3	0.19474973698579134
CEBPB	ACE2	0.19575967364614755
CEBPB	CH25H	0.2530017269110436
CEBPB	SPINT1	0.3809843520558154
CEBPB	CLDN9	0.22564512215054222
CEBPB	ETHE1	0.2949905908969841
CEBPB	RUFY3	0.21227452237459055
CEBPB	CLDN7	0.21206648722792742
CEBPB	DDIT4	0.1969154293616917
CEBPB	ORAI3	0.20563746099024005
CEBPB	COL13A1	0.21330444058010656
CEBPB	FPR1	0.3281834800837382
CEBPB	MTMR9	0.28649525489683647
CEBPB	COPS7A	0.19308772527141382
CEBPB	BAZ2B	0.2040841884839102
CEBPB	FPR2	0.206541325151
CEBPB	GABARAP	0.2522725039169673
CEBPB	C2	0.2642184694366021
CEBPB	C3	0.2208609024062813
CEBPB	EPB41L1	0.27079544060124316
CEBPB	KCNMB1	0.2866073295747604
CEBPB	A2BP1	0.20312017682022265
CEBPB	SFN	0.24715061346526657
CEBPB	RHBDL3	0.18814349297076216
CEBPB	ZBTB7B	0.2137090243057811
CEBPB	ATG7	0.27403675501141134
CEBPB	GPR17	0.294112410585778
CEBPB	HLA-DRB6	0.18884608231062217
CEBPB	BTBD17	0.2443490477732988
CEBPB	CADM2	0.3202544690587832
CEBPB	FUCA1	0.2536089531484631
CEBPB	FUCA2	0.1908157987062875
CEBPB	LYZ	0.22572153900623526
CEBPB	PBX1	0.2574303935997726
CEBPB	SNUPN	0.2307871579186429
CEBPB	TREML1	0.23024531648743896
CEBPB	TREML2	0.25143527442812275
CEBPB	FXYD6	0.2093582099010085
CEBPB	FXYD5	0.24702898360787717
CEBPB	HAMP	0.4174438066632016
CEBPB	DZIP3	0.29457361162589724
CEBPB	HLA-DRB1	0.19874660209730166
CEBPB	FERMT3	0.5060645368660195
CEBPB	ARHGAP9	0.3070453705212648
CEBPB	PGCP	0.27183525973352474
CEBPB	ZNF253	0.23149284905764134
CEBPB	PIGT	0.27494162135986766
CEBPB	SIGLEC9	0.4614517002938907
CEBPB	KCNC1	0.29298837814858647
CEBPB	HEXA	0.26457873437682
CEBPB	SRPR	0.1992744361556591
CEBPB	ZNF43	0.19452340883998964
CEBPB	EFCAB5	0.1906911392538797
CEBPB	CTCF	0.2696135467613985
CEBPB	FRG2C	0.19057077328773886
CEBPB	ARHGAP4	0.32320217680775176
CEBPB	PCMTD2	0.21043583543330602
CEBPB	TUBA1C	0.27205896674391106
CEBPB	TMEM49	0.23686806389490922
CEBPB	ZNF41	0.20822510859991894
CEBPB	TSPO	0.4155976512687829
CEBPB	SH3BGRL3	0.52715616570348
CEBPB	FGFBP3	0.36847200291338744
CEBPB	LIN52	0.21833970578746786
CEBPB	OFD1	0.32780570918276997
CEBPB	RAG1AP1	0.32910510269965165
CEBPB	GPR39	0.2830969963857761
CEBPB	KCND2	0.26155097593854837
CEBPB	RIPK3	0.26851306795860364
CEBPB	DUSP1	0.32299943319498237
CEBPB	GSTO1	0.1881849795900239
CEBPB	SPHK1	0.21817588379621178
CEBPB	BGN	0.19080558778016954
CEBPB	JOSD2	0.279574078908845
CEBPB	PHF20L1	0.24973531405379834
CEBPB	VAMP8	0.28709969202743757
CEBPB	TMEFF1	0.1874147809961606
CEBPB	TMEM37	0.33264994932865033
CEBPB	MMP14	0.3410653741249092
CEBPB	MMP16	0.24194996865337437
CEBPB	RILPL2	0.4255382831661123
CEBPB	MMP15	0.21699250880286947
CEBPB	CDC42EP3	0.19998093835069586
CEBPB	DPYD	0.4027790887048486
CEBPB	RAPGEF2	0.18890872891830313
CEBPB	HCST	0.3533646883238264
CEBPB	VAMP5	0.2883925931813778
CEBPB	LOC220930	0.21809133599191544
CEBPB	RAPGEF4	0.2232266440560018
CEBPB	RNASEK	0.3334898771987156
CEBPB	KCNA2	0.3672355205619491
CEBPB	KIAA0087	0.28639821376080654
CEBPB	SNX31	0.1945900719498539
CEBPB	NEURL1B	0.26827492716075607
CEBPB	ADAM28	0.23323595852747658
CEBPB	HLA-DMA	0.2764459889959552
CEBPB	PSMB4	0.19383581935081295
CEBPB	HLA-DMB	0.22984317579121427
CEBPB	UCP2	0.26401728602134433
CEBPB	SPP1	0.23440122732498203
CEBPB	ZSWIM6	0.3251847583365439
CEBPB	IL12RB1	0.2681738951155843
CEBPB	CSMD1	0.2697015493614936
CEBPB	LRRC25	0.5155548376303756
CEBPB	MBD4	0.34752050637286924
CEBPB	ZNF462	0.2003717417258688
CEBPB	ATAD5	0.2347797002628047
CEBPB	PKM2	0.28198942464396737
CEBPB	ATAD2	0.19329877745377555
CEBPB	EMR2	0.23284532758726773
CEBPB	YLPM1	0.2443120042957334
CEBPB	TMEM64	0.2045170648599628
CEBPB	PLXDC2	0.22309598778058604
CEBPB	GATAD2B	0.2904667408255621
CEBPB	PSMB8	0.21069549139146115
CEBPB	TMEM59	0.22473482067761985
CEBPB	COL3A1	0.24897897350179576
CEBPB	LRG1	0.20316054681175544
CEBPB	LYRM7	0.23722869415933712
CEBPB	HLA-DPB1	0.2771304794988749
CEBPB	RPL22L1	0.3256554575973851
CEBPB	CENPO	0.19494625109547759
CEBPB	SIGLEC7	0.41535432691161045
CEBPB	ZNF212	0.20312142959561008
CEBPB	SIGLEC5	0.20941220634557656
CEBPB	OLFML2B	0.2057343547516428
CEBPB	NCF1	0.25540521567925367
CEBPB	NCF2	0.23901979231875536
CEBPB	NCF4	0.4008173023537527
CEBPB	LY75	0.2240011640453643
CEBPB	F13A1	0.2886769642078395
CEBPB	SLA	0.2664527929211582
CEBPB	HR	0.26155368109093047
CEBPB	CASC3	0.23956593751452981
CEBPB	SAT1	0.6158232423197711
CEBPB	CXCL16	0.3328572477453795
CEBPB	ATCAY	0.25968179597268204
CEBPB	UROD	0.2084963797057524
CEBPB	ADORA3	0.24697592678412583
CEBPB	LGTN	0.2106274332993614
CEBPB	PIM1	0.24767858133475773
CEBPB	MAP3K8	0.2884666842787702
CEBPB	HLA-DOA	0.1870460192699097
CEBPB	SLC16A3	0.21378259984743053
CEBPB	TICAM2	0.21307179062833992
CEBPB	FBXO10	0.19654509284349864
CEBPB	TICAM1	0.2153092411034283
CEBPB	MYT1	0.19166419941667812
CEBPB	FOXP1	0.2814517010299733
CEBPB	ACAP1	0.2162214035367116
CEBPB	MSH2	0.23585190004063517
CEBPB	MAPKAPK2	0.32998937928868344
CEBPB	PKP2	0.18842956724758597
CEBPB	S100A9	0.4259137773941708
CEBPB	SQSTM1	0.19496813418177172
CEBPB	S100A8	0.22946670527866875
CEBPB	FTL	0.30589309464914205
CEBPB	ZNF431	0.26746552692624714
CEBPB	GRIA2	0.25156071721049145
CEBPB	LOC100233209	0.43435680799433385
CEBPB	LY96	0.2421391375574471
CEBPB	UAP1	0.4286628035759952
CEBPB	GPR84	0.3341501725351961
CEBPB	PKMYT1	0.1954093153804628
CEBPB	HSP90B1	0.21560025448101872
CEBPB	SLC9A1	0.19864663555853745
CEBPB	BCL2L12	0.3456937437728618
CEBPB	CCDC144C	0.30776433777261847
CEBPB	CCDC144B	0.3317488843100298
CEBPB	DBC1	0.2702324974500696
CEBPB	SOCS1	0.3968471326584133
CEBPB	EIF4EBP1	0.29576529681025576
CEBPB	TNFRSF14	0.1893791364908406
CEBPB	NAE1	0.22461588661005916
CEBPB	ZNF664	0.1888506271795034
CEBPB	TMEM120A	0.2319057585488986
CEBPB	TNFRSF9	0.20390456751648323
CEBPB	LY86	0.20930627387042655
CEBPB	PTPRD	0.18699209975399267
CEBPB	LRCH2	0.22757626202540227
CEBPB	ARPC3	0.187339257763238
CEBPB	SP4	0.20138551814125805
CEBPB	TBXAS1	0.21960359289257703
CEBPB	ANXA2P1	0.3223098661355097
CEBPB	HLA-DRA	0.23520141082255996
CEBPB	C7orf68	0.23805157859735182
CEBPB	NOP10	0.2150537895458733
CEBPB	CIITA	0.18720061336206495
CEBPB	ITGAM	0.32274486262326274
CEBPB	GGT8P	0.2251204820520405
CEBPB	ITGB2	0.34873515489905316
CEBPB	FHL3	0.20030342701566006
CEBPB	ARRB2	0.2348799217144677
CEBPB	SQRDL	0.5231008361642262
CEBPB	ELFN2	0.18856292918209405
CEBPB	TSPAN11	0.29806321897590404
CEBPB	FCGR3A	0.25059599343964933
CEBPB	KIAA1549	0.335328657098545
CEBPB	DSE	0.1957281346581805
CEBPB	DGCR9	0.2153071078153106
CEBPB	EIF3CL	0.22544743847064286
CEBPB	TNFSF12-TNFSF13	0.5028279347663611
CEBPB	UPP1	0.25053388348455385
CEBPB	GRID2	0.28021814135426126
CEBPB	TRIM62	0.22249883951023097
CEBPB	GNRHR2	0.25210290058593277
CEBPB	ITGA3	0.19898762391451363
CEBPB	MSL2	0.1993310134852413
