Regulator	Target	MI
CEBPB	ATF1	0.2845974030410794
CEBPB	SNORA40	0.189803477610071
CEBPB	PGAP1	0.38425765638537257
CEBPB	SPI1	0.2811044824604796
CEBPB	GMFG	0.3722064470869624
CEBPB	UXS1	0.198847748531513
CEBPB	ZNF292	0.2060336185595517
CEBPB	ARAF	0.20497257767014787
CEBPB	SPINT2	0.23478716774926855
CEBPB	TMEM97	0.22174867201069137
CEBPB	F11R	0.24104921445606298
CEBPB	SLA2	0.40707413330897424
CEBPB	SUV420H1	0.2310461262554826
CEBPB	IL4I1	0.25029404826079205
CEBPB	LACTB	0.2611453353412605
CEBPB	AS3MT	0.20960336772261723
CEBPB	DPYSL5	0.22110130379415338
CEBPB	FGFR1OP2	0.21019368373774494
CEBPB	ZC3H12A	0.23917132172750755
CEBPB	C3AR1	0.28896263887708606
CEBPB	FAM19A5	0.20445728162891097
CEBPB	PKNOX2	0.3409249494262605
CEBPB	GBP5	0.2265805873648068
CEBPB	GSTK1	0.1959226751599239
CEBPB	STARD5	0.36603127767000654
CEBPB	DHDH	0.26669884203538086
CEBPB	RNASE6	0.3720669633205844
CEBPB	ZFYVE20	0.25405710346417276
CEBPB	RNASE4	0.25438040810735174
CEBPB	CACNA2D4	0.4549924291018206
CEBPB	RNASE2	0.2435602582233818
CEBPB	RFX8	0.19752877122821833
CEBPB	SPINT1	0.22462824832147543
CEBPB	ETHE1	0.19313008326555448
CEBPB	PLBD1	0.19456990785462924
CEBPB	IDO1	0.21024848440279076
CEBPB	PIF1	0.19245718018034186
CEBPB	MFI2	0.18814186956944123
CEBPB	FPR1	0.2675821426812188
CEBPB	MRPL16	0.2110667123152954
CEBPB	AGAP4	0.22718025989191393
CEBPB	FPR3	0.34126280762348316
CEBPB	ZNF22	0.3997959565181981
CEBPB	ABCB9	0.24519497468997642
CEBPB	FPR2	0.2272879197725466
CEBPB	ZNF24	0.22213010690219548
CEBPB	OAZ1	0.27614350370693863
CEBPB	NCAPH	0.23715197161087875
CEBPB	C2	0.1896598831216103
CEBPB	HSD11B1	0.19220745750545376
CEBPB	CYB5R1	0.23904340765303367
CEBPB	EPB41L5	0.19606134123889962
CEBPB	ADAMTS14	0.20763819994407662
CEBPB	RNF215	0.20861412256543055
CEBPB	RDH16	0.23563861922577
CEBPB	RHBDL3	0.1908578038284201
CEBPB	ZBTB7B	0.20974605080960096
CEBPB	LYN	0.2000311710272964
CEBPB	HLA-DRB5	0.18757264844214738
CEBPB	PRRT3	0.2253971830626469
CEBPB	CADM2	0.2820409599461833
CEBPB	ABCA3	0.366930953975114
CEBPB	FUCA1	0.22828471368964554
CEBPB	BTBD11	0.20594293541983255
CEBPB	GRIN2C	0.1972564328082722
CEBPB	CP	0.30467355129624174
CEBPB	FLI1	0.20841479797153362
CEBPB	PBX1	0.24419596558239043
CEBPB	LOC606724	0.2127350680570217
CEBPB	CS	0.1930112423127328
CEBPB	ABTB1	0.1896598831216103
CEBPB	TREML2	0.2593430136851236
CEBPB	ZNF30	0.25621839001350466
CEBPB	SASS6	0.19056986960064393
CEBPB	FAT3	0.2849331964877688
CEBPB	FXYD6	0.20422748918385025
CEBPB	FXYD5	0.36981291220663426
CEBPB	HAMP	0.22165511031786966
CEBPB	ZBTB8B	0.2644671741600355
CEBPB	DZIP3	0.20688983270715067
CEBPB	GPR18	0.22224019060953726
CEBPB	HLA-DRB1	0.18614043207129605
CEBPB	FERMT3	0.45139151687357515
CEBPB	GPR19	0.2735534433554383
CEBPB	ARHGAP9	0.329960003535132
CEBPB	PGCP	0.19295566243276951
CEBPB	ZNF253	0.19012300708999508
CEBPB	ARF1	0.24831239562570318
CEBPB	PIGT	0.1979075196481226
CEBPB	SIGLEC9	0.47303339198551697
CEBPB	ZNF493	0.5313667738013939
CEBPB	ZNF491	0.18864979366413426
CEBPB	NCAN	0.2103183925844192
CEBPB	HEXA	0.22585950329389526
CEBPB	LOC388588	0.24791741347429763
CEBPB	ARHGAP1	0.2286095188400905
CEBPB	EFCAB5	0.19185575341369088
CEBPB	ODF3L1	0.2893861337482253
CEBPB	RCSD1	0.20799259450878704
CEBPB	FAM115A	0.24519267309675108
CEBPB	ARHGAP4	0.23769650182143032
CEBPB	MECP2	0.2361960750282872
CEBPB	TMEM43	0.2063403783421247
CEBPB	HEY2	0.18920854135115128
CEBPB	ZNF41	0.22083425633785847
CEBPB	TSPO	0.28585752579657164
CEBPB	SH3BGRL3	0.3834218005359711
CEBPB	FGFBP3	0.22955419628999962
CEBPB	JAK3	0.2260864318467979
CEBPB	RAG1AP1	0.1916082587224981
CEBPB	DFFB	0.24386472578049911
CEBPB	LYPLA1	0.27099550910968073
CEBPB	KCND2	0.2033710613030406
CEBPB	RIPK3	0.2380478897357401
CEBPB	DUSP1	0.3069548194956413
CEBPB	GSTO1	0.22476827561162427
CEBPB	LRRC49	0.2644816913214685
CEBPB	SPHK1	0.27219518055507397
CEBPB	EMP3	0.25611329665895965
CEBPB	SLC39A14	0.3163553516007527
CEBPB	SUMF1	0.2055764342186137
CEBPB	VAMP8	0.36431211427198384
CEBPB	PIGB	0.3025109902000338
CEBPB	FAM113B	0.28853933663556397
CEBPB	PSMA3	0.20158255247211443
CEBPB	PSMA4	0.19605517436737152
CEBPB	SLC7A7	0.38392376426855623
CEBPB	PLSCR3	0.19674255827295628
CEBPB	MMP15	0.24440244323031557
CEBPB	OAF	0.2805208108231527
CEBPB	DPYD	0.3791885758577376
CEBPB	PPARG	0.3070775559774832
CEBPB	LRRC3B	0.264085846080099
CEBPB	DLD	0.24522905588091692
CEBPB	HCST	0.23889096304428215
CEBPB	VAMP5	0.20730536864111837
CEBPB	TMEM106A	0.19838328294142205
CEBPB	SLC29A2	0.20756727627002558
CEBPB	CRB1	0.20098697247676967
CEBPB	IDUA	0.18611996123072672
CEBPB	COL11A2	0.21140728106642914
CEBPB	KCNA2	0.23247818106019658
CEBPB	CLECL1	0.19043135448619974
CEBPB	SEZ6	0.20690806885770563
CEBPB	OVCA2	0.33240650638241664
CEBPB	SLC7A1	0.21877544850541586
CEBPB	PRAM1	0.1957112699727963
CEBPB	SFRS13B	0.21691483770834452
CEBPB	TMEM70	0.2017905294283988
CEBPB	FAM117A	0.20232304904437814
CEBPB	PTGS1	0.2527791658566043
CEBPB	HLA-DMA	0.21642156166103543
CEBPB	HLA-DMB	0.21796613539037324
CEBPB	SRPX2	0.32072277744844424
CEBPB	CNPY4	0.23880367319265083
CEBPB	RG9MTD3	0.20883526885849069
CEBPB	NHEDC1	0.24954207489976632
CEBPB	UCP2	0.26360117372502145
CEBPB	SPP1	0.46207391880006377
CEBPB	DMD	0.2240050998836578
CEBPB	STAT6	0.21006347601042297
CEBPB	IL12RB1	0.2000819373993723
CEBPB	LRRC25	0.36040442482567414
CEBPB	MBD4	0.1972567558665057
CEBPB	RIC3	0.21805774645581977
CEBPB	PKM2	0.3585510006255266
CEBPB	EMR1	0.19150981548119894
CEBPB	MBD2	0.3000056716916202
CEBPB	EMR2	0.28228533749126417
CEBPB	TAOK1	0.21027920555604052
CEBPB	HLA-DPB1	0.26100056096361524
CEBPB	AGRP	0.19863756260868826
CEBPB	C7orf23	0.21407289444747946
CEBPB	SIGLEC7	0.5605989227773129
CEBPB	HLA-DPB2	0.19159427015741226
CEBPB	MYLK2	0.2774263132451633
CEBPB	CCNT2	0.1876767779106272
CEBPB	NCF1	0.293722466224299
CEBPB	NCF2	0.4299130130212552
CEBPB	NCF4	0.277310897848138
CEBPB	HP	0.20080088311035826
CEBPB	F13A1	0.26570254781354397
CEBPB	PLOD3	0.2300646954973491
CEBPB	SLA	0.23576927597999742
CEBPB	FRY	0.2311309150140506
CEBPB	SAT1	0.332087386765477
CEBPB	CXCL16	0.18722843659430222
CEBPB	FADS2	0.18670855260789931
CEBPB	EFEMP2	0.34652652607583345
CEBPB	IBSP	0.35498005308050207
CEBPB	ADORA3	0.20715935954478137
CEBPB	KPNA6	0.19308417623372254
CEBPB	PIM1	0.3138869205400754
CEBPB	TNFRSF8	0.23979550111784054
CEBPB	MAP3K8	0.4445761726555686
CEBPB	SLC16A9	0.2719116464020903
CEBPB	HLA-DOA	0.2872266829821646
CEBPB	KPNA3	0.23481764465961508
CEBPB	SLC16A3	0.3465296539683065
CEBPB	SLC16A5	0.23142622191512174
