Regulator	Target	MI
CEBPB	SPI1	0.3892259624001433
CEBPB	GMFG	0.3607880296716752
CEBPB	IFT172	0.19236566560032653
CEBPB	SPINT2	0.29712299852188817
CEBPB	FAM159A	0.2578825479415121
CEBPB	DPYSL4	0.23703732485002416
CEBPB	DPYSL2	0.28509617339178206
CEBPB	AKT3	0.287918840497678
CEBPB	GPBP1	0.22773267909997497
CEBPB	C3AR1	0.2705619647170492
CEBPB	FAM19A2	0.19116283064823492
CEBPB	VSTM1	0.4301027392764416
CEBPB	PKNOX1	0.20898430505960608
CEBPB	GSTK1	0.1870677511560217
CEBPB	TSTD1	0.22426815016103063
CEBPB	TSTD2	0.24196469956487743
CEBPB	SIGIRR	0.23574223962177943
CEBPB	CH25H	0.3778749996389541
CEBPB	SPINT1	0.34091798324065703
CEBPB	ZC3H11A	0.275026962253472
CEBPB	FEZ2	0.20176577723962374
CEBPB	ATF5	0.23439559927611242
CEBPB	SHMT1	0.2074982356855326
CEBPB	CRABP1	0.21216926241474532
CEBPB	GATA3	0.31145334799977054
CEBPB	ADAMTS14	0.4112117811452727
CEBPB	RNF216	0.2390965174841968
CEBPB	EPB41L2	0.4387575926754428
CEBPB	EPB41L3	0.2506861352941172
CEBPB	ATG7	0.2708087770368319
CEBPB	CREBBP	0.19223390106468674
CEBPB	HLA-DRB5	0.22661583019756026
CEBPB	PRPF38A	0.2444534877517528
CEBPB	FUCA1	0.19822330593472604
CEBPB	LOC285456	0.35523300140204483
CEBPB	ZNF34	0.23490436606662257
CEBPB	PBX1	0.38949066032929736
CEBPB	LOC606724	0.4472103074303009
CEBPB	TREML1	0.31462297522358007
CEBPB	PPFIBP2	0.2018366767015385
CEBPB	VANGL2	0.22168615159154648
CEBPB	FXYD5	0.31536076422643067
CEBPB	DZIP3	0.30680247039398534
CEBPB	HLA-DRB1	0.37737960332588916
CEBPB	LGMN	0.4653428606491632
CEBPB	ARHGAP9	0.26448700236905065
CEBPB	PGCP	0.20928521704454628
CEBPB	SIGLEC9	0.6879778201621631
CEBPB	ZNF493	0.23410961327121171
CEBPB	CATSPER2P1	0.300758099624753
CEBPB	ZNF491	0.24458216753054973
CEBPB	DPYS	0.19545760874381646
CEBPB	ZNF43	0.23262892391837742
CEBPB	SHB	0.24693821166416186
CEBPB	FAM115A	0.27111816423255775
CEBPB	HOXC10	0.21769183835434625
CEBPB	IL18BP	0.21149098070326744
CEBPB	MED10	0.19016348399254923
CEBPB	SMPD1	0.2154641281784082
CEBPB	TSPO	0.570578687940352
CEBPB	DLGAP1	0.20118234286557168
CEBPB	TPSAB1	0.21841880115477252
CEBPB	JAK3	0.22435421061728356
CEBPB	POM121L1P	0.24587739084997295
CEBPB	ZNF488	0.2046875727699442
CEBPB	LIN52	0.2058478815046696
CEBPB	RAG1AP1	0.2538102418904735
CEBPB	KCND2	0.20403137526738746
CEBPB	GSTO1	0.24436923694798285
CEBPB	SPHK1	0.33736092979660093
CEBPB	KIAA1143	0.3309180499728983
CEBPB	JOSD2	0.38389326454519335
CEBPB	PHF20L1	0.21500146830413325
CEBPB	MMP11	0.2666428541681354
CEBPB	FAM113B	0.339220496315912
CEBPB	PLSCR1	0.6169637957351979
CEBPB	SLC7A7	0.29598519436723336
CEBPB	JMJD7-PLA2G4B	0.2044413073909661
CEBPB	PPARG	0.44054752286700705
CEBPB	L2HGDH	0.19025590824469063
CEBPB	HCST	0.4009736347641324
CEBPB	SNX27	0.21672381992142942
CEBPB	PLAGL1	0.1961112770387059
CEBPB	SPP1	0.559024358405761
CEBPB	BID	0.26516098323893456
CEBPB	MBD4	0.2308428689711377
CEBPB	ZNF462	0.25036035952016444
CEBPB	PKM2	0.5554747678023073
CEBPB	COL22A1	0.3011205434570625
CEBPB	MBD2	0.25425641976350644
CEBPB	BMP8A	0.1915412373749108
CEBPB	DAB2IP	0.26265830062802387
CEBPB	BBOX1	0.1952612788510093
CEBPB	SNX22	0.18627050694578262
CEBPB	NUDT21	0.2554641999804188
CEBPB	PRKRIR	0.2704762337745361
CEBPB	NCAPD2	0.28690205276049774
CEBPB	CENPO	0.277317026696533
CEBPB	SIGLEC7	0.35523264694684187
CEBPB	KCNG2	0.25579102070792104
CEBPB	RASL11A	0.26101226843362557
CEBPB	CASC5	0.2079566387556806
CEBPB	LAPTM4B	0.19863931290933312
CEBPB	UROD	0.25873046322095483
CEBPB	ADORA3	0.35954463820464255
CEBPB	LGTN	0.22497774349274913
CEBPB	MAP3K8	0.30330879218967066
CEBPB	ZNF445	0.22475678634275553
CEBPB	NUDT14	0.2797447464190874
CEBPB	ZNF443	0.30469603276930446
CEBPB	DGAT2	0.3171307815501274
CEBPB	KCNH7	0.23207581232749064
CEBPB	CTNNBIP1	0.21978341205186425
CEBPB	CDC25A	0.300207228958576
CEBPB	NAAA	0.2029048232492432
CEBPB	PLA2R1	0.1918181962959169
CEBPB	FTL	0.544931968419653
CEBPB	ZNF431	0.300186030912478
CEBPB	DLX1	0.19069339581530098
CEBPB	LOC285847	0.23592612139899227
CEBPB	KCNE3	0.2083984679251092
CEBPB	LY96	0.3979552807609368
CEBPB	CORO1A	0.21956445733356134
CEBPB	CCDC144A	0.22211736613181454
CEBPB	CCDC144B	0.21595162567100878
CEBPB	ZNF429	0.25098128595355895
CEBPB	SMYD2	0.2003459143448687
CEBPB	EIF4EBP3	0.22912935861962147
CEBPB	NAE1	0.19628680461753056
CEBPB	PCA3	0.21537510659727488
CEBPB	SLC14A1	0.27110430896193094
CEBPB	SDF2L1	0.37730253048381357
CEBPB	HPS3	0.21433241591031482
CEBPB	ARPC5	0.2793721452804778
CEBPB	C6orf15	0.26223617368916585
CEBPB	LRCH2	0.3342625189267814
CEBPB	ARPC3	0.39280014822874687
CEBPB	UQCRQ	0.3991686122074629
CEBPB	DMXL1	0.20871964759131245
CEBPB	SP4	0.3277579439195728
CEBPB	TBXAS1	0.29840205473558346
CEBPB	ACO2	0.2529065876019496
CEBPB	CLPTM1L	0.27879811461915516
CEBPB	OSBPL1A	0.2976056846795361
CEBPB	SPRN	0.2106891484355362
CEBPB	UFD1L	0.20615039033947458
CEBPB	CIITA	0.3857246415965756
CEBPB	ITGAM	0.37990010499767024
CEBPB	ITGAL	0.3089672418623932
CEBPB	MSLN	0.26965239108440553
CEBPB	AP4M1	0.18906366066546987
CEBPB	KIAA1549	0.2945443455316852
CEBPB	ACTR3	0.28163940620044325
CEBPB	TRIM62	0.22340368456685855
CEBPB	GNRHR2	0.3116630510485532
CEBPB	RNASET2	0.3647796776517831
CEBPB	C14orf45	0.33660900646227
CEBPB	TMBIM1	0.2136014133886066
CEBPB	LCP1	0.34230170426875794
CEBPB	PRPS2	0.2986915143611375
CEBPB	C1S	0.5105023906273116
CEBPB	HM13	0.35673876882621247
CEBPB	SRBD1	0.24024098641915614
CEBPB	KIAA0240	0.19726545996592115
CEBPB	SLC5A12	0.2717211408448268
CEBPB	U2AF1	0.3807156695966549
CEBPB	SLC5A10	0.2183413762558013
CEBPB	IL2RG	0.20350665421470282
CEBPB	LRRC16B	0.2643692233679422
CEBPB	SRR	0.2508331274768931
CEBPB	ZNRF2	0.3251869998603514
CEBPB	TRIM47	0.3070919547715345
CEBPB	IGF2BP3	0.2142878159782171
CEBPB	HNRNPA1	0.3046442458939751
CEBPB	RILP	0.2931729792925841
CEBPB	NOP58	0.357703808605768
CEBPB	MYO10	0.19771830269023738
CEBPB	PCDH8	0.1931750739289031
CEBPB	NAGA	0.31444559217953216
CEBPB	HTR5A	0.2716126935563965
CEBPB	TM6SF1	0.3038100415129499
CEBPB	SORL1	0.23682566412160178
CEBPB	TTC39A	0.28356065405781994
CEBPB	GZMM	0.35447126110703486
CEBPB	SYT12	0.3385691547125651
CEBPB	IL2RA	0.34426349695566394
CEBPB	IL2RB	0.22955082211814304
CEBPB	NAGS	0.19507083346787368
CEBPB	TRIM38	0.24159658891557978
CEBPB	PIK3AP1	0.3312017936955405
CEBPB	KCNK2	0.19761229178083006
CEBPB	LOC728743	0.3418113484222651
CEBPB	EIF3A	0.24365916270748134
CEBPB	MYO1F	0.2951333758149266
CEBPB	MYO1G	0.38437525184765065
CEBPB	SMARCB1	0.26002486167329764
CEBPB	TNFRSF6B	0.2901350769823692
CEBPB	ICAM3	0.19631925235937508
CEBPB	ICAM4	0.3243992236517501
CEBPB	CCDC102A	0.23474724759813448
CEBPB	ACTB	0.2725316357750369
CEBPB	IKZF5	0.24020592783950345
CEBPB	LGALS3	0.31778928115161165
CEBPB	ANPEP	0.28672607853548904
CEBPB	BSG	0.23071357310415674
CEBPB	EPC1	0.3756451053884211
