Regulator	Target	MI
CEBPB	ATF2	0.2569599266535727
CEBPB	HCP5	0.19269790983473634
CEBPB	GMFG	0.29001420009749523
CEBPB	SPINT2	0.19322756436436173
CEBPB	COMTD1	0.2377001696577583
CEBPB	FGFR1OP2	0.1925611091487447
CEBPB	RAVER2	0.2539459992056088
CEBPB	ZC3H12A	0.32200834310843884
CEBPB	PKNOX1	0.2007420530804822
CEBPB	MNX1	0.21834895139382304
CEBPB	FRS2	0.20323823407994634
CEBPB	CACNA2D4	0.26535587908149694
CEBPB	SPINT1	0.22520649401028692
CEBPB	EWSR1	0.36932938180024255
CEBPB	DDIT3	0.38222902360843136
CEBPB	TXNIP	0.33964455825046436
CEBPB	SKAP1	0.26761636006590006
CEBPB	SFRS17A	0.1919672324543784
CEBPB	TPRG1L	0.28765632485556125
CEBPB	BAZ2B	0.4266712123043188
CEBPB	ZNF24	0.19499386455593104
CEBPB	ADAMTS14	0.23525768448531093
CEBPB	RNF214	0.4751528125907649
CEBPB	CREBBP	0.2156957981359895
CEBPB	PRPF38A	0.262282256787989
CEBPB	TSLP	0.3010068547827407
CEBPB	FUCA1	0.28554498587086474
CEBPB	FUCA2	0.2508861829816533
CEBPB	EIF2AK3	0.2129899021009498
CEBPB	LOC285456	0.21843302115601393
CEBPB	FRG1B	0.37947725779320685
CEBPB	PBX1	0.2256843194436442
CEBPB	LOC606724	0.21126819251126072
CEBPB	DHFR	0.2031629958597474
CEBPB	VANGL1	0.3450483755990872
CEBPB	VANGL2	0.2804477727158856
CEBPB	FASN	0.31811159789580046
CEBPB	ZNF30	0.3805866100394901
CEBPB	NMT2	0.21695029292829648
CEBPB	FAT3	0.2662534129611345
CEBPB	FXYD6	0.3085495541322194
CEBPB	FXYD5	0.36938837835018123
CEBPB	HNRNPA1L2	0.20910082587440115
CEBPB	DZIP3	0.20580630258180577
CEBPB	HLA-DRB1	0.23705030110005776
CEBPB	SFXN5	0.24827016443133232
CEBPB	ARHGAP9	0.24047329443292043
CEBPB	ZNF496	0.2139634805143098
CEBPB	SIGLEC9	0.3214775210434446
CEBPB	ZNF493	0.2690546585828635
CEBPB	MTMR12	0.18627323876273127
CEBPB	CSDAP1	0.3385362900794
CEBPB	SNX10	0.19321153625517873
CEBPB	ARHGAP6	0.24927399797049166
CEBPB	HOXC10	0.2006014727820542
CEBPB	ARHGAP4	0.26690721810293994
CEBPB	PANX2	0.18949398578954746
CEBPB	CASP12	0.22384441148059064
CEBPB	CHAF1A	0.4223491886227517
CEBPB	NHSL1	0.2808372159294521
CEBPB	ZNF41	0.20400246531628685
CEBPB	TSPO	0.273717352919558
CEBPB	ZNF486	0.3428709053025978
CEBPB	KCND2	0.2513451671052893
CEBPB	GSTO1	0.2897298137410438
CEBPB	FOS	0.23256221366610408
CEBPB	JOSD2	0.2037239133958062
CEBPB	MED24	0.3050758770923263
CEBPB	SLC7A7	0.22609095857410555
CEBPB	MMP16	0.30451717263696754
CEBPB	MMP15	0.28564997136979464
CEBPB	OAF	0.42341126071915536
CEBPB	DPYD	0.5923390190232682
CEBPB	MMP19	0.2562752928962153
CEBPB	CRYAB	0.20250763695139362
CEBPB	HCST	0.22282004165741576
CEBPB	RAPGEF6	0.1922743822634816
CEBPB	ATL2	0.35491414119202247
CEBPB	ADAM22	0.44337519307752515
CEBPB	SFRS13B	0.19785313201740795
CEBPB	ADAM28	0.28567664077359733
CEBPB	WRN	0.2940677182642606
CEBPB	LOC643763	0.22477762896666054
CEBPB	ADAM23	0.18891924540259541
CEBPB	SPP1	0.20490376753464012
CEBPB	STX4	0.21385023313380636
CEBPB	C4orf6	0.2272356113674956
CEBPB	MBD4	0.2874120749830755
CEBPB	EGLN3	0.29793196123650034
CEBPB	KCNB1	0.22625135137797958
CEBPB	PKM2	0.3378210983007861
CEBPB	BMP8A	0.2809856870656944
CEBPB	SCTR	0.19961741605672767
CEBPB	SNX21	0.3459976008752683
CEBPB	SNX20	0.22555846784407496
CEBPB	SNX19	0.19460102450022632
CEBPB	ETNK2	0.1928630054520628
CEBPB	SHKBP1	0.271509700961837
CEBPB	CENPO	0.22053010873685253
CEBPB	SIGLEC7	0.2382828045312433
CEBPB	KCNG1	0.19730211230626082
CEBPB	LY6K	0.23132828785032888
CEBPB	LOC654433	0.26655920721316395
CEBPB	FBXO25	0.18815267896273635
CEBPB	SLA	0.2517527625335232
CEBPB	CASC3	0.31620464158336503
CEBPB	LAPTM4B	0.23164676817500585
CEBPB	EFEMP2	0.30257596068870996
CEBPB	EFEMP1	0.4089103808122996
CEBPB	IBSP	0.2106276427111471
CEBPB	NFATC2IP	0.23841204856707332
CEBPB	MAP3K8	0.33150661946640536
CEBPB	ZNF445	0.2187024812933993
CEBPB	PIAS4	0.29929264938443634
CEBPB	CDKL3	0.22617484575193814
CEBPB	FBXO10	0.1960327270207305
CEBPB	TPST2	0.28804687444159427
CEBPB	TPST1	0.18673776950756693
CEBPB	MSH2	0.26813215924580636
CEBPB	ZNF439	0.2583298884139076
CEBPB	ZNF434	0.21444178043941253
CEBPB	FTL	0.2071190382066952
CEBPB	ZNF431	0.21505946124154196
CEBPB	DLX1	0.22218422507101998
CEBPB	DLX3	0.19129890157222817
CEBPB	LOC285847	0.19580657818305625
CEBPB	DLX5	0.2781861785762638
CEBPB	LY96	0.19456990785462924
CEBPB	PKMYT1	0.27656019321123626
CEBPB	CCDC144A	0.1875679221263482
CEBPB	ARL17B	0.2819512402689579
CEBPB	PGK1	0.35168920648543267
CEBPB	TNFRSF14	0.24224608559738492
CEBPB	NAE1	0.28956490885087227
CEBPB	NADK	0.18925484422237027
CEBPB	ZNF420	0.22196970492208212
