Regulator	Target	MI
CEBPB	SPI1	0.319845503059101
CEBPB	GMFG	0.20380670412476842
CEBPB	TMEM97	0.28314904324277723
CEBPB	SLA2	0.23243080648960213
CEBPB	SUV420H1	0.26457506289198385
CEBPB	SCAMP5	0.2071182698857852
CEBPB	ZFYVE28	0.2261818677528371
CEBPB	LACTB	0.40374802477119953
CEBPB	ISLR	0.254482235299875
CEBPB	CAPNS1	0.23368054128404392
CEBPB	ZC3H12A	0.3588996397910451
CEBPB	GUSBL2	0.18790644835230363
CEBPB	CSNK2A1	0.27349531213017375
CEBPB	RNASE6	0.28137051593992446
CEBPB	CACNA2D2	0.26434616375805664
CEBPB	CACNA2D4	0.33845323848583764
CEBPB	RNASE2	0.18753101432304664
CEBPB	RC3H2	0.20916984961631524
CEBPB	CD2AP	0.2875615707274912
CEBPB	CLDN3	0.25623110030476237
CEBPB	MTHFD1	0.20855444623677855
CEBPB	SPINT1	0.2860865608537644
CEBPB	RFX4	0.18990834922223954
CEBPB	RUFY3	0.2184642102154326
CEBPB	KIAA0247	0.25488640969038645
CEBPB	C14orf80	0.19585941083682723
CEBPB	MPPE1	0.19449726049695482
CEBPB	HPD	0.19339276725307286
CEBPB	SKAP1	0.18632740567946726
CEBPB	ATF4	0.27885692815030794
CEBPB	COL13A1	0.2265279303918284
CEBPB	SHMT2	0.18666889662126618
CEBPB	CDCA5	0.27769629893696113
CEBPB	CDCA7	0.211534900226642
CEBPB	MTMR9	0.2005119462518019
CEBPB	LYPD3	0.2914048592449303
CEBPB	SLC5A1	0.2152368962734812
CEBPB	AAAS	0.20479608224570622
CEBPB	CIAO1	0.21136630989330119
CEBPB	EPB41L5	0.22210054669314427
CEBPB	ADAMTS19	0.2300307705111777
CEBPB	RDH10	0.4405524852053304
CEBPB	ATG7	0.2896990721065933
CEBPB	LYN	0.27965967938778125
CEBPB	TSLP	0.18862351325689453
CEBPB	FUCA1	0.21880485265755212
CEBPB	CP	0.2226939638822989
CEBPB	PBX1	0.35998876059062823
CEBPB	DHFR	0.20705025629274498
CEBPB	VANGL2	0.19455304039252486
CEBPB	FASN	0.25388691512501094
CEBPB	TREML3	0.24431318134200986
CEBPB	TREML2	0.2972757586434218
CEBPB	ZNF30	0.19063276511401916
CEBPB	FXYD5	0.18711907586134569
CEBPB	ZBTB8B	0.22153557214934327
CEBPB	FERMT3	0.4361510413344325
CEBPB	LGMN	0.2378837018260036
CEBPB	ARHGAP9	0.3089317963936207
CEBPB	HIST2H2AA3	0.20171810831730586
CEBPB	PIGT	0.19608381886079673
CEBPB	SIGLEC9	0.3262147575248475
CEBPB	ZNF493	0.2848679426682521
CEBPB	TMEM51	0.31252574896356755
CEBPB	CTCF	0.2445821607909755
CEBPB	ARHGAP4	0.25190807296277296
CEBPB	TMEM49	0.20012386428940765
CEBPB	NHSL1	0.21028604682574947
CEBPB	TSPO	0.3665095239707705
CEBPB	SH3BGRL3	0.335318937421456
CEBPB	CTBS	0.22005756061373738
CEBPB	DLGAP2	0.22056026866163148
CEBPB	NEFH	0.18873298333889998
CEBPB	HLA-DPA1	0.2362804625751691
CEBPB	SULT1C4	0.2956518429852135
CEBPB	ELOVL1	0.21230201640927238
CEBPB	MYBPC2	0.1991996514461496
CEBPB	DUSP1	0.4296425808524784
CEBPB	GSTO1	0.27683035593397864
CEBPB	C13orf33	0.1864847227643942
CEBPB	SPHK1	0.27608553116244305
CEBPB	MAMDC2	0.19348804449837953
CEBPB	LRRC40	0.21089640153485423
CEBPB	TMC8	0.24824648729221188
CEBPB	RAB3IL1	0.2385639175655241
CEBPB	EMP3	0.3328117105957382
CEBPB	FOS	0.2959596356200871
CEBPB	JOSD2	0.1961476535536697
CEBPB	MANEAL	0.2615198746520324
CEBPB	VAMP8	0.28328083157187756
CEBPB	PIGB	0.21349281383539065
CEBPB	TMEM37	0.35034543549702324
CEBPB	SLC7A7	0.2956307928905133
CEBPB	RILPL2	0.4094974574986754
CEBPB	TMEM35	0.24615428325706024
CEBPB	CDC42EP2	0.23565452848723645
CEBPB	PGAM5	0.18747802397366264
CEBPB	HCST	0.2399141007700223
CEBPB	VAMP5	0.30603898597496215
CEBPB	ZNF233	0.23911529291590572
CEBPB	FLJ43390	0.18683588195772938
CEBPB	LRRC14	0.28401032435920204
CEBPB	CRB1	0.34592468793800535
CEBPB	PTGS2	0.3987709683632161
CEBPB	GGA1	0.25434352507651425
CEBPB	HLA-DMA	0.32529058888497
CEBPB	SRPX2	0.342804059696304
CEBPB	HAS1	0.20508176578830994
CEBPB	CARNS1	0.27320845066496613
CEBPB	MICALL2	0.20611592620751296
CEBPB	SPP1	0.21547932066670317
CEBPB	IL12RB1	0.37987133844331744
CEBPB	LOC144486	0.20717681986078862
CEBPB	LRRC25	0.36359604104887033
CEBPB	P2RY10	0.19516618467849334
CEBPB	ANKIB1	0.19236961582366519
CEBPB	ATAD5	0.1987432329590213
CEBPB	GSX1	0.22231106733364037
CEBPB	KCNB1	0.2228430073471861
CEBPB	PKM2	0.37032439204125733
CEBPB	ATAD2	0.18856098113734454
CEBPB	EMR2	0.31450346664207984
CEBPB	TMEM61	0.20790704550837624
CEBPB	PLXDC2	0.24604802036263518
CEBPB	MYBBP1A	0.2203476598564711
CEBPB	CENPJ	0.2413254600141892
CEBPB	HLA-DPB1	0.18585444196022305
CEBPB	YPEL1	0.37455056588931335
CEBPB	CENPO	0.2530373224778808
CEBPB	SIGLEC7	0.3302498458168417
CEBPB	ZNF454	0.22209363187015363
CEBPB	HLA-DPB2	0.18892021603591935
CEBPB	LIMS1	0.3140509238953024
CEBPB	NCF4	0.28484743671719315
CEBPB	PTPRVP	0.2090984572569079
CEBPB	SLA	0.33532280532766645
CEBPB	HR	0.21518725753959878
CEBPB	CASC3	0.19850692914801638
CEBPB	ProSAPiP1	0.18944471256667228
CEBPB	SAT1	0.4187828110571603
CEBPB	EFEMP2	0.25487705736559274
CEBPB	ZNF207	0.18774218457337355
CEBPB	MAP3K8	0.393167150650064
CEBPB	PIM3	0.36802568980506134
CEBPB	HLA-DOA	0.28158376059517565
CEBPB	SLC16A3	0.3265284055836979
CEBPB	ZNF682	0.20922251601621422
CEBPB	ZBTB33	0.2476042702443504
CEBPB	CDC25C	0.1891405005993887
CEBPB	CDC25A	0.21396074283702227
CEBPB	TPST2	0.20864804768315803
CEBPB	SLC9A6	0.20717997953660294
CEBPB	LPAL2	0.23753289260780175
CEBPB	MAPKAPK2	0.3012625141985925
CEBPB	SMS	0.26240775391276383
CEBPB	ANAPC4	0.22522510323135148
CEBPB	S100A4	0.36049130603004187
CEBPB	CABC1	0.19509012865358244
CEBPB	S100A9	0.4169624703718906
CEBPB	ANAPC1	0.19042917287588512
CEBPB	GRIA2	0.1868566809075478
CEBPB	LOC100233209	0.19788311951004367
CEBPB	TACSTD2	0.38189895017608944
CEBPB	LY96	0.19456990785462924
CEBPB	UAP1	0.2592871984928262
CEBPB	FOXO3	0.2021034175144667
CEBPB	CCDC144C	0.23421417913175713
CEBPB	SOCS3	0.4562289786285181
CEBPB	TMEM26	0.24629358787452915
CEBPB	SLC38A6	0.19076968856259047
CEBPB	MBP	0.3349696497013328
CEBPB	TNFRSF14	0.2175182859326581
CEBPB	C9orf84	0.18593058903984527
CEBPB	SDF2L1	0.19126232738311177
CEBPB	GFPT2	0.25749606736016695
CEBPB	TFPI2	0.2920444378759326
CEBPB	LY86	0.28324586867138457
CEBPB	B3GALT6	0.2704556086636174
CEBPB	PTPRC	0.30507139122897886
CEBPB	ARPC2	0.2655514283329401
CEBPB	TBXAS1	0.2535064778086875
CEBPB	ANXA2P1	0.27004578024782155
CEBPB	LCN2	0.2077130118785897
CEBPB	HLA-DRA	0.19912066418406127
CEBPB	MCM10	0.24645323575273093
CEBPB	SQRDL	0.30323801369596204
CEBPB	UNC80	0.21587115079449326
CEBPB	FCGR3A	0.3974628901515409
CEBPB	C14orf34	0.24152342368474766
CEBPB	ACP6	0.19084550061445338
CEBPB	TNFSF12-TNFSF13	0.34587587532646324
CEBPB	UPP1	0.2592736735931629
CEBPB	TNFRSF18	0.22706664846042646
CEBPB	LRTOMT	0.2168496016164383
CEBPB	NPC1	0.2916868616466042
CEBPB	NPC2	0.22706446585603768
CEBPB	SLC25A19	0.2311557950637102
CEBPB	SPATC1	0.24123177458887923
CEBPB	TMBIM1	0.21917796961637137
CEBPB	LCP2	0.2418452505863682
CEBPB	ITGA5	0.29410508999001994
CEBPB	PPP1R15A	0.3558216367401448
CEBPB	PRPS1	0.29808735046341006
CEBPB	TRIM52	0.2546435200713688
CEBPB	C1S	0.36907011129914125
CEBPB	PCOLCE2	0.1885950784388033
CEBPB	C1R	0.4594768724113374
CEBPB	LRP5	0.2532683271093399
CEBPB	PARD6G	0.21954645452614852
CEBPB	LRRC16B	0.2114021517814253
CEBPB	CECR1	0.2376990276143065
CEBPB	SRR	0.22311806982944304
CEBPB	CCL8	0.3713644577129305
CEBPB	DRAM1	0.36277089339259216
CEBPB	CCL7	0.26375483918957876
CEBPB	ZNF629	0.27445570012707066
CEBPB	CCL5	0.20290971458081675
CEBPB	CCL3	0.19134117451052468
CEBPB	CDC37L1	0.19241002135833174
CEBPB	CCL2	0.2628902626405134
CEBPB	LRRC8D	0.2716169692979502
CEBPB	FEM1C	0.2047104524528791
CEBPB	ZNF620	0.23303312922971742
CEBPB	FCGR1C	0.2063889221463011
CEBPB	LRRC8E	0.21283032834070426
CEBPB	MARCKSL1	0.22207128705111945
CEBPB	MYO10	0.22765306822142595
CEBPB	PRRX1	0.2829680685524556
CEBPB	MGA	0.1904161432758169
CEBPB	NAGA	0.34012488626709025
CEBPB	TM6SF1	0.21517099818860075
CEBPB	TPD52L2	0.2476592931426369
CEBPB	ATOX1	0.3140679313161252
CEBPB	TTC39A	0.2127670729704132
CEBPB	SNRK	0.4010496320305874
CEBPB	FCGR2A	0.29596149683602846
CEBPB	NOVA2	0.22574417728003926
CEBPB	TSPAN18	0.21781832020987846
CEBPB	IL2RB	0.22959896579065475
CEBPB	PTPN6	0.2117411245125842
CEBPB	TRIM37	0.2372624393867877
CEBPB	P4HB	0.3444813039601877
CEBPB	PTPN7	0.33097326234297064
CEBPB	FCGR2B	0.28557419130593864
CEBPB	FCGR2C	0.23720968912749107
CEBPB	PTPN2	0.19456990785462924
CEBPB	MYO1G	0.25334528230694886
CEBPB	TMEM41A	0.25129195711416763
CEBPB	ICAM4	0.25863836555584463
CEBPB	IFI30	0.3499405026662332
CEBPB	ZDHHC1	0.21637792635065622
CEBPB	ACTB	0.37882991645925923
CEBPB	ICAM1	0.29022085160695976
CEBPB	LGALS3	0.29599959987972113
CEBPB	C2orf68	0.21391349181552055
CEBPB	LGALS1	0.2333068612958833
CEBPB	DHX58	0.19801176453080416
CEBPB	KIF21B	0.22233523032455516
CEBPB	LGALS9	0.312243943775913
CEBPB	BSN	0.19333939384051924
CEBPB	CCDC92	0.24238873771763902
CEBPB	LGALS7	0.2035900783940363
