Regulator	Target	MI
CEBPB	ZNF296	0.22744952612664449
CEBPB	SPI1	0.36151872371374516
CEBPB	EHMT1	0.19940091787888914
CEBPB	SPINT2	0.28726646639968223
CEBPB	ZFYVE28	0.21294856773175042
CEBPB	IL4I1	0.2162771703254993
CEBPB	LACTB	0.41627745996518684
CEBPB	LOC134466	0.24799360846477558
CEBPB	ALKBH5	0.22094098584091348
CEBPB	C14orf79	0.26756638074827865
CEBPB	COMTD1	0.18893413439770423
CEBPB	KIAA1109	0.23560143819705903
CEBPB	ZC3H12A	0.3662415228077993
CEBPB	C3AR1	0.22864998056500774
CEBPB	VSTM1	0.1891820001347959
CEBPB	FOXO3B	0.2051352886174369
CEBPB	HES6	0.22358424903897944
CEBPB	LOC613037	0.2085884923756094
CEBPB	SDS	0.24634493220860687
CEBPB	STARD5	0.20906765621480528
CEBPB	LOC388796	0.240229715951906
CEBPB	TSTD1	0.21771835109058646
CEBPB	C22orf36	0.20203433854388209
CEBPB	ZNF10	0.18608471731323473
CEBPB	FRS2	0.22655338200365005
CEBPB	RNASE4	0.19719344269017647
CEBPB	CACNA2D4	0.3608545384666497
CEBPB	HPCAL4	0.19620994000657355
CEBPB	ZNF14	0.19367130065918392
CEBPB	LRRC37B	0.23936965515798736
CEBPB	RC3H2	0.19071509463415115
CEBPB	SPINT1	0.34434892681998086
CEBPB	ASPHD1	0.21785804803411501
CEBPB	ETHE1	0.33464056837444733
CEBPB	RUFY3	0.2539934124266514
CEBPB	CLDN7	0.2530962879714673
CEBPB	KIAA0247	0.2627781968466918
CEBPB	ORAI3	0.2255858059361362
CEBPB	PSME1	0.2242377926962229
CEBPB	JTB	0.21221403813847584
CEBPB	HPD	0.19031576794213478
CEBPB	MYL9	0.34838023033425447
CEBPB	MTMR2	0.19006888246556652
CEBPB	ZNF274	0.19762613132828832
CEBPB	CDCA3	0.19316120159917816
CEBPB	AASDH	0.20922957995153801
CEBPB	CDCA5	0.31188818672704777
CEBPB	CLCNKB	0.1986796846035137
CEBPB	FPR1	0.4794070263570722
CEBPB	MTMR8	0.23035213091635054
CEBPB	MTMR9	0.2156977701391476
CEBPB	FPR3	0.19736993202812325
CEBPB	PLA2G5	0.24040101983771578
CEBPB	OAZ1	0.3222250242906073
CEBPB	GIGYF2	0.24464846398522422
CEBPB	NCAPH	0.3663338040883666
CEBPB	C2	0.2615129429048775
CEBPB	DEDD2	0.191146570890961
CEBPB	ADAMTS14	0.2709027294342423
CEBPB	MOV10L1	0.21621446739320582
CEBPB	C14orf93	0.1898893435545821
CEBPB	ZBTB7B	0.2014773461568078
CEBPB	RHBDL1	0.19460820770672882
CEBPB	LYN	0.26586572950560594
CEBPB	CREBBP	0.21703364555056925
CEBPB	PRPF38A	0.2665741258683658
CEBPB	TSLP	0.2568835614032725
CEBPB	BTBD18	0.1979703629685705
CEBPB	FUCA1	0.29676936174837554
CEBPB	EDEM2	0.3003372376971578
CEBPB	IL31RA	0.2151206734856208
CEBPB	LYZ	0.20385760696654298
CEBPB	CP	0.2733091668310772
CEBPB	PBX1	0.40103758149784685
CEBPB	VANGL2	0.21782824365662368
CEBPB	SASS6	0.2281145693813782
CEBPB	FXYD5	0.4181715437083513
CEBPB	HAMP	0.2482328715009956
CEBPB	FERMT3	0.3059420223051106
CEBPB	ARHGAP9	0.4642278906414985
CEBPB	PGCP	0.21162547838799384
CEBPB	PIGT	0.2489071551414268
CEBPB	SIGLEC9	0.5031094654327974
CEBPB	ZNF250	0.2432486686329396
CEBPB	RPLP1	0.23853288855339994
CEBPB	C13orf23	0.193382195370833
CEBPB	NCAPG2	0.1866142449049022
CEBPB	ODF3L1	0.2155433800756219
CEBPB	SNX10	0.1976530330300168
CEBPB	CTCF	0.3071960291536646
CEBPB	FAM115A	0.2885467165221547
CEBPB	ARHGAP4	0.3792311809215203
CEBPB	MECP2	0.19870320715500078
CEBPB	NIPBL	0.19785637918910304
CEBPB	MED13	0.2064752795362157
CEBPB	B3GALT1	0.20670456705297902
CEBPB	TSPO	0.325975618087587
CEBPB	DLGAP1	0.2182418142490885
CEBPB	SH3BGRL3	0.5463124625210494
CEBPB	ZNF487	0.2206832464898163
CEBPB	HLA-DPA1	0.1993295278832674
CEBPB	RAG1AP1	0.2824566682704548
CEBPB	ELOVL1	0.2758490603850756
CEBPB	MYBPC2	0.23915349896492533
CEBPB	KCND2	0.26848032726729176
CEBPB	RIPK3	0.2717862383523295
CEBPB	GSTO1	0.3694831185007015
CEBPB	C13orf33	0.26629903353531414
CEBPB	LRRC49	0.19275936312554798
CEBPB	TMC8	0.22401477318164176
CEBPB	EMP3	0.4417504300054933
CEBPB	JOSD2	0.2915644220233462
CEBPB	SLC39A14	0.4668582178171574
CEBPB	VAMP8	0.21456405148390267
CEBPB	SLC7A7	0.23723944373310513
CEBPB	RILPL2	0.24735237739268712
CEBPB	OAF	0.2540705114259856
CEBPB	DPYD	0.35688117361450544
CEBPB	MMP19	0.23435866216304202
