Regulator	Target	MI
CEBPB	SPI1	0.18636050863914555
CEBPB	ZFYVE9	0.18908733073139583
CEBPB	C4BPB	0.20262251255988772
CEBPB	SUV420H1	0.22915455784900463
CEBPB	ZFYVE28	0.20857738716871488
CEBPB	FAM134B	0.20234485158671145
CEBPB	LOC134466	0.26498620836439457
CEBPB	ZC3H12C	0.22019902619945508
CEBPB	DPYSL4	0.19372868201020932
CEBPB	CKMT1B	0.28123791848114355
CEBPB	VSTM1	0.47232206826102097
CEBPB	PRKACA	0.3793790583732122
CEBPB	LOC168474	0.20059325264306427
CEBPB	LOC441294	0.2020660439799027
CEBPB	TSTD2	0.20154739290659673
CEBPB	HDGFRP3	0.267135092380002
CEBPB	RFX3	0.2986685352415748
CEBPB	FRS2	0.2027278095592786
CEBPB	RNASE4	0.28152496656853643
CEBPB	CACNA2D4	0.34803346562045157
CEBPB	RNASE2	0.40849595206338396
CEBPB	EML2	0.21014785867019992
CEBPB	LOC493754	0.23776732397235367
CEBPB	LRRC37B	0.20200879350685685
CEBPB	FAM157A	0.19534824023184605
CEBPB	SPINT1	0.26158084128478265
CEBPB	ETHE1	0.21518651510842002
CEBPB	MYL9	0.19376788847059423
CEBPB	ATF3	0.19141762869814816
CEBPB	IDO1	0.24334785616399213
CEBPB	ZNF276	0.19050560903038516
CEBPB	SFRS17A	0.268861174678503
CEBPB	AGAP2	0.20679600690726474
CEBPB	MTMR9	0.30262655647132153
CEBPB	PLA2G5	0.2108556487282156
CEBPB	GIGYF2	0.2334260700046631
CEBPB	ADAMTS16	0.23300445340367215
CEBPB	LOC729467	0.22278529002995384
CEBPB	KCNMB2	0.23210008303852536
CEBPB	SFN	0.4016864192306402
CEBPB	RHBDL2	0.25906754327718584
CEBPB	EDEM3	0.3175602363382035
CEBPB	GSTM4	0.19018498917497073
CEBPB	BTBD17	0.2019889002387556
CEBPB	CADM2	0.325423963148757
CEBPB	TIPARP	0.4336544319967608
CEBPB	FUCA1	0.18908701981090736
CEBPB	APCDD1L	0.3516623648310704
CEBPB	EDEM2	0.320892585682361
CEBPB	BTBD10	0.2279151714240477
CEBPB	CP	0.39229126508151424
CEBPB	PBX1	0.2578974141830015
CEBPB	ALS2CR12	0.20479096606146374
CEBPB	FASN	0.26735136677366267
CEBPB	ZNF30	0.20755691694121836
CEBPB	DLX6AS	0.23258573168846208
CEBPB	PSMG4	0.22060449360369905
CEBPB	FAT3	0.24270368758183736
CEBPB	FXYD5	0.22220326079444686
CEBPB	HAMP	0.34647571964321244
CEBPB	HLA-DRB1	0.2022978713400887
CEBPB	FERMT3	0.32045017537480014
CEBPB	PIGT	0.21534554267056372
CEBPB	SIGLEC9	0.20636299626005794
CEBPB	ZNF493	0.19032535204016732
CEBPB	MTMR11	0.1993438474303959
CEBPB	ZNF491	0.21669143298516946
CEBPB	HEXB	0.29389570593958325
CEBPB	C13orf23	0.24368818201806786
CEBPB	HEXA	0.22737637010655565
CEBPB	MRPL39	0.20612028102306912
CEBPB	TMEM51	0.23571494686180738
CEBPB	EFCAB5	0.1870671435713911
CEBPB	CTCF	0.22262951307763768
CEBPB	EFCAB7	0.19587658761585214
CEBPB	FAM115A	0.2377823466866129
CEBPB	SHD	0.2553988364240132
CEBPB	GGTLC2	0.19531374188975015
CEBPB	SMPD3	0.22627907573874673
CEBPB	TUBA1C	0.30407059446508367
CEBPB	TMEM49	0.3413133941556863
CEBPB	ZNF41	0.1952208047315782
CEBPB	TSPO	0.3053007493244797
CEBPB	NEFM	0.20464050968563363
CEBPB	SH3BGRL3	0.40781471940001524
CEBPB	HLA-DPA1	0.1897962207888586
CEBPB	DFFB	0.21171434194769567
CEBPB	GPR39	0.1876516635102874
CEBPB	METRN	0.23345671260711054
CEBPB	SPHK1	0.21673961481558468
CEBPB	EMP3	0.20831309513307517
CEBPB	FOS	0.3425946753490843
CEBPB	JOSD2	0.18735376198762843
CEBPB	MANEAL	0.2532114059134658
CEBPB	BAZ1B	0.22267474432681045
CEBPB	SLC39A14	0.20770366037407317
CEBPB	PGM2L1	0.2784369238625928
CEBPB	SUMF1	0.2855877610405555
CEBPB	VAMP8	0.21137217434763755
CEBPB	PIGB	0.19376788847059423
CEBPB	TMEM37	0.23917441078220936
CEBPB	SLC7A6	0.21008336132158512
CEBPB	MED24	0.2419422329134937
CEBPB	RILPL2	0.3123667508009591
CEBPB	INCENP	0.20342212162212814
CEBPB	OAF	0.3367157703699375
CEBPB	DPYD	0.34903235994061976
CEBPB	TMEM35	0.2439566741133472
CEBPB	MMP19	0.2225298202355681
CEBPB	VN1R2	0.18678996650845026
CEBPB	ERGIC2	0.19089597637685962
CEBPB	VAMP5	0.34618496776678054
CEBPB	PAFAH1B1	0.20902234859664315
CEBPB	CRB1	0.2587264360469135
CEBPB	GPR45	0.2092804499763048
CEBPB	KCNA2	0.3838311046741856
CEBPB	KIAA0087	0.2528066025882749
CEBPB	NEURL1B	0.21082484755235242
CEBPB	HLA-DMA	0.2068638871998667
CEBPB	SRPX2	0.20028044080198182
CEBPB	PLAGL1	0.23004017280093603
CEBPB	AP2S1	0.18704917151545786
CEBPB	MICALL2	0.23300869319172346
CEBPB	CSMD1	0.25035895677484366
CEBPB	C7orf36	0.18643496328676612
CEBPB	LOC285419	0.19181880073135193
CEBPB	ATAD5	0.3031150082730294
CEBPB	GK	0.21536681154334225
CEBPB	GOLM1	0.1932218572726878
CEBPB	KCNB1	0.19114914907601843
CEBPB	PKM2	0.25758393263782065
CEBPB	C10orf2	0.19468484835486155
CEBPB	EMR2	0.3153091244471229
CEBPB	PLXDC2	0.2251717667232871
CEBPB	CENPE	0.20899196238556694
CEBPB	TMEM59	0.19970094266164473
CEBPB	CENPH	0.22467848385912248
CEBPB	FABP5	0.21085859854001043
CEBPB	MYBBP1A	0.22915419641329926
CEBPB	CENPJ	0.3003437879618245
CEBPB	HLA-DPB1	0.25096553764819696
CEBPB	UBAP2	0.3363893909072395
CEBPB	YPEL5	0.19929346721744512
CEBPB	SIGLEC7	0.21609945916264994
CEBPB	ZNF697	0.19127833043773013
CEBPB	RIF1	0.36885523965324474
CEBPB	NCF4	0.2908742942979119
CEBPB	CASC5	0.2214793702167137
CEBPB	GPR61	0.1946018623599599
CEBPB	CASC3	0.3548792666230165
CEBPB	MSI2	0.20545296945165603
CEBPB	CXCL14	0.27354155720242357
CEBPB	SAT1	0.6191410370283617
CEBPB	ERO1L	0.36562370324822524
CEBPB	IBSP	0.2653941454082913
CEBPB	UROD	0.1868775853928959
CEBPB	PIM1	0.21200224278408442
CEBPB	FBRSL1	0.20633443638949256
CEBPB	MAP3K8	0.33043445711888975
CEBPB	PIM3	0.3431286577617767
CEBPB	KPNA5	0.22346408022898778
CEBPB	ZNF445	0.23654339040029893
CEBPB	SLC25A44	0.27866865967891297
CEBPB	ZNF202	0.24041824917070898
CEBPB	ZNF681	0.19737642549363432
CEBPB	CNPY1	0.19201630853028462
CEBPB	TPST1	0.19259930543719594
CEBPB	ACAP1	0.2608265957301015
CEBPB	DMTF1	0.21886777008738623
CEBPB	MAPKAPK3	0.2226573742146165
CEBPB	MSH2	0.2010956624917748
CEBPB	S100A4	0.20706387686845318
CEBPB	ZNF678	0.1891016833766228
CEBPB	IL6ST	0.23144356078017214
CEBPB	S100A9	0.3056620212755101
CEBPB	ANAPC1	0.20013947309108726
CEBPB	S100A8	0.20928432074967063
CEBPB	ZNF432	0.19616331306779333
CEBPB	FTL	0.2565932430029969
CEBPB	LRRC58	0.2582916492900429
CEBPB	GRIA2	0.21827236239724623
CEBPB	IREB2	0.20548669130121144
CEBPB	ARL1	0.20361530261489147
CEBPB	LY96	0.20177427836793438
CEBPB	UAP1	0.28126771950120855
CEBPB	TNFRSF11A	0.20567869420071716
CEBPB	CYP19A1	0.2634323671062839
CEBPB	FBXO41	0.26650451476646175
CEBPB	NPAS2	0.22090005125252077
CEBPB	RAP1GAP	0.1942132389475022
CEBPB	SOCS1	0.21413988367904668
CEBPB	DSEL	0.24037806313380639
CEBPB	PMVK	0.20110712746141157
CEBPB	PGK1	0.2957140258009918
CEBPB	C9orf89	0.21847661366230575
CEBPB	ZKSCAN2	0.2393340414873535
CEBPB	ZKSCAN5	0.23130621085674274
CEBPB	ZNF425	0.2974192640774316
CEBPB	ZNF423	0.2412516304759631
CEBPB	ZNF664	0.18936723789916776
CEBPB	MDN1	0.3420818972576294
CEBPB	SLC38A4	0.22627681006885592
CEBPB	ZNF662	0.25478474196866685
