Regulator	Target	MI
CEBPB	SPI1	0.33901187250713427
CEBPB	POP1	0.19524491555571988
CEBPB	GMFG	0.24078290238540667
CEBPB	SPINT2	0.2234026542745573
CEBPB	ACCS	0.252491703691609
CEBPB	F11R	0.2359493254641869
CEBPB	ZC3H12D	0.20149168302328846
CEBPB	COMTD1	0.32845122652641656
CEBPB	DPYSL5	0.28750200726884234
CEBPB	GPBP1	0.18732050629890473
CEBPB	C3AR1	0.24131521457712246
CEBPB	TSTD2	0.18782858495241594
CEBPB	FRS2	0.25119394047528587
CEBPB	CACNA2D4	0.24880609809189025
CEBPB	CD2AP	0.4167440917829275
CEBPB	CH25H	0.30679658892270023
CEBPB	SPINT1	0.3757824107403396
CEBPB	KIAA0247	0.2612110857515937
CEBPB	PLBD1	0.20810972784151893
CEBPB	SLBP	0.1947287338726058
CEBPB	COL13A1	0.22026504646664158
CEBPB	BAZ2A	0.22667708830465028
CEBPB	BAZ2B	0.39075525086947227
CEBPB	ZNF24	0.19655260768304483
CEBPB	DEDD2	0.3140065189155088
CEBPB	EPB41L5	0.45765970333646777
CEBPB	ADAMTS14	0.36534163939038855
CEBPB	RNF214	0.2272977316195579
CEBPB	SCGB1D2	0.22198398299688016
CEBPB	RDH10	0.26523142515965237
CEBPB	EPB41L3	0.18933201273152367
CEBPB	RNF217	0.20335772403538677
CEBPB	SFN	0.303541808688796
CEBPB	HEXIM2	0.24351091191597618
CEBPB	GSTM2	0.1919895235805269
CEBPB	HLA-DRB5	0.2702398524309837
CEBPB	BTBD17	0.2902263052624541
CEBPB	TSLP	0.19725823918671725
CEBPB	EIF2AK1	0.2261209939450204
CEBPB	FUCA1	0.2421260998601822
CEBPB	FUCA2	0.20053828738164992
CEBPB	LARP6	0.2271647093902125
CEBPB	PBX1	0.2438474973481286
CEBPB	LOC606724	0.33911137195391294
CEBPB	TREML1	0.31737413830021843
CEBPB	VANGL2	0.2739093691236496
CEBPB	FASN	0.19984180729941148
CEBPB	TREML3	0.27027252381806743
CEBPB	TREML2	0.24383799807722184
CEBPB	ZNF30	0.21185043745468324
CEBPB	SFXN4	0.2181171954885741
CEBPB	FAT3	0.2965686047074483
CEBPB	FXYD5	0.38775358066852306
CEBPB	DZIP1	0.2512451392480086
CEBPB	HLA-DRB1	0.2657001752177859
CEBPB	LGMN	0.3004053139085334
CEBPB	ARHGAP9	0.5540303584697766
CEBPB	PGCP	0.19395891147863953
CEBPB	SIGLEC9	0.45238690057073505
CEBPB	ZNF493	0.2626295873456881
CEBPB	CATSPER2P1	0.1925554146334374
CEBPB	MTMR11	0.200176266849188
CEBPB	KCNC3	0.23910767457149795
CEBPB	NCAPG2	0.24005516334536736
CEBPB	FAM115A	0.38155144722369005
CEBPB	ARHGAP4	0.28733265755052173
CEBPB	IL18BP	0.35994431565055063
CEBPB	PCMTD2	0.23350531095651395
CEBPB	SHE	0.24950297307997893
CEBPB	SMPD2	0.2025958403992698
CEBPB	MED13	0.2226212404294614
CEBPB	KIAA1147	0.29970380690912624
CEBPB	SMPD1	0.2657051355587612
CEBPB	ZNF41	0.2862840710675867
CEBPB	TSPO	0.3094151231924025
CEBPB	JAK2	0.2065143220195207
CEBPB	ENOPH1	0.23142245442013287
CEBPB	JAK3	0.19913290399004158
CEBPB	RAG1AP1	0.29204170982346245
CEBPB	ZNF483	0.18757245219648677
CEBPB	KCND2	0.24623771337842992
CEBPB	DUSP1	0.33805013190623523
CEBPB	GSTO1	0.32580000178611446
CEBPB	SPHK1	0.31121825763578315
CEBPB	SLC39A10	0.2076190636877211
CEBPB	JOSD2	0.2873644690983159
CEBPB	PHF20L1	0.2747247926047862
CEBPB	FAM113B	0.2554904707869783
CEBPB	SLC7A6	0.33590755511820003
CEBPB	SLC7A7	0.3393269696761312
CEBPB	MMP16	0.37328248993724866
CEBPB	INCENP	0.19213840318346698
CEBPB	OAF	0.29890968747581237
CEBPB	DPYD	0.24960116029471546
CEBPB	MMP19	0.25254485127488646
CEBPB	RAPGEF2	0.191707693070982
CEBPB	NUP62CL	0.19979025642779735
CEBPB	HCST	0.4205421810183285
CEBPB	PAFAH1B1	0.32698836537572884
CEBPB	ZNF474	0.25004008432845737
CEBPB	ECHS1	0.3550612864833145
CEBPB	ODC1	0.20484376600772958
CEBPB	SFRS13A	0.25478089775184287
CEBPB	SPP1	0.4344795586477037
CEBPB	MBD4	0.30160719805906133
CEBPB	MBD5	0.25442136967538254
CEBPB	C4orf3	0.20236240415321394
CEBPB	MBD2	0.23722953743010144
CEBPB	NUDT22	0.22744002110996764
CEBPB	CENPF	0.21158750118202718
CEBPB	TAOK3	0.23219521220373274
CEBPB	CENPI	0.20118703144275063
CEBPB	SHKBP1	0.3610019687911743
CEBPB	SNX15	0.18594182799514236
CEBPB	PRKRIR	0.277136213751926
CEBPB	TSR1	0.2240014469844347
CEBPB	CENPO	0.24390895284458392
CEBPB	NCAPD3	0.20953387266317858
CEBPB	SIGLEC7	0.41119015389501623
CEBPB	GZF1	0.2265285654761584
CEBPB	CASC5	0.27503155349345043
CEBPB	SLA	0.2830953235710494
CEBPB	CASC3	0.22492141489636985
CEBPB	FADS2	0.2937391719905813
CEBPB	LAPTM4A	0.19902425797151402
CEBPB	NRD1	0.18589132086578886
CEBPB	ADORA3	0.2863379021804464
CEBPB	TNFRSF8	0.21756869466008766
CEBPB	MAP3K8	0.40852869374904177
CEBPB	NUDT17	0.22339012791501478
CEBPB	LOC26102	0.20696621737043053
CEBPB	NEK3	0.2588415466831684
CEBPB	ZNF445	0.5078916076171005
CEBPB	MAP3K5	0.19805604468581528
CEBPB	ZNF441	0.2926252209272464
CEBPB	FBXW5	0.19464522675530382
CEBPB	FBXW8	0.3278658142699369
CEBPB	CNPY1	0.2240939848154886
CEBPB	FBXO11	0.23984832253735267
CEBPB	FBXW2	0.3078535946825456
CEBPB	MSH2	0.2003376464991069
CEBPB	MSH3	0.25768405229725033
CEBPB	SLC27A6	0.2990709148047248
CEBPB	ZNF434	0.31299052213936385
CEBPB	FTL	0.39394149727476435
CEBPB	ZNF431	0.2779303302987026
CEBPB	IREB2	0.23516449412377316
CEBPB	LY96	0.2136014133886066
CEBPB	UAP1	0.2821201552594852
CEBPB	PKMYT1	0.19550810515659922
CEBPB	CCDC144C	0.3625643411579613
CEBPB	IGSF21	0.21227357248700596
CEBPB	AMDHD2	0.22846616093331207
CEBPB	ZNF429	0.21154450907439593
CEBPB	SMYD2	0.2632873077186968
CEBPB	EIF4EBP3	0.23998650120037457
CEBPB	GRIA3	0.35752366647759537
CEBPB	ZNF420	0.2826972171619717
CEBPB	NEK4	0.2738529332792803
CEBPB	FUS	0.21813258568321015
CEBPB	HTR1D	0.22335964112397555
CEBPB	LY86	0.21277706446493116
CEBPB	ARPC4	0.24113820281224196
