Regulator	Target	MI
CEBPB	ATF2	0.34402362758621496
CEBPB	HCP5	0.22928645307976225
CEBPB	JRK	0.2582815996648238
CEBPB	SPI1	0.4603908150989593
CEBPB	POP1	0.21242273152009172
CEBPB	GMFG	0.5457573743560156
CEBPB	SPINT2	0.4363136051111729
CEBPB	ALKBH7	0.2660096185220855
CEBPB	F11R	0.226702045517726
CEBPB	ALKBH3	0.2066368397866638
CEBPB	NDST2	0.19777695166448428
CEBPB	ZC3H12D	0.2312411253521951
CEBPB	COMTD1	0.1918478479171366
CEBPB	HTR7	0.37421236312680417
CEBPB	CAPNS1	0.3327208211388104
CEBPB	AKT3	0.2418512327256508
CEBPB	GPBP1	0.18650278997693093
CEBPB	RAVER2	0.2675301205978533
CEBPB	ZC3H12A	0.5259671879238601
CEBPB	C3AR1	0.3472198548253944
CEBPB	MLYCD	0.23406113316337862
CEBPB	FAM19A5	0.20595133453490622
CEBPB	FAM19A4	0.20227966472951753
CEBPB	SDS	0.20715841497341803
CEBPB	TSTD1	0.21662515658614723
CEBPB	SECISBP2	0.2314267530178551
CEBPB	ZNF10	0.22666776694007051
CEBPB	CACNA2D4	0.4531261767636421
CEBPB	FAM158A	0.20874177663546778
CEBPB	SPINT1	0.38014139506379685
CEBPB	KIAA0247	0.2418980785268836
CEBPB	PLBD1	0.370087854082386
CEBPB	PLBD2	0.24625363456450877
CEBPB	CDCA3	0.2310915882514486
CEBPB	COL13A1	0.3223394426455348
CEBPB	CDCA7	0.192987323290156
CEBPB	BAZ2B	0.1950858435775249
CEBPB	DEDD2	0.2841555309953234
CEBPB	EPB41L5	0.415986123708044
CEBPB	ADAMTS14	0.21151000226603678
CEBPB	RNF214	0.22877885956462762
CEBPB	EPB41L3	0.2569738756735296
CEBPB	ATG7	0.37469222658085943
CEBPB	ATRIP	0.29989842853792936
CEBPB	HLA-DRB6	0.24909560388598706
CEBPB	BTBD17	0.31489308372656666
CEBPB	TSLP	0.20389430926340868
CEBPB	FUCA1	0.3969364342062791
CEBPB	IL31RA	0.280723020201747
CEBPB	BTBD11	0.30825479250969856
CEBPB	PBX1	0.2815603245292344
CEBPB	LOC606724	0.44720681582765565
CEBPB	FAM111B	0.22578306453504027
CEBPB	TREML1	0.263372829667575
CEBPB	PKIB	0.26191301928801014
CEBPB	FASN	0.33269637112670125
CEBPB	TREML3	0.2959704689691902
CEBPB	FXYD1	0.20713491849563592
CEBPB	TREML2	0.3504470875358532
CEBPB	FXYD6	0.373956610357288
CEBPB	FXYD5	0.3108830274690586
CEBPB	DZIP1	0.2189826357199749
CEBPB	HLA-DRB1	0.39685056991443357
CEBPB	ZNF498	0.3555547242146391
CEBPB	LGMN	0.2362014004686115
CEBPB	ARHGAP9	0.4938424436082789
CEBPB	SIGLEC9	0.6834336451248069
CEBPB	ZNF493	0.357624907963487
CEBPB	NCAPG2	0.3414937695885589
CEBPB	ZNF43	0.24944813831946178
CEBPB	ZNF48	0.1985369171285445
CEBPB	ARHGAP4	0.38892390122291953
CEBPB	IL18BP	0.3755289721406445
CEBPB	MECOM	0.2833051266326132
CEBPB	TSPO	0.26398334211911134
CEBPB	JAK3	0.3975423641746971
CEBPB	APC2	0.2103924288297616
CEBPB	RAG1AP1	0.36466181973506373
CEBPB	MAMDC4	0.23409030316713242
CEBPB	DUSP3	0.21925449234570316
CEBPB	MYBPC2	0.44051191386258814
CEBPB	DUSP1	0.4009364669128521
CEBPB	GSTO1	0.44969097916283207
CEBPB	SPHK1	0.23989452461956873
CEBPB	EPS15L1	0.21732855168744258
CEBPB	FOS	0.37570920627593196
CEBPB	JOSD2	0.23909336744833976
CEBPB	GMIP	0.24973544146686333
CEBPB	FAM113B	0.36518760027362873
CEBPB	SLC7A7	0.4463284583745315
CEBPB	MMP16	0.19637836056544788
CEBPB	SLC7A8	0.23952454354316544
CEBPB	OAF	0.2754599603600587
CEBPB	DPYD	0.3772600313931349
CEBPB	MMP19	0.21656544451075455
CEBPB	PPARG	0.3161623991381841
CEBPB	HCST	0.5090027887875701
CEBPB	LOC220930	0.2631898715805585
CEBPB	RAPGEF4	0.23428440937067307
CEBPB	CRB1	0.5115595154307124
CEBPB	ZNF473	0.18590566283404453
CEBPB	ODC1	0.2174983129535466
CEBPB	PTAFR	0.2291107561930632
CEBPB	ADAM22	0.20038226906100487
CEBPB	KCNA5	0.3086161952815951
CEBPB	SNX32	0.22246683358332042
CEBPB	ADAM28	0.2473811361207261
CEBPB	LOC643763	0.36244715277561657
CEBPB	SPP1	0.2961418925326047
CEBPB	IL12RB1	0.31179790150857656
CEBPB	ZNF467	0.21606383704096999
CEBPB	SAMD3	0.19437615919493645
CEBPB	MBD4	0.28776449171093255
CEBPB	ATAD5	0.1865336556151247
CEBPB	C4orf3	0.23566104592032655
CEBPB	PKM2	0.3293631057644406
CEBPB	C10orf2	0.21404649739889337
CEBPB	ATAD2	0.22502972067289306
CEBPB	SNX22	0.18723568174211014
CEBPB	SNX20	0.2512524521247439
CEBPB	DCBLD2	0.19849866905747326
CEBPB	CENPE	0.23718949370691966
CEBPB	COL3A1	0.307632264662308
CEBPB	MYBBP1A	0.21499808646746388
CEBPB	YPEL1	0.33411143519429487
CEBPB	TSR1	0.2911854334553423
CEBPB	AGRP	0.35802311470340076
CEBPB	MITD1	0.20969060442997378
CEBPB	CENPO	0.23022512556721342
CEBPB	NCAPD3	0.23570088376406506
CEBPB	CRLF3	0.23093121007402573
CEBPB	SIGLEC8	0.33180075345831916
CEBPB	YPEL5	0.30253288427303726
CEBPB	SIGLEC7	0.3984377741512377
CEBPB	ZNF454	0.18901420181724848
CEBPB	OLFML2B	0.2494425102306126
CEBPB	SLA	0.35674203169075813
CEBPB	CASC3	0.45441136068556354
CEBPB	LAPTM4B	0.29779456300098417
CEBPB	NUDT10	0.1908257475297317
CEBPB	ADORA3	0.4683800878111226
CEBPB	LGTN	0.2566416142246979
CEBPB	CEP250	0.2244655695520814
CEBPB	NUDT18	0.2221622854187988
CEBPB	TNFRSF8	0.26296929633509425
CEBPB	CIR1	0.20016735641353556
CEBPB	MAP3K8	0.624117243685153
CEBPB	MAP3K9	0.29849095853043295
CEBPB	MAP3K6	0.2134793165333546
CEBPB	ZNF445	0.22225689346647215
CEBPB	FBXW5	0.2626041699959947
CEBPB	KCNH7	0.2761515395135401
CEBPB	CTNNBIP1	0.30767179310526505
CEBPB	CNPY3	0.4415819565929846
CEBPB	CASD1	0.2823268778648007
CEBPB	TC2N	0.1900138997665497
CEBPB	FBXO11	0.20344607433149697
CEBPB	CDC25A	0.20717354563933643
CEBPB	NAAA	0.3064759375142554
CEBPB	PTPRCAP	0.21483983307883392
CEBPB	ZNF434	0.2740147390912755
CEBPB	FTL	0.36623415822818295
