Regulator	Target	MI
CEBPB	MDC1	0.22632673061148978
CEBPB	JRK	0.22972067707380184
CEBPB	NUP107	0.21938382710693372
CEBPB	EHMT2	0.18973555595130076
CEBPB	EHMT1	0.21127058133239096
CEBPB	F11R	0.2440410008847591
CEBPB	ALKBH6	0.2025469308658865
CEBPB	SCAMP5	0.20954232044632803
CEBPB	DPYSL5	0.3041162556126631
CEBPB	LRAT	0.21430559934640403
CEBPB	GBP5	0.24671402404450493
CEBPB	DHDH	0.260343516950555
CEBPB	RNASE6	0.19749978861843598
CEBPB	HDGFRP3	0.23942038373725527
CEBPB	BHLHA15	0.23719552410016576
CEBPB	CACNA2D4	0.2667380263627823
CEBPB	RNASE3	0.40419263558764396
CEBPB	RNASE2	0.28614142839619117
CEBPB	LRRC37B	0.2094840390465862
CEBPB	CLDN4	0.21830044233110346
CEBPB	SPINT1	0.2686186875005676
CEBPB	ETHE1	0.1915340618369834
CEBPB	RUFY3	0.2158492336225466
CEBPB	CLDN7	0.19127562361502282
CEBPB	MYL9	0.35631563166154123
CEBPB	ATF3	0.261246270088372
CEBPB	LOC550643	0.3881758266673794
CEBPB	PLA2G6	0.24135239714575007
CEBPB	MRPL13	0.1983430191279778
CEBPB	ZNF25	0.23277638693810232
CEBPB	HSD11B2	0.19528958746166758
CEBPB	RDH10	0.4634669961020439
CEBPB	KCNE1L	0.2503541480973306
CEBPB	CADM2	0.23218314624570802
CEBPB	LOC642852	0.1888841004720767
CEBPB	CP	0.40635675640908353
CEBPB	MRPL24	0.19025239002062655
CEBPB	PBX1	0.24852885721661622
CEBPB	MLLT10	0.3364366626777562
CEBPB	VANGL2	0.3596931351647328
CEBPB	TREML3	0.2680642002937885
CEBPB	FAT3	0.22639705613073602
CEBPB	PSMG1	0.23717258833458388
CEBPB	FXYD5	0.3085463493795588
CEBPB	HLA-DRB1	0.1972529941689105
CEBPB	ZNF498	0.2404440932137879
CEBPB	FERMT3	0.2850666365173202
CEBPB	ARHGAP9	0.2827357194319928
CEBPB	GPR27	0.20356591373662258
CEBPB	ZNF493	0.1960831781011736
CEBPB	LOC388588	0.18867257091026524
CEBPB	TMEM51	0.2408057785609019
CEBPB	ZNF43	0.21911886847318574
CEBPB	SNX10	0.19069230599379594
CEBPB	HOXC10	0.30006483434376374
CEBPB	ZNF41	0.21534473579189584
CEBPB	TSPO	0.35760198933962517
CEBPB	SH3BGRL3	0.47488905666490755
CEBPB	IKBKE	0.1967238448735813
CEBPB	SULT1C4	0.20708690608921554
CEBPB	LRRC47	0.26980413934894365
CEBPB	RAG1AP1	0.2751173734542167
CEBPB	ARG2	0.19248577008661982
CEBPB	NSUN6	0.2815452537096155
CEBPB	EMP3	0.286108448478803
CEBPB	JOSD2	0.26253585384094524
CEBPB	SLC39A14	0.2986591293991969
CEBPB	SUMF1	0.24336174208895311
CEBPB	VAMP8	0.23350313679759882
CEBPB	TMEM37	0.2136419460022596
CEBPB	RILPL2	0.22635254046040743
CEBPB	DPYD	0.31556506876043855
CEBPB	C13orf26	0.19338030606086853
CEBPB	HCST	0.240416547145883
CEBPB	VAMP5	0.32607303982922886
CEBPB	PAFAH1B2	0.25853477300564176
CEBPB	PAFAH1B1	0.2243248507011355
CEBPB	ZNF471	0.23794626954008624
CEBPB	COL11A1	0.18935283102011802
CEBPB	COL11A2	0.22057871450857203
CEBPB	KCNA2	0.33057439518291787
CEBPB	KIAA0087	0.363929791070257
CEBPB	ZNF518A	0.30363018956813015
CEBPB	TMEM74	0.1896861012720965
CEBPB	SLC7A1	0.19104279735183383
CEBPB	BTAF1	0.18787745765453945
CEBPB	SPP1	0.2585093537862413
CEBPB	STX4	0.19633029612293473
CEBPB	ZNF225	0.22303392042488923
CEBPB	CSMD1	0.24501906139470098
CEBPB	PMS1	0.2094357749432474
CEBPB	RPL23AP64	0.1971343438971429
CEBPB	LRRC25	0.19805483995228634
CEBPB	LOC285419	0.22308446343914667
CEBPB	ATAD5	0.18944746119238065
CEBPB	PKM2	0.20095872448851892
CEBPB	JHDM1D	0.2011703726723031
CEBPB	BMP8A	0.1904061690940262
CEBPB	SNX20	0.23600920644776657
CEBPB	STXBP5L	0.2823935759411409
CEBPB	TARBP1	0.19225793742561148
CEBPB	NUDT22	0.26135960506000977
CEBPB	CENPI	0.22237685722523715
CEBPB	HLA-DPB1	0.2337475584395241
CEBPB	UBAP2	0.2608418436240605
CEBPB	ZNF699	0.22128081144291745
CEBPB	SIGLEC7	0.2449254015496063
CEBPB	GPR62	0.22000535709534397
CEBPB	LAPTM4B	0.18986315664686249
CEBPB	EFEMP2	0.24564424449823008
CEBPB	KIAA1984	0.2120091531306567
CEBPB	POTEE	0.20354586219649118
CEBPB	MAP3K8	0.2559681035282262
CEBPB	ZBTB39	0.19614017868998612
CEBPB	CPA1	0.2118875262928599
CEBPB	CISH	0.2179525611542461
CEBPB	S100A2	0.19692316157108802
CEBPB	ZBTB33	0.2712131029743601
CEBPB	TC2N	0.20159719735954784
CEBPB	FTSJ1	0.21663354630438914
CEBPB	ACAP1	0.2262680260101808
CEBPB	FRMD8	0.19155361911682345
CEBPB	SMS	0.2121680859320243
CEBPB	S100A9	0.36722792843023644
CEBPB	SQSTM1	0.21985256645417284
CEBPB	ANAPC1	0.2239675877765297
CEBPB	DSC2	0.1864817634092777
CEBPB	FTO	0.19724628227323038
CEBPB	GRIA2	0.21177175646896895
CEBPB	IREB2	0.21780269223105986
CEBPB	LY96	0.19751856327497563
CEBPB	UAP1	0.2752372045592395
CEBPB	GPR84	0.20487206036827565
CEBPB	CYP19A1	0.27032856557622775
CEBPB	RAP1B	0.18829103521767188
CEBPB	STK31	0.23029038069884677
CEBPB	ATXN3	0.19949663974874898
CEBPB	CCDC144B	0.25694544602137714
CEBPB	SOCS3	0.44389816135528815
CEBPB	SOCS1	0.3726696191658272
CEBPB	ZNF428	0.1879589466168472
CEBPB	EIF4EBP1	0.4295234730014714
CEBPB	C9orf89	0.35356069906291854
CEBPB	NAE1	0.2873104423156656
CEBPB	GRIA3	0.27519597734301815
CEBPB	CPA4	0.257335772791218
CEBPB	GPR98	0.24804772697872224
CEBPB	B3GALT6	0.24731781984248613
CEBPB	HPS6	0.3349184654080606
