Regulator	Target	MI
CEBPB	SPI1	0.3641375234666935
CEBPB	GMFG	0.35661476272547254
CEBPB	C4BPB	0.2821454203956302
CEBPB	F11R	0.2019476342911002
CEBPB	TSKU	0.19156177756427084
CEBPB	IL4I1	0.3376527425783076
CEBPB	LACTB	0.21466861246659974
CEBPB	TBK1	0.18891545397809129
CEBPB	FGFR1OP2	0.3484417211847681
CEBPB	GPBP1	0.19496629971146273
CEBPB	C3AR1	0.3287376158966886
CEBPB	HIST3H2BB	0.2106513653810751
CEBPB	PKNOX2	0.2993845746375525
CEBPB	SAMD11	0.21754024825379137
CEBPB	HES7	0.22339970824967637
CEBPB	GSTK1	0.2765793246184609
CEBPB	RNASE6	0.2349912832766501
CEBPB	HDGFRP3	0.2599767403531583
CEBPB	CACNA2D4	0.3545981136534495
CEBPB	RNASE3	0.2714058030444839
CEBPB	PDYN	0.18645343052333985
CEBPB	RNASE2	0.5801740034261371
CEBPB	SCAMP1	0.19716591816340046
CEBPB	EML2	0.23058856001016004
CEBPB	LRRC37B	0.2638169734571765
CEBPB	EML3	0.3048843147037461
CEBPB	MAPKSP1	0.2067269906294973
CEBPB	CH25H	0.3088063252851132
CEBPB	SPINT1	0.3988452949097505
CEBPB	ETHE1	0.2674583672919768
CEBPB	CLDN7	0.2477366102704046
CEBPB	PSME1	0.2997819965021167
CEBPB	RBCK1	0.2275898902516822
CEBPB	ATF3	0.20949269961712336
CEBPB	LYPD1	0.194978817039142
CEBPB	PDGFB	0.22389068955880997
CEBPB	COPS7B	0.25408340284297104
CEBPB	FPR3	0.23346678596015646
CEBPB	FPR2	0.35218396474911984
CEBPB	GABARAP	0.23284102907686144
CEBPB	ZNF26	0.2795976398611284
CEBPB	ADAMTS16	0.23579866595118393
CEBPB	SCGB1D2	0.37096310384677444
CEBPB	PRKAR2A	0.20364564015155295
CEBPB	LYN	0.19461771871868283
CEBPB	GSTM2	0.23675382605974882
CEBPB	PRPF38A	0.27051261366447843
CEBPB	ABCA6	0.1895968121074061
CEBPB	ZNF260	0.21040313486500573
CEBPB	APCDD1L	0.2587154271521319
CEBPB	EDEM2	0.4324936157395811
CEBPB	FUCA2	0.4187478278274064
CEBPB	LOC285696	0.19206682771104688
CEBPB	LYZ	0.3515027374993993
CEBPB	CP	0.3016662779995025
CEBPB	PBX1	0.22600390436643014
CEBPB	LOC606724	0.26172949383959043
CEBPB	TREML1	0.3003975482862389
CEBPB	VANGL2	0.25568585842620184
CEBPB	TREML2	0.21146059016036478
CEBPB	PSMG4	0.18785327028671528
CEBPB	FXYD6	0.3487265473399539
CEBPB	FXYD5	0.38935952739327195
CEBPB	HAMP	0.26433363297764156
CEBPB	GPR18	0.19141932699143194
CEBPB	HLA-DRB1	0.2509619671265817
CEBPB	EFCAB4A	0.20106241003164715
CEBPB	FERMT3	0.40881561180223347
CEBPB	LGMN	0.4506119947001306
CEBPB	ARHGAP9	0.3430013022000189
CEBPB	ZNF254	0.2108191051064363
CEBPB	ZNF496	0.27680563428801097
CEBPB	PIGT	0.194323847566368
CEBPB	SIGLEC9	0.456190178877403
CEBPB	STAG3L2	0.19604799886725566
CEBPB	ZNF493	0.44701538004785046
CEBPB	HEXB	0.21167766911005792
CEBPB	HEXA	0.2607483416838088
CEBPB	LOC92973	0.20850925635044337
CEBPB	TMEM51	0.3363429750928324
CEBPB	CTCF	0.2406723659462804
CEBPB	FRG2C	0.21965876726592803
CEBPB	LRRC33	0.3344073740466902
CEBPB	ARHGAP4	0.3340381435361435
CEBPB	MED12	0.3027071261915193
CEBPB	SMPD1	0.25501995592415305
CEBPB	ZNF41	0.1869597088809556
CEBPB	DLGAP1	0.2080639149531871
CEBPB	SH3BGRL3	0.26038854097058994
CEBPB	C13orf16	0.19547044545517256
CEBPB	IKBKE	0.3271719590880622
CEBPB	HLA-DPA1	0.30577826326932644
CEBPB	SULT1C4	0.2575205862633325
CEBPB	RIPK3	0.2647077766974917
CEBPB	DUSP1	0.28123787670041267
CEBPB	SPHK1	0.2007911733313179
CEBPB	MRPL49	0.1992529217379051
CEBPB	FOS	0.5220937090753548
CEBPB	VAMP8	0.2974217655418059
CEBPB	PIGB	0.2731398765715083
CEBPB	TMEM37	0.24705847390047353
CEBPB	FAM113B	0.19446257898963637
CEBPB	MMP14	0.3796940111821572
CEBPB	MED24	0.20081912010801073
CEBPB	SLC7A7	0.23598229790097047
CEBPB	RILPL2	0.5636429761544086
CEBPB	MED21	0.253036743748809
CEBPB	PXDN	0.22078292526209964
CEBPB	HCST	0.27829076204527947
CEBPB	VAMP5	0.18938477162045686
CEBPB	TMEM106A	0.250915290647983
CEBPB	FLJ43390	0.22397600687800967
CEBPB	TRUB1	0.2005830929844894
CEBPB	KANK1	0.19896148746831788
CEBPB	CLECL1	0.21820025198653603
