Regulator	Target	MI
CEBPB	SPI1	0.48390071035593074
CEBPB	POP1	0.20721477131948074
CEBPB	GMFG	0.2570712675321083
CEBPB	SPINT2	0.23373145970938047
CEBPB	SLA2	0.30702423996433836
CEBPB	NDST1	0.2348403470963767
CEBPB	COMTD1	0.2602440290526795
CEBPB	C14orf72	0.21061759136085723
CEBPB	ZC3H12B	0.2255251427000209
CEBPB	GTSE1	0.27594387297465417
CEBPB	FTHL3	0.2458569636275847
CEBPB	GSTK1	0.2523490354539444
CEBPB	SDS	0.2065604741746263
CEBPB	HDGFRP3	0.19281711909817112
CEBPB	FRS2	0.22818796512231376
CEBPB	CACNA2D4	0.3370393100136777
CEBPB	CH25H	0.2363721549590192
CEBPB	SPINT1	0.20427131922014397
CEBPB	DDIT4	0.2094250760698344
CEBPB	C14orf80	0.21373953346749008
CEBPB	LOC349196	0.19598746589718452
CEBPB	ATF5	0.2352835633248258
CEBPB	SKAP1	0.24548351447151529
CEBPB	LOC550643	0.18752808942111177
CEBPB	TARSL2	0.20555179710248694
CEBPB	CDCA5	0.2722491889442642
CEBPB	CDCA7	0.307872072390877
CEBPB	DEDD2	0.22115168591728818
CEBPB	LOH12CR1	0.19708409284104889
CEBPB	EPB41L5	0.23079795880470133
CEBPB	RDH14	0.19563639492853113
CEBPB	ATG7	0.21604886193655037
CEBPB	ATRIP	0.2099317530053968
CEBPB	BTBD19	0.21885313449539812
CEBPB	CREBBP	0.33115256425257034
CEBPB	PRPF38A	0.18978359036384695
CEBPB	BTBD18	0.2285752980560547
CEBPB	TIPARP	0.3583943810114496
CEBPB	LOC606724	0.38753061718430004
CEBPB	TREML1	0.22357792897849826
CEBPB	CILP	0.29185217741085
CEBPB	LOC653501	0.2340960439460691
CEBPB	FXYD5	0.2291785425949069
CEBPB	DZIP1	0.23637274407411013
CEBPB	PKIG	0.23340110910849532
CEBPB	HLA-DRB1	0.325613712864131
CEBPB	LGMN	0.21267170894481424
CEBPB	ARHGAP9	0.4083535261414921
CEBPB	SIGLEC9	0.3229389625366199
CEBPB	ZNF493	0.22472412317848267
CEBPB	MTMR14	0.23983883431547426
CEBPB	BHLHE41	0.24071633101010992
CEBPB	SNX10	0.2655932371061489
CEBPB	MED16	0.2554326221762828
CEBPB	ARHGAP6	0.19893287363739454
CEBPB	FAM115A	0.2695921801287291
CEBPB	ZNF48	0.27730579341823614
CEBPB	OSBPL10	0.19795375314944952
CEBPB	SMPD2	0.3785968026942692
CEBPB	CHAF1A	0.26963442978765606
CEBPB	MED10	0.22916461223811346
CEBPB	ZNF41	0.25424108073442486
CEBPB	TSPO	0.2765268740961204
CEBPB	NEFM	0.2628565925712989
CEBPB	DLGAP2	0.20952709408921244
CEBPB	JAK3	0.30606938378623294
CEBPB	DLGAP5	0.21670542765060663
CEBPB	RAG1AP1	0.22790416500346833
CEBPB	DUSP5	0.18601313460939206
CEBPB	DUSP1	0.3820459783559773
CEBPB	GSTO1	0.19932780307067333
CEBPB	SPHK1	0.30285225044204367
CEBPB	KIAA1143	0.18953604506276633
CEBPB	FOS	0.2436208771410424
CEBPB	JOSD2	0.3111215964605538
CEBPB	MED26	0.20347716062311427
CEBPB	MED23	0.2275674231093383
CEBPB	PHF20L1	0.1924255415131375
CEBPB	FAM113B	0.19827808443229866
CEBPB	SLC7A7	0.29550875393266285
CEBPB	INCENP	0.19894944469270293
CEBPB	PTRH1	0.22004499175268144
CEBPB	HCST	0.34288874286711835
CEBPB	LOC220930	0.2544609068412633
CEBPB	SPESP1	0.26423064705601274
CEBPB	WNT8B	0.2040198179398649
CEBPB	LOC643763	0.2269141591748305
CEBPB	SPP1	0.43097274237206395
CEBPB	MFN2	0.2075998884410062
CEBPB	ZNF469	0.19046214234944525
CEBPB	RIC3	0.19595526341389036
CEBPB	ZNF462	0.2832158790483108
CEBPB	MBD5	0.20700723253569375
CEBPB	ATAD5	0.26763959279409644
CEBPB	PKM2	0.2650179328013724
CEBPB	C10orf2	0.24947804362043335
CEBPB	ATAD2	0.29576894493021655
CEBPB	CENPF	0.21659363141741927
CEBPB	CENPH	0.22998485438266147
CEBPB	CENPI	0.19790442140995612
CEBPB	CENPJ	0.34045828445500614
CEBPB	PRKRIR	0.19372597068885788
CEBPB	YPEL1	0.2132596802775204
CEBPB	CENPO	0.287966322693082
CEBPB	NCAPD3	0.24355579731413535
CEBPB	SIGLEC7	0.5044913409762275
CEBPB	ZNF454	0.23751688238741409
CEBPB	C6orf1	0.20622850338962362
CEBPB	RIF1	0.198987513699028
CEBPB	NAB1	0.3103565123443879
CEBPB	CASC5	0.32692508150267674
CEBPB	PLOD3	0.22589525890241635
CEBPB	FADS3	0.2091262187694225
CEBPB	POFUT2	0.22252787000608087
CEBPB	EFEMP1	0.19456990785462924
CEBPB	ADORA3	0.3647915255233718
CEBPB	MAP3K8	0.43762201223973296
CEBPB	NEK2	0.2636007163543992
CEBPB	SCXB	0.19792945068054557
CEBPB	ZNF445	0.18988926687842422
CEBPB	ZCRB1	0.24936878937895912
CEBPB	CDC25C	0.19614257968711524
CEBPB	FBXO11	0.2721806265833191
CEBPB	CDC25A	0.27366200292354925
CEBPB	MSH6	0.18600460514644102
CEBPB	MSH2	0.30887523641263837
CEBPB	SLC27A6	0.2128787287470706
CEBPB	PTPRCAP	0.30851907643722587
CEBPB	PLA2R1	0.2088516920194028
CEBPB	ZNF434	0.20625893343466917
CEBPB	FTL	0.35572815526127055
CEBPB	DLX4	0.23698591384371426
CEBPB	DLX5	0.22301192199630115
CEBPB	LY96	0.3592196815029709
CEBPB	GSTT1	0.2136538112259485
CEBPB	FBXO46	0.19053218123631765
CEBPB	CORO1A	0.36939938721824106
CEBPB	NPAS1	0.2342180160514733
CEBPB	CCDC144A	0.1924667929701407
CEBPB	CCDC144C	0.18981912650821098
CEBPB	ZKSCAN2	0.2159247188210971
CEBPB	EIF4EBP3	0.43693817207258245
