Regulator	Target	MI
CEBPB	SPI1	0.3163031061938675
CEBPB	GMFG	0.25209061848148906
CEBPB	F11R	0.22203346735758966
CEBPB	ZC3H12D	0.2547367352014849
CEBPB	ZC3H12C	0.29243029085974115
CEBPB	KIAA1109	0.3228758055166505
CEBPB	CAPNS1	0.24797401420702414
CEBPB	DPYSL4	0.20293876441167225
CEBPB	AKT3	0.20341008511700842
CEBPB	ZC3H12A	0.5430299840812234
CEBPB	C3AR1	0.24941507318959477
CEBPB	PLEKHM1P	0.27891813719753156
CEBPB	WLS	0.23442702475171018
CEBPB	GSTK1	0.3029464030261
CEBPB	TSTD1	0.30241228928140274
CEBPB	RC3H1	0.25227331769346684
CEBPB	ZNF10	0.23076865576743888
CEBPB	FRS2	0.27757699048532913
CEBPB	CACNA2D4	0.486108320021569
CEBPB	SPINT1	0.32920897531670157
CEBPB	ORAI3	0.25649624992385256
CEBPB	PLBD1	0.31191818959265927
CEBPB	ATF5	0.43755496609932454
CEBPB	COL13A1	0.41111809673087585
CEBPB	CDCA5	0.1977459775411914
CEBPB	SHMT1	0.1956170880802537
CEBPB	EPB41L5	0.28267325263469445
CEBPB	RNF214	0.38094374457998015
CEBPB	ATG7	0.2564185978956415
CEBPB	GSTM4	0.20923867907006688
CEBPB	CREBBP	0.3151175484975912
CEBPB	JUN	0.2215482328070797
CEBPB	FUCA1	0.34190486949008214
CEBPB	LOC285456	0.2667053015825829
CEBPB	LOC606724	0.4250677152629283
CEBPB	NR2F6	0.2962036526955609
CEBPB	TREML1	0.34868694970220826
CEBPB	VANGL2	0.2138384700194731
CEBPB	ZNF30	0.19102380551558262
CEBPB	FXYD6	0.20695868161582975
CEBPB	FXYD5	0.32859377355470176
CEBPB	DZIP1	0.33811070975532775
CEBPB	DZIP3	0.18759667862794327
CEBPB	LGMN	0.26295222761887693
CEBPB	ARHGAP9	0.2017687997131974
CEBPB	LIN54	0.293048167758835
CEBPB	PGCP	0.3024730161173341
CEBPB	SIGLEC9	0.4039563357945486
CEBPB	ZNF493	0.3037713467059735
CEBPB	CSDAP1	0.34509653123153416
CEBPB	SNX10	0.19462713782570695
CEBPB	ZNF48	0.2631221771206764
CEBPB	MED12	0.2010790102966986
CEBPB	PCMTD2	0.26353175216244207
CEBPB	KIAA1147	0.2336134150732958
CEBPB	MTMR15	0.22398502540188758
CEBPB	TSPO	0.5179851669877396
CEBPB	NEFH	0.207942604888685
CEBPB	RAG1AP1	0.3259273632220845
CEBPB	CHST6	0.2245630038466997
CEBPB	KCND2	0.40349759745471836
CEBPB	GSTO1	0.2369400999388418
CEBPB	KIAA1143	0.2881760191854523
CEBPB	RAB3IL1	0.22233184204351097
CEBPB	JOSD2	0.2644299316400982
CEBPB	BAZ1B	0.21374035813284475
CEBPB	GMIP	0.24093047889427943
CEBPB	MED24	0.2913869637365005
CEBPB	SLC7A7	0.3374566402195418
CEBPB	OAF	0.4278288484246193
CEBPB	DPYD	0.37220163042928345
CEBPB	HCST	0.33455006679426
CEBPB	PAFAH1B3	0.20047236864590978
CEBPB	PAFAH1B1	0.19324770194311736
CEBPB	ZNF474	0.24807077148596512
CEBPB	LIN37	0.19964515470573296
CEBPB	ATL2	0.28458652526971484
CEBPB	KCNA2	0.30072460436775295
CEBPB	ODC1	0.23647053400257523
CEBPB	PTAFR	0.2384115214345499
CEBPB	SLC7A1	0.21331752473468146
CEBPB	WRN	0.22536122151587
CEBPB	SPP1	0.24105708953613902
CEBPB	ZSWIM5	0.19465823847957875
CEBPB	CASP8AP2	0.255790154482578
CEBPB	MBD4	0.33680056101002087
CEBPB	CENPV	0.21014276085262207
CEBPB	DAB2IP	0.1927155179694049
CEBPB	SNX20	0.19601371980382787
CEBPB	CENPF	0.2397341017281427
CEBPB	TAOK3	0.2628999269519934
CEBPB	ETNK2	0.2716588927947914
CEBPB	CENPK	0.1866321783264402
CEBPB	TTC30A	0.24275485105662042
CEBPB	TSR1	0.19031031748712568
CEBPB	SIGLEC7	0.3344505593922271
CEBPB	SLA	0.31982633107244585
CEBPB	CASC3	0.2156470057647235
CEBPB	ADORA3	0.23037020038132727
CEBPB	LGTN	0.25332381006806415
CEBPB	NFATC2IP	0.2332958882232452
CEBPB	CEP250	0.2540992269357716
CEBPB	MAP3K8	0.3998302758397694
CEBPB	POTEF	0.28198004880412597
CEBPB	MAP3K6	0.34857709434567585
CEBPB	ZNF445	0.384567340858629
CEBPB	FBXO11	0.21974002745931642
CEBPB	DMTF1	0.25800336177802485
CEBPB	NAAA	0.3713835218590855
CEBPB	ZNF436	0.3077826571835214
CEBPB	PLA2R1	0.3296719570332005
CEBPB	ZNF434	0.23057391773426694
CEBPB	SLC27A2	0.23257685816500828
CEBPB	FTL	0.2824121247653544
CEBPB	COL17A1	0.20957447986984512
CEBPB	FTO	0.2939248622921804
CEBPB	BLM	0.1950048563181408
CEBPB	SHC3	0.27087651438538796
CEBPB	CREM	0.2229870976359276
CEBPB	SPATA1	0.2471403117632942
CEBPB	PKMYT1	0.1963074414879138
CEBPB	CORO1B	0.35100872633921654
CEBPB	CCDC144C	0.35746134709188837
CEBPB	LOC100129534	0.2033806193372758
CEBPB	ACN9	0.26178077537948585
CEBPB	SMYD2	0.3085745570148024
CEBPB	ZKSCAN2	0.23220911090563678
CEBPB	EIF4EBP3	0.19039964917525154
CEBPB	NAE1	0.18947252074440524
CEBPB	SMYD3	0.19770063193055876
CEBPB	ZNF420	0.21196456771195216
CEBPB	SDF2L1	0.188198705588829
CEBPB	NEK4	0.31153688732311924
CEBPB	FLJ10213	0.19525322686278201
CEBPB	ARPC5	0.2254448580277586
CEBPB	FBXO32	0.3322475816131423
CEBPB	SP4	0.39840821875808974
CEBPB	DMXL2	0.24231328698718801
CEBPB	TBXAS1	0.3981867564055541
CEBPB	LCN2	0.2108498710153519
CEBPB	CLPTM1L	0.228751127577711
CEBPB	KCNK6	0.2277116930449692
CEBPB	CIITA	0.2944862808731692
CEBPB	ITGAM	0.23120259251809916
CEBPB	ITGB5	0.24574564183175962
CEBPB	ITGB2	0.38024144199382626
CEBPB	NENF	0.2757232660478097
CEBPB	TSPAN12	0.28985496925086984
CEBPB	ARL5B	0.20330351945904024
CEBPB	KIAA1549	0.3156411406402917
CEBPB	ACP2	0.2528561331960333
CEBPB	TRIM61	0.196434563231219
CEBPB	GNRHR2	0.22354470972578877
CEBPB	RNASET2	0.3107338607768959
CEBPB	NRG2	0.2382258518466598
CEBPB	SEZ6L	0.20369493041623699
CEBPB	TNFRSF1B	0.2786263822219892
CEBPB	TMBIM1	0.3793250297938435
CEBPB	ZNF879	0.20865943303289658
CEBPB	LCP2	0.3112826713226422
CEBPB	C1S	0.39466590817118874
CEBPB	HM13	0.2590468480221224
CEBPB	IL2RG	0.2259923413685483
CEBPB	MLLT4	0.23554376846124292
CEBPB	FYB	0.23520661916661023
CEBPB	MLLT6	0.18705595569303402
CEBPB	ZNRF2	0.2003488542163856
CEBPB	DRAM1	0.2337369384191872
CEBPB	E2F2	0.3542341370920026
CEBPB	UBQLN4	0.21547769740581568
CEBPB	MARCKSL1	0.30512411584523136
CEBPB	MYO10	0.2824921223070582
CEBPB	GZMA	0.24132470030537956
CEBPB	NAGA	0.28611107599070973
